guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
76512c9f-dd2c-4424-b237-d7bc9503eb23,2548265276,OtDogWeapon_None_Explain,（ソフト都合のID。翻訳対象外です。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbcd4d7-4227-49c4-9cbb-38e535ca6200,307391248,OtDogWeapon_000_Explain,"カムラの里の鉄で造られた刀。
磨き上げられた刀身は、獲物の
強剛な骨や甲殻をたやすく断つ。","Good ol' Kamura steel,
sharpened to easily cleave
hard bone and shells.","Acier de Kamura, aiguisé
pour pouvoir fendre
les os et les coquilles.","In buon acciaio di Kamura,
affilato per penetrare ossa
e carapaci con facilità.","Guter alter Kamura-Stahl,
der harte Knochen und Panzer
mühelos spaltet.","Buen acero de Kamura,
tan afilado que cercenará
huesos y caparazones.","Старая добрая сталь Камуры.
Заточена так, чтобы
колоть кости и панцири.","Dobra, ostra stal z Kamury.
Z łatwością przecina
kości i skorupy.",,,"Bom e velho aço de Kamura,
afiado para cortar
facilmente ossos e conchas.","카무라 마을의 철로 만든 검.
잘 연마된 칼날은 사냥감의
뼈와 등딱지를 쉽게 잘라낸다.","以神火村鋼鐵打造而成的刀。
經過磨製的刀身能輕易斬斷
獵物堅硬的骨頭或甲殼。","炎火村出产的铁锻造的刀。
经过磨砺的刀身能够轻易斩断
猎物强韧的骨头与甲壳。",,,,,,,,"فولاذ كامورا الجيد
الذي تم شحذه ليشق العظام
والصدفات الصلبة بسهولة.",,,,,,,,,,,
11bc9461-d5f4-4f1e-bf2a-bc8b1c51fad8,1187216192,OtDogWeapon_001_Explain,"モンスターの骨で造られた野性
味溢れる武器。噛めば噛むほど
ガルクの本能を呼び覚ます。","A primitive weapon created
from monster bone. Can be
chewed on by Canynes.","Arme primitive créée à
partir d'os de monstres. Les
Canynes en raffolent.","Arma primitiva ricavata
da un osso di mostro. Il
Canyne può rosicchiarla.","Primitive Waffe aus Knochen
von Monstern. Canynen können
auf ihr herumkauen.","Arma primitiva de hueso
de monstruo. Los Canyne
lo viven mordisqueándola.","Примитивное оружие из
кости монстра. Можно давать
пожевать Собаккам.","Prymitywna broń z
kości potwora. Kynosy
mogą ją ogryzać.",,,"Arma primitiva criada de
osso de monstro. Pode
ser mastigada por Canynos.","몬스터의 뼈로 만든 야성적인
무기. 씹으면 씹을수록
가루크의 본능이 깨어난다.","以魔物骨頭打造而成，
充滿野性的武器。咬得越久
越能喚醒加爾克的本能。","使用怪物骨头制成的
野性武器。啃得越久，
就越能唤醒牙猎犬的本能。",,,,,,,,"سلاح بدائي تم صُنعه
من عظمة وحش. ويمكن
للكناين أن يقضمه.",,,,,,,,,,,
1634e25d-dd75-4c9a-9a91-6240fa97a6e9,907851933,OtDogWeapon_002_Explain,"良質な鉱石を用いて造られた剣。
シンプルな構造で扱いやすく、
斬れ味も申し分ない。","Sword forged with quality
ore. Simple, easy to wield,
and plenty sharp.","À base de minerai de
qualité. Épée simple,
maniable et tranchante.","Spada forgiata con minerale
di qualità. Semplice, facile
da brandire e ben affilata.","Schwert, aus hochwertigem
Erz geschmiedet. Einfach zu
führen und mächtig scharf.","Espada forjada con mineral
de calidad. Simple,
manejable y muy afilada.","Меч из качественной руды.
Простой, удобный в ношении
и достаточно острый.","Miecz z dobrej rudy.
Prosty, łatwy w użytku
i bardzo ostry.",,,"Espada forjada com minério
de qualidade. Simples, fácil
de usar e muito afiada.","양질의 광석으로 만든 검.
심플한 구조로 다루기 쉽고
예리도가 뛰어나다.","使用品質優良的礦石製成的劍。
樸實的設計在使用上非常方便，
銳利的程度也令人無可挑剔。","使用上好矿石制成的剑。
构造简单，易于使用，
锋利度也无可挑剔。",,,,,,,,"سيف تمت صناعته بمعدن
خام عالي الجودة. بسيط ويسهل
استخدامه، وحاد للغاية.",,,,,,,,,,,
f4ef3373-12ea-494e-b685-628020b404a9,452688384,OtDogWeapon_003_Explain,"見るからに痛そうな、猟銃型の
打撃武器。オトモの安全を
考えて、弾は撃てない構造。","A rifle-shaped blunt weapon.
Doesn't fire anything, for
the Palamute's safety.","Arme contondante en forme
de fusil. Ne tire pas, votre
Chumsky ne craint donc rien.","Arma contundente. Ha forma
di un fucile, ma per il bene
del Canyne non spara nulla.","Stumpfe Waffe in Gewehrform.
Feuert keine Geschosse ab,
um den Palamute zu schonen.","Arma contundente con forma
de rifle. No dispara nada,
por el bien de los Canyne.","Тупое орудие в форме ружья.
Ничем не стреляет ради
безопасности Паламута.","Broń obuchowa w kształcie
karabinu. Dla bezpieczeństwa
kumpsa niczym nie strzela.",,,"Arma de contusão em forma
de rifle. Não atira nada, para
a segurança do Amicão.","보기만 해도 아픈 엽총 모양
타격 무기. 동반자의 안전을
생각해 탄은 쏠 수 없는 구조.","一看就覺得很有殺傷力的獵槍型
打擊武器。考量到隨從的安全，
設計成無法發射出子彈的構造。","看起来就感觉很痛的猎枪型
打击武器。考虑到随从的安全，
使用了无法发射子弹的构造。",,,,,,,,"سلاح غير حاد على شكل بندقية.
لا يُطلق أي طلقات، وهو
مخصص لسلامة بالاموت.",,,,,,,,,,,
e644e5f9-a15a-4f7a-be25-597462e57e18,1933232655,OtDogWeapon_004_Explain,"元々は警備用に使われていた
棍棒。グリップに眠狗竜の皮を
巻き、滑りにくくしている。","A club originally used for
security. Has Great Baggi
skin on its handle for grip.","Massue jadis utilisée par la
garde. Poignée en peau de
Baggi pour meilleure prise.","Bastone creato per difesa.
L'impugnatura è rivestita
in pelle di Gran Baggi.","Keule, die ursprünglich der
Sicherheit diente, mit einem
Griff aus Großbaggi-Haut.","Porra que antes se usaba por
seguridad. Con mango forrado
en piel de Gran Baggi.","Дубинка охранника. Рукоять
для ухватистости обита
шкурой Большого Багги.","Pałka stosowana pierwotnie
do obrony. Ma rękojeść
ze skóry Wielkiego Baggiego.",,,"Porrete usado originalmente
para proteção. Tem pele de
Grande Baggi no cabo.","원래는 경비용으로 쓰이는
곤봉. 손잡이에 면구룡의
가죽을 감아 미끄럽지 않다.","原本是警備用的棍棒。
握柄纏著眠狗龍的皮，
握起來有止滑的效果。","原本用作警备的棍棒。
棍柄处缠上了眠狗龙的皮，
用来防滑。",,,,,,,,"هِراوة استُخدمت في الأصل
للسلامة. يوجد على مقبضها
جلد باجي عظيم لإحكام القبض.",,,,,,,,,,,
c5e5eea8-b627-4326-bb96-d9ece9200028,459811430,OtDogWeapon_005_Explain,"先端に可愛い人形のついた
武器。見た目に反して非常に
堅く、重い一撃を繰り出せる。","This weapon is hard and
devastating despite the
cute doll on the end.","Arme dure et très efficace,
en dépit de la jolie
poupée à l'extrémité.","Un'arma forte e letale,
a dispetto della bambolina
che l'adorna.","Diese Waffe ist trotz der
niedlichen Puppe am Ende
hart und vernichtend.","Arma dura y devastadora,
a pesar de esa muñeca tan
mona de la punta.","Прочное и мощное оружие,
несмотря на куколку
на конце.","Choć na jej końcu
znajduje się urocza lalka,
broń jest twarda i groźna.",,,"Esta arma é dura e
devastadora apesar da
boneca fofa na ponta.","끝에 귀여운 인형을 단 무기.
생김새와는 달리 단단해서
묵직한 일격을 날릴 수 있다.","前端裝有可愛玩偶的武器。
與它可愛的外觀相反，
非常堅固，能揮出沉重的一擊。","前端有着可爱人偶的武器。
与外表相反，非常坚硬，
能使出沉重的一击。",,,,,,,,"يتميز هذا السلاح بصلابته و
إمكاناته المدمّرة رغم الدمية
اللطيفة المجودة في طرفه.",,,,,,,,,,,
0116409a-a7ca-49f6-8553-6d97a1879d68,3324196583,OtDogWeapon_006_Explain,"鎌鼬竜の爪から造られた鎌状の
武器。その一撃は風の如く軽く、
しかし確実に生命を刈り取る。","A sickle weapon made from
Izuchi claws. Light as air
and reaps life away.","Faux à base de griffes
d'Izuchi. Très légère et
fatale.","Falce realizzata con artigli
di Izuchi. Leggera come
l'aria, uccide squartando.","Eine sichelförmige Waffe aus
Izuchi-Krallen. Leicht wie
Luft und erntet Leben ab.","Hoz de garras de Izuchi.
Esta segadora de vidas
es ligera como el aire.","Боевой серп из когтей
Идзути. Легкий, как воздух,
и смертоносный.","Sierp wykonany z
pazurów Izuchiego. Bardzo
lekki i zabójczy.",,,"Foice feita de garra de
Izuchi. Leve como o ar
e ceifadora de vidas.","겸유룡의 발톱으로 만든 낫
모양 무기. 일격은 바람처럼
가볍지만 생명을 도려낸다.","以鐮鼬龍王爪子製成的鐮刀狀
武器。其一擊雖輕盈如風，
卻能確實地奪取對手性命。","镰鼬龙的爪制成的镰状武器。
使出的一击如风般轻盈，
但能确实地收割生命。",,,,,,,,"سلاح منجل مصنوع من
مخالب إيزوتشي. خفيف كالريشة
لكنه يحصد الأرواح بسهوله.",,,,,,,,,,,
597f6680-c962-4af0-8f97-44dce06e3d40,2708267415,OtDogWeapon_007_Explain,"幻覚作用のあるキノコを用いた
武器。扱いが難しく、訓練した
オトモのみが使いこなせる。","A club using hallucinogenic
mushrooms—only to be used
by well-trained Buddies.","Bâton utilisant des champis
hallucinogènes, réservé aux
Pilpoils bien entraînés.","Bastone con funghi
allucinogeni. Solo per
compagni ben addestrati.","Keule aus halluzinogenen
Pilzen. Nur von geübten
Buddys zu nutzen.","Garrote hecho con setas
alucinógenas. Solo para
camaradas bien entrenados.","Дубинка из галлюциногенных
грибов. Только для
подготовленных спутников!","Pałka z halucynogennych
grzybów. Tylko dla dobrze
wyszkolonych kompanów.",,,"Porrete que usa cogumelos
alucinógenos. Só é
usado por Amigos treinados.","환각 작용이 있는 버섯으로
만든 무기. 다루기 어려워
훈련 받은 동반자만 사용한다.","使用具有迷幻效果的香菇製成的
武器。使用上很困難，所以只有
經過訓練的隨從才能運用自如。","有致幻作用的蘑菇制成的武器。
难以使用，只有训练有素的
随从才能运用自如。",,,,,,,,"هِراوة تستخدم فطر الهلوسة
ولا يستخدمه سوى الأصدقاء
المدربون جيدًا.",,,,,,,,,,,
b1cc2ffa-ac96-489e-82ff-99c9c0850f3d,933753944,OtDogWeapon_008_Explain,"可憐な蕾を象った艶やかな武器。
しかし、一度獲物を前にすれば、
闘いの花が凛として咲き乱れる。","A classy flower bud-shaped
weapon. Blooms in the face
of battle.","Belle arme en forme de
bouton de fleur. Fleurit
lors des combats.","Elegante arma a forma di
bocciolo. Si schiude in
preparazione alla battaglia.","Elegante Waffe in Form
einer Blütenknospe. Erreicht
in der Schlacht ihre Blüte.","Elegante arma con forma
de brote que florece
anticipándose al combate.","Элегантное оружие в виде
цветочного бутона. Цветет
перед битвой.","Świetna broń w kształcie
pąka kwiatu. Rozkwita,
gdy zbliża się walka.",,,"Arma em forma de botão
de flor. Floresce frente
à batalha.","가련한 꽃봉오리를 본뜬 예쁜
무기. 하지만 한 번 사냥감을
노리면 싸움의 꽃이 피어난다.","仿照可愛花苞製成的鮮艷武器。
然而當獵物出現在面前時，
戰鬥之花便會凜然綻放。","模仿可爱花蕾制成的武器。
不过一旦面对猎物，
战斗之花便会凛然绽放。",,,,,,,,"سلاح أنيق على شكل
برعم زهرة. يُزهر
في وجه المعارك.",,,,,,,,,,,
