guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
2a39a883-f683-4cd1-9f75-065575b81ad4,1270845380,OtDogWeapon_None_Name,（ソフト都合のID。翻訳対象外です。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33aba87e-6a9f-40b9-86e6-a7491e6d7425,297807043,OtDogWeapon_000_Name,カムラガルノ鉄刀,C Kamura Blade,Lame Kamura C,Lama Kamura C,C Kamura-Klinge,Hoja Kamura C,Клинок Камуры C,K Ostrze Kamury,,,Lâmina Kamura C,카무라가루철검,神火犬鐵刀,炎火牙猎铁刀,,,,,,,,نصل كامورا ك,,,,,,,,,,,
f85000ea-7896-4dbb-9878-a223c3225d48,708244565,OtDogWeapon_001_Name,ボーンガルハンマー,C Bone Hammer,Marteau en os C,Martello d'osso C,C Knochenhammer,Martillo de hueso C,Костяной молот C,K Kościany młot,,,Martelo Ósseo C,본가루해머,骨製犬錘,骨制牙猎锤,,,,,,,,المطرقة العظمية ك,,,,,,,,,,,
79be4f93-eab9-452a-a41f-0a4f70bc3f44,804983117,OtDogWeapon_002_Name,アロイガルソード,C Alloy Sword,Épée en alliage C,Spada in lega C,C Legierungs-Schwert,Espada aleación C,Литой меч C,K Miecz ze stopu,,,Espada Liga Leve C,얼로이가루소드,合金犬劍,合金牙猎剑,,,,,,,,سيف خليط معدني ك,,,,,,,,,,,
3bd932c6-9efb-48db-a6dc-9ae1ab9f3586,4151554065,OtDogWeapon_003_Name,アシラガルトゲ猟銃,C Arzuros Rifle,Fusil Arzuros C,Fucile Arzuros C,C Arzuros-Gewehr,Rifle Arzuros C,Ружье Арзуроса C,K Karabin z Arzurosa,,,Rifle de Arzuros C,아시라가루가시엽총,青熊獸犬刺獵槍,青熊兽牙猎刺猎枪,,,,,,,,بندقية قنص أرزوروس ك,,,,,,,,,,,
a5c96e5e-77d7-4acc-bb3b-4097bb3c0f3c,1074458338,OtDogWeapon_004_Name,バギィガル警棒,C Baggi Baton,Bâton Baggi C,Manganello Baggi C,C Baggi-Keule,Garrote Baggi C,Дубинка Багги C,K Pałka z Baggiego,,,Bastão de Baggi C,바기가루경봉,眠狗龍犬警棍,眠狗龙牙猎警棍,,,,,,,,عصا باجي ك,,,,,,,,,,,
d5a89fe7-ea83-4885-b7be-9bc23bcff997,1115655221,OtDogWeapon_005_Name,ウルクガルドール,C Lagombi Doll,Poupée Lagombi C,Bambola Lagombi C,C Lagombi-Puppe,Muñeca Lagombi C,Кукла Лагомби C,K Lalka Lagombiego,,,Boneca de Lagombi C,울크가루인형,白兔獸犬娃娃,白兔兽牙猎布偶,,,,,,,,دمية لاجومبي ك,,,,,,,,,,,
df0e14c1-b4ea-4cc4-8c3d-ad809cb467b5,1451373594,OtDogWeapon_006_Name,イズチガルシックル,C Izuchi Sickle,Faux Izuchi C,Falce Izuchi C,C Izuchi-Sichel,Hoz Izuchi C,Серп Идзути C,K Sierp z Izuchiego,,,Foice de Izuchi C,이즈치가루낫,鐮鼬龍犬鐮,镰鼬龙牙猎镰,,,,,,,,منجل إيزوتشي ك,,,,,,,,,,,
5fc76926-61f7-4ba3-a0ef-ae5c9222a328,1034204246,OtDogWeapon_007_Name,パラッシュガルグン,C Two-Bash Shroom,Champi deux coups C,Fungo due-colpi C,C Zweihieb-Pilz,Maseta doble C,Двухударный гриб C,K Grzybniak,,,Cogu Esmagadupla C,팔라슈가루군,迷幻菇犬棍,迷幻菇牙猎棍,,,,,,,,فطران ك,,,,,,,,,,,
795c6738-13b5-4394-b59f-d0112baf0a96,960417083,OtDogWeapon_008_Name,エーデルガルロッド,C Edel Rod,Tige Edel C,Bastone Edel C,C Edelweiß-Stab,Vara Edel C,Жезл Эделя C,K Kij Edel,,,Vara de Edel C,에델가루로드,高貴犬杖,雪绒花牙猎棒,,,,,,,,عصا إيدل ك,,,,,,,,,,,
0af8462f-1f57-4acd-8bcb-ebf4e38ec706,518898702,OtDogWeapon_009_Name,ヨツミガルオール,C Tetranadon Oar,Rame Tetranadon C,Remo Tetranadon C,C Tetranadon-Ruder,Remo Tetranadon C,Весло Тетранадона C,K Wiosło z Tetran.,,,Remo de Tetranadon C,요츠미가루올,河童蛙犬槳,河童蛙牙猎桨,,,,,,,,مجداف تيترانادون ك,,,,,,,,,,,
7a4d4d3c-0af3-4cdf-9b7f-1e80cc50071c,1479824493,OtDogWeapon_010_Name,フルフルガルアルマ,C Khezu Arma,Arme Khezu C,Spada Khezu C,C Khezu-Arma,Arcopeta Khezu C,Оружие Кезу C,K Siepacz z Khezu,,,Arma de Khezu C,푸루가루아르마,奇怪龍犬雙刃劍,奇怪龙牙猎兵器,,,,,,,,أرما خيزو ك,,,,,,,,,,,
d6d3b315-57d6-4ea9-85ce-a9096c75f2d7,3926068755,OtDogWeapon_011_Name,クルルガルジャラ,C Kulu-Ya-Ku Jar,Pot Kulu-Ya-Ku C,Vaso Kulu-Ya-Ku C,C Kulu-Ya-Ku-Gefäß,Jarrón Kulu-Ya-Ku C,Банка Кулу-Йа-Ку C,K Słój z Kulu-Ya-Ku,,,Frasco Kulu-Ya-Ku C,쿠루루가루자라,搔鳥犬壺錘,搔鸟牙猎壶,,,,,,,,برطمان كولو-يا-كو ك,,,,,,,,,,,
ff0adf6a-d672-44b0-9c39-785b1cf9be61,3911804656,OtDogWeapon_012_Name,ボロスガルメイス,C Barroth Mace,Masse Barroth C,Mazza Barroth C,C Barroth-Keule,Maza Barroth C,Палица Баррота C,K Maczuga z Barrotha,,,Bastão de Barroth C,보로스가루메이스,土砂龍犬權杖,土砂龙牙猎权杖,,,,,,,,صولجان باروث ك,,,,,,,,,,,
b728828d-6d1d-4538-b62a-a740c73b8f2b,790185486,OtDogWeapon_013_Name,フロギィガルシュー,C Wroggi Spiker,Pique Wroggi C,Punta Wroggi C,C Wroggi-Dorn,Clavadora Wroggi C,Шип Врогги C,K Kolec z Wroggiego,,,Espinho Wroggi C,프로기가루슈,毒狗龍犬手指虎,毒狗龙牙猎指虎,,,,,,,,أشواك روجي ك,,,,,,,,,,,
