guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
d119c07e-4d79-49f4-a61f-0594f8c133f1,2173503949,OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> OtSkill_None_Explain
a3df55f7-5107-42bf-b075-cf0212cfe2ff,3506409177,OtSkill_000_Explain,"体力の最大値が
アップします。
（重複可能）","Increases maximum health.
(Will stack)","Augmente la vie maximale.
(Cumulable)","Aumenta la vita massima.
(Cumulabile)","Steigert die maximale
Gesundheit. (Stapelbar)","Aumenta la salud máxima.
(Acumulable)","Повышает максимальный
уровень здоровья.
(Эффект суммируется)","Zwiększa maksymalny poziom
zdrowia. (Kumuluje się)",,,"Aumenta a vida máxima.
(Acumula)","체력의 최대치가 향상됩니다.
(중복 가능)","提升體力的最大值。
（可疊加）","提升体力最大值。
（可以叠加）",,,,,,,,"تزيد من الصحة إلى الحد الأقصى.
(سوف تتكدس)",,,,,,,,,,,
9ac9a76b-5a05-4112-abde-39dfc591796c,3141516442,OtSkill_001_Explain,"体力の最大値が
大幅にアップします。
（重複可能）","Greatly increases maximum health.
(Will stack)","Augmente beaucoup
la vie maximale.
(Cumulable)","Aumenta molto la vita massima.
(Cumulabile)","Steigert die maximale
Gesundheit erheblich.
(Stapelbar)","Aumenta mucho la salud máxima.
(Acumulable)","Значительно повышает
максимальный уровень здоровья.
(Эффект суммируется)","Znacznie zwiększa maksymalny
poziom zdrowia. (Kumuluje się)",,,"Aumenta muito a vida máxima.
(Acumula)","체력의 최대치가 대폭 향상됩니다.
(중복 가능)","大幅提升體力的最大值。
（可疊加）","大幅提升体力最大值。
（可以叠加）",,,,,,,,"تزيد من الصحة إلى الحد الأقصى
بشكل كبير. (سوف تتكدس)",,,,,,,,,,,
09fa3c24-a458-433b-ba04-8c46ed5f42c3,2369195362,OtSkill_002_Explain,"攻撃力がアップします。
（重複可能）","Increases attack.
(Will stack)","Augmente l'attaque.
(Cumulable)","Aumenta l'attacco.
(Cumulabile)","Steigert den Angriffswert.
(Stapelbar)","Aumenta el ataque.
(Acumulable)","Усиливает атаку.
(Эффект суммируется)","Zwiększa atak.
(Kumuluje się)",,,"Aumenta o ataque.
(Acumula)","공격력이 향상됩니다.
(중복 가능)","提升攻擊力。
（可疊加）","提升攻击力。
（可以叠加）",,,,,,,,"تزيد الهجوم
(سوف تتكدس)",,,,,,,,,,,
564ce671-7563-4461-aa16-49aab05ca64a,3079501330,OtSkill_003_Explain,"攻撃力が大幅にアップします。
（重複可能）","Greatly increases attack.
(Will stack)","Augmente beaucoup l'attaque.
(Cumulable)","Aumenta molto l'attacco.
(Cumulabile)","Steigert den Angriffswert
erheblich. (Stapelbar)","Aumenta mucho el ataque.
(Acumulable)","Значительно усиливает атаку.
(Эффект суммируется)","Znacznie zwiększa atak.
(Kumuluje się)",,,"Aumenta muito o ataque.
(Acumula)","공격력이 대폭 향상됩니다.
(중복 가능)","大幅提升攻擊力。
（可疊加）","大幅提升攻击力。
（可以叠加）",,,,,,,,"تزيد من الهجوم بشكل كبير.
(سوف تتكدس)",,,,,,,,,,,
13d9354b-9a4c-48de-b170-38125cc08ce7,1954909110,OtSkill_004_Explain,遠隔攻撃力がアップします。,Increases ranged attack.,"Améliore les attaques
à distance.",Aumenta l'attacco a distanza.,Steigert den Fernkampf.,Aumenta el ataque a distancia.,Усиливает атаку дальнего боя.,"Zwiększa atak dystansowy.
(Kumuluje się)",,,"Aumenta o ataque à distância.
(Acumula)",원격 공격력이 향상됩니다.,提升遠程攻擊力。,提升远程攻击力。,,,,,,,,تزيد من الهجوم بعيد المدى.,,,,,,,,,,,
a7bee0f4-a3cd-42f1-990c-3ce2285cf3fa,1868336751,OtSkill_005_Explain,"防御力が大幅にアップします。
さらに、防御力ＤＯＷＮ状態に
なりません。","Greatly increases defense. Also
negates the effects of Defense
Down.","Augmente beaucoup la défense.
Annule les effets de Défense -.","Aumenta molto la difesa
e annulla gli effetti di
Difesa ridotta.","Steigert den Verteidigungswert
erheblich und hebt die Wirkung
von ""Verteidigung -"" auf.","Aumenta mucho la defensa.
También anula los efectos de
defensa reducida.","Значительно усиливает оборону.
Также ослабляет эффект
Защита снижена.","Znacznie zwiększa obronę
oraz neutralizuje efekty
spadku obrony.",,,"Aumenta muito a defesa. Também
nega os efeitos da Defesa
Reduzida.","방어력이 대폭 향상됩니다.
또한 방어력 DOWN 상태가
되지 않습니다.","大幅提升防禦力。
且不會陷入防禦力DOWN的狀態。","大幅提升防御力，
且不会陷入防御力下降状态。",,,,,,,,"تزيد الدفاع بشكل كبير.
وأيضًا تبطل تأثير تقليل الدفاع.",,,,,,,,,,,
186f764d-ae2b-44b9-89bf-afe3f30560eb,2061914143,OtSkill_006_Explain,"全ての属性耐性がアップします。
さらに、全耐性ＤＯＷＮ状態に
なりません。","Boosts all resistances.
Also negates the effects
of Resistance Down.","Augmente toutes les résistances.
Annule les effets
de Résistance -.","Aumenta tutte le resistenze
e annulla gli effetti di
Resistenza ridotta.","Verstärkt alle Widerstände und
hebt zudem die Wirkung von
""Widerstand -"" auf.","Mejora todas las resistencias.
También anula los efectos de
resistencia reducida.","Усиливает все сопротивление.
Также ослабляет эффект
""Сопротивление снижено"".","Wzmacnia wszystkie odporności
oraz neutralizuje efekty
spadku odporności.",,,"Impulsiona todas as resistências.
Também anula os efeitos da
Resistência Reduzida.","모든 속성 내성이 향상됩니다.
또한 모든 내성 DOWN 상태가
되지 않습니다.","提升所有屬性耐性。
且不會陷入全耐性DOWN的狀態。","提升全属性耐性，
且不会陷入全耐性下降状态。",,,,,,,,"تعزز كل المقاومات.
وتبطل أيضًا
مفعول تأثيرات تقليل الدفاع.",,,,,,,,,,,
f4e81f71-e522-40d5-9d73-5df34d3a1a58,788028079,OtSkill_007_Explain,"会心率がアップします。
（重複可能）","Increases affinity.
(Will stack)","Augmente l'affinité.
(Cumulable)","Incrementa l'affinità.
(Cumulabile)","Erhöht die Affinität.
(Stapelbar)","Aumenta la afinidad.
(Acumulable)","Увеличивает мастерство.
(Эффект суммируется)","Zwiększa zgodność.
(Kumuluje się)",,,"Aumenta a afinidade.
(Acumula)","회심률이 향상됩니다.
(중복 가능)","提升會心率。
（可疊加）","提升会心率。
（可以叠加）",,,,,,,,"تزيد النسبة.
(سوف تتكدس)",,,,,,,,,,,
87cbbe10-027b-4f30-b140-b09a4b9f6fd9,1162183555,OtSkill_008_Explain,"会心率が大幅にアップします。
（重複可能）","Greatly increases affinity.
(Will stack)","Augmente beaucoup l'affinité.
(Cumulable)","Incrementa molto l'affinità.
(Cumulabile)","Erhöht die Affinität erheblich.
(Stapelbar)","Aumenta mucho la afinidad.
(Acumulable)","Значительно увеличивает
мастерство.
(Эффект суммируется)","Znacznie zwiększa zgodność.
(Kumuluje się)",,,"Aumenta muito a afinidade.
(Acumula)","회심률이 대폭 향상됩니다.
(중복 가능)","大幅提升會心率。
（可疊加）","大幅提升会心率。
（可以叠加）",,,,,,,,"تزيد من النسبة بشكل كبير.
(سوف تتكدس)",,,,,,,,,,,
