guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
daa91a30-f62f-4d6b-bc2c-013515aecfbb,2619672014,OtSkill_100_Explain,貫通攻撃力がアップします。,Makes piercing attacks more powerful.,Rend les attaques perçantes plus puissantes.,Potenzia gli attacchi perforanti.,Verstärkt durchbohrende Angriffe.,"Intensifica los ataques
perforantes.",Повышает силу пронзающих атак.,Potężniejsze ataki przebijające.,,,"Deixa os ataques perfurantes
mais poderosos.",관통 공격력이 향상됩니다.,提升貫通攻擊力。,提升贯穿攻击力。,,,,,,,,يجعل الهجمات المخترقة أكثر قوة.,,,,,,,,,,,
acf2b144-706a-4272-ac56-527cdeb9dbe9,552673150,OtSkill_101_Explain,"ガード、いなし成功時に
カウンター攻撃をします。","Causes a counter when a block
or deflection succeeds.","Déclenche une riposte après une parade
réussie ou une attaque déviée.","Scatena un contrattacco quando
blocchi o respingi con successo.","Löst bei erfolgreichem Blocken
oder Ablenken einen Konter aus.","Da pie a un contraataque cuando
un bloqueo o desvío tiene éxito.","После блока или отраженной
атаки следует контратака.","Powoduje kontrę po udanym
bloku lub odbiciu.",,,"Causa contra-ataque
quando um bloqueio ou
desvio são bem-sucedidos.","가드, 흘리기 성공 시
카운터 공격을 합니다.",成功防禦或迴避時將進行反擊。,"防御或闪躲成功时，
会发动反击。",,,,,,,,"يتسبب في المقاومة
عند نجاح التصدي أو الانحراف.",,,,,,,,,,,
bbf52127-498a-40f2-9489-608508e78b46,588310203,OtSkill_102_Explain,"近接攻撃を積極的に行います。
近接攻撃力がややアップします。
（遠隔優先の術と重複不可）","Prioritizes melee attacks, making
them slightly more powerful.
(Doesn't stack with Ranged-Centric.)","Attaques de mêlée prioritaires
et un peu plus puissantes. (Non
cumulable avec Distance prédominante.)","Favorisce gli attacchi ravvicinati
rendendoli più potenti. (Non
cumulabile con Distanza+.)","Priorisiert Nahkampfangriffe und
verbessert sie leicht. (Nicht mit
Fernkampffixierung kombinierbar.)","Prioriza e intensifica los
ataques cuerpo a cuerpo. No
acumulable con Pro distancia.","Акцент на атаках ближнего боя —
теперь они чуть мощнее. (Не
сочетается с ""Дальним боем"".)","Nadaje priorytet atakom wręcz,
nieco je wzmacniając. (Nie łączy
się z umiejętnością „Na dystans”).",,,"Prioriza ataques corpo a corpo,
deixando-os mais poderosos. (Não
acumula com Foco em Alcance.)","근접 공격을 적극적으로 합니다.
근접 공격력이 약간 향상됩니다.
(원격 우선술과 중복 불가)","會積極進行近身攻擊。
稍微提升近身攻擊力。
（無法與遠程優先之術疊加）","积极进行近身攻击。
小幅提升近身攻击力。
（无法与远程优先之术同时生效）",,,,,,,,"تعطي الأولوية لهجمات الاشتباك،
مما يجعلها أقوى قليلًا. (لا
تتراكم مع التمركز بعيد المدى.)",,,,,,,,,,,
96b3f867-fd80-468f-8ceb-6c57fc72bdf1,2863641238,OtSkill_103_Explain,"遠隔攻撃を積極的に行います。
遠隔攻撃力がややアップします。
（近接優先の術と重複不可）","Prioritizes ranged attacks, making
them slightly more powerful.
(Doesn't stack with Melee-Centric.)","Attaques à distance prioritaires
et un peu plus puissantes. (Non
cumulable avec Mêlée prédominante.)","Favorisce gli attacchi a distanza
rendendoli più potenti. (Non
cumulabile con Ravvicinato+.)","Priorisiert Fernkampfangriffe und
verbessert sie leicht. (Nicht mit
Nahkampffixierung kombinierbar.)","Prioriza e intensifica todo
ataque de lejos. No acumulable
con Pro físico.","Акцент на атаках дальнего боя —
теперь они чуть мощнее. (Не
сочетается с ""Ближним боем"".)","Nadaje priorytet atakom na dystans,
nieco je wzmacniając. (Nie łączy
się z umiejętnością „Wręcz”).",,,"Prioriza ataques corpo a corpo,
deixando-os mais poderosos. (Não
acumula com Foco Corpo a Corpo.)","원격 공격을 적극적으로 합니다.
원격 공격력이 약간 향상됩니다.
(근접 우선술과 중복 불가)","會積極進行遠程攻擊。
稍微提升遠程攻擊力。
（無法與近身優先之術疊加）","积极进行远程攻击。
小幅提升远程攻击力。
（无法与近身优先之术同时生效）",,,,,,,,"تعطي الأولوية للهجمات بعيدة
المدى، مما يجعلها أقوى قليلًا. (لا
تتراكم مع تمركز الاشتباك.)",,,,,,,,,,,
acbb5848-6539-4f34-b754-888cf534b53f,60736481,OtSkill_104_Explain,"力尽きるたびに、最大８回まで
攻撃力と防御力がアップします。","Increases Attack and Defense
upon revival. Effective up to
eight times.","Augmente l'attaque et la défense après
une réanimation. Efficace jusqu'à huit fois.","Aumenta attacco e difesa
quando si viene rianimati.
Efficace fino a otto volte.","Steigert bei Wiederauferstehung
aus einer Ohnmacht bis zu acht
Mal Angriff und Verteidigung.","Mejora el ataque y defensa
al revivir. Funciona hasta
ocho veces.","Усиливает атаку и защиту после
воскрешения. Срабатывает восемь
раз.","Zwiększa atak i obronę po ożywieniu.
Do zastosowania osiem razy.",,,"Aumenta o Ataque e a Defesa
ao reviver. Funciona
até oito vezes.","힘이 다할 때마다 최대 8번까지
공격력과 방어력이 향상됩니다.","每次力竭倒下後，
提升攻擊力與防禦力（最多8次）。","每次力尽倒下时提升攻击力和防
御力，最多可提升8次。",,,,,,,,"تزيد الهجوم والدفاع عند الإحياء.
فعَّالة حتى ثماني مرات.",,,,,,,,,,,
ba427100-72e1-4984-aed0-7217ce3f9e41,3668817589,OtSkill_105_Explain,"<ICON Otomoskill_Red>を装備しているほど
部位破壊しやすくなります。","Makes body parts easier to break
the more <ICON Otomoskill_Red> are equipped.","Plus des <ICON Otomoskill_Red> sont équipées,
plus il est facile de briser des parties du corps.","Più <ICON Otomoskill_Red> si equipaggiano,
più è facile rompere
parti del corpo.","Macht das Brechen von Körper-
teilen umso leichter, je mehr
<ICON Otomoskill_Red> ausgerüstet sind.","Hace que las partes del cuerpo
sean más fáciles de romper
cuantos más <ICON Otomoskill_Red> haya equipados.","Чем больше навыков <ICON Otomoskill_Red>
используется, тем более хрупкими
становятся части тела.","Im większa liczba <ICON Otomoskill_Red>, tym
łatwiej jest łamać części ciała.",,,"Deixa mais fácil quebrar partes
do corpo quanto mais
<ICON Otomoskill_Red> estiverem equipados.","<ICON Otomoskill_Red>을 장비할수록
부위 파괴가 쉬워집니다.","裝備的<ICON Otomoskill_Red>數量越多，
越容易破壞部位。","装备的<ICON Otomoskill_Red>越多，
就越容易破坏怪物的部位。",,,,,,,,"يجعل تكسير أعضاء
الجسم أسهل كلما تم تزويد <ICON Otomoskill_Red> أكثر.",,,,,,,,,,,
aca2d771-de89-4a92-8acf-cce40755e4bb,822737597,OtSkill_106_Explain,"非戦闘時でも、体力回復行動を
行うようになります。","Will perform healing actions
even when not in battle.","Régénère de la vie
même hors combat.","Fa recuperare la salute anche
quando non si è in battaglia.","Führt auch außerhalb des
Kampfes Heilungsaktionen
aus.","Realiza acciones curativas incluso
cuando no estás en combate.","Выполняет исцеляющие действия
даже не во время боя.","Umożliwia odzyskiwanie zdrowia
nawet poza walką.",,,"Promove recuperação, mesmo
quando não está em batalha.","비전투 시에도 체력 회복
행동을 실행하게 됩니다.","於非戰鬥狀態時，
也會進行回復體力行動。","在非战斗状态时，也会进行体力回复
行动。",,,,,,,,"يجري عملية الشفاء
حتى عندما لا تكون في المعركة.",,,,,,,,,,,
8ac976ec-0b5d-4439-a565-02dd84e8c0d3,20176040,OtSkill_107_Explain,"ダメージを受けたあと一定時間、
ガード確率がアップします。<ICON Otomoskill_Blue>を
装備しているほど時間がのびます。","Increases chances of blocking
for a set period after taking damage.
Lasts longer the more <ICON Otomoskill_Blue> are equipped.","Augmente temporairement les
chances de parer après un coup.
La durée dépend du nombre de <ICON Otomoskill_Blue>.","Aumenta le probabilità di blocco
per un periodo dopo aver subito
danni. Più <ICON Otomoskill_Blue> hai, più dura.","Steigert die Blockchance nach dem
Erleiden von Schaden. Wirkt länger,
je mehr <ICON Otomoskill_Blue> ausgerüstet sind. ","Mejora el bloqueo durante
un tiempo tras sufrir daños.
Dura más cuantos más <ICON Otomoskill_Blue> equipados.","Чем больше навыков <ICON Otomoskill_Blue> использу-
ется, тем дольше можно отражать
атаки после получения урона.","Zwiększa szanse bloku przez określony
czas po otrzymaniu obrażeń. Im większa
liczba <ICON Otomoskill_Blue>, tym dłuższe działanie.",,,"Aumenta chance de bloq. por um
período depois do dano. Dura mais
se mais <ICON Otomoskill_Blue> estiverem equipados.","대미지를 입은 후 일정 시간 동안
가드 확률이 향상됩니다. <ICON Otomoskill_Blue>을
장비할수록 시간이 늘어납니다.","受到傷害後，
防禦機率將在一段時間內上升。
裝備的<ICON Otomoskill_Blue>數量越多，提升時間越長。","受到伤害后一定时间内，
提升防御概率。装备的<ICON Otomoskill_Blue>越多，
提升的时间越长。",,,,,,,,"يزيد من فرص التصدي لفترة محددة
بعد التعرض للضرر. تدوم لفترة
أطول كلما تم تزويد <ICON Otomoskill_Blue> أكثر.",,,,,,,,,,,
5c376068-ddb3-4d9a-bf00-2201b8d0b214,3680450491,OtSkill_108_Explain,"状態異常値を持つ攻撃を受けたとき
その状態異常を無効化するスキルを
装備していると体力が回復します。","Recovers health after taking
an ailment-inducing attack if a skill
to nullify that ailment is equipped.","Régénère de la vie après
une affliction si un talent
d'annulation est équipé.","Recupera la salute dopo un attacco
alterante se si ha un'abilità per
annullare tale alterazione.","Gesundheitserholung nach statusver-
änderndem Angriff, wenn eine auf-
hebende Fähigkeit ausgerüstet ist.","Recupera salud tras un ataque
que cause estados si llevas
habilidades que lo anulen.","Восстанавливает здоровье во
время недуга, если используется
нейтрализующий его навык.","Przywraca zdrowie po otrzymaniu ataku ze
szkodliwym efektem, jeśli wyposażono
umiejętność neutralizującą ten efekt.",,,"Recupera vida após um ataque
feridor se uma habil. que anula
este efeito estiver equipada.","상태 이상치를 가진 공격 피격 시
그 상태 이상을 무효화하는 스킬을
장비했다면 체력을 회복합니다.","受到帶有狀態異常值的攻擊時，
若已裝備可使該狀態異常無效
的技能，會回復體力。","受到具有状态异常值的攻击时，
若装备了使该状态异常无效的技能，
则会回复体力。",,,,,,,,"تستعيد الصحة بعد التعرض
لهجوم يسبب الاعتلال إذا تم
التزود بمهارة تُبطل هذا الاعتلال.",,,,,,,,,,,
1dcbb532-ef8d-41dc-abb0-e4c89d9137e9,3372026942,OtSkill_109_Explain,"自己回復行動時、ハンターの体力も
回復するようになります。","Makes hunter's health recover
as well when a self-healing
move is used.","Régénère la vie du chasseur
lorsqu'une action d'auto-guérison
est utilisée.","Fa recuperare la salute anche al
cacciatore se si usa una mossa
di guarigione automatica.","Aktionen zur Selbstheilung
heilen auch den Jäger.","Hace que la salud del cazador se
recupere también cuando se usa
un movimiento de autocuración.","Восстанавливает и здоровье
охотника, если в ход
пущено самозаживление.","Przywraca zdrowie również łowcy
w przypadku użycia ruchu
samoleczenia.",,,"Recupera a vida do caçador
e também age quando
uma autocura é usada.","자신을 회복하는 행동을 할 때
헌터의 체력도 회복됩니다.","進行回復自身體力的行動時，
也會回復獵人的體力。","进行自我回复行动时，
也能回复猎人的体力。",,,,,,,,"يجعل صحة الصياد تتعافى
أيضًا عند استخدام حركة
الشفاء الذاتي.",,,,,,,,,,,
