guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
4e0c7ccd-948b-4952-8bb8-1490fb6ee65b,1997734336,Ot_None_Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33726fcc-4826-4b28-9703-26cbbd076be2,3529920633,Ot_000_Name,アーサー,Arthur,Arthur,Arthur,Arthur,Arthur,Артур,Arthur,,,Arthur,아서,亞瑟,亚瑟,,,,,,,,Arthur,,,,,,,,,,,
e7037981-47f7-45a2-b5e9-e94af7c92e0e,1476814791,Ot_001_Name,アーモンド,Almond,Amande,Mandorla,Joe,Almendra,Альмонд,Migdał,,,Amêndoa,아몬드,阿蒙特,阿蒙特,,,,,,,,Almond,,,,,,,,,,,
a0bb4321-8aa3-4ccb-ae2a-aff80f0c68d1,709219412,Ot_002_Name,アキラ,Akira,Akira,Akira,Akira,Akira,Акира,Akira,,,Akira,아키라,阿基拉,阿基拉,,,,,,,,Akira,,,,,,,,,,,
00e320a7-05ba-40e3-92e7-97222cb1f83b,3694087706,Ot_003_Name,アシガル,Grunt,Bébé,Gian,Luigi,Asura,Грант,Grunt,,,Troglodita,아시가루,足輕,轻灵,,,,,,,,Grunt,,,,,,,,,,,
af8c88e3-f00f-4a26-8d7a-4d0773f5866c,2420634251,Ot_004_Name,アシュリー,Ashley,Anne,Ashley,Ashley,Ashley,Эшли,Ashley,,,Ashley,애슐리,雅修莉,安修莉,,,,,,,,Ashley,,,,,,,,,,,
065002d1-b40f-43b6-bab5-0fc42c92a709,3508472077,Ot_005_Name,イカロス,Icarus,Pépette,Icarus,Ikarus,Ícaro,Икарус,Ikar,,,Ícaro,이카로스,伊卡洛斯,伊卡洛斯,,,,,,,,Icarus,,,,,,,,,,,
1ca713e7-699f-4a79-aa91-c6c585516ea1,1765762341,Ot_006_Name,ウドン,Udon,Udon,Udon,Udon,Udon,Удон,Udon,,,Udon,우동,烏龍,乌冬面,,,,,,,,Udon,,,,,,,,,,,
1960deb9-1d4b-41bc-935c-bbf5afaa15a9,4155080938,Ot_007_Name,ウニ,Eel,Maki,Bombolo,Marc,Sushi,Ил,Węgorz,,,Enguia,우니,優尼,优尼,,,,,,,,Eel,,,,,,,,,,,
b135aed8-2c87-4ef4-9454-209a70d03275,1074878040,Ot_008_Name,ウリエル,Andrew,Andrew,Andrew,Andre,Andrew,Эндрю,Andrew,,,Andrew,우리엘,烏列爾,乌列尔,,,,,,,,Andrew,,,,,,,,,,,
1be524a1-b381-4799-9540-3a6f9d53046c,2110069461,Ot_009_Name,エクレア,Muffin,Coton,Muffin,Muffin,Muffin,Маффин,Muffin,,,Bolinho,에클레어,閃電泡芙,闪电泡芙,,,,,,,,Muffin,,,,,,,,,,,
ac70be0b-b578-485a-bd6d-a134b7e9256f,2155564708,Ot_010_Name,エッジ,Edge,Saeko,Ivan,Kantilen,Bigotes,Эйдж,Edge,,,Lâmina,에지,艾吉,艾吉,,,,,,,,Edge,,,,,,,,,,,
32c1cda3-7e9c-49b2-9652-848ddfff4a2d,1464558921,Ot_011_Name,エビス,Moore,Bergamote,Moore,Froschi,Moore,Мур,Moore,,,Moore,에비스,惠比壽,惠比寿,,,,,,,,Moore,,,,,,,,,,,
aa163657-f5d9-4237-98da-313abc0263f2,2060834553,Ot_012_Name,オスカー,Oscar,Oscar,Barney,Oscar,Silvestre,Оскар,Oskar,,,Oscar,오스카,奧斯卡,奥斯卡,,,,,,,,Oscar,,,,,,,,,,,
00309b22-90ff-4438-b435-78f091ee88bb,3581674391,Ot_013_Name,オモチ,Erin,Erin,Erin,Erin,Erin,Эрин,Erin,,,Erin,오모치,麻糬,麻薯,,,,,,,,Erin,,,,,,,,,,,
9455a2c5-d054-4bd0-83ef-e23ab99fa202,3504678963,Ot_014_Name,オリガミ,Origami,Origami,Origami,Origami,Origami,Оригами,Origami,,,Dobradura,오리가미,摺紙,折纸,,,,,,,,Origami,,,,,,,,,,,
160d35f5-b07a-47c5-bde6-42799d2660fe,3838482855,Ot_015_Name,オリバー,Oliver,Olivier,Oliver,Oliver,Oliver,Оливер,Oliver,,,Oliver,올리버,奧利弗,铁锤,,,,,,,,Oliver,,,,,,,,,,,
c313d36a-d033-4604-8d65-f3d4da845780,2614040935,Ot_016_Name,カグラ,JJ,Clafoutis,Neko,JJ,Pantera,Джей,JJ,,,JJ,카구라,神樂,神乐,,,,,,,,JJ,,,,,,,,,,,
53045ea5-4c75-4484-ba29-0a72b190a68c,3082699113,Ot_017_Name,ガロン,Arnold,Arnold,Arnold,Arnold,Arnold,Жиройд,Arnold,,,Arnold,가론,加侖,加仑,,,,,,,,Arnold,,,,,,,,,,,
35c92296-f58c-4aaa-b132-1376d9c55d0b,1749285169,Ot_018_Name,キッド,Kid,Kid,Kid,Adalbert,Kid,Кид,Dzieciak,,,Criança,키드,基德,基德,,,,,,,,Kid,,,,,,,,,,,
13bcff8b-df06-4233-b41c-4c54b47fa5ea,1694926872,Ot_019_Name,キャラメル,Caramel,Caramel,Licia,Carmela,Caramelo,Карамель,Karmel,,,Caramelo,캐러멜,焦糖,焦糖,,,,,,,,Caramel,,,,,,,,,,,
5e3de4e6-287d-4aac-8868-8ed49c47507f,2020103696,Ot_020_Name,ギルバート,Gilbert,Valmont,Gilbert,Gilbert,Gilbert,Гилберт,Gilbert,,,Gilbert,길버트,吉爾伯特,吉尔伯特,,,,,,,,Gilbert,,,,,,,,,,,
a0e73917-fe58-405f-901d-812e793a475a,4118772453,Ot_021_Name,キンチャク,Aizo,Aïzo,Mirko,Aizo,Aizo,Айзо,Aizo,,,Aizo,킨차쿠,巾恰克,荷包,,,,,,,,Aizo,,,,,,,,,,,
c8637929-b689-4193-9674-e0032212af45,2291410400,Ot_022_Name,キンピラ,Bob,Mozart,Alice,Bob,Bob,Боб,Bob,,,Bob,킨피라,金平,金平,,,,,,,,Bob,,,,,,,,,,,
d3e8b591-a936-4099-ae6f-610b8a790f73,3777784618,Ot_023_Name,クー,Neil,Ramsès,Nilin,Kai,Neil,Нил,Neil,,,Neil,쿠우,庫,库,,,,,,,,Neil,,,,,,,,,,,
2c0ef360-73e7-4882-a2bc-b83c6602bb67,2663809517,Ot_024_Name,グミ,Gummi,Sachi,Lily,Ruth,Gominola,Гамми,Gummi,,,Gummi,구미,軟糖,软糖,,,,,,,,Gummi,,,,,,,,,,,
e57ad936-6b9a-4521-ba3c-351b3de3b203,373051711,Ot_025_Name,グラハム,Graham,Graham,Graham,Graham,Graham,Грэм,Graham,,,Graham,그레이엄,葛拉韓姆,全麦,,,,,,,,Graham,,,,,,,,,,,
4246c014-e4a9-4da8-b346-b2f742160cd8,652092734,Ot_026_Name,クリスタル,Crystal,Cristal,Cristallo,Kristall,Cristal,Кристалл,Crystal,,,Cristal,크리스털,水晶,水晶,,,,,,,,Crystal,,,,,,,,,,,
e25a08ba-4998-4850-b376-97bce6acb3a2,6993955,Ot_027_Name,ケイ,Soichi,Soichi,Soichi,Soichi,Soichi,Соити,Soichi,,,Soichi,케이,凱,凯,,,,,,,,Soichi,,,,,,,,,,,
2cbbff5a-06d8-4cf8-ba9a-18ec1dd80728,3488309938,Ot_028_Name,ゲッカ,Moonlight,Zorro,Rose,Yuika,Simba,Мунлайт,Moonlight,,,Luar,겟카,月下,月下,,,,,,,,Moonlight,,,,,,,,,,,
75d94703-3973-43b1-a25a-5ff636114218,721584813,Ot_029_Name,ケン,Ken,Ken,Bart,Ken,Ken,Кен,Ken,,,Ken,켄,健,健,,,,,,,,Ken,,,,,,,,,,,
386541ba-ca32-44b0-bf1b-3e3045049af8,2129903565,Ot_030_Name,ゴエモン,Francis,Francis,Francis,Francis,Francis,Фрэнсис,Francis,,,Francis,고에몬,五右衛門,五右卫门,,,,,,,,Francis,,,,,,,,,,,
93e38467-3177-4e2c-b579-096d5825ee69,1362539523,Ot_031_Name,コジロー,Miguel,Poutine,Carmen,Miguel,Miguel,Мигель,Miguel,,,Miguel,코지로,小次郎,小次郎,,,,,,,,Miguel,,,,,,,,,,,
c3effa42-478a-4c01-a34f-3d9bc83d34f9,2874207267,Ot_032_Name,ゴリ,Joel,Scoubidoo,Dozer,Niels,Rollito,Джоул,Joel,,,Joel,고리,克里,克里,,,,,,,,Joel,,,,,,,,,,,
aa0b0348-efbe-44e5-8b94-ee60cdb8645f,2292960189,Ot_033_Name,コルネット,Coronet,Diablo,Torilex,Haluto,Faraón,Коронет,Coronet,,,Coroa,코르넷,柯爾雷特,蛋卷,,,,,,,,Coronet,,,,,,,,,,,
7080ff55-900a-4c43-92d5-467a1a576b13,823238165,Ot_034_Name,サイレン,Siren,Sirène,Siren,Daniel,Sirena,Сайрен,Siren,,,Sereia,사이렌,賽蓮,赛莲,,,,,,,,Siren,,,,,,,,,,,
24491f31-c8d1-452d-a85f-2db5ba608494,971743284,Ot_035_Name,サスケ,Stefano,Stéphane,Ludovic,Brandon,Stefano,Стефано,Stefano,,,Stefano,사스케,佐助,佐助,,,,,,,,Stefano,,,,,,,,,,,
c0a6855c-9cdd-4aa5-863d-c34704319feb,3041339148,Ot_036_Name,サルサ,Meg,Pacha,Panda,Panda,Panda,Мег,Meg,,,Meg,살사,騷沙,料汁,,,,,,,,Meg,,,,,,,,,,,
ec1f5a6d-c2c1-4446-908e-434f59e39500,2469201404,Ot_037_Name,ジェット,Jet,Pégase,Uncino,Halodri,Jet,Джет,Jet,,,Jet,제트,吉特,吉特,,,,,,,,Jet,,,,,,,,,,,
984f72f1-11cd-4be3-bbb8-b29b0e700f5d,2085350898,Ot_038_Name,ジャスミン,Jasmine,Jasmine,Yoyo,Jasmine,Yasmin,Жасмин,Jasmine,,,Jasmine,재스민,茉莉,茉莉,,,,,,,,Jasmine,,,,,,,,,,,
3d1d700e-0dd4-4029-becd-512f197f49e5,3528962765,Ot_039_Name,シラタキ,James,Pedro,James,James,James,Джеймс,James,,,James,시라타키,白瀑,粉丝,,,,,,,,James,,,,,,,,,,,
8d90aa15-382d-44f2-83d8-3b541775f518,2847499065,Ot_040_Name,スコット,Scott,Scott,Scott,Scott,Scott,Скотт,Scott,,,Scott,스콧,斯考特,斯考特,,,,,,,,Scott,,,,,,,,,,,
