guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
964b9470-187e-4881-900e-e52923b07fc3,639334700,PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_000
728b4e50-737f-483d-8186-1367b5a0be8a,1851541762,PFS_Message_001,"アクションを選択し、割り当てたいキーを
入力してください。",Select an action to assign to a key.,Sélectionner une action à assigner à une touche.,Scegli un'azione da assegnare a un tasto.,"Wähle eine Aktion, um eine Taste zuzuweisen.",Selecciona una acción que asignar a una tecla.,"Выберите действие, чтобы назначить его на клавишу.",Wybierz czynność do przypisania.,,,Selecione uma ação para atribuir a uma tecla.,"액션을 선택하고 할당하고 싶은 키를
입력하십시오.",請選擇動作，並按下想使用的按鍵。,"请选择动作，
并按下想要分配的键。",,,,,,,,حدّد إحدى الحركات لتعيينها لأحد المفاتيح.,,,,,,,,,,,
98541ca0-7ca9-4f3a-a4dc-66b3187d006c,865411348,PFS_Message_002,メニュー項目選択 / 数値変更・上,Navigate Menu/Change Value - Up,Naviguer dans un menu/Changer valeur - Haut,Naviga nel menu/Modifica valore: su,Menü navigieren/Wert ändern – Nach oben,Navegar menú/cambiar valor: arriba,Перемещение по меню / смена значения — вверх,Nawiguj po menu / zmień wartość – góra,,,Navegar no Menu/Mudar Valor — Para Cima,메뉴 항목 선택 / 수치 변경-위,選擇選單項目 / 變更數值･上,选择菜单项目 / 变更数值・上,,,,,,,,التنقل بين القائمة/ تغيير القيمة - للأعلى,,,,,,,,,,,
9ef5d095-75f4-4266-9e1e-df1c695580ba,841461399,PFS_Message_003,メニュー項目選択 / 数値変更・下,Navigate Menu/Change Value - Down,Naviguer dans un menu/Changer valeur - Bas,Naviga nel menu/Modifica valore: giù,Menü navigieren/Wert ändern – Nach unten,Navegar menú/cambiar valor: abajo,Перемещение по меню / смена значения — вниз,Nawiguj po menu / zmień wartość – dół,,,Navegar no Menu/Mudar Valor — Para Baixo,메뉴 항목 선택 / 수치 변경-아래,選擇選單項目 / 變更數值･下,选择菜单项目 / 变更数值・下,,,,,,,,التنقل بين القائمة/ تغيير القيمة - للأسفل,,,,,,,,,,,
8dc315b0-f5e8-4f16-8803-fa520f9713d3,2586222660,PFS_Message_004,メニュー項目選択・左,Navigate Menu - Left,Naviguer dans le menu - Gauche,Naviga nel menu: sinistra,Menü navigieren - Links,Navegar menú: izquierda,Перемещение по меню — влево,Poruszanie się po menu – lewo,,,Navegar no Menu — Esquerda,메뉴 항목 선택-왼쪽,選擇選單項目･左,选择菜单项目・左,,,,,,,,انتقل بين القائمة - لليسار,,,,,,,,,,,
104b1fd6-be6a-4949-bb7d-86dbb9229b98,1829040273,PFS_Message_005,メニュー項目選択・右,Navigate Menu - Right,Naviguer dans le menu - Droite,Naviga nel menu: destra,Menü navigieren - Rechts,Navegar menú: derecha,Перемещение по меню — вправо,Poruszanie się po menu – prawo,,,Navegar no Menu - Direita,메뉴 항목 선택-오른쪽,選擇選單項目･右,选择菜单项目・右,,,,,,,,انتقل في القائمة - لليمين,,,,,,,,,,,
451b8738-8d06-49a6-9588-05286ec9ecdb,382408727,PFS_Message_006,決定,Confirm,Confirmer,Conferma,Bestätigen,Confirmar,Подтвердить,Potwierdź,,,Confirmar,결정,確定,确定,,,,,,,,تأكيد,,,,,,,,,,,
3b12339b-c268-4346-9ecc-85626ae6c5a3,508594546,PFS_Message_007,戻る (キャンセル),Back (Cancel),Retour (Annuler),Indietro (Annulla),Zurück (Abbrechen),Atrás (Cancelar),Назад (отменить),Wstecz (anuluj),,,Voltar (Cancelar),돌아가기 (취소),返回（取消）,返回 (取消),,,,,,,,العودة (إلغاء),,,,,,,,,,,
be6865c7-a301-45a4-a278-d069b4c4c981,3545983864,PFS_Message_008,重ね着マイセットも選択 / ショートカット並び替え,Select Layered Armor Loadout/Sort Shortcuts,Sélectionner des sets d'armures spéciales/Organiser raccourcis,Scegli set stile armatura/Ordina scorciatoie,Dekorrüstung-Set wählen/Kurzbefehle sortieren,Seleccionar set arm. superp./ordenar atajos,Выбрать комплект многосл. доспеха / сортировка ярлыков,Wybierz zestaw panc. warstw. / sortuj skróty,,,Selecionar Config. de Armad. em Camadas/Ordernar Atalhos,덧입는 장비 마이 세트도 선택 / 숏컷 재정렬,同時選擇外觀裝備個人組合 / 變更捷徑排序,同时选择外观装备个人组合 / 快捷栏排序,,,,,,,,حدّد إمداد الدرع متعددة المستويات/فرز الاختصارات,,,,,,,,,,,
217ffb27-1734-45ea-b0c2-2a19d1baf386,1210509248,PFS_Message_009,マイセット呼び出し / 登録 /  試着,Use/Register/Preview Loadout,Utiliser/Enregistrer/Visualiser un set,Usa/Registra/Anteprima set,Set benutzen/speichern/ansehen,Usar/registrar/vista previa de set,Использовать / регистрировать / предпросмотр комплекта,Używanie/rejestracja/podgląd zestawu,,,Usar/Registrar/Visualizar Configuração,마이 세트 호출 / 등록 / 착용해 보기,呼叫 / 登錄 / 試穿個人組合,个人组合呼叫 / 登记 / 试穿,,,,,,,,استخدم/سجّل/عاين الإمداد,,,,,,,,,,,
