guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
282b4e59-c85c-4c40-af8f-c604061afde0,1673721393,PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000,<COLOR FF0000>#Rejected#</COLOR> PFS_Message_MR_000
45a7a964-9673-4f60-9d16-428058dae65c,3330972531,PFS_Message_MR_001,同時押しアクション (<OPT DEF_OPAD_ZL> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / 疾替え,Multi-button Action (<OPT DEF_OPAD_ZL>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>) / Switch Skill Swap,Action à touches multiples (<OPT DEF_OPAD_ZL>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/Transfert Talent sub.,Azione multi-pulsante (<OPT DEF_OPAD_ZL> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>)/Inv. abilità scambio,Mehrtastenaktion (<OPT DEF_OPAD_ZL>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/Wechselkunst ändern,Acción multibotones (<OPT DEF_OPAD_ZL> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / Intercambiar habilidad,Многокнопочное действие (<OPT DEF_OPAD_ZL>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>) / Смена заместительного навыка,Ruch kilkuprzycisk. (<OPT DEF_OPAD_ZL> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / Zmiana przełącz. umiejętn.,,,Ação multibotão (<OPT DEF_OPAD_ZL>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/Mudar Hab. de Troca,동시 누르기 액션 (<OPT DEF_OPAD_ZL> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>)/ 신속 교체,同時輸入按鍵的動作（<OPT DEF_OPAD_ZL>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>） / 高速替換,同时按下动作 (<OPT DEF_OPAD_ZL> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / 迅速切换,,,,,,,,الزر متعدد الحركات (<OPT DEF_OPAD_ZL>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/ مبادلة مهارة التبديل,,,,,,,,,,,
8c2b9fa9-cc61-43bf-bfbc-fac9aab1800c,3528786697,PFS_Message_MR_002,同時押しアクション (<OPT DEF_OPAD_RT> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / 疾替え,Multi-button Action (<OPT DEF_OPAD_RT>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>) / Switch Skill Swap,Action à touches multiples (<OPT DEF_OPAD_RT>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/Transfert Talent sub.,Azione multi-pulsante (<OPT DEF_OPAD_RT> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>)/Inv. abilità scambio,Mehrtastenaktion (<OPT DEF_OPAD_RT>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/Wechselkunst ändern,Acción multibotones (<OPT DEF_OPAD_RT> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / Intercambiar habilidad,Многокнопочное действие (<OPT DEF_OPAD_RT>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>) / Смена заместительного навыка,Ruch kilkuprzycisk. (<OPT DEF_OPAD_RT> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / Zmiana przełącz. umiejętn.,,,Ação multibotão (<OPT DEF_OPAD_RT>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/Mudar Hab. de Troca,동시 누르기 액션 (<OPT DEF_OPAD_RT> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>)/ 신속 교체,同時輸入按鍵的動作（<OPT DEF_OPAD_RT>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>） / 高速替換,同时按下动作 (<OPT DEF_OPAD_RT> + <ICON DEF_OPAD_PAD_X> + <ICON DEF_OPAD_PAD_A>) / 迅速切换,,,,,,,,الزر متعدد الحركات (<OPT DEF_OPAD_RT>+<ICON DEF_OPAD_PAD_X>+<ICON DEF_OPAD_PAD_A>)/ مبادلة مهارة التبديل,,,,,,,,,,,
0cd0848f-75dc-4b43-a7b6-11cf885b476d,4266528672,PFS_Message_MR_003,ウルトラワイド時のメニュー位置変更,Adjust Position of Ultra-wide Menu,Régler position Menu écran ultra large,Regola posizione del menu ultrawide,Position von Ultrawide-Menü anpassen,Ajustar posición del menú ultraancho,Настроить позицию сверхширок. меню,Położenie menu na ekranie ultrapanor.,,,Ajusta a posição do Menu Ultra-wide,울트라와이드에서의 메뉴 위치 변경,變更Ultrawide時的選單位置,超宽屏时的菜单位置变更,,,,,,,,ضبط موضع القائمة العريضة جدًا,,,,,,,,,,,
2dc2ca4f-064b-4665-bbeb-ac23d8649f69,3066777378,PFS_Message_MR_004,"各種メニューのUIの表示位置を変更します。
（アスペクト比が21:9の時のみ設定できます）","Adjust positioning for certain Menu UI elements.
(Only for 21:9 aspect ratio)","Régler le positionnement de certains éléments du menu de l'IU.
(Uniquement pour le format d'image 21:9)","Regola la posizione di alcuni elementi
dell'interfaccia del menu.
(Solo nel formato 21:9)","Passt die Position bestimmter UI-Elemente an.
(Nur für das 21:9 Bildformat.)","Ajusta la posición de ciertos elementos IU del menú.
(Solamente para el ratio 21:9).","Центрирование определенных элементов меню
(только для соотношения сторон 21:9).","Dostosuj położenie elementów interfejsu menu.
(Dostępne tylko z formatem obrazu 21:9).",,,"Ajusta a posição de certos elementos de IU de Menu.
(Só para proporção 21:9)","각종 메뉴 위치를 변경합니다.
(화면 비율이 21:9일 때만 설정할 수 있습니다)","變更各選單的UI顯示位置。
（必須在畫面比例為21:9時才能設定）","变更各菜单UI的显示位置。
（仅在屏幕比例为21:9时可设置）",,,,,,,,"قم بضبط موضع عناصر واجهة مستخدم معينة للقائمة.
(لنسبة العرض والارتفاع التي تبلغ 21:9 فقط)",,,,,,,,,,,
b2ddbf90-8af4-4627-8c11-fce238fbd88f,3096378788,PFS_Message_MR_005,表示位置タイプ１,Display Position 1,Position d'affichage 1,Mostra posizione 1,Anzeigeposition 1,Posición de pantalla 1,Позиция 1,Położenie 1,,,Posição de Exibição 1,표시 위치 타입 1,位置顯示類型1,显示位置类型1,,,,,,,,عرض الموضع 1,,,,,,,,,,,
5bcbfa09-2259-4778-b592-8d1ad9d687d3,2761605995,PFS_Message_MR_006,表示位置タイプ２,Display Position 2,Position d'affichage 2,Mostra posizione 2,Anzeigeposition 2,Posición de pantalla 2,Позиция 2,Położenie 2,,,Posição de Exibição 2,표시 위치 타입 2,位置顯示類型2,显示位置类型2,,,,,,,,عرض الموضع 2,,,,,,,,,,,
b6120218-3017-4c00-9c4e-7cf1d5997afe,137483889,PFS_Message_MR_007,"アスペクト比16:9の表示領域を基準とした
表示位置に設定します。",Set display position to 16:9 aspect ratio,Régler la position d'affichage pour le format 16:9,Imposta il formato dello schermo a 16:9,Anzeigeposition auf 16:9 Bildformat einstellen,"Establecer la posición de la pantalla con una
relación de aspecto de 16:9.",Задать позицию на соотношение сторон 16:9,Dopasuj położenie do formatu obrazu 16:9,,,Configura posição de exibição para a proporção 16:9,"화면 비율 16:9 영역을 기준으로 한
표시 위치에 설정합니다.",以16:9的畫面比例為基準來顯示UI。,屏幕比例设为16:9，以此基准设置显示位置。,,,,,,,,ضبط موضع العرض على نسبة العرض والارتفاع 16:9,,,,,,,,,,,
e31abcfe-90c6-4798-9b14-57929ad4cfa2,349870778,PFS_Message_MR_008,"アスペクト比21:9の表示領域を基準とした
表示位置に設定します。",Set display position to 21:9 aspect ratio,Régler la position d'affichage pour le format 21:9,Imposta il formato dello schermo a 21:9,Anzeigeposition auf 21:9 Bildformat einstellen,"Establecer la posición de la pantalla con una
relación de aspecto de 21:9.",Задать позицию на соотношение сторон 21:9,Dopasuj położenie do formatu obrazu 21:9,,,Configura posição de exibição para a proporção 21:9,"화면 비율 21:9 영역을 기준으로 한
표시 위치에 설정합니다.",以21:9的畫面比例為基準來顯示UI。,屏幕比例设为21:9，以此基准设置显示位置。,,,,,,,,ضبط موضع العرض على نسبة العرض والارتفاع 21:9,,,,,,,,,,,
36d706cc-816e-4f76-8ab3-e46a6ad553fd,1315949611,PFS_Message_MR_009,スタートメニュー,Start Menu,Menu de jeu,Menu di gioco,Startmenü,Menú de inicio,Начальное меню,Menu startowe,,,Menu Inicial,시작 메뉴,開始選單,开始菜单,,,,,,,,قائمة البدء,,,,,,,,,,,
