guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
6fc52b8d-e71c-4106-9349-93f42671726a,3941050850,PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_,<COLOR FF0000>#Rejected#</COLOR> PFS_
119edb24-a5c5-46c0-a05d-750ea1fdab2e,1542248159,PFS_HN_HTM_Note006_Page1_BodyTxt,"クエスト中に発見した大型モンスターの
アイコンが、画面右上に表示されます。

<STM DEF_PL_C_005>を押す事で、
任意のモンスターをターゲットに
設定できます。
<STM DEF_PL_C_005>を長押しする事で、
ターゲットを解除できます。","Monsters you've discovered during
a quest will be displayed in the top
right of the game screen as icons.

To target a monster press <STM DEF_PL_C_005>.
Hold <STM DEF_PL_C_005> to cancel targeting.","Les monstres découverts durant une quête
seront affichés en haut à droite
de l'écran sous forme d'icônes.

Appuyez sur <STM DEF_PL_C_005> pour cibler un monstre.
Maintenez <STM DEF_PL_C_005> de nouveau pour annuler.","I mostri che scopri durante una missione
sono mostrati in alto a destra dello
schermo sotto forma di icone.

Per selezionare un bersaglio, premi <STM DEF_PL_C_005>.
Tieni premuto nuovamente <STM DEF_PL_C_005>
per annullare la selezione.","Während einer Quest entdeckte Monster
werden als Symbole rechts oben auf dem
Spielbildschirm angezeigt.

Um ein Monster anzuvisieren, drücke <STM DEF_PL_C_005>.
Halte <STM DEF_PL_C_005> erneut, um das Anvisieren
abzubrechen.","Los monstruos que hayas descubierto
durante una sola misión aparecerán
listados en la esquina superior derecha
de la pantalla en forma de iconos.
Pulsa <STM DEF_PL_C_005> para seleccionar el monstruo
objetivo.
Vuelve a pulsar <STM DEF_PL_C_005> para cancelar el
objetivo.","Монстры, обнаруженные вами в ходе
задания, будут показаны в правом верхнем
углу экрана в виде значков.

Нажмите <STM DEF_PL_C_005>, чтобы выбрать, на какого
монстра охотиться. Удерживайте <STM DEF_PL_C_005>
еще раз, чтобы отменить выбор.","Potwory napotkane podczas zadania będą
wyświetlane jako ikony w prawym górnym
rogu ekranu gry.

By nakierować się na potwora,
wciśnij <STM DEF_PL_C_005>.

Przytrzymaj <STM DEF_PL_C_005>, aby anulować
nakierowanie.",,,"Os monstros que você descobriu durante
uma missão serão exibidos no canto
superior da tela de jogo como ícones.

Para mirar em um monstro, aperte <STM DEF_PL_C_005>
Segure <STM DEF_PL_C_005> de novo para cancelar a mira.","퀘스트 중에 발견한 대형 몬스터의
아이콘이 화면 우측 상단에 표시됩니다.

<STM DEF_PL_C_005>를 누르면
임의의 몬스터를 타겟으로
설정할 수 있습니다.
<STM DEF_PL_C_005>를 길게 누르면
타겟을 해제할 수 있습니다.","若在任務中發現大型魔物，
其圖示將會顯示於畫面右上角。

按下<STM DEF_PL_C_005>
即可將該魔物設為目標。
長按<STM DEF_PL_C_005>即可解除設定。","画面右上方会以图标显示
任务中所发现的大型怪物。

按下<STM DEF_PL_C_005>，
可以将任意怪物设定为目标。
长按<STM DEF_PL_C_005>，
即可解除目标设定。",,,,,,,,"ستُعرض الوحوش التي اكتشفتها خلال
المهمة في أعلى يمين شاشة اللعبة 
على شكل أيقونات.

لاستهداف أحد الوحوش، اضغط على <STM DEF_PL_C_005>.
الضغط مع الاستمرار على <STM DEF_PL_C_005> مرة أخرى لإلغاء الاستهداف.",,,,,,,,,,,
7413acf9-91e7-4b5a-af5c-7952113b64d8,1365940893,PFS_HN_HTM_Note126_Page1_BodyTxt,"郵便屋では通信に関する機能を
利用することができます。

インターネット通信での
ロビーの作成、参加がおこなえます。","The Courier allows you to access various
online features.

You can create or join Lobbies over
the Internet.","Le Messager vous permet d'accéder à
différentes fonctionnalités en ligne.

Vous pouvez créer ou rejoindre
un lobby via Internet.","Il corriere consente l'accesso a varie
funzionalità online.

Puoi creare o unirti a una stanza
tramite Internet.","Über den Kurier kannst du verschiedene
Online-Funktionen nutzen.

Du kannst über das Internet Lager
erstellen oder ihnen beitreten.","El mensajero Felyne te permite acceder a
diversas funciones online. Puedes crear
o unirte a salas a través de internet.","Курьер дает доступ к разным сетевым
возможностям. В Интернете можно
создавать свои лобби или присоединяться
к уже существующим.","Kurier umożliwia korzystanie z różnych
funkcji online. 

Możesz tworzyć lobby lub dołączać 
do nich przez Internet.",,,"O Correio lhe permite acessar vários
recursos online.

Você pode criar ou ingressar em Lobbies
pela internet.","우체부에게서 통신에 관한 기능을
이용할 수 있습니다.

인터넷 통신으로
로비 작성/참가를 할 수 있습니다.","在郵差處可以使用通訊相關的功能。

也能透過網路通訊來建立或加入大廳。","在信使处可使用
与连接有关的功能。

可在此创建或加入
互联网连接的大厅。",,,,,,,,"يسمح لك الساعي بالوصول إلى الميزات
المختلفة عبر الإنترنت.

يمكنك إنشاء قاعات أو الانضمام 
إليها عبر الإنترنت.",,,,,,,,,,,
90ada5fd-018e-467a-b697-ab9c344d209e,2883171224,PFS_HN_HTM_Note126_Page2_BodyTxt,"また、郵便屋では各種追加コンテンツを
受け取ることができます。

Online Storeで購入したコンテンツを
利用するには、郵便屋で受け取る必要が
あります。","You can also receive a variety of
downloadable content through the Courier.

You must pick up any content purchased
on the Steam Store from the Courier
before you can use it.","Vous pouvez recevoir divers contenus
additionnels par le biais du Messager.

Vous devez récupérer tout contenu acheté
via le magasin Steam auprès du Messager
avant de pouvoir l'utiliser.","Puoi ricevere diversi contenuti
scaricabili dal corriere.

I contenuti acquistati nel Negozio
di Steam devono essere ritirati dal
corriere prima di essere utilizzati.","Über den Kurier kannst du auch eine
Reihe von Zusatzinhalten empfangen.

Im Steam-Shop gekaufte Inhalte musst du
beim Kurier abholen, bevor du sie
verwenden kannst.","El mensajero Felyne te hará entrega de
diversos contenidos descargables.

Todo lo que adquieras a través de
la tienda de Steam deberás recogerlo del
mensajero Felyne antes de poder usarlo.","Через Курьера можно получать разный
загружаемый контент.

Любой контент, приобретенный в магазине
Steam, нужно забрать у Курьера, прежде
чем его можно будет использовать.","Kurier może ci też przekazać
zawartość do pobrania.

Przed użyciem zawartości kupionej
w Sklepie Steam musisz ją odebrać
od kuriera.",,,"Você também pode receber uma variedade
de conteúdos baixáveis pelo Correio.

Você deve retirar qualquer conteúdo
comprado na Loja Steam no Correio
antes de poder usá-lo.","또한 우체부에서 각종
추가 콘텐츠를 받을 수 있습니다.

Online Store에서 구입한 콘텐츠를
이용하려면 우체부에게서
받아야 합니다.","此外，可以從郵差處領取各種新增內容。

如果想要使用在Online Store購買的內容，
必須先在郵差處領取後才能使用。","此外，在信使处
还可以领取各种新增内容。

若要使用在Online Store中购买的内容，
就必须在信使处进行领取。",,,,,,,,"كما يُمكنك تلقي مجموعة من المحتويات
القابلة للتنزيل عبر الساعي.

يجب عليك التقاط
أي محتوى تم شراؤه على متجر Steam
من الساعي قبل أن تتمكن من استخدامه.",,,,,,,,,,,
ce1e63c2-869b-405a-88e3-5b076c55de6f,2208458619,PFS_HN_HTM_Note231_Page2_BodyTxt,"ロビーは、インターネット通信を使って
遠くのプレイヤーと遊ぶ
インターネットプレイで利用が可能です。

参加要請はインターネットプレイでのみ
利用が可能です。","In the Lobby, you can use an Internet
connection to enjoy Online Multiplayer
with other players.

Note that Join Requests will be
available for Online Play only.","Dans le lobby, vous pouvez utiliser
une connexion Internet pour jouer
en ligne avec d'autres joueurs.

Remarque : les demandes de participation
ne servent que pour le jeu en ligne.","In una stanza, è possibile utilizzare una
connessione a Internet per divertirti
in modalità multigiocatore online
con altri giocatori.

È possibile accettare le richieste
di partecipazione solo giocando online.","Im Lager kannst du eine Internetverbin-
dung nutzen, um mit anderen Spielern im
Online-Mehrspieler-Modus zu spielen.

Bitte beachte, dass Beitrittsanfragen
nur im Online-Spiel verfügbar sind.","En la sala puedes usar la conexión a
internet para disfrutar de partidas
online con otros jugadores.

Las peticiones de acceso solo están
disponibles en el modo online.","В лобби можно использовать подключение
к Интернету, чтобы играть по сети
с другими игроками. Запросы на
вступление доступны только для сетевой
игры.","W lobby można wybrać rozgrywkę
z innymi graczami w trybie
wieloosobowym przez Internet.

Pamiętaj, że prośby o dołączenie 
są dostępne tylko w grze online.",,,"No Lobby, você pode usar uma conexão
de internet para desfrutar do modo
Multijogador Online com outros jogadores.

Observe que os Pedidos de Participação
só estarão disponíveis para Jogos Online.","로비는 인터넷 통신을 이용해서
멀리 있는 플레이어와 즐길 수 있는
온라인 플레이에 이용할 수 있습니다.

참가 요청은 온라인 플레이에서만
이용할 수 있습니다.","在大廳中，可以選擇線上遊玩，
透過網路通訊功能
與身在遠方的玩家一同進行遊戲。

只有線上遊玩可使用邀請參加功能。","在大厅中，可以使用互联网连接，
与远方的玩家一起游玩线上游戏。

参加请求只能在线上游戏中使用。",,,,,,,,"في القاعة، يُمكنك استخدام الاتصال عبر
الإنترنت للاستمتاع باللعب المتعدد عبر الإنترنت
مع اللاعبين الآخرين.

لاحظ أن طلبات الانضمام
ستُتاح للعب عبر الإنترنت فقط.",,,,,,,,,,,
d9562c61-aa7b-4cc0-9848-344be6ea564f,1457263332,PFS_HN_HTM_Note231_Page3_BodyTxt,"インターネットプレイをおこなうには、
PCをネットワーク接続し、Steamに
サインインする必要があります。","To play over the Internet, your PC must
have a network connection and you must
be signed in to Steam.","Pour jouer via Internet, votre ordinateur
doit disposer d'une connexion réseau et
vous devez être connecté sur Steam.","Per giocare su Internet, servono
un'iscrizione a Steam e un computer
connesso a Internet.","Um über das Internet zu spielen, muss
dein PC mit einem Netzwerk verbunden
sein und du musst bei Steam angemeldet
sein.","Para jugar a través de internet, tu
ordenador debe tener conexión a internet
y tienes que estar conectado a Steam.","Чтобы играть через Интернет, нужно
войти в свою учетную запись в Steam
и подключить ПК к Интернету.","Aby móc grać przez
Internet, musisz
zalogować się w Steam
na komputerze z
połączeniem sieciowym.",,,"Para jogar pela internet, seu computador
precisa de uma conexão de rede e você 
deve estar conectado à sua conta Steam.","온라인 플레이를 이용하려면
PC를 네트워크에 연결하고
Steam에 로그인해야 합니다.","若要進行網路通訊遊玩，
電腦需連接至網路，並登入Steam。","要进行线上游戏，
需电脑连接互联网并登录Steam。",,,,,,,,"للعب عَبر الإنترنت، لا بد من اتصال الكمبيوتر الخاص بك
بالإنترنت، كما يتعين عليك
تسجيل الدخول إلى Steam.",,,,,,,,,,,
80df8de8-4eca-4aa2-bf27-801fb7bae2cf,2787662640,PFS_HN_HTM_Note285_Page4_BodyTxt,"<COL RED>郵便屋のセンリ</COL>に話しかけることで
通信方法を選択できます。

「<COL RED>インターネットで遊ぶ</COL>」を選ぶと
世界中の人とインターネット通信で
遊ぶことができます。","Talk to <COL RED>Senri the Mailman</COL> in order to
connect with other players.

Select <COL RED>Play Online</COL> to play with people
from around the world over the Internet.","Allez parler à <COL RED>Senri le postier</COL> afin de
vous connecter avec d'autres joueurs.

Sélectionnez <COL RED>Jeu en ligne</COL> pour jouer
avec d'autres joueurs du monde entier
via Internet.","Parla con <COL RED>Senri il postino</COL> per
connetterti con altri giocatori.

Seleziona <COL RED>Gioca online</COL> per giocare con
persone da tutto il mondo su Internet.","Sprich mit <COL RED>Senri dem Postboten</COL>, um dich
mit anderen Spielern zu verbinden.

Wähle <COL RED>Online-Spiel</COL>, um über das Internet
mit Leuten aus aller Welt zu spielen.","Habla con <COL RED>Senri el cartero</COL> para
conectarte con otros jugadores.

Selecciona <COL RED>Jugar en línea</COL> para jugar
con gente de todo el mundo a través
de internet.","Поговорите с <COL RED>Почтальоном Сэнри</COL>, чтобы
подключиться к другим игрокам.

Выберите пункт <COL RED>Играть по сети</COL>, чтобы
играть с другими людьми по Интернету.","Porozmawiaj z <COL RED>listonoszem Senrim</COL>,
żeby połączyć się z innymi graczami.

Wybierz <COL RED>Graj online</COL>, żeby grać przez
Internet z łowcami z całego świata.",,,"Fale com <COL RED>Senri, o carteiro</COL> para
se conectar com outros jogadores.

Selecione <COL RED>Jogar Online</COL> para jogar com
pessoas de todo o mundo pela internet.","<COL RED>우체부 센리</COL>에게 말을 걸어
통신 방법을 선택할 수 있습니다.

「<COL RED>온라인 플레이</COL>」를 선택하면
전 세계의 이용자들과 인터넷 통신을 이용해
플레이할 수 있습니다.","與<COL RED>郵差千里</COL>對話，即可選擇通訊方式。

選擇「<COL RED>線上遊玩</COL>」，
可以透過網路通訊和全世界的人一起遊玩。","通过与<COL RED>信使行千里</COL>对话，
可以选择连接方式。

选择“<COL RED>线上游戏</COL>”，
就可以使用互联网连接，
与世界各地的人一起游玩。",,,,,,,,"تحدث إلى <COL RED>ساعي البريد سينري</COL> من أجل
التواصل مع اللاعبين الآخرين.

حدد <COL RED>اللعب عَبر الإنترنت</COL> للعب مع أشخاص
من جميع أنحاء العالم عبر الإنترنت.",,,,,,,,,,,
296f61f6-76cd-4db8-b933-5888c1f777f4,2639567349,PFS_HN_HTM_Note233_Page1_BodyTxt,"メンバーリストでは、
共にマルチプレイをしているプレイヤーの
ハンター名やＨＲ、連れているオトモの種類
武器の種類、Steamアカウント、参加情報などを
確認できます。

また、自分が参加しているロビーの
ロビー識別番号も確認できます。","The Player List shows a variety of
information about players in your party,
including their hunter name, HR, buddy
type, weapon type, Steam Account, and
join info.

It also shows the Lobby ID for the Lobby
you are playing in.","La liste de joueurs vous donne accès à
différentes informations concernant les
membres de votre groupe comme leur
nom, leur RC, leur type de Pilpoil, leur
type d'arme, leur compte Steam et
leurs informations de participation.

Vous pouvez aussi y voir l'ID
du lobby actuel.","L'elenco giocatori offre diverse
informazioni sui giocatori del tuo
gruppo, tra cui nome del cacciatore, GC,
tipo di compagno, tipo di arma, account
Steam e informazioni sull'iscrizione.

Potrai visualizzare anche
l'ID della stanza in cui giochi.","In der Spielerliste werden Informationen
über Spieler und Spielerinnen in deiner
Gruppe angezeigt, darunter Name des
Charakters, JR, Buddy-Typ, Waffentyp,
Steam-Account und Beitrittsinfo.

Außerdem zeigt sie dir die Lager-ID des
Lagers an, in dem du spielst.","En la lista de jugadores podrás ver
información acerca de los cazadores que
están en tu grupo, incluyendo nombres,
RC, cuenta de Steam, tipo de arma y de
camarada.

También aparecerá la ID de la sala en la
que estás jugando.","В списке игроков показана разная
информация об игроках в вашей группе:
их имена, РО, типы спутников, типы
оружия, учетная запись Steam
и информация о подключении.

Также там показан ID лобби, в котором
вы играете.","Lista członków zawiera różne informacje
dotyczące graczy w twojej grupie,
m.in. ich imię łowcy, PŁ, typ kompana,
typ broni, konto Steam
i informacje o dołączeniu.

Pokazuje również ID lobby,
w którym gracie.",,,"A Lista de Jogadores mostra diversas
informações sobre os jogadores do seu
grupo, incluindo nome do caçador, RC,
tipo de Amigo, tipo de arma, Conta
do Steam e informações de participação.

Ela também mostra a ID do Lobby em que
você está jogando.","멤버 목록에서는
함께 멀티 플레이 중인 플레이어의
헌터 이름과 HR, 무기의 종류,
동행한 동반자의 종류, Steam 계정, 참가 정보
등을 확인할 수 있습니다.

또한 자신이 참가한 로비의
로비 식별번호도 확인할 수 있습니다.","在成員清單中，可確認正與自己
一同進行多人遊玩的玩家之
獵人名稱、HR、攜帶的隨從種類、
武器種類、Steam帳戶、參加資訊等。

此外，還可以確認自己所參加的
大廳之識別號碼。","在成员列表中，
可以确认一起进行多人游戏的玩家的
猎人名称、猎人等级、随从种类、
武器种类、Steam账户、参加信息等。

此外，还可确认自己所参加大厅的
大厅识别号码。",,,,,,,,"تعرض لائحة اللاعبين مجموعة متنوعة من
المعلومات عن اللاعبين في فريقك،
بما في ذلك اسم الصيّاد ورتبته
ونوع الصديق ونوع السلاح
وحساب Steam ومعلومات الانضمام.


كما تعرض معرّف القاعة التي تلعب فيها.",,,,,,,,,,,
72ea36ce-980a-4554-8d38-7723d96698b4,2989091995,PFS_HN_HTM_Note233_Page4_BodyTxt,"インターネットプレイ中に
「プロフィールを見る」を選ぶと
Steamのオーバーレイが起動します。

選択したプレイヤーの
プロフィールを開き
フレンド申請を送ることや、
ブロックリストに追加することができます。","When playing online, select View Profile
to bring up the Steam Overlay and open
the selected player's profile. There, you
can send them a friend request or add
them to your blocked-user list.","Quand vous jouez en ligne, sélectionnez
Voir le profil pour faire apparaître
le menu Steam et accéder au profil
du joueur sélectionné. À partir de là,
vous pouvez lui envoyer une demande
d'ami ou l'ajouter à la liste
des utilisateurs bloqués.","Quando giochi online, seleziona Mostra
profilo per aprire l'Overlay di Steam
e vedere il profilo del giocatore
selezionato. Da lì potrai inviare
una richiesta di amicizia o aggiungerlo
alla lista degli utenti bloccati.","Wenn du online spielst, kannst du über
""Profil anzeigen"" das Steam-Overlay
anzeigen lassen und das Profil eines
Spielers öffnen. Dort kannst du ihm eine
Freundesanfrage senden oder ihn auf
deine Liste gesperrter Nutzer setzen.","Al jugar online, selecciona Ver perfil
para abrir la interfaz de Steam y el
perfil del jugador seleccionado. Desde
allí podrás enviarle una solicitud de 
amistad o añadirlo a tu lista de 
usuarios bloqueados.","Играя в сети, выберите пункт ""Показать
профиль"", чтобы открыть оверлей Steam
и просмотреть профиль пользователя.
В профиле можно отправить ему
предложение дружбы или добавить его
в список заблокированных.","Podczas gry online wybierz „Zobacz
profil”, żeby otworzyć interfejs Steam
i wyświetlić profil danego gracza.
Z poziomu tej opcji możesz wysłać
prośbę o dodanie do listy znajomych
lub dodać gracza do zablokowanych.",,,"Ao jogar online, selecione Ver Perfil
para abrir o Painel Steam e acessar
o perfil do jogador selecionado. Nele,
você pode enviar uma solicitação de
amizade ou adicioná-lo à sua lista
de usuários bloqueados.","온라인 플레이 중에
「프로필 보기」를 선택하면
Steam 오버레이가 작동합니다.

선택한 플레이어의
프로필을 열어
친구 신청을 보내거나
차단 목록에 추가할 수 있습니다.","在線上遊玩中選擇「查看簡介」時，
便能啟動Steam內嵌介面，
開啟所選玩家的個人檔案，
此時可向對方送出好友申請
或將其加入封鎖名單。","线上游戏时
选择“查看个人资料”，
将会启动Steam界面。

可打开所选玩家的个人资料，
向其发送好友申请，
或将其添加至屏蔽列表。",,,,,,,,"عند اللعب عبر الإنترنت،
حدد عرض الملف الشخصي للاعب لإظهار
Steam Overlay وفتح الملف الشخصي للاعب.
هناك، يمكنك إرسال طلب صداقة إليه
أو إضافته إلى قائمة المستخدمين المحظورين.",,,,,,,,,,,
f8484fce-6c86-4f55-8a18-45747ee34958,527918970,PFS_HN_HTM_Note235_Page2_BodyTxt,"集会所クエストを受注するときに
「<COL RED>参加要請を予約して受注</COL>」
を選択しておくことで、
同じロビーにいないハンターが
途中でクエストに参加することができます。

<COL RED>※里クエスト中は
　使用することができません。</COL>","When accepting a Hub quest, select
<COL RED>Yes (Send Join Request)</COL> to allow
hunters in other Lobbies to join your
quest while in progress.

<COL RED>This is disabled for Village quests.</COL>","Quand vous acceptez une quête du
Grand-Camp, sélectionnez <COL RED>Oui
(demande particip.)</COL> pour permettre
à des chasseurs d'autres lobbys de
rejoindre votre quête en cours.

<COL RED>Cette fonction est désactivée pour les
quêtes du village.</COL>","Quando accetti una missione base di
caccia, seleziona <COL RED>Sì (invia richiesta)</COL>
per consentire ai cacciatori di altre
stanze di partecipare.

<COL RED>Questa funzione non è disponibile
per le missioni villaggio.</COL>","Wenn du eine Stätten-Quest annimmst,
wähle <COL RED>Ja (Beitrittsanfrage)</COL>,
damit Jäger und Jägerinnen in anderen
Lagern deiner laufenden Quest beitreten
können.

<COL RED>Diese Funktion ist für Dorf-Quests
deaktiviert.</COL>","Al aceptar una misión de la sala de
reunión, selecciona <COL RED>Sí (petición de
acceso)</COL> para permitir que cazadores de
otras salas se unan a tu misión activa.

<COL RED>Esta opción no estará disponible en las
misiones de la aldea.</COL>","Принимая задание Зала, выберите пункт
<COL RED>Да (Отправить запрос)</COL>, чтобы разрешить
охотникам из других лобби присоединиться
к вашему активному заданию.

<COL RED>Для заданий деревни такая возможность
недоступна.</COL>","Przyjmując zadanie Centrum, wybierz
opcję <COL RED>Tak (poproś o dołączenie)</COL>,
żeby łowcy z innych lobby mogli dołączyć
w trakcie twojej misji.

<COL RED>Opcja jest niedostępna dla zadań wioski.</COL>",,,"Ao aceitar missões da Área de Encontro,
selecione <COL RED>Sim (Enviar Pedido de
Participação)</COL> para permitir que caçadores
de outros Lobbies participem da sua missão
enquanto ela estiver em andamento.

<COL RED>Esta função é desativada em Missões da
Aldeia.</COL>","집회소 퀘스트를 수주했을 때
「<COL RED>참가 요청 예약 후 수주</COL>」를
선택하면 같은 로비에 없는 헌터가
퀘스트 도중에 참가할 수 있습니다.

<COL RED>※마을 퀘스트 중에는
　사용할 수 없습니다.</COL>","承接集會所任務時，
選擇「<COL RED>預先發出邀請並承接任務</COL>」，
就能讓其他大廳的獵人中途參加任務。

<COL RED>※進行村莊任務時
　無法使用此項功能。</COL>","承接集会所任务时，
选择“<COL RED>预约参加请求并承接</COL>”，
在其他大厅的猎人
就能中途参加该任务。

<COL RED>※村庄任务中无法使用。</COL>",,,,,,,,"عند قبول مهمة المركز، حدد
<COL RED>نعم (أرسل طلب انضمام)</COL> للسماح للصيّادين
في القاعات الأخرى بالانضمام
إلى مهمتك أثناء تنفيذها.

<COL RED>يتم تعطيل هذا لمهام القرية.</COL>",,,,,,,,,,,
