guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c08e6ea0-4056-405d-857e-08a3c42f1f4b,1984826173,Pl_HeadMes_Gp_80_MR,特産品：キノコの群生地,Unique Item: Mushroom Colony,Objet unique : Champignons,Ogg. speciale: colonia di funghi,Unikat: Pilzkolonie,Objeto único: colonia de setas,Уник. предмет: Колония грибов,Nietyp. przedm.: kolonia grzybów,,,Item único: Colônia de Cogumelos,특산품: 버섯 군생지,特產品：香菇群生地,特产：蘑菇的群生地,,,,,,,,عنصر فريد: مستوطنة الفطر,,,,,,,,,,,
ce868705-6e5f-4777-9176-1f582f009cec,1123858897,Pl_HeadMes_Gp_81_MR,特産品：ゼンマイの群生地,Unique Item: Fern Patch,Objet unique : Pousses de fougères,Ogg. speciale: macchia di felci,Unikat: Farnfeld,Objeto único: parterre de helechos,Уник. предмет: Папоротники,Nietyp. przedmiot: kępa paproci,,,Item único: Cant. de Samambaia,특산품: 고비 군생지,特產品：紫萁群生地,特产：蕨菜的群生地,,,,,,,,عنصر فريد: حزمة السرخس,,,,,,,,,,,
3a7caf3c-37b7-4262-9381-ffdd8fabbcb2,3103297712,Pl_HeadMes_Gp_82_MR,特産品：光る巻貝,Unique Item: Sparkleshell Snail,Objet unique : Escargot scintillant,Ogg. speciale: lumaca scintillante,Unikat: Funkelmuschel-Schnecke,Objeto único: caracola chispeante,Уник. предм.: Искристая улитка,Nietyp. przed.: śl. błyskorupowy,,,Item único: Lesma Cascobrilhante,특산품: 빛나는 고둥,特產品：發光的螺貝,特产：发光海螺,,,,,,,,عنصر فريد: محارة لامعة,,,,,,,,,,,
a41283f6-97e2-4398-9517-2ce8f321eabb,2658341837,Pl_HeadMes_Gp_83_MR,特産品：大きな晶塊,Unique Item: Crystal Chunk,Objet unique : Morceau de cristal,Ogg. speciale: pezzo di cristallo,Unikat: Kristallbrocken,Objeto único: trozo de cristal,Уник. предмет: Кусок кристалла,Nietyp. przed.: kawał kryształu,,,Item único: Pedra de Cristal,특산품: 커다란 결정덩어리,特產品：巨大的晶塊,特产：巨大晶块,,,,,,,,عنصر فريد: قطعة كريستال,,,,,,,,,,,
f13f3463-941a-4670-96ff-9602a225452a,2008702197,Pl_HeadMes_Gp_84_MR,特産品：厳かな収納箱,Unique Item: Stately Storage Box,Objet unique : Coffre imposant,Ogg. speciale: scatola maestosa,Unikat: Stattliche Lagerkiste,Objeto único: caja imponente,Уник. предмет: Роскошный сундук,Nietyp. przed.: okazałe pudło,,,Item único: Caixa Elegante,특산품: 고상한 보관함,特產品：莊嚴的收納箱,特产：庄严的收纳箱,,,,,,,,عنصر فريد: صندوق تخزين مهيب,,,,,,,,,,,
001953bc-c4f8-4b98-987f-edcc1a174c06,320993011,Pl_HeadMes_Gp_85_MR,特産品：切り株の樹液溜まり,Unique Item: Stump Sap,Objet unique : Sève de souche,Ogg. speciale: linfa di ceppo,Unikat: Holzharz,Objeto único: savia leñosa,Уник. предмет: Живица пня,Nietypowy przedmiot: żywica pnia,,,Item único: Seiva de Toco,특산품: 수액이 고인 그루터기,特產品：樹樁上的樹液,特产：树桩上的树液,,,,,,,,عنصر فريد: عصارة جذع,,,,,,,,,,,
235ad389-de30-4184-b1ba-da1270d9231d,3111239476,Pl_HeadMes_Gp_86_MR,特産品：キノコの群生地,Unique Item: Mushroom Colony,Objet unique : Champignons,Ogg. speciale: colonia di funghi,Unikat: Pilzkolonie,Objeto único: colonia de setas,Уник. предмет: Колония грибов,Nietyp. przedm.: kolonia grzybów,,,Item único: Colônia de Cogumelos,특산품: 버섯 군생지,特產品：香菇群生地,特产：蘑菇的群生地,,,,,,,,عنصر فريد: مستوطنة الفطر,,,,,,,,,,,
a489d4ee-981a-4ac8-b966-0f06b6b1a873,2172628291,Pl_HeadMes_Gp_87_MR,特産品：ゼンマイの群生地,Unique Item: Fern Patch,Objet unique : Pousses de fougères,Ogg. speciale: macchia di felci,Unikat: Farnfeld,Objeto único: terreno de helechos,Уник. предмет: Папоротники,Nietyp. przedmiot: kępa paproci,,,Item único: Cant. de Samambaia,특산품: 고비 군생지,特產品：紫萁群生地,特产：蕨菜的群生地,,,,,,,,عنصر فريد: حزمة السرخس,,,,,,,,,,,
da12d93d-d756-4a3b-9459-463998ab538e,277186643,Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR,<COLOR FF0000>#Rejected#</COLOR> Pl_HeadMes_Gp_88_MR
df6f3b07-d447-4bb1-a18b-9e242105d501,362648265,Pl_HeadMes_Gp_89_MR,特産品：大きな晶塊,Unique Item: Crystal Chunk,Objet unique : Morceau de cristal,Ogg. speciale: pezzo di cristallo,Unikat: Kristallbrocken,Objeto único: trozo de cristal,Уник. предмет: Кусок кристалла,Nietyp. przed.: kawał kryształu,,,Item único: Pedra de Cristal,특산품: 커다란 결정덩어리,特產品：巨大的晶塊,特产：巨大晶块,,,,,,,,عنصر فريد: قطعة كريستال,,,,,,,,,,,
