guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
7bf2fa34-27b3-4027-86a7-b519f0b083fd,2400247885,PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSkill_None_Explain
be42a9c4-142e-4c26-9ef6-a0b529c27fa5,689529766,PlayerSkill_000_Explain,プレイヤーの攻撃力を上げる。,Increases attack power.,Augmente l'attaque.,Aumenta il potere d'attacco.,Erhöht die Angriffskraft.,Aumenta la fuerza de ataque.,Повышает силу атаки.,Zwiększa siłę ataku.,,,Aumenta o poder de ataque.,플레이어의 공격력을 올린다.,提高玩家的攻擊力。,提高玩家的攻击力。,,,,,,,,تزيد قوة الهجوم.,,,,,,,,,,,
f6f22e3f-407d-48d4-a9e6-a655cb314efe,2922686249,PlayerSkill_001_Explain,"戦闘中の大型モンスターが
怒ると、攻撃力と会心率が
上昇する。","Increases attack power and
affinity when large monsters
become enraged.","Augmente l'attaque et l'affinité
lorsque les grands monstres
sont enragés.","Incrementa attacco e affinità quando
i mostri grandi sono infuriati.","Erhöht Angriffskraft und Affinität,
wenn große Monster wütend werden.","Aumenta la fuerza de ataque y la
afinidad cuando los monstruos
grandes se enfurecen.","Усиливает атаку и мастерство,
когда крупный монстр разъярен.","Zwiększa siłę ataku i zgodność,
kiedy duże potwory wpadają
w szał.",,,"Aumenta o poder de ataque e a
afinidade quando monstros
grandes se enfurecem.","전투 중에 대형 몬스터가
분노하면 공격력과 회심률이
상승한다.","若戰鬥中的大型魔物發怒，
即會提高攻擊力與會心率。","若战斗中的
大型怪物发怒，
即会提高攻击力与会心率。",,,,,,,,"تزيد قوة الهجوم ونسبة
إلحاق الضرر عند إثارة غضب
الوحوش الضخمة.",,,,,,,,,,,
83c73a78-dce3-48cf-ab00-b80750227151,3506934475,PlayerSkill_002_Explain,"体力が最大の時に攻撃力が
上がる。","Increases attack when
your health is full.","Augmente l'attaque quand la vie
est à son maximum.","Incrementa l'attacco quando
la salute è al massimo.","Verbessert den Angriff, wenn dein
Gesundheitsbalken gefüllt ist.","Aumenta el ataque cuando la salud
está completa.","Усиливает атаку,
если у вас полная шкала здоровья.","Wzmacnia atak,
kiedy masz pełne zdrowie.",,,"Aumenta o ataque quando sua barra
de vida estiver cheia.","체력이 최대일 때 공격력이
오른다.",體力全滿時，攻擊力提升。,"体力全满时，
攻击力提高。",,,,,,,,"يزيد الهجوم عند
اكتمال مقياس صحتك.",,,,,,,,,,,
ab98ae14-7348-44f7-8b04-b3bc0d10e5c2,3471741626,PlayerSkill_003_Explain,"体力ゲージに赤い部分がある間
攻撃力が上がる。","Increases attack when you have
recoverable damage (the red
portion of your health gauge).","Augmente l'attaque lorsque vous
avez subi des dégâts temporaires
(zone rouge de la jauge de vie).","Incrementa l'attacco quando subisci
danni temporanei (zona rossa della
barra salute).","Erhöht den Angriff, wenn du erhol-
baren Schaden erlitten hast (der rote
Abschnitt des Gesundheitsbalkens).","Aumenta el ataque cuando se activa
el daño temporal (la parte roja de
la barra de salud).","Усиливает атаку, если вам нанесен
исцеляемый урон (красная часть
шкалы здоровья).","Wzmacnia atak, gdy stracisz
odzyskiwalne zdrowie
(czerwona część paska zdrowia).",,,"Aumenta o ataque ao receber dano
recuperável (a parte vermelha
de sua barra de vida).","체력 게이지에 빨간 부분이 있는 동안
공격력이 오른다.","體力計量表殘留有紅色部分的期間，
攻擊力提升。","体力槽残留有红色部分的期间，
攻击力上升。",,,,,,,,"يزيد الهجوم عند إصابتك بضرر
قابل للتعافي (الجزء الأحمر
من مقياس الصحة الخاص بك).",,,,,,,,,,,
e50aef5d-5e79-46a7-b558-324918c88414,1808615440,PlayerSkill_004_Explain,状態異常中は攻撃力が上がる。,"Increases attack power when you are
suffering from an abnormal status.","Augmente l'attaque lorsque vous
êtes victime d'une affliction.","Aumenta il potere d'attacco quando
subisci gli effetti di
status alterati.","Erhöht die Angriffskraft, wenn du
einen anormalen Status erleidest.","Aumenta la fuerza de ataque cuando
sufres un estado alterado.","Усиливает атаку, когда на вас
действует аномальный статус.","Zwiększa siłę ataku, gdy
jesteś dotknięty szkodliwymi
efektami.",,,"Aumenta o poder de ataque quando
você estiver sofrendo de um status
anormal.",상태 이상 중에 공격력이 오른다.,身處狀態異常時會提升攻擊力。,处于状态异常时，攻击力上升。,,,,,,,,"تزيد قوة الهجوم عندما
تعاني من حالة خارقة.",,,,,,,,,,,
b6c4ba86-bc93-456b-bace-b17c4a3906e0,2837336033,PlayerSkill_005_Explain,会心率がＵＰする。,Increases affinity.,Augmente l'affinité.,Incrementa l'affinità.,Erhöht die Affinität.,Aumenta la afinidad.,Увеличивает мастерство.,Zwiększa zgodność.,,,Aumenta a afinidade.,회심률이 상승한다.,會心率UP。,会心率提升。,,,,,,,,تزيد نسبة إلحاق الضرر.,,,,,,,,,,,
43ce7fdf-c6b3-4128-abde-b415932da69e,3617615813,PlayerSkill_006_Explain,会心攻撃のダメージが増加する。,"Increases the damage of
critical hits.","Augmente les dégâts des attaques
critiques.","Incrementa i danni dei
colpi critici.","Erhöht den Schaden durch
kritische Treffer.",Aumenta el daño de golpes críticos.,"Увеличивает урон от
критических атак.","Zwiększa obrażenia
trafień krytycznych.",,,Aumenta o dano de acertos críticos.,"회심 공격 시, 대미지가 증가한다.",增加會心攻擊的傷害。,增加会心攻击的伤害。,,,,,,,,"يزيد ضرر
الضربات الحاسمة.",,,,,,,,,,,
dbedf0bd-a265-4a4a-80bc-1f290e71189e,1534143489,PlayerSkill_007_Explain,"モンスターを攻撃した際、
その部位に攻撃がかなり有効で
あれば、会心率が上がる。","Increases the affinity of attacks
that exploit a monster weak spot.","Augmente l'affinité lorsque
vous attaquez les parties
faibles d'un monstre.","Incrementa l'affinità degli attacchi
che sfruttano il punto debole
di un mostro.","Erhöht die Affinität von Angriffen,
die den Schwachpunkt eines
Monsters ausnutzen.","Aumenta la afinidad de los ataques
que aprovechan el punto débil de
un monstruo.","Увеличивает мастерство атак,
использующих уязвимости монстров.","Zwiększa zgodność ataków,
które wykorzystują słaby
punkt potwora.",,,"Aumenta a afinidade de ataques
que exploram o ponto fraco
do monstro.","몬스터를 공격할 때
명중한 부위가 꽤 효과적이면
회심률이 오른다.","攻擊魔物時，
若對該部分的攻擊極有效果，
會心率就會提升。","攻击怪物时，
若攻击对该部位颇有效的话，
会心率则会上升。",,,,,,,,"تزيد نسبة إلحاق الضرر للهجمات التي
تستغل نقاط ضعف الوحش.",,,,,,,,,,,
04cdb087-1ae9-4f1f-8c3f-2ed9e416315d,162999044,PlayerSkill_008_Explain,"特定の条件を満たすと、一定時間
会心率が上昇し、スタミナを
消費する行動の消費量が軽減される。","Temporarily increases affinity and
reduces stamina depletion when
certain conditions are met.","Augmente temporairement l'affinité
et réduit la perte d'endurance
dans certaines conditions.","Incrementa temporaneamente l'affinità
e riduce il consumo di resistenza al
verificarsi di determinate condizioni.","Erhöht vorübergehend die Affinität
und verringert den Ausdauerverbrauch
unter bestimmten Bedingungen.","Aumenta temporalmente la afinidad
y reduce el gasto de resistencia al
cumplir con ciertas condiciones.","Временно увеличивает мастерство и
уменьшает расход выносливости при
выполнении определенных условий.","Tymczasowo zwiększa zgodność
i zmniejsza spadek wytrzymałości
po spełnieniu określonych warunków.",,,"Aumenta temporariamente a afinidade
e reduz o consumo de vigor
sob certas condições.","특정 조건을 만족시키면 일정 시간 
회심률이 상승하고, 스태미나를
소비하는 행동의 소비량이 감소한다.","滿足特定條件後，
一定時間內提高會心率，
減輕消耗耐力行動的消耗量。","满足特定条件后，
一定时间内提高会心率，
减轻消耗耐力行动的消耗量。",,,,,,,,"تزيد نسبة إلحاق الضرر
وتقليل استنزاف قوة التحمل
مؤقتًا عند استيفاء بعض الشروط.",,,,,,,,,,,
