guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
bc8ba0b9-fd09-4c0a-9f07-de812c9ffa66,2490024808,PlayerSkill_200_Explain,"モンスターの部位破壊済み箇所へ
攻撃がヒットした時、ダメージに応じて
体力が回復する。","A proportion of damage dealt is
converted to health when striking
a broken monster part.","Une portion des dégâts infligés
est convertie en vie si vous frappez
une partie de monstre détruite.","Una proporzione del danno inflitto è
convertita in salute quando colpisci
la parte di un mostro già distrutta.","Ein Teil des ausgeteilten Schadens
wird in Gesundheit umgewandelt,
wenn du einen bereits gebrochenen
Teil eines Monsters triffst.","Una fracción del daño causado se
transforma en salud al golpear una
parte de un monstruo ya rota.","Часть нанесенного урона обращается
в здоровье при нанесении удара по
сломанной части монстра.","Uderzając w zniszczony wcześniej
fragment potwora, część zadanego
obrażenia zamienisz w zdrowie.",,,"Uma porção do dano causado é
convertida em vida ao atacar a parte
de um monstro que já foi destruída.","몬스터의 부위가 파괴된 곳에
공격이 히트했을 때 대미지에 따라
체력이 회복된다.","攻擊命中魔物被破壞的部位時，
會因應傷害回復體力。","击中大型怪物被破坏过的部位时，
根据伤害回复体力。",,,,,,,,"يتم تحويل نسبة من الأضرار الناجمة
إلى الصحة عند ضرب جزء من
الوحش الذي تم تدميره بالفعل.",,,,,,,,,,,
151bb56c-a5c5-4f16-8aa9-219a21ed8e38,2986269321,PlayerSkill_201_Explain,"キュリアに体力を奪われ続けるが、
攻撃性能が上昇する。キュリアの増加に
応じて攻撃性能がさらに上昇するほか、
疾替えをおこなうと体力が回復する。","Qurio will drain health, but also bolster
your attacks. Multiple Qurio further
bolster attacks and let you recover health
when performing a Switch Skill Swap.","Les Qurio absorbent votre vie, mais
renforcent vos attaques. Vous restaurez
de la vie si vous faites un Transfert
Talent de substitution.","I Qurio prosciugheranno la tua salute,
ma aumenteranno anche la tua potenza
d'attacco. Esegui un'inversione delle abilità
scambio per recuperare la salute.","Qurio leeren deine Gesundheit, aber
verbessern auch deine Angriffskraft.
Je mehr Qurio, desto stärker wirst du.
Gesundheit per Wechselkunst-Tausch.","Los Qurio reducen tu salud, pero también
bonifican tus ataques. Cuantos más Qurio,
mayor es el bonus. Para recuperar salud,
intercambia habilidades.","Курио забирает здоровье, но
усиливает ваши атаки. Несколько
Курио доп. усил. атаки и восст.
здоровье при смене зам. навыка.","Qurio zużywa zdrowie, ale też wzmacnia
twoje ataki. Więcej Qurio to większe
wzmocnienie, a także regeneracja podczas
zmiany przełączanych umiejętności.",,,"Os Qurio drenam vida, mas também reforçam
seus ataques. Múltiplos Qurio reforçam
ainda mais os ataques e recuperam
vida ao Mudar Hab. de Troca.","큐리아에게 체력을 계속 빼앗기지만,
공격 성능이 올라간다. 큐리아가 증가하면
공격 성능도 더욱 올라가며,
신속 교체를 하면 체력이 회복된다.","體力會被噬生蟲逐漸奪去，
但各種攻擊數值會上升。依附的
噬生蟲變多時，數值會進一步上升，
高速更換時更會回復體力。","啮生虫一直在夺取体力，但攻击性能会
上升。啮生虫越多，攻击性能则会进一
步上升，此外，迅速切换可回复体力。",,,,,,,,"سيستنزف الكوريو <LSNR {صحتك} {صحتكِ}>، ولكنه سيعزز
<LSNR {هجماتك} {هجماتكِ}>. تقوِّي كائنات الكوريو المتعددة
<LSNR {هجماتك} {هجماتكِ}> أكثر، وتسمح <LSNR {لك} {لكِ}> باستعادة <LSNR {صحتك} {صحتكِ}>
عند القيام بمبادلة مهارة التبديل.",,,,,,,,,,,
daa707d3-d789-48b7-b6bc-ce9bacb62f30,1446375586,PlayerSkill_202_Explain,"疾替えの書【朱】使用中、
大型モンスターとの戦闘で怒りを蓄積。
怒りが最大時に疾替えの書【蒼】へ
切替えると一定時間スタミナ消費無効。","Using the Red Scroll builds your fury
while fighting monsters. Swapping to
the Blue Scroll when your fury is full
gives you infinite stamina temporarily.","Utilisez le Parchemin rouge pour
augmenter votre colère. Passez au
Parchemin bleu avec la colère au max
pour une endurance infinie temporaire.","Rotolo rosso: l'ira aumenta quando
combatti i mostri. Passa al rotolo
blu con l'ira al completo per avere
temporaneamente resistenza infinita.","Bei Verwendung der Roten Rolle, nimmt
die Wut beim Kampf gegen Monster zu.
Wechsel zur Blauen Rolle bei voller Wut
für temporäre unendliche Ausdauer.","Con el kakejiku rojo, aumenta la furia
al combatir monstruos. Cambia al azul
con la furia al máximo para conseguir
temporalmente resistencia infinita.","Использование красного Свитка
повышает гнев в бою с монстрами.
Смена на синий Свиток в полном
гневе временно дает бескон. выносл.","Użycie czerwonego zwoju zwiększa
gniew podczas walki z potworami.
Zmiana na niebieski zwój przy pełnym
gniewie daje tymczas. nieogr. wytrzymał.",,,"Ao usar Pergaminho Vermelho, raiva
aumenta ao lutar com monstros. Trocar
para Pergaminho Azul com raiva
completa para vigor infinito temp.","신속 교체의 서【주】 사용 중,
대형 몬스터와의 전투로 분노를 축적한다.
분노가 최대일 때 신속 교체의 서【창】으로
교체하면 일정 시간
스태미나가 줄어들지 않는다.","使用速換之書【朱紅】時
與大型魔物戰鬥將累積怒氣。
怒氣全滿時切換至速換之書【蒼藍】後
在一段時間內不會消耗耐力。","使用迅速切换之书【朱】时，
与大型怪物战斗可累积怒气。怒气达
最大值时切换为迅速切换之书【苍】，
即可在一定时间内不消耗耐力。",,,,,,,,"عند استخدام اللفافة الحمراء،
يزداد الغضب أثناء محاربة الوحوش.
يمنح التبديل إلى اللفافة الزرقاء مع الغضب الكامل
قوة تحمل مطلقة مؤقتة.",,,,,,,,,,,
f2318336-4ef6-4ced-8e63-3752bd42aaae,3063419534,PlayerSkill_203_Explain,"防御性能が下がる代わりに、
攻撃性能が上がる。
変化する各性能は疾替えの書によって
異なる。","Decreases defense but increases
attack. Exact changes to stats
depends on Switch Skill Swap
Scroll that is being used.","Diminue la défense mais augmente
l'attaque. Les modifs aux stats
dépendent du Parch. Transfert
Talent de substitution utilisé.","Diminuisce la difesa ma aumenta
l'attacco. Le modifiche esatte alle
statistiche dipendono dal rotolo
inversione delle abilità scambio usato.","Verringert Verteidigung, erhöht aber
den Angriff. Die genauen Änderungen an
den Eigensch. sind abhängig von der
verwendeten Wechselkunst-Tauschrolle.","Reduce la defensa pero aumenta el
ataque. El cambio de estadísticas
depende del kakejiku de intercambio
de habilidades utilizado.","Снижает защиту, но повышает атаку.
Изменения характеристик зависят от
использованного Свитка смены
Заместительного навыка.","Zmniejsza obronę, ale zwiększa atak.
Dokładne zmiany atrybutów zależą od
używanego zwoju zmiany
przełączanych umiejętności.",,,"Diminui defesa, mas aumenta ataque.
Mudanças exatas para atributos
depende do Pergaminho de Alteração
de Habilidade de Troca usado.","방어 성능이 저하되는 대신
공격 성능이 강화된다.
변화하는 성능은 신속 교체의
서에 따라 다르다.","降低防禦力或耐性值，
以換取較高的攻擊性能。
變化的能力依速換之書的種類而異。","防御类性能下降，但攻击类性能上升。
不同的迅速切换之书，发生变化的性能
也会不同。",,,,,,,,"يقلل من الدفاع لكنه يزيد من الهجوم.
تعتمد التغييرات الدقيقة
بالإحصائيات على لفافة
مبادلة مهارة التبديل المستخدمة.",,,,,,,,,,,
b647ea16-1575-4f20-ae2f-dae2399c86da,2217368817,PlayerSkill_204_Explain,"状態異常や属性やられを解除すると
一定時間、攻撃性能が上がる。","Temporarily enhances attacks
after recovering from blights
or abnormal status.","Renforce temporairement les attaques
après la fin d'un fléau ou
d'un statut anormal.","Potenzia brevemente gli attacchi
quando guarisci da malus o da
alterazioni di stato.","Verbessert nach der Erholung
von Pest und anomalen Status-
Effekten vorübergehend Angriffe.","Potencia los ataques de forma temporal
inmediatamente después de recuperarte
de plagas y estados alterados.","Временно усиливает атаки после
восстановления от действия порч
и аномальных статусов.","Czasowo wzmacnia ataki
po wyjściu z plagi lub
szkodliwych efektów.",,,"Melhora temporariamente os
ataques após recuperar-se de
flagelos ou status anormais.","상태 이상 및 속성 피해에서 벗어나면
일정 시간 공격 성능이 강화된다.","解除狀態異常或屬性異常後，
攻擊性能將提升一段時間。","状态异常或属性异常状态结束后，
会强化一定时间的攻击性能。",,,,,,,,"يعزز الهجمات مؤقتًا
بعد التعافي من الأوبئة
أو الوضع غير الطبيعي.",,,,,,,,,,,
7870b1b1-7c72-43bb-8fb0-2f530994720b,61725696,PlayerSkill_205_Explain,"狂竜症の効果が変質し、感染時に体力が
徐々に減少するが、さまざまな効果を
得る。戦闘状態だと定期的に狂竜症に
感染する。","The effects of the Frenzy virus change.
Health is gradually reduced, but you
gain a variety of effects. Frenzy virus
occurs regularly when in combat.","Les effets du virus Frénésie changent.
La vie diminue peu à peu mais vous
obtenez divers effets. Le virus Frénésie
se manifeste souvent en combat.","Modifica il virus frenesia. La salute
è gradualmente ridotta, ma ottieni
vari effetti. Il virus frenesia si
verifica spesso in combattimento.","Ändert Effekte des Raserei-Virus. Die
Gesundheit wird allmählich reduziert,
aber du erhältst viele Effekte. Das
Raserei-Virus tritt im Kampf auf.","Cambia los efectos del virus del Furor.
Reduce la salud progresivamente pero
otorga una serie de efectos. El Furor
se manifiesta en combate a menudo.","Меняет вирус бешенства. Здоровье
постепенно снижается, но вы полу-
чаете различные эффекты. Вирус бе-
шенства регулярно появляется в бою.","Zmienia wirusa Szału. Zdrowie powoli
spada, ale uzyskujesz różne efekty.
Wirus Szału pojawia się regularnie
podczas walki.",,,"Altera o vírus da Cólera. A vida é
gradualmente reduzida, mas você ganha
uma variedade de efeitos. Esse vírus
aparece com frequência em combate.","변질된 광룡증의 효과로 감염되면
체력이 서서히 감소하지만, 다양한
효과를 얻는다. 전투 상태에서는
정기적으로 광룡증에 감염된다.","改變狂龍症的效果，感染時體力會
逐漸減少，並獲得各種效果。
於戰鬥狀態下，每隔一段時間便會感染。","狂龙症的效果将发生变化，感染时体力会
逐渐减少，但会获得各种效果。处于战斗
状态时，每隔一段时间会染上狂龙症。",,,,,,,,"يغير فيروس الجنون. تنخفض الصحة تدريجيًا،
لكنك تكتسب مجموعة متنوعة
من التأثيرات. يحدث فيروس الجنون
بانتظام أثناء القتال.",,,,,,,,,,,
2aac8f6b-bd9a-4036-930d-de06dafdf80e,2782318866,PlayerSkill_206_Explain,"狩猟中の大型モンスターが怒ると、
防御性能が上がる。","Increases defense when
large monsters become
enraged.","Augmente la défense
lorsque les grands monstres
sont enragés.","Aumenta la difesa quando i mostri
grandi sono infuriati.","Erhöht Angriffskraft und
Affinität, wenn große
Monster toben.","Aumenta la defensa cuando los
monstruos grandes se enfurecen.","Повышает защиту, когда
крупный монстр разъярен.","Zwiększa obronę, kiedy
duże potwory wpadają
w szał.",,,"Aumenta defesa quando monstros
grandes se enfurecem.","사냥 중에 대형 몬스터가 분노하면
방어 성능이 강화된다.","若狩獵中的大型魔物發怒，
即會提高防禦性能。","若狩猎时大型怪物发怒，
防御类性能将提升。",,,,,,,,"يزيد الدفاع
عند إثارة غضب
الوحوش الضخمة.",,,,,,,,,,,
a80412f5-a47c-4f04-920f-34aaca835b04,3378476188,PlayerSkill_207_Explain,"大型モンスターに背後から
攻撃を当てると、ダメージが増加する。","Increases damage to large
monsters when attacks hit
them from behind.","Augmente les dégâts infligés
aux grands monstres par les
attaques par derrière.","Aumenta il danno ai mostri
grandi quando gli attacchi
li colpiscono da dietro.","Erhöht den Schaden an großen
Monstern, wenn sie von hinten
angegriffen werden.","Aumenta el daño provocado a monstruos
grandes cuando se les golpea por
detrás.","Повышает урон, наносимый крупным
монстрам, при атаках со спины.","Zwiększa obrażenia zadawane
dużym potworom przy
atakach od tyłu.",,,"Aumenta o dano a monstros grandes
quando ataques acertam por trás.","대형 몬스터의 등 뒤에서
공격하면 대미지가 증가한다.","增加從大型魔物
背後攻擊時的攻擊力。","从大型怪物背后攻击时，
造成的伤害增加。",,,,,,,,"يزيد الضرر الذي يلحق
بالوحوش الكبيرة عندما تصيبهم
الهجمات من الخلف.",,,,,,,,,,,
c806dc41-7b2b-4197-989a-4b5a2a1bebfc,2737529488,PlayerSkill_208_Explain,"回避時、タイミングよくモンスターの
攻撃が重なると、一定時間攻撃力が
上がる。","Perform a perfectly-timed
evade just as a monster
attacks for a temporary
attack boost.","Permet de réaliser une esquive
parfaite au moment où le monstre
attaque afin d'obtenir un bonus
d'attaque temporaire.","Potenzia temporaneamente l'attacco
schivando con tempismo perfetto
quando un mostro attacca.","Führe ein perfekt getimtes
Ausweichen durch, genau wenn
ein Monster angreift, für einen
temporären Angriffsbonus.","Esquiva en el momento justo en el
que ataca un monstruo para conseguir
un aumento temporal de ataque.","Получите временное усиление
атаки при своевременном
уклонении в момент атаки
монстра.","Tymczasowo wzmacnia atak
po wykonaniu idealnego uniku
w chwili ataku potwora.",,,"Faz uma esquiva no tempo certo
quando um monstro ataca para um
reforço de ataque temporário.","회피 타이밍과 몬스터의 공격이
겹치면, 일정 시간 공격력이
상승한다.","回避時，若時機正好與魔物的攻擊
重合，一段時間內會提升攻擊力。","回避时，若时机正好与怪物的攻击重合，
一定时间内攻击力上升。",,,,,,,,"قم بالمرواغة في
توقيت مثالي بمجرد
مهاجمة الوحش
لتعزيز الهجوم مؤقتًا.",,,,,,,,,,,
8db17af5-8184-4360-95a7-d7b476fe9dec,3440603995,PlayerSkill_209_Explain,"大型モンスターに狙われている間、
対象のモンスターは怒りやすくなるが
プレイヤーの防御性能は上がる。","When targeted by a monster,
that monster becomes more
likely to become enraged but
your own defense is increased.","Ciblé par un monstre :
le monstre a plus de chances
de devenir enragé,
mais votre défense est augmentée.","Se il mostro ti prende di
mira, ha più probabilità
di infuriarsi ma la tua
difesa viene aumentata.","Wenn von einem Monster ins Visier
genommen, wird dieses Monster
eher toben, aber deine eigene
Verteidigung wird erhöht.","Cuando te apunta un monstruo,
este tiene más probabilidades de
enfurecerse, pero al mismo tiempo
aumenta tu defensa.","Если монстр выбрал вас своей целью,
вероятность того, что он разъярится,
повышается, но ваша защита также
повышена.","Zwiększa prawdopodobieństwo 
wpadnięcia potworów w szał,
jednocześnie podnosząc twój
poziom obrony przeciwko nim.",,,"Quando é alvo de um monstro, é mais
provável que aquele monstro fique
furioso, mas sua defesa aumenta.","대형 몬스터의 표적이 되면 대상
몬스터가 분노할 확률이 높아지지만
플레이어의 방어 성능은 강화된다.","成為大型魔物的攻擊目標時，
該魔物會容易憤怒，
但玩家的防禦力、迴避性能及
防禦性能將會提升。","成为大型怪物的攻击目标时，
怪物会更容易发怒，
但玩家的防御类性能会上升。",,,,,,,,"عندما يستهدفه وحش،
من المرجح أن يغضب هذا
الوحش ولكن يزداد
دفاعك الذاتي.",,,,,,,,,,,
