guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a87b6a82-2874-4050-b340-0e1831c70841,2963002602,PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Explain
97eb6415-c95b-4516-a9d7-1270a43fcd71,1768922543,PlayerSwitchAction_000_Explain,"いかなる攻撃にも屈しない強靭な体当たり。

攻撃を受けても、のけぞったり、
吹き飛ばされることもないため
溜め中に攻撃をくらいそうなときに使おう。","A shoulder thrust that withstands all attacks.

Prevents knockbacks as well as getting
knocked down, making it useful for standing
your ground while charging.","Un coup d'épaule qui résiste à toutes
les attaques.

Vous empêche de vaciller et vous protège
contre les renversements, donc
très utile pour maintenir votre position
tout en chargeant.","Una spallata che resiste a tutti
gli attacchi.

Previene le respinte e le cadute,
perciò è utile per restare in posizione
e prepararsi ad attaccare.","Ein Schulterstoß, der Angriffen trotzt.

Verhindert, dass du zurückgeworfen oder
zu Boden geschlagen wirst, und hilft dir
so, während des Aufladens die Stellung
zu halten.","Golpe de hombro que resiste cualquier
ataque.

Evita que te derriben, así que es útil
para mantenerte en pie mientras cargas.","Выпад плечом, выдерживающий все атаки.

Защищает от отбрасываний и сбития с ног
и потому полезен для зарядки.","Uderzenie barkami, które wytrzymuje
wszelkie ataki.

Zapobiega odepchnięciu lub powaleniu.
Przydatne do utrzymania postawy podczas
ładowania.",,,"Uma ombrada capaz de suportar qualquer
ataque.

Impede empurrões ou quedas, tornando-a
bastante útil para proteger sua posição
ao avançar.","어떤 공격에도 멈추지 않는 몸통 박치기.

공격을 받아도 움츠러들거나
날아가지 않기 때문에
모으기 중에 공격당할 것 같으면 사용하자.","無論遭遇任何攻擊都不為所動的強韌體魄。

即使受到攻擊，也不會後仰或遭到擊飛，
在蓄力期間即將遭到攻擊時，
就使用這招吧。","能承受住任何攻击的强韧撞击。

就算受到攻击，
也不会后仰或被击飞。
蓄力中即将遭到攻击时使用吧。",,,,,,,,"اندفاع كتف يقاوم جميع الهجمات.
يحميك من التعرض لضربة
ترجعك لخلف أو السقوط
مما يجعله مفيدًا
لتوفير الثبات على الأرض أثناء الهجوم.",,,,,,,,,,,
ee83b7e9-8da4-49c6-ac73-9dbeb270e301,3374328867,PlayerSwitchAction_001_Explain,"剣の横っ面を正面に構え、前進する技。
通常のタックルより少し動きが重いが、
ガード判定があり攻撃力も高い。

ガード成功時には強力な溜め攻撃へ
派生が可能となる。","A forward-dashing attack using
the flat side of the blade. More
cumbersome than your standard
tackle, but strong and allows you
to guard.

A successful Guard can be followed
up with a powerful Charged Attack.","Une attaque portée avec le plat de
la lame. Plus complexe qu'un
Tacle standard, mais efficace et
permet de parer.

Une Garde réussie peut être suivie
d'une Attaque chargée puissante.","Attacco con scatto in avanti usando
il lato piatto della lama. Più
complesso di un attacco standard, ma
potente e utile per parare.
Dopo una guardia eseguita con successo,
potrai sferrare un attacco caricato.","Ein Frontalsprint-Angriff, der die
Breitseite der Klinge nutzt. Das Manöver
ist schwerfälliger als das herkömmliche
Standhaft, aber stark und auch zum
Blocken geeignet.

Ein erfolgreicher Block kann mit einem
nachfolgenden mächtigen Aufgeladenen
Angriff kombiniert werden.","Ataque de sprint con un lado de la hoja.
Más complicado que las embestidas
normales, pero es fuerte y permite
bloquear.

Un poderoso ataque cargado puede seguir
a un bloqueo perfecto.","Атака клинком плашмя с рывком вперед.
Не такая стремительная, как
обычный захват, но устойчивая
и позволяет защищаться.

После успешной Защиты можно провести
мощную Заряженную атаку.","Atak ze zrywem z użyciem płaskiej
strony ostrza. Manewr bardziej
kłopotliwy od standardowego natarcia,
ale mocny i umożliwiający gardę.

Po udanej gardzie można wykonać
potężny naładowany atak.",,,"Um ataque de arrancada dianteira usando
o lado chato lâmina. Mais complicado do
que o encontrão comum, mas poderoso e
lhe permite bloquear.

Um Bloqueio bem-sucedido pode vir
acompanhado de um Ataque Energizado.","검을 넓게 세우고 전진하는 기술.
보통 태클보다 움직임이 둔하지만
가드 판정이 있고 공격력도 높다.

가드 성공 시에는 강력한 모으기 공격으로
파생이 가능하다.","將劍橫握後架於正面並前進的招式。
動作比起一般的衝撞稍微緩慢，
但有防禦判定，且攻擊力也更強。

防禦成功時，可以接續使出
強力的蓄力攻擊。","将剑的侧面架起并向前进的招式。
虽然比通常的冲撞攻击迟缓一些，
但拥有防御判定，攻击力也更高。

防御成功时可衍生强力的蓄力攻击。",,,,,,,,"هجوم انطلاق أمامي باستخدام
الجانب المُسطح من النصل. أكثر
تعقيدًا من هجومك المتواصل القياسي،
لكنه قوي ويتيح لك
الحماية.

يُمكن أن تُتبع الحماية الناجحة هجومًا
مشحونًا قويًا.",,,,,,,,,,,
811a114c-8186-4d38-87ef-3b875f542beb,1478799209,PlayerSwitchAction_002_Explain,"翔蟲を使い、空中で体重を乗せた回転斬りを
放つ大胆な技。
当たった際にハンターの体は上方へ跳ね、
勢いを殺さずに次の溜め斬りへと繋ぐ…
この技の真の狙いはそこにある。

（翔蟲ゲージ回復速度：速）","A daring aerial attack, using a Wirebug
to fly up for a hefty Roundslash.
If the attack connects, the hunter
bounces upward and transitions directly
into the next Charged Slash attack,
forming the crux of this attack.

(Wirebug Gauge recovery speed: Fast)","Attaque aérienne audacieuse : un
Filoptère vous soulève pour une
Attaque tournoyante puissante. En cas
d'impact, le chasseur rebondit et passe
directement à l'Attaque chargée
suivante, paroxysme de cette attaque.

(Récup. jauge de Filoptère : rapide)","Attacco aereo audace per mezzo di
un insetto filo, che permette di volare
e sferrare un potente fendente rotante.
Se l'attacco riesce, il cacciatore salta
in alto e sferra subito un fendente
caricato, portando a termine l'attacco.
(Velocità di recupero della barra
insetto filo: rapida)","Ein gewagter Luftangriff, bei dem du mit
einem Seilkäfer für einen heftigen
Rundhieb vom Boden abhebst. Trifft der
Angriff, offenbart sich der eigentliche
Kniff der Taktik, indem du hochschwingst
und direkt in den Aufgeladenen Hieb
übergehst.
(Seilkäfer-Balken-Erholung: Schnell)","Osado ataque aéreo que usa un cordóptero
para potenciar un tajo rotatorio. Si el
ataque conecta, el cazador bota y pasa
directamente al siguiente tajo cargado,
que es el quid de este ataque.

(Velocidad de recuperación del indicador
cordóptero: rápida)","Быстрая воздушная атака с применением
Прутожука. Позволяет взлететь
и подготовиться к Круговому режущему
удару. Если выполняется серия атак,
охотник прыгает вверх и сразу переходит
к Заряженному удару,
формируя основу атаки.
(Скорость восстановления шкалы
Прутожука: высокая)","Śmiały atak powietrzny. Unieś się na
kablobaku i uderz soczystym
cięciem z obrotu. Jeśli cios dojdzie do
celu, łowca odbije się w górę i od razu
przejdzie do naładowanego cięcia, które
jest głównym elementem tego ataku.

(Szybkość regeneracji paska
kablobaka: duża)",,,"Um ataque aéreo ousado que usa um
Cabinseto para alçar voo e executar um
Corte Giratório. Ao acertar, o caçador
salta para cima e executa o próximo
ataque de Corte Energizado, que forma
o ponto crucial desse ataque.

(Velocidade de regeneração da Barra
de Cabinseto: Rápida)","밧줄벌레를 사용해 공중에서 체중을 실어
회전 공격을 하는 대담한 기술.
공격 시 헌터의 몸이 위로 튀어 오른다.
이 기술의 진수는 튀어 오를 때, 그 기세를
살려 다음 모아베기로 이어 가는 데 있다.

(밧줄벌레 게이지 회복 속도: 빠름)","使用翔蟲飛至空中，將自身重量加諸於劍，
藉以施展迴旋斬的大膽招式。
擊中之後，獵人的身體會飛至上方，
接著趁勢施展第二次蓄力斬……
這才是此招真正的目的。

（翔蟲計量表回復速度：快）","十分大胆的招式，可使用翔虫
在空中释放施加全身体重的回旋斩。
命中时，猎人的身体会向上跳跃，
并趁势使出蓄力斩……
这便是此招式的真正目的。

（翔虫槽回复速度：快）",,,,,,,,"هجوم جوي شجاع، يستخدم حشرة الحرير ليطير
عاليًا من أجل ضربة قاطعة مستديرة كبيرة.
في حال ارتباط الهجوم، يقفز الصيّاد
ويتحول تلقائيًا إلى هجوم الضربة القاطعة
المشحونة التالية، مما
يُشكل جوهر هذه الهجمة.

(سرعة تعافي مقياس حشرة الحرير: سريعة)",,,,,,,,,,,
c8f20678-49bd-4f16-b6fe-178f45fce8c4,1479505057,PlayerSwitchAction_003_Explain,"翔蟲を使い、身をかがめながら
鋭く前方へ踏み込み、強溜め斬りを放つ技。

踏み込む際に全身を硬く締めることにより
吹き飛ばし攻撃にも耐えることができる。

（翔蟲ゲージ回復速度：中）","A technique using a Wirebug to dash
forward, and deliver a Strong Charged
Slash. Also allows you to withstand
knockdown attacks by hardening your
body as you dash forth.

(Wirebug Gauge recovery speed: Medium)","Vous utilisez un Filoptère pour vous
précipiter vers l'avant et porter
une Attaque chargée puissante. Vous
permet aussi de résister aux attaques KO
en rendant votre corps plus résistant.

(Récup. jauge de Filoptère : moyenne)","Tecnica che utilizza un insetto filo
per scattare in avanti e sferrare
un gran fendente caricato.
Consente di resistere agli atterramenti,
rinforzando il corpo durante il balzo.
(Velocità di recupero della barra
insetto filo: media)","Eine Technik, bei der du einen Seil-
käfer nutzt, um nach vorne zu sprinten
und einen Starken Aufgeladenen Hieb zu
landen. Dein Körper stählt sich während
des Sprints und bewahrt dich so davor,
niedergeschlagen zu werden.
(Seilkäfer-Balken-Erholung: Mittel)","Técnica que emplea un cordóptero para
esprintar adelante y propinar un tajo
cargado fuerte. También permite resistir
derribos endureciendo tu cuerpo mientras
esprintas.

(Velocidad de recuperación del indicador
cordóptero: media)","Техника, в которой с помощью Прутожука
выполняются рывок вперед
и Сильный заряженный удар. Позволяет
противостоять сбивающим с ног атакам,
усиливая ваше тело во время рывка.

(Скорость восстановления шкалы
Прутожука: средняя)","Technika z wykorzystaniem kablobaka:
zryw do przodu i wykonanie silnego
naładowanego cięcia. Umożliwia również
wytrzymanie ataku powalającego przez
utwardzenie ciała podczas zrywu.

(Szybkość regeneracji paska
kablobaka: średnia)",,,"Técnica que usa um Cabinseto para correr
para frente e executar um Corte
Energizado Forte. Também permite que
você resista a ataques de derrubada
fortalecendo seu corpo na corrida.

(Velocidade de regeneração da Barra
de Cabinseto: Média)","밧줄벌레를 사용해 몸을 굽히면서
파고들며 강 모아베기를 하는 기술.

파고들 때 몸을 단단히 조여
날려 버리는 공격을 맞아도 버틸 수 있다.

(밧줄벌레 게이지 회복 속도: 중간)","使用翔蟲，屈膝並迅速往前踏出，
施展強蓄力斬的招式。

在往前踏步時，由於全身的肌肉
都十分緊繃，所以不會被擊飛。

（翔蟲計量表回復速度：中）","使用翔虫，压低身体向前方迅速踏步，
并释放强蓄力斩的招式。

踏步时全身紧绷，
甚至能承受住击飞攻击。

（翔虫槽回复速度：中）",,,,,,,,"تقنية تستخدم حشرة الحرير للانطلاق
للأمام، وتسديد ضربة قاطعة
مشحونة قوية. كما تسمح لك بمقاومة هجمات
الضربة القاضية من خلال تقوية جسمك عند
الاندفاع للأمام.

(سرعة تعافي مقياس حشرة الحرير: متوسطة)",,,,,,,,,,,
78a9e66a-0170-49a3-b085-46d2f88dea34,2342084767,PlayerSwitchAction_004_Explain,"強大なるダメージを誇る、必殺の溜め斬り。
大きく振りかぶった得物を２度叩きつける。

柔らかくダメージが通りやすい
モンスターの弱点部位に１撃目を当てると
２撃目がより高威力になる。","A devastating Charged Slash attack
delivering extensive damage, striking
twice by making a large swing with
the weapon.

By striking the monster's softer weak
spot with the first strike, the second
strike deals additional damage.","Attaque chargée dévastatrice infligeant
des dégâts importants ; double frappe
large avec l'arme.

Le premier coup touche le point faible
du monstre, et le second inflige
des dégâts supplémentaires.","Devastante fendente caricato che
infligge danni estesi colpendo due volte
grazie all'ampio fendente dell'arma.
Centrando il punto debole del mostro
al primo colpo, il secondo colpo
infliggerà più danni.","Ein verheerender Aufgeladener Hieb,
der immensen Schaden verursacht und
durch einen großen Schwung mit der Waffe
doppelt trifft.

Trifft der erste Schlag den Schwachpunkt
des Monsters, richtet der zweite Schlag
zusätzlichen Schaden an.","Devastador tajo cargado que golpea dos
veces debido a la gran oscilación del
arma.

Al golpear el punto débil de los
monstruos con el primer golpe,
el segundo causa daño adicional.","Мощный Заряженный удар, наносящий
огромный урон. В нем выполняются два
удара с большим замахом.
Первый удар открывает уязвимое место
монстра, а второй наносит повышенный
урон.","Niszczący atak tnący. Powoduje znaczne
obrażenia w wyniku szerokiego
zamachu z podwójnym uderzeniem.
Jeśli pierwsze cięcie zadasz w słabszy
punkt potwora, drugim wyrządzisz
większe szkody.",,,"Um Corte Energizado devastador que causa
muito dano, com dois golpes resultantes
de um movimento amplo com a arma.

Ao atingir o ponto mais fraco do monstro
com o primeiro movimento, o golpe
subsequente causa dano adicional.","강력한 대미지를 자랑하는 필살 모아베기.
크게 휘두른 무기를 두 번 내려친다.

부드러워 대미지가 잘 들어가는
몬스터의 약점 부위에 첫 공격이 맞으면
두 번째 공격이 더 강해진다.","擁有強大的破壞力，必殺的蓄力斬。
高舉大劍，使出全力打擊獵物2次。

若第1擊擊中魔物柔軟
且容易受傷的弱點部位，
第2擊的威力將會變得更高。","以强大伤害为傲的必杀蓄力斩。
将高高抡起的武器砸向敌人2次。

对怪物柔软而容易受伤的弱点部位，
若第1击命中，第2击将具有更高的威力。",,,,,,,,"ضربة قاطعة مشحونة مدمرة
تلحق أضرارًا جسيمة، تُضرب
مرتين عبر ضربة متأرجحة كبيرة
باستخدام السلاح.

عبر ضرب نقطة ضعف الوحش الأكثر ضعفًا
بالضربة الأولى، تُلحق الضربة الثانية
ضررًا إضافيًا.",,,,,,,,,,,
a615d1df-242b-4c65-8b52-044e6e5098be,2691809987,PlayerSwitchAction_005_Explain,"独特な構えから一撃を繰り出す技。

その火力は真・溜め斬りに及ばないが、
構え中にダメージを受けることで
魂が震え、心に火が付き、威力が上昇する。","A strike from a unique stance.

While it does not match the power
of a True Charged Slash, receiving
damage while the weapon is drawn
sparks a flame in the user's heart,
strengthening their attack.","Frappe utilisant une posture unique.

Pas aussi puissante qu'une Attaque
chargée divine, mais le fait de subir
des dégâts pendant que l'arme est
dégainée encourage l'utilisateur et
donne plus de force à son attaque.","Attacco dal movimento unico.
Non è potente quanto un fendente
caricato definitivo, ma ricevere danni
mentre si impugna l'arma accende una
scintilla nel cuore di chi la brandisce,
aumentandone l'attacco.","Ein Schlag aus einzigartiger Haltung.

Seine Stärke reicht zwar nicht an die
des Wahren Aufgeladenen Hiebs heran,
entfaltet aber zusätzliche Wucht, wenn
der Jäger bei gezogener Waffe Schaden
erleidet und dadurch mit aufflammender
Inbrunst kämpft.","Golpe a partir de una postura única.

Aunque no equiparable al tajo cargado
real, el espíritu del usuario gana en
poder si recibe daño mientras el arma
está desenvainada, fortaleciendo su
ataque.","Удар из уникальной стойки. Хоть по силе
он и не равен Истинному заряженному
удару, получение урона, когда обнажено
оружие, зажигает в охотнике огонь
и усиливает его атаку.","Uderzenie z nietypowej pozycji.

Choć ma mniejszą moc od prawdziwego
naładowanego cięcia, otrzymanie
obrażenia przy dobytej broni rozpala
ogień w sercu walczącego, wzmacniając
jego atak.",,,"Golpe partindo de uma posição singular.

Apesar de não ser tão poderoso quanto
um Corte Energizado Real, sofrer dano
enquanto a arma está empunhada acende
uma chama no coração do portador,
fortalecendo o ataque dele.","독특한 자세를 취하고 일격을 날리는 기술.

참 모아베기만큼 강력하지 않지만
무기를 꺼내다 대미지를 입으면 영혼이
떨리고 가슴이 뜨거워져 위력이 오른다.","擺出獨特的架式後施展攻擊的招式。

其火力雖然不及真･蓄力斬，
但在蓄力過程中受傷時，
能夠撼動內心並點燃鬥志，使威力上升。","由独特架势施展的一击。

其威力虽然不及真・蓄力斩，
但若在摆出架势时受到伤害，
就会震撼灵魂，燃烧心火，使威力上升。",,,,,,,,"ضربة من وضعية فريدة.

على الرغم من أنها لا تطابق قوة
الضربة القاطعة المشحونة الخالصة،
فإن تلقي ضرر أثناء سحب السلاح
يشعل شرارة في قلب المستخدم،
مما يقوي هجومه.",,,,,,,,,,,
5e468186-75a8-4c07-b03e-91194ea734d9,1228701773,PlayerSwitchAction_006_Explain,"前進しつつ縦斬りをおこなう。

攻撃範囲が縦に広いため、
高所を狙いたいときにも役立つ
使い勝手のよい技。","A top-down slash while moving forward.

The blade takes a vertical path, making
it a useful technique when aiming up
high.","Attaque descendante en avançant.

La lame suit une trajectoire
verticale ; très utile lorsque vous
visez haut.","Fendente dall'alto al basso mentre
si avanza. La lama segue un movimento
verticale che rende questa tecnica
particolarmente utile quando si mira
in alto.","Ein vertikal ausgeführter Hieb während
einer Vorwärtsbewegung.

Die Klinge saust von oben auf ihr Ziel
herab und eignet sich so hervorragend,
um Treffer aus großer Höhe zu landen.","Tajo descendente mientras avanzas.

La trayectoria vertical de la técnica la
hace útil para apuntar alto.","Удар сверху вниз с выходом вперед.

Клинок идет по вертикальной
траектории — такую
атаку удобно проводить по цели сверху.","Cięcie z góry na dół przy jednoczesnym
ruchu w przód.

Ostrze jest prowadzone pionowo, co czyni
tę technikę użyteczną przy celowaniu
w wysoki punkt.",,,"Avanço com golpe de cima para baixo.

A lâmina assume uma rota vertical,
tornando-se uma técnica útil ao
mirar para cima.","전진하며 세로베기를 한다.

공격 범위가 세로로 넓기 때문에
높은 곳을 노릴 때 쓸 만한 기술이다.","在前進的同時施展直斬。

由於縱向攻擊的範圍非常大，
在攻擊高處時也能派上用場，
使用起來相當方便。","前进的同时使出直斩。

因其纵向的攻击范围较广，
瞄准高处攻击时也能派上用场。
是非常实用的招式。",,,,,,,,"ضربة قاطعة من أعلى إلى أسفل أثناء

التحرك إلى الأمام. تتخذ الشفرة
مسارًا رأسيًا، مما يجعلها
تقنية مفيدة عند التصويب لأعلى.",,,,,,,,,,,
5e80a530-ff95-4e5b-9c84-6746c40a45bf,2727084273,PlayerSwitchAction_007_Explain,"納刀状態から抜き放つ二連斬。

技の出だしに吹き飛ばされない効果があり、
踏み込み斬りよりも高火力だが、
この技からの連携可能な技が少ないという
使い手を選ぶ技。","A drawn attack that unleashes
a vertical then horizontal slash.

As you move forward, you're able
to absorb a hit while attacking.
Although it deals more damage than
a Step Slash, there are few attacks
that you can use to follow up. Use
at your discretion.","Une attaque dégainée enchaînant un coup
vertical, puis un coup horizontal.

En avançant, vous absorberez un coup
en attaquant. Bien que cela inflige plus
de dégâts qu'un Avancer-Attaquer, peu de
 techniques peuvent être utilisées après
cette attaque. C'est vous qui voyez...","Attacco con l'arma sguainata che
prevede un fendente verticale seguito
da uno orizzontale.
Muovendosi in avanti, si può anche
assorbire un colpo mentre si attacca.
Infligge più danni di un passo
tagliente, ma poche mosse possono
seguire questo attacco.
Usalo a tua discrezione.","Ein Zug-Angriff, der einen vertikalen
Hieb, gefolgt von einem horizontalen
Hieb entfesselt.

Während des Angriffs kannst du einen
Treffer absorbieren. Teilt mehr Schaden
aus als ein Ausfallhieb, jedoch eignen
sich nur wenige Techniken als Folge-
angriff. Verwende ihn daher mit Bedacht.","Ataque desenvainado que desata un tajo
vertical y luego uno horizontal.

Conforme avanzas, puedes absorber un
golpe mientras atacas. Aunque causa más
daño que un tajo en avance, no muchos
ataques pueden encadenarse con él.
Úsalo según te convenga.","Атака из вертикального и горизонтального
режущих ударов.

При продвижении вперед вы можете
поглотить удар. Эта атака наносит
больше урона, чем Удар с шагом, но мало
какие из атак могут стать ее
продолжением, что следует учитывать.","Atak z dobytą bronią: cięcie pionowe
i kontynuacja cięciem poziomym. Idąc
naprzód podczas ataku, możesz przyjąć
bez szkody jeden cios. Ruch ten
umożliwia zadawanie większych obrażeń
niż przy kroku i cięciu, ale minusem
jest niewielka liczba ataków, do których
można z niego przejść. Korzystaj
z rozwagą.",,,"Um corte vertical seguido de um
horizontal.

Conforme avança, você pode absorver um
golpe enquanto estiver atacando.
Embora cause mais dano que um Corte de
Passada, existem poucos ataques que você
pode usar em sequência. Use por sua
conta e risco.","납도 상태에서 무기를 뽑으며 두 번 벤다.

기술 발동 시 날아가지 않는 효과가 있으며
내디뎌 베기보다 위력은 높지만
이후에 연계할 수 있는 기술이 적어
사용자의 취향을 타는 기술이다.","在收刀狀態下施展的二連斬。

在發動時擁有防止擊飛的效果，
且火力比踏步斬更高，
但之後能接續的招式非常少，
對使用者的要求較高。","在纳刀状态下使出的二连斩。

发动招式时具有不会被击飞的效果，
威力比踏步斩更高，
但此招式可衍生的连段较少，
使用时需要好好斟酌。",,,,,,,,"هجوم مسحوب يطلق العنان لضربة
قاطعة رأسية ثم عمودية. وبينما تتحرك

للأمام، ستكون قادرًا على امتصاص
الضربة أثناء الهجوم. على الرغم من أنها
تسبب ضررًا أكثر من الضربة القاطعة
التدريجية، إلا إن هناك عددًا قليلًا من
الهجمات التي يمكنك استخدامها للمتابعة.
لك حرية التصرف في استخدامها.",,,,,,,,,,,
6d45deb2-c269-4446-ab47-656fbb5a3d77,2557209210,PlayerSwitchAction_008_Explain,"翔蟲を使い、素早く蹴り跳ぶ技。
蹴りが当たらなければ一刀を放ち終了するが
当たれば２種の技へ派生する。

落下突きは練気ゲージを自動で上昇させ、
気刃兜割は練気ゲージの色を１段階消費し
強力な斬撃を放つ。

（翔蟲ゲージ回復速度：中）","A quick Wirebug-induced jump kick.
A missed kick ends the attack with a
single slash, while a successful kick
can be followed with one of two moves.

The Plunging Thrust increases Spirit
Gauge, while the Spirit Helm Breaker
reduces the Spirit Gauge by one level.
(Wirebug Gauge recovery speed: Medium)","Coup de pied rapide en sautant, propulsé
par un Filoptère. Si vous manquez votre
cible, vous en restez là, mais si vous
réussissez, vous pouvez enchaîner.

L'Estocade tombante augmente la jauge
spirituelle et le Brise-casque spirituel
réduit la jauge spirituelle de un niveau.
(Récup. jauge de Filoptère : moyenne)","Calcio volante rapido tramite insetto
filo. Se il calcio non riesce, l'attacco
termina con un fendente singolo. Se
va a segno, può essere seguito da una di
due mosse: l'affondo in caduta aumenta
la barra spirito, mentre lo spacca-elmi
spirito la riduce di un livello.
(Velocità di recupero della barra
insetto filo: media)","Ein schneller Seilkäfer-Sprungtritt.
Geht er daneben, folgt ein einzelner
Hieb, während ein Treffer eine von zwei
Folgeaktionen eröffnet.

Der Elan-Helmbrecher verbraucht eine
Stufe des Elanbalkens, der Fallende Stoß
hingegen füllt den Balken.
(Seilkäfer-Balken-Erholung: Mittel)","Veloz salto y patada con un cordóptero.
Si fallas la patada, el ataque concluye
con un esprint; a una patada con éxito
pueden seguirle dos movimientos.
La estocada en caída aumenta la barra de
espíritu; el rompeyelmos espiritual
reduce en un nivel la barra de espíritu.
(Velocidad de recuperación del indicador
cordóptero: media)","Быстрый удар ногой в прыжке на
Прутожуке. Если удар не достигает
цели, атака завершается одиночным
режущим ударом, в противном случае
удар ногой можно продолжить одним из
двух приемов. Пронзающий выпад повышает
шкалу духа, а Духовнный круш. черепов
снижает шкалу духа на один уровень.
(Скорость восст. шкалы Прутож.: средняя)","Szybki kop z wyskoku z kablobakiem.
Po chybionym kopnięciu atak skończy się
jednym cięciem. Udany kop można połączyć
z jednym z dwóch ruchów.

Wypad z pchnięciem zwiększa pasek
ducha, a rozłupywacz hełmów ducha obniża
pasek ducha o jeden poziom.
(Szybk. regen. paska kablobaka: średnia)",,,"Voadora rápida induzida por Cabinseto.
Errar o chute encerra o ataque com um
só corte. Já o acerto pode ser seguido
por um de dois golpes.

Estocada Cravada aumenta a Barra
Espiritual, enquanto o Quebrador de Elmo
Espiritual usa uma seção da Barra.
(Vel. reg. da Barra de Cabinseto: Méd.)","밧줄벌레를 사용해 발차기를 하고 도약하는
기술. 발차기가 빗나가면 추가 공격으로
끝나지만 맞으면 2종류 기술로 파생된다.

낙하 찌르기를 하면 연기게이지가 자동으로
상승하며, 기인 투구 깨기는 연기게이지
색을 1단계 소비해 강력한 참격을 한다.

(밧줄벌레 게이지 회복 속도: 중간)","使用翔蟲，朝敵人迅速飛踢的招式。
如果落空，會再追擊一刀並結束攻擊；
若踢中的話，則能接續使出2種招式。

接續下墜突刺能讓練氣計量表自動上升，
而氣刃兜割則會消耗1階段的練氣計量表，
並施展強力的斬擊。

（翔蟲計量表回復速度：中）","使用翔虫来进行高速踢跃的招式。
若踢击没有命中，就只会放出一刀；
但若能命中，即可衍生出2种招式。

下坠突刺可使练气槽自动上升，
气刃兜割则可通过消耗1个阶段的
练气槽颜色来释放强力斩击。

（翔虫槽回复速度：中）",,,,,,,,"ركلة قفز سريعة تسببها حشرة الحرير.
تنهي الركلة الفاشلة الهجوم بضربة
قاطعة واحدة، بينما يمكن إتباع الركلة
الناجحة بحركة واحدة أو اثنتين.

يزيد اندفاع السقوط المفاجئ مقياس
الروح، بينما يقلل كاسر خوذة الروح
مقياس الروح بمستوى واحد.
(سرعة تعافي مقياس حشرة الحرير: متوسطة)",,,,,,,,,,,
