guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
e5d2a3d1-3f27-473c-a166-7aa46b45d0f3,1629924281,PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name,<COLOR FF0000>#Rejected#</COLOR> PlayerSwitchAction_None_Name
4e1dded6-8a24-4ecf-9b1d-b7baa931979c,1532753975,PlayerSwitchAction_000_Name,タックル,Tackle,Tacle,Spallata,Standhaft,Embestida,Захват,Natarcie,,,Encontrão,태클,衝撞攻擊,冲撞攻击,,,,,,,,الهجوم المتواصل,,,,,,,,,,,
36a10200-e58b-4927-8ecd-83c2d8218b36,3028063897,PlayerSwitchAction_001_Name,ガードタックル,Guard Tackle,Tacle défensif,Spallata difensiva,Standhaft mit Blocken,Embestida en guardia,Защитный захват,Natarcie z gardą,,,Bloqueio-encontrão,가드 태클,防禦衝撞攻擊,防御冲撞,,,,,,,,التصدي للهجوم المتواصل,,,,,,,,,,,
bc525852-a03d-486a-b224-bbc398c9456d,2334488775,PlayerSwitchAction_002_Name,ハンティングエッジ,Hunting Edge,Entaille de chasse,Lama da caccia,Jagdklinge,Filo de cazador,Охотничий клинок,Łowieckie ostrze,,,Gume de Caçadas,헌팅 에지,狩獵之刃,狩猎锋刃,,,,,,,,حافة الصيد,,,,,,,,,,,
d81f3f22-dea2-4b60-92a2-2be2084d059c,2393666743,PlayerSwitchAction_003_Name,金剛溜め斬り,Adamant Charged Slash,Attaque chargée furieuse,Fendente caricato difesa,Aufgeladener Diamanthieb,Tajo cargado firme,Адамант. заряженный удар,Adamant. naładowane cięcie,,,Corte Energizado Duro,금강 모아베기,金剛蓄力斬,金刚蓄力斩,,,,,,,,ضربة قاطعة مشحونة صلبة,,,,,,,,,,,
f9c26762-1b6f-42e3-aba2-7903d28d26d7,2588241154,PlayerSwitchAction_004_Name,真・溜め斬り,True Charged Slash,Attaque chargée divine,Fendente caricato definit.,Wahrer Aufgeladener Hieb,Tajo cargado real,Истинный заряженный удар,Prawdziwe naładow. cięcie,,,Corte Energizado Real,참 모아베기,真･蓄力斬,真・蓄力斩,,,,,,,,ضربة قاطعة مشحونة خالصة,,,,,,,,,,,
8cbaacb0-9a75-4f60-9336-6f2ad57c2ce3,2341547321,PlayerSwitchAction_005_Name,激昂斬,Rage Slash,Attaque enragée,Fendente furioso,Wuthieb,Tajo furioso,Гневный удар,Wściekłe cięcie,,,Corte de Ira,격앙참,激昂斬,激昂斩,,,,,,,,ضربة قاطعة غاضبة,,,,,,,,,,,
1222cfd4-451e-46be-a000-b1d2f3e0d94a,2652996530,PlayerSwitchAction_006_Name,踏み込み斬り,Step Slash,Avancer-Attaquer,Passo tagliente,Ausfallhieb,Tajo en avance,Удар с шагом,Krok i cięcie,,,Corte de Passada,내디뎌 베기,踏步斬,踏步斩,,,,,,,,ضربة قاطعة تدريجية,,,,,,,,,,,
66fba006-65c1-4288-9680-f389dcac282d,4151114248,PlayerSwitchAction_007_Name,抜刀二連斬り,Drawn Double Slash,Double attaque dégainée,Doppio fendente sguainato,Gezogener Doppelhieb,Tajo doble desenvainado,Двойной удар с выхватом,Dobyte podwójne cięcie,,,Corte Duplo ao Empunhar,발도 2연 베기,拔刀二連斬,拔刀二连斩,,,,,,,,ضربة قاطعة مزدوجة مسحوبة,,,,,,,,,,,
2a8eefd6-1a2b-4379-92c3-3d2f44c21cdf,1102595580,PlayerSwitchAction_008_Name,飛翔蹴り,Soaring Kick,Coup de pied rugissant,Calcio ascendente,Himmelhoher Tritt,Patada ascendente,Парящий удар ногой,Szybujące kopnięcie,,,Chute Aéreo,날아차기,飛踢,飞翔踢,,,,,,,,الركلة المحلّقة,,,,,,,,,,,
488b5763-7971-4ed1-b010-e92cf9bd60e2,4087296423,PlayerSwitchAction_009_Name,桜花鉄蟲気刃斬,Silkbind Sakura Slash,Attaque Sakura Lien de soie,Rotaz. sakura fildiseta,Seidenbinder-Sakura-Hieb,Tajo Sakura cordoamarre,Разрез шелковой сакуры,Cięcie sakura jedwabionici,,,Corte Sakura Sedaférrea,벚꽃 철충 기인베기,櫻花鐵蟲氣刃斬,樱花铁虫气刃斩,,,,,,,,ضربة ساكورا بربطة حريرية,,,,,,,,,,,
2934d56a-4750-4ae9-86c6-712850b84cb7,623092077,PlayerSwitchAction_010_Name,気刃大回転斬り連携,Spirit Roundslash Combo,Combo Esprit tournoyant,Combo spirito rotante,Elan-Rundhieb-Kombo,Combo rotación espiritual,Комбо Кругового удара духа,Kombin. okręż. cięć ducha,,,Combo Corte Girat. Espir.,기인 큰회전베기 연계,氣刃大迴轉斬連續技,气刃大回旋斩连段,,,,,,,,مزيج الضربة المستديرة,,,,,,,,,,,
