guid,crc?,<PrgDispCategory>,<PrgDispTiming>,<HunterRank>,<PrgDispHRCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispIconL>,<PrgDispIconS>,<QuestNumber>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
5d4d7175-ed38-4449-84cc-fa486cb48128,3901340060,進行カテゴリ,"進行タイミング
（記入自由）",必要ハンターランク,HR条件,表示させるフラグ1,条件1,表示させるフラグ2,条件2,表示させるフラグ3,条件3,表示させるフラグ4,条件4,表示させるフラグ5,条件5,表示アイコン大,表示アイコン小,モンスターアイコンに使うクエスト番号,prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index,<COLOR FF0000>#Rejected#</COLOR> prg_index
42b9cf44-d499-4526-8c9c-f4d5bf96852d,1154361371,村,里進行001_01,,,EV_PRO_VILL_001_01_01,←がON,EV_PRO_VILL_001_01_02,←がOFF,"""""","""""","""""","""""","""""","""""",雑貨屋カゲロウ_モデル,赤フキダシ,,prg_disp_v001_01,<COL YEL>雑貨屋のカゲロウ</COL>と話す,Talk to <COL YEL>Kagero the Merchant</COL>,Parler à <COL YEL>Kagero le marchand</COL>,Parla con <COL YEL>Kagero il mercante</COL>,Sprich mit <COL YEL>Kagero dem Händler</COL>,Habla con <COL YEL>Kagero el mercader</COL>,Поговорить с <COL YEL>Торговцем Кагэро</COL>,"Porozmawiaj z
<COL YEL>kupcem Kagero</COL>",,,"Fale com <COL YEL>Kagero, o mercador</COL>",<COL YEL>잡화점의 카게로</COL>와 대화,與<COL YEL>雜貨商陽炎</COL>交談,与<COL YEL>杂货商阳炎</COL>对话,,,,,,,,تحدث إلى <COL YEL>التاجر كاجيرو</COL>,,,,,,,,,,,
dc540c9a-0096-4308-8ba9-f0251fd01afc,1482833444,村,里進行001_01,,,EV_PRO_VILL_001_01_02,←がON,EV_PRO_VILL_001_01_03,←がOFF,"""""","""""","""""","""""","""""","""""",加工屋ハモン_モデル,赤フキダシ,,prg_disp_v001_02,<COL YEL>加工屋のハモン</COL>と話す,Talk to <COL YEL>Hamon the Blacksmith</COL>,Parler à <COL YEL>Hamon le forgeron</COL>,Parla con <COL YEL>Hamon il fabbro</COL>,Sprich mit <COL YEL>Hamon dem Schmied</COL>,Habla con <COL YEL>Hamon el herrero</COL>,Поговорить с <COL YEL>Кузнецом Хамоном</COL>,"Porozmawiaj z
<COL YEL>kowalem Hamonem</COL>",,,"Fale com <COL YEL>Hamon, o ferreiro</COL>",<COL YEL>가공점의 하몬</COL>과 대화,與<COL YEL>加工店刀紋</COL>交談,与<COL YEL>加工商刀纹</COL>对话,,,,,,,,تحدث إلى <COL YEL>الحداد هامون</COL>,,,,,,,,,,,
d9564900-8c3f-4240-a718-4381dc8440d6,2823974284,村,里進行001_01,,,EV_PRO_VILL_001_01_03,←がON,EV_PRO_VILL_001_01_04,←がOFF,"""""","""""","""""","""""","""""","""""",茶屋ヨモギ_モデル,赤フキダシ,,prg_disp_v001_03,<COL YEL>茶屋のヨモギ</COL>と話す,Talk to <COL YEL>Yomogi the Chef</COL>,Parler à <COL YEL>Yomogi la chef</COL>,Parla con <COL YEL>Yomogi la chef</COL>,Sprich mit <COL YEL>Yomogi der Köchin</COL>,Habla con <COL YEL>Yomogi la chef</COL>,Поговорить с <COL YEL>Поваром Йомоги</COL>,"Porozmawiaj z
<COL YEL>kucharką Yomogi</COL>",,,"Fale com <COL YEL>Yomogi, a chef</COL>",<COL YEL>찻집의 요모기</COL>와 대화,與<COL YEL>茶館老闆艾草</COL>交談,与<COL YEL>茶点店店主艾草</COL>对话,,,,,,,,تحدث إلى <COL YEL>الطباخة يوموجي</COL>,,,,,,,,,,,
e1d27d8c-7235-4b73-9d6f-8bdc6f3386c7,4291469220,村,里進行001_01,,,EV_PRO_VILL_001_01_04,←がON,EV_PRO_VILL_001_01_06,←がOFF,"""""","""""","""""","""""","""""","""""",ギルドマネージャ・ゴコク_モデル,アイコンなし,,prg_disp_v001_04,<COL YEL>集会所</COL>でハンター登録をおこなう,Sign up at the <COL YEL>Gathering Hub</COL>,S'inscrire au <COL YEL>Grand-Camp</COL>,Registrati alla <COL YEL>base di caccia</COL>,"Registriere dich in der
<COL YEL>Versammlungsstätte</COL>.","Regístrate en la <COL YEL>sala de
reunión</COL>","Зарегистрироваться в
<COL YEL>Зале собраний</COL>","Zgłoś się w
<COL YEL>Centrum Zgromadzeń</COL>",,,Inscreva-se na <COL YEL>AdE</COL>,<COL YEL>집회소</COL>에서 헌터 등록,在<COL YEL>集會所</COL>進行獵人登錄,在<COL YEL>集会所</COL>进行猎人注册,,,,,,,,سجل في <COL YEL>مركز التجمع</COL>,,,,,,,,,,,
bb21e19d-080b-4de1-a4cc-29c4450e0d44,650725901,集会所,里進行001_01,,,EV_PRO_VILL_001_01_06,←がON,EV_PRO_VILL_001_01_50,←がOFF,"""""","""""","""""","""""","""""","""""",ウツシ教官_モデル,赤フキダシ,,prg_disp_v001_50,<COL YEL>ウツシ教官</COL>と話す,Talk to <COL YEL>Master Utsushi</COL>,Parler à <COL YEL>Utsushi le maître</COL>,Parla con il <COL YEL>maestro Utsushi</COL>,Sprich mit <COL YEL>Meister Utsushi</COL>.,Habla con el <COL YEL>maestro Utsushi</COL>,Поговорить с <COL YEL>Мастером Уцуси</COL>,"Porozmawiaj z
<COL YEL>Mistrzem Utsushim</COL>",,,Fale com <COL YEL>Mestre Utsushi</COL>,<COL YEL>우츠시 교관</COL>과 대화,與<COL YEL>倪泰教官</COL>交談,与<COL YEL>倪泰教官</COL>对话,,,,,,,,تحدث إلى <COL YEL>السيد أوتسوشي</COL>,,,,,,,,,,,
b65785e6-f477-4136-b45d-3dc7ba79d9ea,1938452159,集会所,里進行001_01,,,EV_PRO_VILL_001_01_50,←がON,EV_PRO_PICTURE_NID_103,←がOFF,"""""","""""","""""","""""","""""","""""",ウツシ教官_モデル,赤フキダシ,,prg_disp_v001_51,<COL YEL>ウツシ教官を撮影する</COL>,<COL YEL>Photograph Master Utsushi</COL>,<COL YEL>Photographier Utsushi le maître</COL>,<COL YEL>Fai una foto al maestro Utsushi</COL>,<COL YEL>Fotografiere Meister Utsushi.</COL>,Fotografía al <COL YEL>maestro Utsushi</COL>,<COL YEL>Сфотографировать Мастера Уцуси</COL>,"Zrób zdjęcie
<COL YEL>Mistrzowi Utsushiemu</COL>",,,<COL YEL>Fotografe Mestre Utsushi</COL>,<COL YEL>우츠시 교관을 촬영</COL>,<COL YEL>拍攝倪泰教官的照片</COL>,<COL YEL>拍摄倪泰教官</COL>,,,,,,,,<COL YEL>صور السيد أوتسوشي</COL>,,,,,,,,,,,
d4e8115c-d7db-47cc-b777-44e44cac44ac,940151541,集会所,里進行001_01,,,EV_PRO_PICTURE_NID_103,←がON,EV_PRO_VILL_001_01_51,←がOFF,"""""","""""","""""","""""","""""","""""",ウツシ教官_モデル,赤フキダシ,,prg_disp_v001_52,<COL YEL>ウツシ教官</COL>と話す,Talk to <COL YEL>Master Utsushi</COL>,Parler à <COL YEL>Utsushi le maître</COL>,Parla con il <COL YEL>maestro Utsushi</COL>,Sprich mit <COL YEL>Meister Utsushi</COL>.,Habla con el <COL YEL>maestro Utsushi</COL>,Поговорить с <COL YEL>Мастером Уцуси</COL>,"Porozmawiaj z
<COL YEL>Mistrzem Utsushim</COL>",,,Fale com <COL YEL>Mestre Utsushi</COL>,<COL YEL>우츠시 교관</COL>과 대화,與<COL YEL>倪泰教官</COL>交談,与<COL YEL>倪泰教官</COL>对话,,,,,,,,تحدث إلى <COL YEL>السيد أوتسوشي</COL>,,,,,,,,,,,
58ebbd95-ff6a-41e5-bd84-5406942b0f4e,2279885817,村,里進行001_01,,,EV_PRO_VILL_001_01_51,←がON,EV_PRO_VILL_001_01_07,←がOFF,"""""","""""","""""","""""","""""","""""",里の受付嬢ヒノエ_モデル,赤フキダシ,,prg_disp_v001_05,<COL YEL>里の受付嬢ヒノエ</COL>と話す,Talk to <COL YEL>Hinoa the Quest Maiden</COL>,Parler à <COL YEL>Hinoa la quêtatrice</COL>,"Parla con
<COL YEL>Hinoa la missionatrice</COL>","Sprich mit <COL YEL>Hinoa
dem Quest-Mädel</COL>","Habla con <COL YEL>Hinoa la gestora de
misiones</COL>","Поговорить с
<COL YEL>Раздатчицей заданий Хиноа</COL>",Pomów z <COL YEL>szefową zadań Hinoą</COL>,,,"Fale com <COL YEL>Hinoa, a recrutadora</COL>",<COL YEL>마을 접수원 히노에</COL>와 대화,與<COL YEL>村莊接待員火芽</COL>交談,与<COL YEL>村庄接待员火芽</COL>对话,,,,,,,,تحدث إلى <COL YEL>هينوا فتاة المهام</COL>,,,,,,,,,,,
d2106763-8e85-4adf-b25a-efa5840c3850,2742097162,村,里進行001_01,,,EV_PRO_VILL_001_01_07,←がON,EV_PRO_VILL_001_01_08,←がOFF,"""""","""""","""""","""""","""""","""""",里の受付嬢ヒノエ_モデル,赤フキダシ,,prg_disp_v001_06,<COL YEL>里の受付嬢ヒノエ</COL>と話す,Talk to <COL YEL>Hinoa the Quest Maiden</COL>,Parler à <COL YEL>Hinoa la quêtatrice</COL>,"Parla con
<COL YEL>Hinoa la missionatrice</COL>","Sprich mit <COL YEL>Hinoa
dem Quest-Mädel</COL>","Habla con <COL YEL>Hinoa la gestora de
misiones</COL>","Поговорить с
<COL YEL>Раздатчицей заданий Хиноа</COL>",Pomów z <COL YEL>szefową zadań Hinoą</COL>,,,"Fale com <COL YEL>Hinoa, a recrutadora</COL>",<COL YEL>마을 접수원 히노에</COL>와 대화,與<COL YEL>村莊接待員火芽</COL>交談,与<COL YEL>村庄接待员火芽</COL>对话,,,,,,,,تحدث إلى <COL YEL>هينوا فتاة المهام</COL>,,,,,,,,,,,
