guid,crc?,<PrgDispCategory>,<PrgDispTiming>,<HunterRank>,<PrgDispHRCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispFlag>,<PrgDispCondition>,<PrgDispIconL>,<PrgDispIconS>,<QuestNumber>,<QuestNumber>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c5ad700e-ce14-4c37-9735-f4a518f61c28,380871100,進行カテゴリ,"進行タイミング
（記入自由）",必要ハンターランク,HR条件,表示させるフラグ1,条件1,表示させるフラグ2,条件2,表示させるフラグ3,条件3,表示させるフラグ4,条件4,表示させるフラグ5,条件5,表示アイコン大,表示アイコン小,モンスターアイコンに使うクエスト番号,,prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR,<COLOR FF0000>#Rejected#</COLOR> prg_index_MR
862e1730-cc8f-49d2-93c6-9f9ee53ebf5f,1469439915,集会所,"""""",,,EV_PRO_HALL_ADD_008_01_03,←がON,EV_PRO_HALL_ADD_008_01_04,←がOFF,"""""","""""","""""","""""","""""","""""",集会所の受付嬢ミノト_モデル,赤フキダシ,,,prg_disp_add008_01,<COL YEL>集会所の受付嬢ミノト</COL>と話す,Talk to <COL YEL>Minoto the Hub Maiden</COL>,Parler à <COL YEL>Minoto la réceptionniste</COL>,"Parla con
<COL YEL>Minoto la receptionist</COL>","Sprich mit <COL YEL>Minoto
dem Stätten-Mädel</COL>","Habla con <COL YEL>Minoto de la
recepción</COL>","Поговорить с
<COL YEL>Раздатчицей заданий Миното</COL>",Pomów z <COL YEL>szefową Centrum Minoto</COL>,,,"Fale com <COL YEL>Minoto, a dama da AdE</COL>",<COL YEL>집회소 접수원 미노토</COL>와 대화,與<COL YEL>集會所接待員水藝</COL>交談,与<COL YEL>集会所接待员水芸</COL>对话,,,,,,,,تحدث إلى <COL YEL>مينوتو فتاة المركز</COL>,,,,,,,,,,,
fe3097df-9f8e-4341-8d5c-6ef05389a406,3331369253,集会所,"""""",,,EV_PRO_HALL_ADD_008_01_04,←がON,EV_PRO_HALL_ADD_008_99_01,←がOFF,"""""","""""","""""","""""","""""","""""",モンスターアイコン,受注アイコン,QN315100,,prg_disp_add008_02,"<COL YEL>集会所★７緊急クエストをクリア</COL>
{0}","<COL YEL>7★ Hub Urgent Quest:</COL>
{0}","<COL YEL>Quête Urgente du Grand-Camp
7★ :</COL> {0}","<COL YEL>Missioni urgenti base
di caccia 7★:</COL> {0}","<COL YEL>Dringende 7★-Stätten-Quest:</COL>
{0}","<COL YEL>Mis. urgente 7★ sala reunión:</COL>
{0}","<COL YEL>Срочное зад. в З. собр., 7★:</COL>
{0}","<COL YEL>7★ pilne zadanie Centrum:</COL>
{0}",,,"<COL YEL>Missão Urgente da AdE 7★:</COL>
{0}","<COL YEL>집회소 ★7 긴급 퀘스트 클리어</COL>
{0}","<COL YEL>完成集會所★7的緊急任務</COL>
{0}","<COL YEL>完成集会所的★7紧急任务</COL>
{0}",,,,,,,,"<COL YEL>مهمة المركز العاجلة من المستوى ★7:</COL>
{0}",,,,,,,,,,,
40ee3de9-632d-4ca4-8f21-0d904a890817,2432152677,集会所,"""""",,,EV_PRO_HALL_ADD_008_99_01,←がON,EV_PRO_MR_001_01_01,←がOFF,"""""","""""","""""","""""","""""","""""",フィオレーネ_モデル,赤フキダシ,,,prg_disp_add008_03,<COL YEL>王国騎士フィオレーネ</COL>と話す,Talk to <COL YEL>Dame Fiorayne</COL>,Parler à <COL YEL>Dame Fiorayne</COL>,Parla con <COL YEL>Dama Fiorayne</COL>,Sprich mit <COL YEL>Fiorayne</COL>.,Habla con <COL YEL>Fiorayne</COL>,Поговорить с <COL YEL>рыцарем Фиорайной</COL>,Pomów z <COL YEL>Panią Fiorayne</COL>,,,Fale com a <COL YEL>Dama Fiorayne</COL>,<COL YEL>왕국 기사 피오레네</COL>와 대화,與<COL YEL>王國騎士菲歐莉尼</COL>交談,与<COL YEL>王国骑士菲奥莱娜</COL>对话,,,,,,,,تحدث إلى <COL YEL>السيدة فيوراين</COL>,,,,,,,,,,,
281c29eb-9ca4-48b9-9af5-b12686e6c6e0,2349142373,MR,"""""",,,EV_PRO_MR_001_01_01,←がON,EV_PRO_MR_001_01_03,←がOFF,"""""","""""","""""","""""","""""","""""",アルロ_モデル,赤フキダシ,,,prg_disp_mr1_01_01,<COL YEL>アルロー教官</COL>と話す,Talk to <COL YEL>Arena Master Arlow</COL>,Parler à <COL YEL>Maître d'Arène Arlow</COL>,Parla con <COL YEL>il maestro Arlow</COL>,Sprich mit <COL YEL>Arenameister Arlow</COL>.,"Habla con <COL YEL>el maestro
de la Arena Arlow</COL>",Поговорить с <COL YEL>Мастером Арлоу</COL>,Porozmawiaj z <COL YEL>Mistrzem Arlowem</COL>,,,Fale com o <COL YEL>Mestre Arlow</COL>,<COL YEL>알로 교관</COL>과 대화,與<COL YEL>亞爾羅教官</COL>交談,与<COL YEL>阿尔洛教官</COL>对话,,,,,,,,تحدث إلى <COL YEL>أرلو زعيم الساحة</COL>,,,,,,,,,,,
4fd1319f-7d5c-4a01-85e0-ae9413f60560,4245845598,MR,"""""",,,EV_PRO_MR_001_01_03,←がON,EV_PRO_MR_001_02_01,←がOFF,"""""","""""","""""","""""","""""","""""",チッチェ_モデル,赤フキダシ,,,prg_disp_mr1_01_02,<COL YEL>受付嬢のチッチェ姫</COL>と話す,Talk to <COL YEL>Chichae the Quest Damsel</COL>,Parler à <COL YEL>Princesse Chichae</COL>,"Parla con <COL YEL>Chichae,
la missionatrice</COL>",Sprich mit <COL YEL>Chichae</COL>.,"Habla con <COL YEL>Chichae, la gestora
de misiones</COL>","Поговорить с <COL YEL>раздатчицей
заданий Чиче</COL>","Porozmawiaj z <COL YEL>Panną
z zadaniami Chichae</COL>",,,"Fale com <COL YEL>Chichae, a Recrutadora</COL>",<COL YEL>접수원 치체 공주</COL>와 대화,與<COL YEL>接待員琪婕</COL>交談,与<COL YEL>接待员琪切公主</COL>对话,,,,,,,,تحدث إلى <COL YEL>شيشاي فتاة المهام</COL>,,,,,,,,,,,
065524e4-1277-4122-a8b1-dd7ec2a70e36,3295652339,MR,"""""",,,EV_PRO_MR_001_02_01,←がON,EV_PRO_MR_001_02_02,←がOFF,"""""","""""","""""","""""","""""","""""",チッチェ_モデル,赤フキダシ,,,prg_disp_mr1_02_01,<COL YEL>受付嬢のチッチェ姫</COL>と話す,Talk to <COL YEL>Chichae the Quest Damsel</COL>,Parler à <COL YEL>Princesse Chichae</COL>,"Parla con <COL YEL>Chichae,
la missionatrice</COL>",Sprich mit <COL YEL>Chichae</COL>.,"Habla con <COL YEL>Chichae, la gestora
de misiones</COL>","Поговорить с <COL YEL>раздатчицей
заданий Чиче</COL>","Porozmawiaj z <COL YEL>Panną
z zadaniami Chichae</COL>",,,"Fale com <COL YEL>Chichae, a Recrutadora</COL>",<COL YEL>접수원 치체 공주</COL>와 대화,與<COL YEL>接待員琪婕</COL>交談,与<COL YEL>接待员琪切公主</COL>对话,,,,,,,,تحدث إلى <COL YEL>شيشاي فتاة المهام</COL>,,,,,,,,,,,
ba322058-d186-458e-83a7-772d95db8470,2232340143,MR,"""""",,,EV_PRO_MR_001_02_02,←がON,EV_PRO_MR_001_03_01,←がOFF,"""""","""""","""""","""""","""""","""""",セレクトクエスト受注アイコン,アイコンなし,,,prg_disp_mr1_02_02,"<FONT 13>Ｍ</FONT>★１のセレクトクエストをクリア
⇒あと<COL YEL>{0}クエスト</COL>","<FONT 13>M</FONT>1★ Key Quest Completion:
<COL YEL>{0} quest(s)</COL> remaining","Quêtes clés <FONT 13>M</FONT>1★ à terminer :
<COL YEL>{0} quête(s)</COL> restante(s)","Missioni chiave <FONT 13>M</FONT>1★ rimanenti:
<COL YEL>{0}</COL>","Erfüllung der <FONT 13>M</FONT>1★-Hauptquests:
<COL YEL>{0} Quest(s)</COL> verbleibend","Misiones clave <FONT 13>M</FONT>1★
Misiones restantes: <COL YEL>{0}</COL>","<FONT 13>M</FONT> Выполн. ключ. заданий 1★:
осталось <COL YEL>{0}</COL> ","Ukończone <FONT 13>M</FONT>1★ zadania kluczowe:
pozost. <COL YEL>{0} zad.</COL>",,,"<FONT 13>M</FONT> Conclusão de Missão-chave 1★:
<COL YEL>{0} missão(ões)</COL> restando","<FONT 13>Ｍ</FONT>★1 엄선 퀘스트를 클리어
⇒앞으로 <COL YEL>{0}퀘스트</COL> 남음","完成<FONT 13>Ｍ</FONT>★1精選任務
⇒還剩<COL YEL>{0}項任務</COL>","完成<FONT 13>大师</FONT>★1精选任务
⇒剩余<COL YEL>{0}项任务</COL>",,,,,,,,"اكتمال المهمة الرئيسية <FONT 13>M</FONT>‏1★:
تبقى <COL YEL>{0} من المهام</COL> ",,,,,,,,,,,
3ba502a6-b0e8-4866-86de-c461d8b73d11,3290934876,MR,"""""",,,EV_PRO_MR_001_03_01,←がON,EV_PRO_MR_001_03_02,←がOFF,"""""","""""","""""","""""","""""","""""",チッチェ_モデル,赤フキダシ,,,prg_disp_mr1_03_01,<COL YEL>受付嬢のチッチェ姫</COL>と話す,Talk to <COL YEL>Chichae the Quest Damsel</COL>,Parler à <COL YEL>Princesse Chichae</COL>,"Parla con <COL YEL>Chichae,
la missionatrice</COL>",Sprich mit <COL YEL>Chichae</COL>.,"Habla con <COL YEL>Chichae, la gestora
de misiones</COL>","Поговорить с <COL YEL>раздатчицей
заданий Чиче</COL>","Porozmawiaj z <COL YEL>Panną
z zadaniami Chichae</COL>",,,"Fale com <COL YEL>Chichae, a Recrutadora</COL>",<COL YEL>접수원 치체 공주</COL>와 대화,與<COL YEL>接待員琪婕</COL>交談,与<COL YEL>接待员琪切公主</COL>对话,,,,,,,,تحدث إلى <COL YEL>شيشاي فتاة المهام</COL>,,,,,,,,,,,
8b5b1f22-1f70-4c78-ad74-ccf9ee0d7c52,3634469467,MR,"""""",,,EV_PRO_MR_001_03_02,←がON,EV_PRO_MR_001_04_01,←がOFF,"""""","""""","""""","""""","""""","""""",モンスターアイコン,受注アイコン,QN315190,,prg_disp_mr1_03_02,"<COL YEL><FONT 13>Ｍ</FONT>★１緊急クエストをクリア</COL>
{0}","<COL YEL><FONT 13>M</FONT>1★ Urgent Quest:</COL>
{0}","<COL YEL>Quête Urgente <FONT 13>M</FONT>1★</COL>
{0}","<COL YEL>Missione urgente <FONT 13>M</FONT>1★:</COL>
{0}","<COL YEL><FONT 13>M</FONT>1★ Dringende Quest:</COL>
{0}","<COL YEL>Misión urgente <FONT 13>M</FONT>1★:</COL>
{0}","<COL YEL><FONT 13>M</FONT> Срочное задание 1★:</COL>
{0}","<COL YEL>Pilne <FONT 13>M</FONT>1★ zadanie:</COL>
{0}",,,"<COL YEL><FONT 13>M</FONT> Missão Urgente 1★:</COL>
{0}","<COL YEL><FONT 13>Ｍ</FONT>★1 긴급 퀘스트를 클리어</COL>
{0}","<COL YEL>完成<FONT 13>Ｍ</FONT>★1的緊急任務</COL>
{0}","<COL YEL>完成<FONT 13>大师</FONT>★1紧急任务</COL>
{0}",,,,,,,,"<COL YEL>مهمة عاجلة <FONT 13>M</FONT>‏1★</COL>
{0}",,,,,,,,,,,
