guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f69fe2f5-33ea-4cb8-a2d9-4242284e148c,2217433818,QN020101_01,闘技大会０１,Arena 01,Arène 01,Arena 01,Arena 01,Arena 01,Арена 01,Arena 01,,,Arena 01,격투대회 01,鬥技大會01,斗技大会01,,,,,,,,الحلبة 01,,,,,,,,,,,
4d645236-4751-4c3b-a497-7b55146e4126,2922894693,QN020101_02,ウツシ教官,Master Utsushi,Utsushi le maître,Maestro Utsushi,Meister Utsushi,Maestro Utsushi,Мастер Уцуси,Mistrz Utsushi,,,Mestre Utsushi,우츠시 교관,倪泰教官,倪泰教官,,,,,,,,السيد أوتسوشي,,,,,,,,,,,
52c2b32d-d688-455d-ad57-e381edae8893,4281894073,QN020101_03,"愛弟子よ、闘技大会へようこそ！
決められた武具を駆使して、
その腕前を存分に発揮してくれ！","Yo, Ace! Ready for some awesome
Arena action!? Prove your mettle
using the equipment provided here!","Yo, l'artiste ! Tu te sens de
taille pour l'Arène ?!
Sers-toi de l'équipement
fourni ici pour montrer
de quoi t'es capable !","Che ne dici di un po'
d'azione nell'Arena?
Usa l'equipaggiamento qui
disponibile e dimostra
le tue abilità!","Moin, Ass! Bereit für 'ne Runde
Spaß in der Arena?! Beweise
deinen Mut mit der hier zur
Verfügung gestellten Ausrüstung!","¡¿Quieres un poco de acción en
la Arena, hacha?! ¡Demuestra
de lo que eres capaz usando
equipamiento que te damos!","Йоу, ас! У тебя все готово к битве
на арене? Вот снаряжение,
покажи, что умеешь!","Siemanko! To co, może
trochę akcji na Arenie? 
Dowiedź swoich umiejętności,
używając tego wyposażenia!",,,"Aí, Craque! <LSNR {Pronto} {Pronta}> pra ação irada
na Arena?! Prova sua coragem com
o equipamento fornecido aqui!","격투대회에 온 걸 환영한다!
애제자여! 정해진 장비를 구사해
그 실력을 발휘해 보아라!","愛徒啊，歡迎來到鬥技大會！
請使用規定的武具，
盡情發揮你的實力吧！","我的爱徒啊，欢迎来到斗技大会！
使用指定的武具，
充分发挥你的实力吧！",,,,,,,,"<LSNR {أيها البارع} {أيتها البارعة}>! <LSNR {جاهز} {جاهزة}> لبعض قتال
الحلبة الرائع!؟ <LSNR {أثبت قوتك} {أثبتي قوتكِ}> باستخدام
المعدات المتوفرة هنا!",,,,,,,,,,,
f90ae1aa-2226-4bf0-9809-9061208c8412,3775897270,QN020101_04,クルルヤックの討伐,Slay a Kulu-Ya-Ku,Tuer un Kulu-Ya-Ku,Uccidi un Kulu-Ya-Ku,Erlege einen Kulu-Ya-Ku.,Abate un Kulu-Ya-Ku,Убить Кулу-Йа-Ку,Zabij Kulu-Ya-Ku,,,Mate um Kulu-Ya-Ku,쿠루루야크 토벌,討伐搔鳥,讨伐搔鸟,,,,,,,,اقتل كولو-يا-كو,,,,,,,,,,,
7be169c3-47ba-4cc4-864b-c7a88e148aa7,3319336116,QN020101_05,"報酬金ゼロ（１回力尽きる）
タイムアップ","Reward hits 0 (Faint once),
or time expires","Prime à 0 (1 évanouissement)
Temps expiré","Premio a zero (uno svenimento)
o tempo scaduto","Belohnung auf 0 (1x bewusstlos)
oder Zeit läuft ab.","Un desmayo (la recompensa
cae a 0) o se acaba el tiempo.","Счетчик награды доходит до 0
(один обморок) или ист. время","Nagroda równa 0 (jedno
zemdlenie) lub koniec czasu",,,"A recompensa chega a 0
(Um desmaio) ou o tempo expira","보수금 0(1번 힘이 다한다)
시간 초과","報酬金0（力竭倒下1次）
時間結束","报酬金额为零（1次力尽倒下）
时间耗尽",,,,,,,,"0 ضربات المكافأة (إغماء مرة واحدة)،
أو ينتهي الوقت",,,,,,,,,,,
03e55b2b-9531-4b2e-a667-73e37e74017c,1680837151,QN020201_01,闘技大会０２,Arena 02,Arène 02,Arena 02,Arena 02,Arena 02,Арена 02,Arena 02,,,Arena 02,격투대회 02,鬥技大會02,斗技大会02,,,,,,,,الحلبة 02,,,,,,,,,,,
495bb300-eab5-41d8-82a0-077c206b613a,2887682026,QN020201_02,ウツシ教官,Master Utsushi,Utsushi le maître,Maestro Utsushi,Meister Utsushi,Maestro Utsushi,Мастер Уцуси,Mistrz Utsushi,,,Mestre Utsushi,우츠시 교관,倪泰教官,倪泰教官,,,,,,,,السيد أوتسوشي,,,,,,,,,,,
c9d8dd1b-e07f-4f49-aa4b-9a6c84a1bb8b,824564437,QN020201_03,"愛弟子よ、闘技大会へようこそ！
決められた武具を駆使して、
その腕前を存分に発揮してくれ！","Yo, Ace! Ready for some awesome
Arena action!? Prove your mettle
using the equipment provided here!","Yo, l'artiste ! Tu te sens de
taille pour l'Arène ?!
Sers-toi de l'équipement
fourni ici pour montrer
de quoi t'es capable !","Che ne dici di un po'
d'azione nell'Arena?
Usa l'equipaggiamento qui
disponibile e dimostra
le tue abilità!","Moin, Ass! Bereit für 'ne Runde
Spaß in der Arena?! Beweise
deinen Mut mit der hier zur
Verfügung gestellten Ausrüstung!","¡¿Quieres un poco de acción en
la Arena, hacha?! ¡Demuestra
de lo que eres capaz usando
equipamiento que te damos!","Йоу, ас! У тебя все готово к битве
на арене? Вот снаряжение,
покажи, что умеешь!","Siemanko! To co, może
trochę akcji na Arenie? 
Dowiedź swoich umiejętności,
używając tego wyposażenia!",,,"Aí, Craque! <LSNR {Pronto} {Pronta}> pra ação irada
na Arena?! Prova sua coragem com
o equipamento fornecido aqui!","격투대회에 온 걸 환영한다!
애제자여! 정해진 장비를 구사해
그 실력을 발휘해 보아라!","愛徒啊，歡迎來到鬥技大會！
請使用規定的武具，
盡情發揮你的實力吧！","我的爱徒啊，欢迎来到斗技大会！
使用指定的武具，
充分发挥你的实力吧！",,,,,,,,"<LSNR {أيها البارع} {أيتها البارعة}>! <LSNR {جاهز} {جاهزة}> لبعض قتال
الحلبة الرائع!؟ <LSNR {أثبت قوتك} {أثبتي قوتكِ}> باستخدام
المعدات المتوفرة هنا!",,,,,,,,,,,
e5158bcd-a50f-4c5f-8a94-7344294dc7dd,1419854976,QN020201_04,ボルボロスの討伐,Slay a Barroth,Tuer un Barroth,Uccidi un Barroth,Erlege einen Barroth.,Abate un Barroth,Убить Баррота,Zabij Barrotha,,,Mate um Barroth,볼보로스 토벌,討伐土砂龍,讨伐土砂龙,,,,,,,,اقتل باروث,,,,,,,,,,,
994ddab1-d2c3-4bc6-a670-cec7ff60ddec,2340759656,QN020201_05,"報酬金ゼロ（１回力尽きる）
タイムアップ","Reward hits 0 (Faint once),
or time expires","Prime à 0 (1 évanouissement)
Temps expiré","Premio a zero (uno svenimento)
o tempo scaduto","Belohnung auf 0 (1x bewusstlos)
oder Zeit läuft ab.","Un desmayo (la recompensa
cae a 0) o se acaba el tiempo.","Счетчик награды доходит до 0
(один обморок) или ист. время","Nagroda równa 0 (jedno
zemdlenie) lub koniec czasu",,,"A recompensa chega a 0
(Um desmaio) ou o tempo expira","보수금 0(1번 힘이 다한다)
시간 초과","報酬金0（力竭倒下1次）
時間結束","报酬金额为零（1次力尽倒下）
时间耗尽",,,,,,,,"0 ضربات المكافأة (إغماء مرة واحدة)،
أو ينتهي الوقت",,,,,,,,,,,
ecfa48c8-8ee0-4bea-bb79-b6cb09a46fc3,3950799326,QN020301_01,闘技大会０３,Arena 03,Arène 03,Arena 03,Arena 03,Arena 03,Арена 03,Arena 03,,,Arena 03,격투대회 03,鬥技大會03,斗技大会03,,,,,,,,الحلبة 03,,,,,,,,,,,
36855994-9086-4024-8d44-a44fbf8c56e1,2900947818,QN020301_02,ウツシ教官,Master Utsushi,Utsushi le maître,Maestro Utsushi,Meister Utsushi,Maestro Utsushi,Мастер Уцуси,Mistrz Utsushi,,,Mestre Utsushi,우츠시 교관,倪泰教官,倪泰教官,,,,,,,,السيد أوتسوشي,,,,,,,,,,,
e4074fe2-10d6-48e2-a7f8-9c4af63d8391,2663356557,QN020301_03,"愛弟子よ、闘技大会へようこそ！
決められた武具を駆使して、
その腕前を存分に発揮してくれ！","Yo, Ace! Ready for some awesome
Arena action!? Prove your mettle
using the equipment provided here!","Yo, l'artiste ! Tu te sens de
taille pour l'Arène ?!
Sers-toi de l'équipement
fourni ici pour montrer
de quoi t'es capable !","Che ne dici di un po'
d'azione nell'Arena?
Usa l'equipaggiamento qui
disponibile e dimostra
le tue abilità!","Moin, Ass! Bereit für 'ne Runde
Spaß in der Arena?! Beweise
deinen Mut mit der hier zur
Verfügung gestellten Ausrüstung!","¡¿Quieres un poco de acción en
la Arena, hacha?! ¡Demuestra
de lo que eres capaz usando
equipamiento que te damos!","Йоу, ас! У тебя все готово к битве
на арене? Вот снаряжение,
покажи, что умеешь!","Siemanko! To co, może
trochę akcji na Arenie? 
Dowiedź swoich umiejętności,
używając tego wyposażenia!",,,"Aí, Craque! <LSNR {Pronto} {Pronta}> pra ação irada
na Arena?! Prova sua coragem com
o equipamento fornecido aqui!","격투대회에 온 걸 환영한다!
애제자여! 정해진 장비를 구사해
그 실력을 발휘해 보아라!","愛徒啊，歡迎來到鬥技大會！
請使用規定的武具，
盡情發揮你的實力吧！","我的爱徒啊，欢迎来到斗技大会！
使用指定的武具，
充分发挥你的实力吧！",,,,,,,,"<LSNR {أيها البارع} {أيتها البارعة}>! <LSNR {جاهز} {جاهزة}> لبعض قتال
الحلبة الرائع!؟ <LSNR {أثبت قوتك} {أثبتي قوتكِ}> باستخدام
المعدات المتوفرة هنا!",,,,,,,,,,,
1b9ce4b2-9ea7-4576-ac7d-46d65676f73e,4222001902,QN020301_04,ロアルドロス１頭とナルガクルガ１頭の討伐,Slay a Royal Ludroth and a Nargacuga,Tuer un Ludroth royal et un Nargacuga,Uccidi un Ludroth reale e un Nargacuga,"Erlege einen Königs-Ludroth und einen
Nargacuga.",Abate un Ludroth Real y un Nargacuga,Убить Королевского Лудрота и Наргакугу,Zabij Ludrotha Królewskiego i Nargacuga,,,Mate um Ludroth Real e um Nargacuga,"로아루드로스 1마리와
나르가쿠르가 1마리 토벌",討伐1頭水獸與1頭迅龍,讨伐1头水兽和1头迅龙,,,,,,,,اقتل لودروث الملكي ونارجاكوجا,,,,,,,,,,,
