guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1cfaa4f4-ea56-4be1-b3ba-1bded2467275,277511414,QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01,<COLOR FF0000>#Rejected#</COLOR> QN060001_01
95f56900-a683-4fca-88e8-b3477f0999ba,1179215891,QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02,<COLOR FF0000>#Rejected#</COLOR> QN060001_02
9c9638d9-335f-4292-ad6f-e7128225c047,1273995060,QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03,<COLOR FF0000>#Rejected#</COLOR> QN060001_03
2cd5d232-66a1-4429-b3f6-5afecd8e74ef,1975350449,QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04,<COLOR FF0000>#Rejected#</COLOR> QN060001_04
a3443d5c-0b8e-4892-80ec-b39e0691e81c,2560454193,QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05,<COLOR FF0000>#Rejected#</COLOR> QN060001_05
623b55db-d706-4642-9b9c-70cec82a2360,3085629879,QN060002_01,称号・モノノフの心,Heart of a Warrior,Cœur vaillant,Cuore di guerriero,Herz eines Kriegers,El más fuerte de los fuertes,Сердце воина,Serce wojownika,,,Coração de Guerreiro,칭호-무사의 마음,稱號･武士之心,称号・武士之心,,,,,,,,قلب المحارب,,,,,,,,,,,
b88c7358-8da5-46f0-b42e-208003343c4e,1701973811,QN060002_02,里長フゲン,Fugen the Elder,Fugen l'Ancien,Fugen l'anziano,Fogen der Älteste,Fugen el anciano,Старейшина Фугэн,Starszy Fugen,,,"Fugen, o ancião",촌장 후겐,村長傅賢,村长普贤,,,,,,,,المعمّر فيوجين,,,,,,,,,,,
8f987618-5731-4f0a-8bda-23a1cc6f01a9,606778724,QN060002_03,"<PL>よ！
闘技場で最強の剣と槍を決すべく
ゴシャハギとマガイマガドの決闘
があるらしいぞ！
しかし、オマエならばこの２頭
をも凌ぐであろう！　達成した
暁には新たな称号を授けよう！","Hey, Squirt! We've got ourselves a little
quest that'll determine who's the strongest
hunter. My zenny's on you, but we'll see!
All ya gotta do is go and smack around
a Goss Harag and Magnamalo in the Arena
and these titles are yours! Think you're up
to it? Well go get to it! Bwahahaha!","Hé, voici la quête parfaite pour
déterminer qui est le meilleur
chasseur. Je parie sur toi, on verra
bien ! T'as juste à zigouiller un
Goss Harag et Magnamalo dans l'Arène
pour remporter le titre ! Tu penses
être de taille ?! Allez, au boulot !","Ehi, giovane! La nuova missione
determinerà chi è il
cacciatore più forte. Io punto
tutto su di te. Sconfiggi un
Goss Harag e il Magnamalo
nell'Arena e il titolo è
tutto tuo. Pensi di farcela?","Hey, Frischling! Wir haben 'ne
kleine Quest, um rauszufinden,
wer der stärkste Jäger ist. Ich
setze auf dich! Verprügel den Goss
Harag und Magnamalo in der Arena,
dann hast du den Titel! Meinst du,
du schaffst das? Dann los! Bwahaha!","¡Hola, <PL>!
Queremos decidir quién es el
cazador más fuerte, ¡y yo digo
que lo eres tú! Ve a la Arena
y derrota a un Goss Harag y a
Magnamalo para demostrarlo.
¡A por ellos! ¡Buaja, ja, ja!","Эй, Выскочка! У нас тут есть
задание, которое определит
сильнейшего охотника. Я лично
ставлю на тебя, но там видно
будет! Иди и задай трепку на
Арене Госс-Харагу и Магнамало!
Вперед!","Hej, czołem! Stworzyliśmy zadanko, które
ma dowieść, kto jest najmocniejszym
łowcą. Postawiłbym na ciebie ostatnie
zeni – zobaczymy, czy słusznie! Musisz
pójść na Arenę i rozsmarować po niej
Goss Haraga i Magnamalo, a tytuł będzie
twój! Dasz radę? No to jazda! Buahahaha!",,,"Ei, <LSNR {guri} {guria}>! Temos uma pequena missão que
vai determinar quem é mais forte.
Eu apostei em você, mas veremos!
Você só precisa ir à Arena dar uma surra
em um Goss Harag e no Magnamalo, e o
título será seu! Acha que dá conta do
recado? Então, mãos à obra! Buahahaha!","<PL>! 최강의 검과
창을 가리기 위해 격투장에서
고샤하기와 마가이마가도의
결투가 벌어진다고 한다!
하지만 너라면 이 둘을 능가할
수 있겠지! 만약 성공하면
네게 새로운 칭호를 주마!","<PL>啊！
雪鬼獸與怨虎龍似乎正為了爭奪
最強之劍與最強之槍的名號，
在鬥技場展開了決鬥！
但我相信你必能超越這兩頭魔物！
等你成功討伐牠們後，
我將會授予你新的稱號！","<PL>啊！
雪鬼兽和怨虎龙在斗技场里
展开决斗，誓要在剑与枪之间
决出一个最强！
不过，你的实力肯定凌驾于
这两头怪物之上！完成任务后，
我会授予你新的称号！",,,,,,,,"مرحبًا، يا صغير! حصلنا على
مهمة صغيرة ستُحدد من هو الصياد
الأقوى. أراهن عليك، ولكن سنرى
ما سيحدث! كل ما عليك فعله هو
الذهاب لضرب جوس هراج وماجنامالو
في الحلبة والفوز باللقب! أتعتقد
أنك قادر على ذلك؟ جيد احصل عليه إذن!",,,,,,,,,,,
d4a5db74-e3d8-4300-a632-be576f2f09b8,926803767,QN060002_04,ゴシャハギ１頭とマガイマガド１頭の狩猟,Hunt a Goss Harag and Magnamalo,Chasser un Goss Harag et le Magnamalo,Caccia un Goss Harag e il Magnamalo,Erjage einen Goss Harag und Magnamalo.,Caza un Goss Harag y a Magnamalo,Выследить Госс-Харага и Магнамало,Upoluj Goss Haraga i Magnamalo,,,Cace um Goss Harag e um Magnamalo,"고샤하기 1마리와
마가이마가도 1마리 사냥",狩獵1頭雪鬼獸與1頭怨虎龍,狩猎1头雪鬼兽和1头怨虎龙,,,,,,,,صيد جوس هراج وماجنامالو,,,,,,,,,,,
c524fa50-eaf8-45e7-8f86-44762324e127,1110235634,QN060002_05,"報酬金ゼロ
タイムアップ","Reward hits 0, or time expires",Prime à 0/Temps expiré,Premio a zero o tempo scaduto,"Belohnung auf 0 oder Zeit
läuft ab.","La recompensa cae a 0
o se acaba el tiempo","Счетчик награды доходит до 0
или истекает время","Nagroda równa 0 lub
koniec czasu",,,"A recompensa chega a 0
ou o tempo expira","보수금 0
시간 초과","報酬金0
時間結束","报酬金额为零
时间耗尽",,,,,,,,0 ضربات المكافأة، أو ينفد الوقت,,,,,,,,,,,
