guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0d595b6a-45dc-4def-8a8d-79db719be860,2237327351,QN010101_01,大社跡の探索ツアー,A Tour of the Ruins,Visite du Temple oublié,Un tour delle rovine,Erkundung der Ruinen,Un recorrido por el templo,Поход по руинам,Wycieczka po Ruinach,,,Um passeio pelas Ruínas,사원 폐허 탐색 투어,大社遺跡的探索之旅,废神社的探索之旅,,,,,,,,جولة في الأطلال,,,,,,,,,,,
db150d90-d8d0-4443-9f66-d32c25be5e1e,2410695330,QN010101_02,ギルドマネージャー・ゴコク,Guild Master Hojo,Hojo le Maître de la Guilde,Hojo il capo della Gilda,Gildenmeister Hojo,Hojo el maestro del gremio,Мастер Гильдии Ходзё,Mistrz Gildii Hojo,,,Mestre de guilda Hojo,길드 매니저 고코쿠,公會經紀人･風登,公会经纪人・岁丰稔,,,,,,,,زعيم النقابة هوجو,,,,,,,,,,,
62a181d8-02fd-450b-b729-0fe70d425a89,3263817495,QN010101_03,"お～う、<PL>。
大社跡を自由に探索したいなら
このクエストを受けるでゲコ。
時間は無制限、何度やられても
問題なしでゲコよ。
満足したら、メニュー画面から
いつでも帰還するがよいでゲコ。","Ah, <PL>. Fancy a
leisurely exploration of the
Shrine Ruins? Johoho! Here's
a quest with no limits on time
or reprise, and you can leave
via the menu screen whenever
you'd like to! Bon voyage!","<PL>, ça te dirait
d'explorer en paix le Temple
oublié ? Pas de limite de temps
sur cette quête, et tu peux
la refaire plusieurs fois.
Passe par l'écran du menu
pour quitter à tout moment.","Ah, <PL>. Ti va
di esplorare le Rovine sacre
in tutta calma? Ohohoh! Ho una
missione senza limiti di tempo
o riprese. Puoi abbandonarla
dalla schermata del menu in
qualsiasi momento. Bon voyage!","Ah, <PL>. Lust auf
eine Erkundungstour an den
Heiligen Ruinen? Hier ist eine
Quest ohne Limit in Bezug auf
Zeit und Wiederholungen, und
über den Menübildschirm kommst
du jederzeit zurück. Johoho!","Ah, <PL>. ¿Te hace
dar un paseíto por el Templo
olvidado? Aquí tienes una
misión sin límite de tiempo ni
repeticiones que puedes dejar
mediante la pantalla de menú
cuando quieras. ¡Buen viaje!","А, <PL>.
Не желаешь прогуляться по
Руинам святилища? Хо-хо-хо!
Это задание можно выполнять
сколько угодно. А как надоест,
можно выйти через меню.
В добрый путь!","Ach, <PL>. Co
powiesz na nieśpieszną
eksplorację Ruin Świątynnych?
Johoho! To zadanie bez limitów
czasu i powtórek. Możesz je
opuścić przez menu, kiedy
zechcesz. Szerokiej drogi!",,,"Ah, <PL>. Que tal
explorar as Ruínas do Templo?
Dohoho! Tenho uma missão sem
limite de repetição ou de
tempo, e você pode sair pela
tela do menu quando quiser.
Boa viagem!","오~ <PL>.
사원 폐허를 자유롭게 탐색하고
싶다면 이 퀘스트를 받아라개골.
시간 제한도 없고, 몇 번을
당해도 상관없다개골.
그리고 만족했다면 언제든
메뉴 화면을 통해 귀환해라개골.","哦～<PL>。
如果你想自由探索大社遺跡，
那就承接這項任務呱。
任務沒有時間限制，
無論倒下多少次都不要緊呱。
等你覺得心滿意足了，
隨時都可以從選單畫面返回呱。","噢～<PL>！
如果你想自由探索废神社，
就接下这个任务呱。
没有时间限制，
力尽倒下多少次都没问题呱！
等探索得心满意足了，
就随时从菜单画面返回呱！",,,,,,,,"آه، <PL>. هل <LSNR {ترغب} {ترغبين}>
في الاستكشاف المتمهل
لأطلال الضريح؟ هوهوهو! <LSNR {إليك} {إليكِ}> مهمة
بلا حدود للوقت أو التكرار،
<LSNR {ويُمكنك} {ويُمكنكِ}> المغادرة
عبر شاشة القائمة وقتما
<LSNR {تشاء} {تشائين}>! رحلة سعيدة!",,,,,,,,,,,
2ee0c460-1732-48f5-b825-1b44eb96e30f,1416265761,QN010101_04,大社跡の探索,Explore the Shrine Ruins,Explorer le Temple oublié,Esplora le Rovine sacre,Erforsche die Heiligen Ruinen,Explora el Templo olvidado,Разведать Руины святилища,Zbadaj Ruiny Świątynne,,,Explore as Ruínas do Templo,사원 폐허 탐색,探索大社遺跡,探索废神社,,,,,,,,استكشاف أطلال الضريح,,,,,,,,,,,
19d64bfa-9889-4582-9e26-daba2ff86b32,2227344173,QN010101_05,条件なし,None,Rien,Nessuna,-,Ninguna,Нет,Brak,,,Nenhum,조건 없음,無條件,无条件,,,,,,,,لا يوجد,,,,,,,,,,,
ac37bda8-8e68-44cf-9342-827e623d17d5,2315968050,QN010102_01,寒冷群島の探索ツアー,A Tour of the Islands,Visite de l'Archipel,Un tour delle isole,Erkundung der Inseln,Un recorrido por las islas,Поход по островам,Wycieczka po Wyspach,,,Um passeio pelas Ilhas,한랭 군도 탐색 투어,寒冷群島的探索之旅,冰封群岛的探索之旅,,,,,,,,جولة في الجُزر,,,,,,,,,,,
12438a5a-2385-4e16-9479-506ac030c0f5,2895475297,QN010102_02,ギルドマネージャー・ゴコク,Guild Master Hojo,Hojo le Maître de la Guilde,Hojo il capo della Gilda,Gildenmeister Hojo,Hojo el maestro del gremio,Мастер Гильдии Ходзё,Mistrz Gildii Hojo,,,Mestre de guilda Hojo,길드 매니저 고코쿠,公會經紀人･風登,公会经纪人・岁丰稔,,,,,,,,زعيم النقابة هوجو,,,,,,,,,,,
767e0a2e-bf31-4bab-8db7-8e1629459fe1,2073474001,QN010102_03,"お～う、<PL>。
寒冷群島を自由に探索したいなら
このクエストを受けるでゲコ。
時間は無制限、何度やられても
問題なしでゲコよ。
満足したら、メニュー画面から
いつでも帰還するがよいでゲコ。","Ah, <PL>. Fancy a
leisurely exploration of the
Frost Islands? Johoho! Here's
a quest with no limits on time
or reprise, and you can leave
via the menu screen whenever
you'd like to! Bon voyage!","<PL>, ça te dirait
d'explorer en paix l'Archipel de
glace ? Pas de limite de temps
sur cette quête, et tu peux
la refaire plusieurs fois.
Passe par l'écran du menu
pour quitter à tout moment.","Ah, <PL>. Ti va di
esplorare le Isole ghiacciate
in tutta calma? Ohohoh! Ho una
missione senza limiti di tempo
o riprese. Puoi abbandonarla
dalla schermata del menu in
qualsiasi momento. Bon voyage!","Ah, <PL>. Lust auf
eine Erkundungstour auf den
Frostinseln? Hier ist eine Quest
ohne Limit in Bezug auf Zeit
und Wiederholungen, und über
den Menübildschirm kommst du
jederzeit zurück. Johoho!","Ah, <PL>. ¿Te hace
dar un paseíto por las Islas
heladas? Aquí tienes una
misión sin límite de tiempo ni
repeticiones que puedes dejar
mediante la pantalla de menú
cuando quieras. ¡Buen viaje!","А, <PL>.
Не желаешь прогуляться по
Морозным островам? Хо-хо-хо!
Это задание можно выполнять
сколько угодно. А как надоест,
можно выйти через меню.
В добрый путь!","Ach, <PL>. Co
powiesz na nieśpieszną
eksplorację Wysp Mroźnych?
Johoho! To zadanie bez limitów
czasu i powtórek. Możesz je
opuścić przez menu, kiedy
zechcesz. Szerokiej drogi!",,,"Ah, <PL>. Que tal
explorar as Ilhas Gélidas?
Dohoho! Tenho uma missão sem
limite de repetição ou de
tempo, e você pode sair pela
tela do menu quando quiser.
Boa viagem!","오~ <PL>.
한랭 군도를 자유롭게 탐색하고
싶다면 이 퀘스트를 받아라개골.
시간 제한도 없고, 몇 번을
당해도 상관없다개골.
그리고 만족했다면 언제든
메뉴 화면을 통해 귀환해라개골.","哦～<PL>。
如果你想自由探索寒冷群島，
那就承接這項任務呱。
任務沒有時間限制，
無論倒下多少次都不要緊呱。
等你覺得心滿意足了，
隨時都可以從選單畫面返回呱。","噢～<PL>！
如果你想自由探索冰封群岛，
就接下这个任务呱。
没有时间限制，
力尽倒下多少次都没问题呱！
等探索得心满意足了，
就随时从菜单画面返回呱！",,,,,,,,"آه، <PL>. هل <LSNR {ترغب} {ترغبين}>
في الاستكشاف المتمهل
للجُزر الجليدية؟ هوهوهو! <LSNR {إليك} {إليكِ}> مهمة
بلا حدود للوقت أو التكرار،
<LSNR {ويُمكنك} {ويُمكنكِ}> المغادرة
عبر شاشة القائمة وقتما
<LSNR {تشاء} {تشائين}>! رحلة سعيدة!",,,,,,,,,,,
db721928-b227-42c8-b2ad-5799691aa9d6,95200687,QN010102_04,寒冷群島の探索,Explore the Frost Islands,Explorer l'Archipel de glace,Esplora le Isole ghiacciate,Erforsche die Frostinseln,Explora las Islas heladas,Разведать Морозные острова,Zbadaj Wyspy Mroźne,,,Explore as Ilhas Gélidas,한랭 군도 탐색,探索寒冷群島,探索冰封群岛,,,,,,,,استكشاف الجُزر الثلجية,,,,,,,,,,,
f18c9297-c276-440f-b795-01fd6fc6e99d,3304628703,QN010102_05,条件なし,None,Rien,Nessuna,-,Ninguna,Нет,Brak,,,Nenhum,조건 없음,無條件,无条件,,,,,,,,لا يوجد,,,,,,,,,,,
