guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
347dc8a0-53eb-4803-b6de-a1348d1ef2e7,2648893417,QN010722_03_MR,"何が起こっても立ち向かえるよう
腕を鍛えることができる、
難しいクエストを用意した。
猛き炎よ！　ツワモノ共を狩猟し
その強さを俺に示してくれ！
乗り越えた暁には、褒美として、
特殊な花結を授けるぞ！","Got a real challenge here for
ya, Squirt! Bwahaha! Look at
those ears perk up! I knew it'd
be right up your alley! Best these
beasties and ol' Fugen will give
ya a new Petalace. Sounds
good, don't it!? Now go get to it!","J'ai une épreuve de taille pour
toi ! Ha ha ha ! Je le savais que
ça allait attirer ton attention !
Élimine ces monstres, et je te
donnerai un nouveau Florelet. Ça
te tente ? Allez, au boulot !","Ho una missione davvero dura
per te, giovane! Buahahah! Ma
guarda che interesse! Sapevo
che faceva al caso tuo! Se
sconfiggi quelle bestie, Fugen
ti darà un nuovo floretto.
Non male, vero? Su, vai!","Hab 'ne echte Herausforderung
für dich, Frischling! Muhahaha! Da
spitzt du die Ohren! Wusste doch,
dass dir das gefällt! Besieg diese
Bestien, dann gibt dir der alte
Fogen ein neues Flollier. Klingt
das nicht gut?! Dann mal los!","Tengo una misión para ti que
será pan comido. Al terminar,
ya pocas cosas habrá que no
puedas conseguir. Si puedes
con ello, ¡te harás con un
nuevo petalazo!","У меня для тебя испытание,
Выскочка! Бва-ха-ха! Ага, ушки
на макушке! Я так и знал!
Побей этих чудищ и старый
Фугэн даст тебе новый
Лепестретик. Что скажешь?
Ну, вперед!","Mam tu dla ciebie prawdziwe
wyzwanie! Buahaha! Oho, jak
strzyże uszami! Wiedziałem, że
cię to zainteresuje! Spuść
manto tym bestiom, a dziadzio
Fugen da ci nową florię.
Pasuje? No to do roboty!",,,"Tenho um verdadeiro desafio aqui pra
você, <LSNR {Guri} {Guria}>! Buahaha! Olha só essas
orelhas em pé! Eu sabia que você se
interessaria! Derrota aquelas feras,
e o velho Fugen aqui vai te dar um
Petalar novo. Parece bom, não?
Agora, manda brasa!","무슨 일이 있어도 맞서 싸울
힘을 기르도록 어려운 퀘스트를
준비했다. 맹렬한 불꽃이여!
강자들을 사냥하고 그 힘을
내게 증명해 보거라! 그러면
상으로 특수한 꽃팔찌를 주마!","烈火啊！我準備了困難的任務，
以鍛鍊你的身手，讓你能應付各種
情況。狩獵強者，向我展示你的實
力吧！當你克服考驗後，我將會獎
賞你，授予你特殊的結花環！","为了无论发生何事都能从容应对，
我为你准备了这个
能够锻炼身手的困难任务。
烈焰啊！狩猎强者，
向我展现你的强大吧！
作为完成任务的奖赏，
我会授予你特殊的花链！",,,,,,,,"<LSNR {لديك} {لديكِ}> تحدٍ حقيقي هنا
<LSNR {أيها الصغير} {أيتها الصغيرة}>! هاهاها! <LSNR {انظر} {انظري}> إلى
تلك الآذان المنتبهة! علمت أنه
<LSNR {سيناسبك} {سيناسبكِ}>! <LSNR {تفوّق} {تفوّقي}> على هذه الوحوش
و<LSNR {سيمنحك} {سيمنحكِ}> فيوجين الكبير بيتاليس
جديدًا. يبدو جيدًا، أليس
كذلك!؟ الآن <LSNR {اذهب وأنه} {اذهبي وأنهي}> الأمر!",,,,,,,,,,,
17cf63fd-9e09-43d6-94a9-d43898ff4f26,573666900,QN315100_01,静寂を切り裂くもの,Uninvited Guest,Hôte indésirable,Ospite imbucato,Unerbetener Gast,Invitado indeseado,Незваный гость,Nieproszony gość,,,Penetra,정적을 가르는 것,劃破寂靜者,撕裂寂静者,,,,,,,,ضيف غير مدعو,,,,,,,,,,,
937a8ebd-32a5-4f2c-b4f6-b1ba7276b36f,1891973996,QN315100_02,里長フゲン,Fugen the Elder,Fugen l'Ancien,Fugen l'anziano,Fogen der Älteste,Fugen el anciano,Старейшина Фугэн,Starszy Fugen,,,"Fugen, o ancião",촌장 후겐,村長傅賢,村长普贤,,,,,,,,الزعيم فيوجين,,,,,,,,,,,
e06fc09f-dbd2-4fc8-b7f3-ced23a780899,841050887,QN315100_03,"遠き異国の地に生息する盾蟹が、
まさか大社跡に現れるとはな…。
その名が示す通り、奴の甲殻は
かなりの硬度を誇ると聞く。だが
いかに硬き盾も、強靭な矛ならば
貫けよう。<PL>よ。
この調査、オマエに任せるぞ。","So a Daimyo Hermitaur found its way
into the Shrine Ruins, huh? Well, time
for a little Kamura welcome. But be
careful, I hear that shell of theirs is
darn near impossible to penetrate. 
Not a problem for a smart hunter
like you! Bwahaha! Now go get to it!","Un Hermitaur Daimyo est
entré dans le Temple oublié :
c'est l'heure d'un petit
accueil à la Kamura. On dit
que sa carapace est quasi
impénétrable, mais c'est pas
un problème pour toi. Vas-y !","Quindi un Daimyo Hermitaur è arrivato
fino alle Rovine sacre, eh? Bene,
diamogli il benvenuto. Fai attenzione
però, ho sentito che il loro guscio è
quasi impossibile da penetrare. Non
sarà un problema per <LSNR {un cacciatore} {una cacciatrice}>
abile come te. Buahahah! Al lavoro!","Ein Daimyo Hermitaur hat also seinen
Weg in die Heiligen Ruinen gefunden,
hm? Nun, heiße ihn willkommen!
Aber vorsichtig, sein Panzer scheint
fast unmöglich zu durchbrechen
zu sein. Kein Problem für <LSNR {einen} {eine}>
<LSNR {schlauen Jäger} {schlaue Jägerin}> wie dich! Bwahaha!","Así que un Daimyo Hermitaur ha
llegado hasta el Templo olvidado, ¿eh?
Habrá que darle una bienvenida a lo
Kamura. Pero, cuidado: dicen que
su caparazón es casi impenetrable.
¡Aunque eso no será problema para ti!
¡Buaja, ja, ja! ¡Ve a por ello!","В Руинах святилища появился
Гермитавр Даймё из дальних 
земель. Время проявить 
Камурское гостеприимство! 
Слышал, что его панцирь 
особенно прочен, но умелому
охотнику это не помешает.","Daimyo Hermitaur znalazł drogę
do Ruin Świątynnych, co? Cóż,
czas na powitanie w stylu Kamury.
Tylko ostrożnie. Słyszałem, że ich
skorupa jest nie do przebicia.
Dla bystrego łowcy to nie problem!
Buahaha! A teraz do roboty!",,,"E pensar que um Hermitaur Daimyo
chegaria às Ruínas do Templo. Bem,
hora de uma recepção estilo Kamura.
Mas cuidado, dizem que sua carapaça
é quase impenetrável. Não que isso
seja problema para você. Hahaha.
Agora vá enfrentá-lo.","먼 이국땅에 서식하는 방패게가
사원 폐허에 나타날 줄이야…
녀석들의 갑각은 그 이름처럼
단단함을 자랑한다고 한다. 하나
아무리 단단한 방패도
강인한 창에는 뚫리기 마련이지.
<PL>, 네게 맡기마.","棲息在遙遠異國土地的大名蟹，
竟然會出現在大社遺跡……
誠如其名，據說牠的甲殼硬度
驚人。不過再怎麼堅硬的盾，
都抵擋不了強韌的矛吧。
<PL>，
這項調查就交給你了！","大名盾蟹栖息于遥远的异国他乡，
没想到它会出现在废神社……据说
它正如其名，甲壳如盾牌般坚硬。
但盾牌再硬，也抵不住强韧的矛。
<PL>啊，
这次调查就交给你了。",,,,,,,,"أعتقد أن دايمياو هيرميتور
من أرض بعيدة سيظهر
في أطلال الضريح. سمعت أن
درقته قوية بصورة خاصة،
لكنها لن تكون مشكلة أمام صياد ذكي
مثلك! بهاهاها! الآن فلتنطلق!",,,,,,,,,,,
f3148370-27f8-40c9-ad45-7db44ff85a3d,1237617465,QN315100_04,ダイミョウザザミ１匹の狩猟,Hunt a Daimyo Hermitaur,Chasser un Hermitaur Daimyo,Caccia un Daimyo Hermitaur,Erjage einen Daimyo Hermitaur.,Caza un Daimyo Hermitaur,Выследить Гермитавра Даймё,Upoluj Daimyo Hermitaura,,,Cace um Hermitaur Daimyo,다이묘자자미 1마리 사냥,狩獵1隻大名蟹,狩猎1只大名盾蟹,,,,,,,,اصطد دايمياو هيرميتور,,,,,,,,,,,
c8aace87-60e3-4f81-84e7-b395427fe8a4,3397120246,QN315100_05,"報酬金ゼロ
タイムアップ","Reward hits 0, or time expires",Prime à 0/Temps expiré,Premio a zero o tempo scaduto,"Belohnung auf 0 oder Zeit
läuft ab.","La recompensa cae a 0
o se acaba el tiempo","Счетчик награды доходит до 0
или истекает время","Nagroda równa 0 lub
koniec czasu",,,"A recompensa chega a 0
ou o tempo expira","보수금 0
시간 초과","報酬金0
時間結束","报酬金额为零
时间耗尽",,,,,,,,0 ضربات المكافأة، أو ينفد الوقت,,,,,,,,,,,
688ef0c9-25f4-4ec4-8242-607753d8fc55,3861736984,QN315101_01,お船様の露払い,A Sinking Feeling,Un véritable naufrage,Rimorchiatore d'avanguardia,Fahrige Fähre,Tocado y hundido,Новаторский буксир,Pionierski holownik,,,O Rebocador Revolucionário,뱃님의 선도자,船隻的前導,为船开路,,,,,,,,زورق الجر المبتكر,,,,,,,,,,,
54150fde-35dd-4b08-b6cc-6c1af7f55039,172502387,QN315101_02,船が何より大事な船長,Newbie Captain,Capitaine en herbe,Capitano amante delle navi,Kapitän Neuanbord,Capitán novato,Капитан-энтузиаст,Kapitan wielbiciel łodzi,,,Capitão que Ama Barcos,배가 가장 소중한 선장,視船如命的船長,最重视船的船长,,,,,,,,قائد محب للقوارب,,,,,,,,,,,
1e06e590-8f42-4b20-b12a-8c4021f09771,558486972,QN315101_03,"新艇を購入して、憧れの船長にな
りました。密林に騎士をお連れす
る仕事が入りましたが、岸の近く
にヤオザミやランポスがいるらし
いじゃないですか！　船を傷つけ
られでもしたら、たまりません！
やつらを狩ってきてください！","After getting my first ship, I was
tasked with ferrying knights to
the Jungle, but Hermitaur and
Velociprey roam the shores!
I don't like the look of this...
I JUST became captain! I'm not
ready to go down with the ship!","J'ai accepté de transporter des
chevaliers jusqu'à la Jungle
dans mon nouveau bateau, mais
il y a des Hermitaurs
et des Velociprey partout !
J'ai peur pour mon bateau !
Fais quelque chose !","Finalmente sono capitano e con
il mio vascello ho traghettato
i cavalieri nella giungla, ma
ci sono Hermitaur e Velociprey
sulla costa. Se la mia barca
venisse danneggiata, sarebbe
una tragedia. Fa' qualcosa!","Ich wurde beauftragt, Ritter in
den Dschungel zu schippern,
aber an den Ufern treiben sich
Hermitauren und Velociprey rum.
Ich bin gerade erst Kapitän
geworden! Ich möchte nicht mit
meiner ersten Fähre untergehen!","Desde que conseguí mi barco
me dedico a llevar caballeros
a la Jungla, ¡pero la costa está
llena de Hermitaur y Velociprey!
Acabo de llegar a capitán... ¡no
quiero hundirme ya con mi barco!","Наконец-то я стал капитаном и
начал переправлять рыцарей в
Джунгли на моем судне, но
на берегу полно Гермитавров
и Велоципреев! Я не переживу,
если мое судно пострадает!
Сделай что-нибудь!","W końcu zostałem kapitanem i
przyjąłem zadanie transportu
rycerzy do Dżungli, ale na
brzegu są Hermitaury i
Velocipreye! Nie mogę
pozwolić, by moja łódź została
uszkodzona! Musisz coś zrobić!",,,"Finalmente virei capitão, e
fui na minha nova nau levar
cavaleiros à Selva, mas os
Hermitaurs e Velocipreys
dominam a costa! Não posso
deixar meu navio se
estragar. Faça alguma coisa!","새 배를 장만해 동경하던 선장이
되었습니다. 밀림으로 기사들을
수송하는 일을 맡게 되었는데,
해안 근처에 야오자미와
람포스가 있다지 뭡니까!
배가 손상되면 큰일입니다!
녀석들을 사냥해 주십시오!","我買了艘新船，成為了嚮往已久的
船長。最近我接到了帶領騎士
前往密林的工作，可是海岸附近
似乎有盾蟹和迅猛龍出沒！
我可不能忍受自己的寶貝船受損！
請你去狩獵牠們吧！","我买了新船，当上了梦想中的船
长。我接到一份带骑士去密林的
工作，但岸边有盾蟹和蓝速龙啊！
我可不能让它们把船弄坏了！请
你去狩猎它们吧！",,,,,,,,"لقد أصبحت قبطانًا أخيرًا، وأخذت
سفينتي الجديدة في مهمة
نقل الفرسان إلى الغابة،
ولكن الهيرميتور والفيلوسيبري
يجوبون الشواطئ! لم أستطع
القيام بالمهمة إذا تضرر قاربي!
عليك أن تفعل شيئًا!",,,,,,,,,,,
19e422ab-be60-4b94-8e01-7119ae5cd9fe,845045052,QN315101_04,"ヤオザミとランポス
合計１５頭の討伐",Slay a total of 15 Hermitaur or Velociprey,"Tuer un total de 15 Hermitaur
ou Velociprey","Uccidi 15 Hermitaur o Velociprey
in totale","Erlege insgesamt 15 Hermitauren
oder Velociprey.","Abate un total de
15 Hermitaur o Velociprey","Убить 15 монстров (Гермитавров
или Велоципреев)","Zabij łącznie 15 Hermitaurów
lub Velocipreyów",,,"Mate um total de 15 Hermitauros
ou Velocipreys","야오자미와 람포스
합계 15마리 토벌",討伐迅猛龍和盾蟹共15頭,合计讨伐15头盾蟹和蓝速龙,,,,,,,,"اقتل إجمالي 15 هيرميتور
أو فيلوسيبري",,,,,,,,,,,
