guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
83f00d4c-022e-4c5b-93c6-0d379796043c,2867623783,Hyakuryu_CLIENT_1,里長フゲン,Fugen the Elder,Fugen l'Ancien,Fugen l'anziano,Fogen der Älteste,Fugen el anciano,Старейшина Фугэн,Starszy Fugen,,,"Fugen, o ancião",촌장 후겐,村長傅賢,村长普贤,,,,,,,,المعمّر فيوجين,,,,,,,,,,,
bc664395-29c0-4bdf-b27b-99ff9eb04c22,3252890792,Hyakuryu_CLIENT_2,ギルドマネージャー・ゴコク,Guild Master Hojo,Hojo le Maître de la Guilde,Hojo il capo della Gilda,Gildenmeister Hojo,Hojo el maestro del gremio,Мастер Гильдии Ходзё,Mistrz Gildii Hojo,,,Mestre de guilda Hojo,길드 매니저 고코쿠,公會經紀人･風登,公会经纪人・岁丰稔,,,,,,,,زعيم النقابة هوجو,,,,,,,,,,,
ce68f985-ad7f-478e-b59e-1c82cd07b749,345165339,Hyakuryu_TEXT_1,"里に百竜夜行が接近している！
砦周辺の防衛は「里守」に任せ、
オマエは砦の中に侵入してきた
モンスターを撃退してくれ！
カムラの里の力を合わせ、
この災禍を乗り越えてみせるぞ！
いざ、気焔万丈！","Alright. It won't be long before the
Rampage reaches our front door! Our
defenders will do their best to hold 'em
off, but if anything makes it through,
you're up! Got it!? Good! Bwahahaha!
Now go get to it!","La Calamité ne va pas tarder
à nous tomber dessus !
Les défenseurs feront de leur
mieux, mais s'ils sont
dépassés, ce sera à toi de
jouer ! Pigé ? Parfait !
On va s'en sortir, crois-moi !","Bene, presto la furia
raggiungerà Kamura. I nostri
difensori faranno il possibile
per respingerla, ma se dei
mostri riuscissero a passare,
dovrai pensarci tu! Chiaro?
OK! Buahahah! Su, al lavoro!","Also gut! Die Randale steht
bald vor dem Tor! Unsere Leute
werden ihr Bestes geben, um
sie aufzuhalten, aber falls
Biester durchbrechen, musst du
sie erjagen, klar?! Gut! Dann
mal los! Bwahahaha!","El Frenesí no tardará mucho
en alcanzarnos. Nuestros
defensores harán lo que puedan
para pararlo, pero tú te harás
cargo de cualquier monstruo
que pase nuestras defensas.
¡Juntos podremos con esto!","Итак. Буйство уже вот-вот
подступит к Камуре. Наши
защитники сделают все, чтобы
сдержать напор, но если кто-то
вдруг прорвет оборону, тут
вступаешь ты! Ясно?
Бва-ха-ха-ха! Ну, вперед!","No dobra! Niedługo Furia
zapuka do naszych drzwi. Nasi
obrońcy będą ją odpierać,
ale jeśli cokolwiek
dostanie się do środka,
musisz to dopaść!
Zrozumiano? Powodzenia!",,,"Certo! Não vai demorar pro
Frenesi chegar aqui!
Nossos defensores vão fazer de
tudo pra segurar os bichos,
mas se alguma coisa passar, é
contigo! Certo? Ótimo!
Muahahaha! Agora, manda ver!","마을에 백룡야행이 접근 중이다!
요새 주변은 「수호단」에게
맡기고 요새 내부로 침입한
몬스터를 격퇴해 주면 된다!
카무라 마을의 힘을 모아
이 재앙을 극복해 보자!
자, 기염만장!","百龍夜行正在接近村莊！
要塞周圍會由「村莊守衛」防守，
請你去擊退入侵要塞的魔物吧！
讓我們集結神火村的力量，
一同度過這場災禍！
上吧，氣勢如虹！","百龙夜行正在接近村子！
要塞周围的防守交给“村卫”，
你就负责击退
闯入要塞中的怪物吧！
炎火村上下团结一致，
一定要战胜这场灾祸！
上吧，光焰万丈！",,,,,,,,"حسنًا. لن يطُول موعد قرع الغضب
العارم لبابنا الأمامي! سيبذل
مدافعونا ما في وسعهم للتصدي
له ولكن، إذا تمكن من الولوج،
<LSNR {فكُن جاهزًا} {فكوني جاهزة}>! <LSNR {مستعد} {مستعدة}>؟ جيد!
هاها! الآن، <LSNR {انطلق} {انطلقي}> للمهمة!",,,,,,,,,,,
6807312e-f5be-446e-89ff-c98c49521d85,3658009823,Hyakuryu_TEXT_2,"お～う、<PL>。
百竜夜行が接近中でゲコよ。
砦周辺は里の衆が防衛するので、
おぬしは砦の中に入り込んだ
モンスターを撃退するでゲコ！
では、がんばるでゲコ～！","The Rampage draws near, johoho,
but we are ready! The villagers will
be stationed along the perimeter of
the Stronghold, while you take position
inside. These hordes must be dealt
with harshly and without hesitation!
Understood? Well then, hop to it-to it!","La Calamité approche à grand pas,
ho ho ho ! Mais nous sommes prêts !
Les villageois seront positionnés
autour de la Forteresse et toi, tu
seras à l'intérieur. Tu n'auras pas
le droit à l'hésitation, alors pas
de pitié face à ces hordes, compris ?","Ohohoh, la furia si avvicina,
ma siamo pronti. Gli abitanti
del villaggio si sistemeranno
lungo il perimetro della
fortezza, mentre tu starai
all'interno. Con quelle orde ci
vuole fermezza, capito? Vai!","Die Randale kommt näher, johoho,
aber wir sind bereit! Die Dörfler
werden im Umkreis der Festung
stationiert, du positionierst dich im
Inneren. Mit diesen Horden musst du
kurzen Prozess machen! Verstanden?
Nun denn, an die Arbeit!","El Frenesí se acerca, pero
estamos preparados para ello.
Los aldeanos se posicionarán
alrededor de la fortaleza, y
tú estarás en el interior.
¡Debemos librarnos de esas
hordas de una forma u otra!","Хо-хо-хо, Буйство уже близко,
но мы готовы! Жители будут
защищать окрестности Твердыни,
а ты отгоняй монстров, которые
проберутся внутрь. С этими
ордами нужно разобраться
без колебаний! Ясно? Удачи!","Furia coraz bliżej, johoho, ale
jesteśmy gotowi! Mieszkańcy wioski
będą rozstawieni wokół Twierdzy,
a ty zajmiesz pozycję wewnątrz.
Z hordami trzeba się rozprawiać
twardo i zdecydowanie, jasne?
No to, kum-kum, do dzieła!",,,"O Frenesi se aproxima, dohoho, mas
estamos prontos! Os aldeões ficarão
postados ao longo do perímetro da
Fortaleza, enquanto você fica do lado
de dentro. Essas hordas devem ser
eliminadas severamente e sem hesitação!
Entendido? Muito bem, mãos à obra!","오~ <PL>.
백룡야행이 접근 중이다개골.
요새 주변은 마을 사람들이
방어할 테니 요새 안으로 들어온
몬스터를 격퇴하는 거다개골!
그럼 힘내라개골~!","哦～<PL>。
百龍夜行正在接近呱。
村民們會在要塞周圍負責防衛，
你就負責擊退
侵入要塞的魔物吧呱！
加油吧呱～！","哦～<PL>。
百龙夜行正在接近呱。
要塞周围由村民们来防卫，
你负责击退
闯入要塞中的怪物呱！
那就上吧，加油呱～！",,,,,,,,"يقترب الغضب العارم أكثر، هوهوو،
ولكننا على أهبة الاستعداد!
سيستقر القرويون على طوال الحدود
الخارجية للقلعة، بينما سيكون
<LSNR {عليك} {عليكِ}> التمركز في الداخل.
يجب التعامل مع هذه الحشود بكل
قسوة دون تردد! مفهوم؟
حسنًا، لننطلق!",,,,,,,,,,,
89f830e4-2a32-40cc-9583-ddee5bc89f71,1115274195,Hyakuryu_TEXT_3,"<PL>～！
百竜夜行が接近中でゲコ～！
どうやら、この百竜夜行には
強い個体が多くいるようでゲコ。
おぬしの実力は信じておるが、
より気を引き締めて挑むでゲコ！
撃退、頼んだでゲコ～！","The Rampage grows stronger
and now we have reports of even
more dangerous monsters among
the horde! I trust your abilities,
but be extra careful out there!
We're counting on you, johoho!
Now hop to it-to it!","La Calamité prend de plus en
plus d'ampleur et les monstres
de la horde sont plus
coriaces ! Je ne mets pas en
doute tes capacités, mais sois
sur tes gardes quand même !
On compte sur toi !","La furia diventa sempre più
forte e sembra che ci siano
dei mostri ancora più
pericolosi nell'orda. Ho piena
fiducia nelle tue abilità, ma
sii prudente. Contiamo su di
te! Ohohoh! Forza, al lavoro!","Die Randale wird stärker und
jetzt gibt es auch Berichte
über gefährlichere Monster in
der Horde! Ich habe Vertrauen
in dein Können, aber sei da
ganz besonders vorsichtig!
Wir zählen auf dich! Johoho!","¡El Frenesí se cierne sobre
nosotros, <PL>!
Los monstruos que vienen no
serán nada fáciles. Confío en
ti, pero ten mucho cuidado.
¡Tú puedes! ¡Jo, jo, jo!","Буйство становится все
сильнее, нам сообщают, что
в стаде попадаются все более
опасные монстры! Я верю в твои
способности, но все же береги
себя! Мы на тебя рассчитываем!
Хо-хо-хо! Давай, вперед!","Furia rośnie w siłę i podobno
jest tam trochę okazów
wyglądających groźniej niż
zwykle. Wierzę w twoje
umiejętności, ale zachowaj
ostrożność! Liczymy na
ciebie! Johoho!",,,"O Frenesi está ficando mais
forte, e agora há relatos de
monstros ainda mais perigosos
na horda! Eu confio em suas
habilidades, mas redobre os
cuidados! Contamos com você,
dohoho! Agora, manda ver!","<PL>~!
백룡야행이 접근 중이다개골~!
아무래도 이번 백룡야행에는
강한 개체가 많다고 한다개골.
자네의 실력은 믿지만 평소보다
단단히 준비해서 가는 거다개골!
격퇴를 부탁한다개골~!","<PL>～！
百龍夜行正在接近呱～！
看來這次的百龍夜行中，
有許多強大的個體呱。
老夫雖然相信你的實力，
但你還是要加倍繃緊神經迎戰呱！
拜託你擊退牠們了呱～！","<PL>～！
百龙夜行正在接近呱～！
看来这次的百龙夜行中
有许多强大的个体呱。
虽然老夫很相信你的实力，
但你挑战时务必要提高警觉呱！
就拜托你击退它们了呱～！",,,,,,,,"تزداد قوة الغضب العارم ولدينا
تقارير عن قدوم وحوش أكثر خطورة
بين الحشد!
أنا واثق في <LSNR {قدراتك} {قدراتكِ}> لكن
<LSNR {عليك} {عليكِ}> الحذر أكثر! فنحن نعتمد
<LSNR {عليك} {عليكِ}>، هوهوو! والآن لننطلق!
",,,,,,,,,,,
3ed8ecd9-68e2-4122-9c3f-eaa7469f5dc7,1445292088,Hyakuryu_TEXT_4,"<PL>よ！
新たな百竜夜行が接近中だ！
オマエの活躍でナルハタタヒメは
退けることができたが、影響は
未だ各地に根強く残っている…。
災禍を完全に断つまで、
カムラの里を共に守り抜くぞ！","Listen up: another Rampage is on
its way! Despite repellin' Narwa, its
influence on other monsters still
remains strong. Sorry, Squirt, them
plans of relaxin' in the Hub, double-
fistin' some dango are gonna have
to wait! Bwaha—Now, go get to it!","Une autre Calamité nous pend
au nez ! Tu as réussi à faire
fuir la Narwa, mais elle a
toujours de l'influence sur
les autres monstres. Pas
le temps de te la couler douce
avec des dango ! Allez, zou !","Ascolta: un'altra furia è in
arrivo. Anche se hai scacciato
la Narwa, la sua influenza
sugli altri mostri resta forte.
Scusa, giovane, ma i tuoi
piani di ingozzarti di dango
dovranno aspettare. Al lavoro!","Hör zu: Eine neue Randale ist
unterwegs! Du hast Narwa ver-
trieben, aber ihr Einfluss auf
andere Monster ist noch stark.
Tja, Frischling, der Traum vom
bequemen Dango-Futtern in der
Stätte muss warten! Bwaha, los!","¡Se nos viene encima otro
Frenesí! Puede que hayamos
ahuyentado a Narwa, pero su
influencia aún sigue afectando
a los monstruos. ¡Tenemos que
mantener Kamura a salvo hasta
que esto acabe del todo!","Слушай, очередное Буйство
уже на подходе! Хотя тебе
и удалось отогнать Нарву, ее
влияние на монстров все еще
сильно. Прости, Выскочка,
с отдыхом и поеданием данго
придется подождать! Бва-ха-ха!","Słuchaj – idzie kolejna
Furia! Choć udało się
przepędzić Narwę, jej wpływ na
potwory pozostaje silny.
Musisz odłożyć opychanie się
dango na później!
Buahaha – do roboty!",,,"Escuta só: tem outro Frenesi vindo!
Apesar de você ter repelido Narwa,
sua influência sobre outros monstros
ainda é forte. Desculpa, <LSNR{guria}{guri}>, seus
planos de relaxar e encher a cara de
dango vão ter que esperar!
Muahaha! Agora, mãos à obra!","<PL>!
새로운 백룡야행이 접근 중이다!
네 활약으로 나루하타타히메는
물리쳤지만 그 영향은 아직도
각지에 깊이 남아있구나…
재앙을 완전히 뿌리 뽑을 때까지
함께 카무라 마을을 지키자꾸나!","<PL>啊！
新的百龍夜行正在接近！
雖然我們因為你的英勇表現
而得以擊退雷神龍，
但其影響仍深植各地……
我們要一同守護神火村，
直到完全根除災禍！","<PL>啊！
新的百龙夜行正在接近！
多亏你的活跃表现，
成功击退了雷神龙，
但其影响仍旧残留在各地……
让我们一起守护炎火村，
直至彻底根绝这场灾祸！",,,,,,,,"<LSNR {أنصت} {أنصتي}>: ثمة غضب عارم آخر في
طريقه <LSNR {إليك} {إليكِ}>! على الرغم من طرد
ناروا، مازال تأثيرها على الوحوش
الأخرى قويًا. معذرة، <LSNR {يا صغير} {يا صغيرة}>!
يخططون للاسترخاء في مركز التجمع،
يجب الانتظار قبل التناول الشره
للدانجو! هاها! والآن، <LSNR {انطلق} {انطلقي}>!",,,,,,,,,,,
f290c9c0-8b4e-49b6-ae46-a6f70cb50818,3633543331,Hyakuryu_TEXT_5,"<PL>よ！
新たな百竜夜行が接近中だ！
イブシマキヒコとナルハタタヒメ
という里の災禍を断った今、
百竜夜行が終わる日は必ず来る。
カムラの里が誇る英雄よ、
その時まで必ず里を守り抜くぞ！","Listen up, Squirt: got another
Rampage on the way! But hey,
with Ibushi and Narwa gone, we're
finally seein' some light at the end
of that tunnel! Till then, it's up to our
ol' Savior of Kamura to handle up
any stragglers! Now, go get to it!","Écoute-moi bien ! Une autre
Calamité approche ! Mais avec
l'Ibushi et la Narwa en moins,
on commence à en voir
le bout ! D'ici là, c'est à
toi qu'il incombe de protéger
Kamura ! Allez, au boulot !","Senti, giovane: un'altra furia
è in arrivo. Ma senza l'Ibushi
e la Narwa, abbiamo qualche
speranza. Fino ad allora,
<LSNR {il nostro salvatore} {la nostra salvatrice}> dovrà
difendere Kamura dagli ultimi
mostri rimasti. Su, al lavoro!","Hör zu, Frischling: Es kommt
wieder eine Randale! Aber ohne
Ibushi und Narwa ist da mal
endlich ein Licht am Ende des
Tunnels! Bis wir es erreichen,
ist es an dir, Kamura vor den
Nachzüglern zu beschützen!","¡Se acerca un nuevo Frenesí!
Pero, ahora que Ibushi y Narwa
no están, que llegué a su fin
es cuestión de poco tiempo.
Hasta que llegue ese momento,
te corresponde a ti la misión
de defender Kamura.","Слушай, Выскочка, очередное
Буйство уже идет! Но раз Ибуси
и Нарвы больше нет, забрезжил
свет в конце тоннеля! А пока
что, разберись-ка с
оставшимися монстрами!
Вперед!","Słuchaj – idzie kolejna
Furia! Ale bez Ibushiego
i Narwy pojawiła się nadzieja!
Do tego czasu musisz
chronić Kamurę
przed maruderami.",,,"Escuta, <LSNR {guri}{guria}>: tem outro
Frenesi vindo! Mas ei, sem
Ibushi e Narwa, finalmente
podemos ver uma luz no fim do
túnel! Até lá, cabe <LSNR {ao nosso} {à nossa}>
<LSNR {Salvador} {Salvadora}> de Kamura lidar com
os retardatários! Mãos à obra!","<PL>!
새로운 백룡야행이 접근 중이다!
이부시마키히코, 나루하타타히메
두 개의 재앙을 막아낸 지금,
백룡야행은 반드시 끝날 것이다.
카무라 마을의 자랑인 영웅이여,
그때까지 마을을 꼭 지키자꾸나!","<PL>啊！
新的百龍夜行正在接近！
如今已根絕了風神龍和雷神龍
這兩頭村莊的災禍，
百龍夜行結束之時定會到來。
神火村引以為傲的英雄啊，
你一定要守護村莊直到那天到來！","<PL>啊！
新的百龙夜行正在接近！
如今已根绝风神龙与雷神龙
给村子带来的灾祸，
百龙夜行终将迎来结束的一天。
炎火村引以为傲的英雄啊，
保卫村庄，直至那一刻的到来！",,,,,,,,"<LSNR {أنصت أيها الصغير} {أنصتي أيتها الصغيرة}>: ثمة غضب
عارم آخر قادم! ولكن بعد
القضاء على إيبوشي وناروا، يمكننا
أخيرًا رؤية بصيص من نور في آخر
النفق! حتى ذلك الحين، الأمر
متروك <LSNR {لمنقذ} {لمنقذة}> كامورا للتعامل مع
أي متلكئين! والآن، <LSNR {انطلق} {انطلق}> للمهمة!",,,,,,,,,,,
06733e18-aeae-433d-8e50-0497b4a60479,1633902703,Hyakuryu_TEXT_060_07,"ギルドによると、今回の群れには
「ヌシ・アオアシラ」と
呼ばれる強い個体がいるでゲコ！
その剛腕で、ハンターだけでなく
狩猟設備にも強烈な一撃を与える
「ヌシの大技」を使う…という
情報もあるから気をつけるゲコ！","The Guild has reported that
a particularly dangerous Apex
Arzuros is part of this horde!
Be careful. It's said that it
has a special attack that
damages not just hunters,
but installations as well!","D'après la Guilde, il y a un
Arzuros supérieur très
dangereux dans cette horde !
Prends garde. Il paraît que ce
monstre a une attaque qui
touche les chasseurs et
les machines aussi !","La Gilda sostiene che c'è
anche un Arzuros Apex
particolarmente pericoloso
nell'orda. Attenzione: il suo
attacco speciale danneggia
non solo i cacciatori,
ma anche gli strumenti!","Die Gilde hat gemeldet, dass
ein besonders gefährlicher
Apex-Arzuros Teil dieser
Horde ist! Sei vorsichtig. Er
soll einen Spezialangriff
haben, der Jägern und auch
Anlagen Schaden zufügt!","¡El gremio ha informado que
viene un Arzuros Apex muy
peligroso con esta horda!
Cuidado, dicen que tiene un
ataque especial que no solo
daña a los cazadores, ¡sino
también las instalaciones!","Гильдия докладывает, что
особенно опасный высший
Арзурос ведет это стадо!
Осторожнее. Говорят, что у
него есть особая атака,
поражающая не только охотников,
но и установки!","Gildia donosi, że jest tam
szczególnie niebezpieczny
Apeks Arzuros! Uważaj na
siebie. Podobno zna specjalny
atak, którym nie tylko może
zadawać obrażenia łowcom,
ale też niszczyć machiny!",,,"A Guilda relatou que um
Arzuros Alfa muito perigoso
faz parte da horda! Cuidado!
Dizem que ele tem um ataque
especial que causa danos tanto
a caçadores quanto a
instalações!","길드의 보고로는 이번 무리에
「주인 아오아시라」라는
강한 개체가 있다고 한다개골!
튼튼한 팔로 헌터뿐만 아니라
사냥 설비에도 일격을 가하는
「주인의 비기」를 사용한다는…
정보도 있으니 조심해라개골!","根據公會的報告，這次的魔物群中
出現了名為「首領青熊獸」的
強大個體呱！報告提及牠會使出
「首領必殺技」，以鐵腕施展
強烈的一擊，不僅能對獵人造成
傷害，還會重創狩獵設備……
你要小心一點呱！","据公会消息，此次的怪物群中
有着被称为“霸主・青熊兽”的
强大个体呱！
据说其会使用“霸主大招”，
以铁臂对猎人与狩猎设备
发动猛烈的一击……
你要多加小心呱！",,,,,,,,"أبلغت النقابة أن الوحش العلوي
أرزوروس شديد الخطورة ضمن هذا
الحشد! <LSNR {فلتحذر} {فلتحذري}>.
إذ يُقال إن لديه هجومًا خاصًا
لا يضر الصيادين فحسب،
بل والأسلحة
أيضًا!",,,,,,,,,,,
f1bd91f6-a600-4e08-9fdc-2484014d7d68,4149776887,Hyakuryu_TEXT_001_07,"ギルドによると、今回の群れには
「ヌシ・リオレイア」と
呼ばれる強い個体がいるでゲコ！
尻尾から複数の毒の棘を飛ばし、
周囲に毒の煙を充満させる
「ヌシの大技」を使う…という
情報もあるから気をつけるゲコ！","The Guild has reported that
a particularly dangerous Apex
Rathian is part of this horde!
Be careful. It's said that it has
a special attack where it uses
its poison tail spikes to spew
out noxious gas.","D'après la Guilde, il y a une
Rathian supérieure très
dangereuse dans cette horde !
Prends garde. Il paraît que ce
monstre est capable d'émettre
un gaz toxique avec les épines
de sa queue empoisonnée.","La Gilda sostiene che c'è
anche una Rathian Apex
particolarmente pericolosa
nell'orda. Attenzione: il suo
attacco speciale lancia
dalla coda aculei avvelenati
che rilasciano un gas nocivo.","Die Gilde hat gemeldet, dass
eine besonders gefährliche
Apex-Rathian Teil dieser
Horde ist! Sei vorsichtig.
Sie hat einen Spezialangriff,
bei dem sie mit ihren giftigen
Schwanzstacheln Giftgas speit.","¡El gremio ha informado que
viene una Rathian Apex muy
peligrosa con esta horda!
Cuidado, ¡dicen que tiene un
ataque especial con el que usa
las púas venenosas de su cola
para arrojar un gas nocivo!","Гильдия докладывает, что
в этом стаде есть особенно
опасная высшая Ратиана!
Осторожнее. Говорят, у нее
есть особая атака — она
выпускает из шипов на хвосте
ядовитый газ.","Gildia donosi, że jest tam
szczególnie niebezpieczna
Apeks Rathiana! Uważaj na
siebie. Podobno zna specjalny
atak, podczas którego wyrzuca
ze swoich długich kolców
trujący gaz.",,,"A Guilda relatou que uma
Rathian Alfa muito perigosa
faz parte da horda! Cuidado!
Dizem que ela tem um ataque
especial, no qual ela expele
um gás nocivo pelos espinhos
venenosos da cauda.","길드의 보고로는 이번 무리에
「주인 리오레이아」라는
강한 개체가 있다고 한다개골!
꼬리에서 다수의 독가시를 날려
주변을 독가스로 채우는
「주인의 비기」를 사용한다는…
정보도 있으니 조심해라개골!","根據公會的報告，這次的魔物群中
出現了名為「首領雌火龍」的
強大個體呱！報告提及牠會使出
「首領必殺技」，
從尾巴射出多道毒棘，
讓四周陷入毒煙圍繞……
你要小心一點呱！","据公会消息，此次的怪物群中
有着被称为“霸主・雌火龙”的
强大个体呱！
据说其会使用“霸主大招”，
从尾巴射出无数毒棘，
令周围充斥毒烟……
你要多加小心呱！",,,,,,,,"قد أبلغت النقابة أن الوحش العلوي
راثيان شديد الخطورة ضمن هذا
الحشد! <LSNR {فلتحذر} {فلتحذري}>.
إذ يُقال إن لديه
هجومًا خاصًا من خلال استخدام
أشواك الذيل السامة
لإفراز الغازات الضارة.",,,,,,,,,,,
90523e21-5cfc-4630-8406-b93be99937c0,2792210219,Hyakuryu_TEXT_082_07,"ギルドによると、今回の群れには
「ヌシ・タマミツネ」と
呼ばれる強い個体がいるでゲコ！
爆発する泡を周囲にまき散らす、
「ヌシの大技」を使う…という
情報もあるから気をつけるゲコ！","The Guild has reported that
a particularly dangerous Apex
Mizutsune is part of this horde!
Be careful. It's said that it has
a special attack that showers
its surroundings in explosive
bubbles!","D'après la Guilde, il y a un
Mizutsune supérieur très
dangereux dans cette horde !
Prends garde. Il paraît que ce
monstre est capable de
libérer des bulles explosives
tout autour de lui !","La Gilda sostiene che c'è
anche un Mizutsune Apex
particolarmente pericoloso
nell'orda. Attenzione: il suo
attacco speciale lancia
bolle esplosive intorno a sé.","Die Gilde hat gemeldet, dass
ein besonders gefährlicher
Apex-Mizutsune Teil dieser
Horde ist! Sei vorsichtig. Er
hat einen Spezialangriff, der
explosive Blasen auf seine
Umgebung regnen lässt!","¡El gremio ha informado que
viene un Mizutsune Apex muy
peligroso con esta horda!
Cuidado, ¡dicen que tiene un
ataque especial que plaga su
alrededor de burbujas
explosivas!","Гильдия докладывает, что
в этом стаде есть особенно
опасный высший Мидзуцунэ!
Осторожнее. Говорят, у него
есть особая атака,
бомбардировка окрестностей
взрывчатыми пузырями!","Gildia donosi, że jest tam
szczególnie niebezpieczny
Apeks Mizutsune! Uważaj na
siebie. Podobno zna specjalny
atak, podczas którego
zasypuje wszystko wokół
wybuchowymi bąbelkami!",,,"A Guilda relatou que um
Mizutsune Alfa muito perigoso
faz parte da horda! Cuidado!
Dizem que ele tem um ataque
especial que enche os
arredores de bolhas
explosivas!","길드의 보고로는 이번 무리에
「주인 타마미츠네」라는
강한 개체가 있다고 한다개골!
폭발하는 거품을 주위에 뿌리는
「주인의 비기」를 사용한다는…
정보도 있으니 조심해라개골!","根據公會的報告，這次的魔物群中
出現了名為「首領泡狐龍」的
強大個體呱！報告提及牠會使出
「首領必殺技」，
在四周散布會爆炸的泡泡……
你要小心一點呱！","据公会消息，此次的怪物群中
有着被称为“霸主・泡狐龙”的
强大个体呱！
据说其会使用“霸主大招”，
向周围散布会爆炸的泡泡……
你要多加小心呱！",,,,,,,,"قد أبلغت النقابة أن الوحش
العلوي ميزوتسوني شديد الخطورة
ضمن هذا الحشد! <LSNR {فلتحذر} {فلتحذري}>.
إذ يُقال إن لديه
هجومًا خاصًا من خلال إغراق
كل ما يحيط به بالفقاعات
الانفجارية!",,,,,,,,,,,
