guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1856561d-9f0d-471b-ba27-8d048178975e,3481739519,QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_01
f909e06e-747b-41ac-8d76-7d50a01fe278,445465395,QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_02
10b62ff6-bc8b-4768-a16e-b791852d3d1e,1499772724,QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000101_03
8db467b6-204b-4897-b52b-1e28492e9b5c,3466093050,QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_01
97a896f9-7182-42d6-87bc-678951df93ff,1543186922,QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_02
65354980-a614-46ee-becb-975ec5092de6,3260898543,QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Village_QN000102_03
c6abf524-1978-4199-8e11-0b688c548a5b,2680383943,QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_01
3733f37c-eaee-4017-a0d3-57a2ef18fff2,2547002802,QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_02
21633908-39fc-4aa7-b0ae-8456a026f479,3303376100,QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010101_03
29d3f202-1d4e-4a65-a1eb-ec4d899a43cd,1472724331,QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01,<COLOR FF0000>#Rejected#</COLOR> QD_N_Hall_QN010102_01
