guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
732d719d-b69c-4e17-b29c-a63578c256b5,462866039,NSQ101_01,盾蟹の愛らしき構え？,Cutesy Crab Pose?,Crabe top-modèle,Posa da granchio graziosa,Niedliche Krabbenpose?,¿Pose mona de cangrejo?,Милая поза краба?,Słodka poza kraba?,,,Pose Fofa de Caranguejo?,방패게의 귀여운 자세?,大名蟹的可愛姿勢？,大名盾蟹的可爱姿势？,,,,,,,,وضعية سلطعون لطيف؟,,,,,,,,,,,
cfe66ac4-1f62-4d9c-a139-d14f5ff064ca,727285186,NSQ101_02,屈強なハンター・フラン,Fran the Stalwart,Fran la vaillante,Fran la risoluta,Fran die Unerschütterliche,Fran la recia,Стойкая Фран,Wytrwała Fran,,,"Fran, a Robusta",강인한 헌터 프란,強健獵人芙蘭,顽强猎人・芙兰,,,,,,,,فران الشجاعة,,,,,,,,,,,
c860a853-f948-4789-827c-b9c3ea84ecd2,2975003940,NSQ101_03,"<COL RED>ダイミョウザザミ</COL>が爪を盾に
している姿を記録してくれよ！
ぎゅっと構えた姿を撮るんだ！","Take a picture of a <COL RED>Daimyo
Hermitaur</COL> using its claws as a
shield. It's gotta be standin' still!","Prends en photo un <COL RED>Hermitaur
Daimyo</COL> qui se protège avec ses
pinces. Il doit être immobile !","Scatta la foto di un <COL RED>Daimyo
Hermitaur</COL> con artigli usati
come scudo. Deve stare immobile!","Fotografiere einen <COL RED>Daimyo
Hermitaur</COL>, wie er stillsteht und
seine Klauen als Schild benutzt.","Fotografía un <COL RED>Daimyo Hermitaur</COL>
usando las pinzas como escudo.
¡Tiene que estar quieto!","Сфотографировать <COL RED>Гермитавра
Даймё</COL>, который стоит,
заслон. когтями, как щитом.","Zrób zdjęcie <COL RED>Daimyo Hermitaura</COL>,
który używa swoich pazurów jak
tarczy. Nie może się ruszać!",,,"Fotografe um <COL RED>Hermitaur Daimyo</COL> 
usando as garras dele como es-
cudo. Ele tem que estar de pé!","<COL RED>다이묘자자미</COL>가 발톱을 방패로
사용하는 모습을 기록해 줘!
자세를 잡은 모습을 찍는 거야!","請幫我將<COL RED>大名蟹</COL>舉起大螯
當成盾牌的模樣記錄下來！
拍下牠奮力架著大螯的模樣吧！","帮我记录一下<COL RED>大名盾蟹</COL>拿蟹爪当盾
的样子吧！要拍到它正在防御
的样子啊！",,,,,,,,"التقط صورة <COL RED>لدايمياو
هيرميتور</COL> وهو يستخدم مخالبه كدرع.
يجب أن يقف ساكنًا!",,,,,,,,,,,
a5950571-0f6c-4320-9246-058214a00662,2482746866,NSQ101_04,大翔蟲　×６,6 Great Wirebugs,6 Grands Filoptères,6 maxinsetti filo,6 Große Seilkäfer,6 grandes cordópteros,6 Больших Прутожуков,6 wielkich kablobaków,,,6 Grandes Cabinsetos,큰밧줄벌레 ×6,大翔蟲　×6,大翔虫×６,,,,,,,,6 حشرات حرير كبيرة,,,,,,,,,,,
e26479f3-1b7c-4ebc-9608-2bf64e5632b6,2239629289,NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05,<COLOR FF0000>#Rejected#</COLOR> NSQ101_05
9a160ef8-bb14-46fd-bfaa-2f3892ca187b,1442781369,NSQ101_06,大翔蟲の入手,Great Wirebugs,Grands Filoptères,Maxinsetti filo,Große Seilkäfer,Grandes cordópteros,Большие Прутожуки,Wielkie kablobaki,,,Grandes Cabinsetos,큰밧줄벌레 입수,獲得大翔蟲,获得大翔虫,,,,,,,,حشرات الحرير الكبيرة,,,,,,,,,,,
f1f4ccdd-d83d-427f-b674-c24e5b272e97,3297615012,NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07,<COLOR FF0000>#Rejected#</COLOR> NSQ101_07
a2569977-6c54-4ac5-a2f5-efc839d40ce2,368755591,NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08,<COLOR FF0000>#Rejected#</COLOR> NSQ101_08
0d3cd2d7-128b-4b58-b1f0-6ef957105e80,139609551,NSQ101_09,ダイミョウザザミが爪を構える姿を撮影,Take a picture of a Daimyo Hermitaur's claws,Prendre photo Hermit. Daim. utilisant ses pinces,Fotografa gli artigli di un Daimyo Hermitaur,Fotografiere Daimyo Hermitaur-Klauen.,Fotografía las pinzas de un Daimyo Hermitaur,"Сфотогр. Г. Даймё, использующего когти.",Zrób zdjęcie Daimyo Hermitaura używającego pazurów,,,"Fotografe um Hermitaur Daimyo
usando as garras dele",다이묘자자미가 자세를 취한 모습 촬영,拍下大名蟹架起大螯的模樣,拍摄大名盾蟹举起蟹爪的样子,,,,,,,,التقط صورة لمخلب دايمياو هيرميتور,,,,,,,,,,,
fa2eaf73-0f24-444d-960c-2aa106a9279c,3371016269,NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10,<COLOR FF0000>#Rejected#</COLOR> NSQ101_10
