guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
76d7f378-dee6-4320-ad01-de4721a08c3d,1875755886,QN030101_01,狩猟の基礎をおさらいしよう！,Back to Basics,Retour aux bases,Regole di base,Wieder das Wesentliche,Volviendo a los fundamentos,Вернуться к основам,Powrót do podstaw,,,De Volta ao Básico,사냥의 기초를 복습하자!,複習狩獵的基礎吧！,来复习一下狩猎的基础吧！,,,,,,,,العودة إلى الأساسيات,,,,,,,,,,,
564bfce0-f592-42af-aad7-e1080b36c59c,3494592619,QN030101_02,ウツシ教官,Master Utsushi,Utsushi le maître,Maestro Utsushi,Meister Utsushi,Maestro Utsushi,Мастер Уцуси,Mistrz Utsushi,,,Mestre Utsushi,우츠시 교관,倪泰教官,倪泰教官,,,,,,,,السيد أوتسوشي,,,,,,,,,,,
34c198f0-a789-4614-81e0-995fa736a2ea,837962957,QN030101_03,"おお、我が愛弟子よ！
ハンターに重要なこと、それは
初心を忘れない…ということだ！
…というわけで、狩猟の基礎を
おさらいするクエストを
用意してみたよ！
では、大社跡で待っているぞ！","Yo, Ace! A hunter's never too
good to go over the basics.
That's why I've got a quest
for you where you'll revisit
all the hunting fundamentals!
I'll be waiting for you at the
Shrine Ruins. See you there!","Salut, l'artiste ! Un chasseur
ne doit jamais négliger les
bases. J'ai une quête pour
toi, tu vas pouvoir revoir
les bases de la chasse !
Je t'attends au Temple
oublié. À plus tard !","Ehi, <LSNR {campione} {campionessa}>!
Non si è mai troppo bravi
per rivedere le basi. Questa
missione ti farà ripassare
le regole fondamentali
della caccia. Ti aspetto
alle Rovine sacre. A presto!","Moin, Ass! Ein Jäger ist nie
zu gut, um die Grundlagen zu
wiederholen. Bei dieser Quest
kannst du alle Grundtechniken
der Jagd einsetzen! Ich warte
bei den Heiligen Ruinen auf
dich. Bis dann!","¡Ey, hacha! Uno nunca es tan
bueno como para ignorar lo
básico. ¡Por eso tengo una
misión para ti en la que
repasarás los principios de la
caza! ¡Te estaré esperando en
el Templo olvidado!","Привет, ас! Охотнику всегда
полезно повторить основы. Вот
почему у меня есть для тебя
задание для повторения всех
базовых техник! Я буду тебя
ждать возле Руин святилища.
До встречи!","Dzieńdoberek! Nawet najlepszy
łowca musi czasem popracować
nad fundamentami. Dlatego mam
dla ciebie zadanie obejmujące
wszystkie podstawy polowania.
Czekam na ciebie w Ruinach
Świątynnych. Do zobaczenia!",,,"Aí, Craque! Nunca é demais
rever o básico. Por isso,
tenho uma missão pra você na
qual você vai revisitar todos
os fundamentos da caça!
Estarei nas Ruínas do Templo.
Te vejo lá!","오오, 나의 애제자여!
헌터에게 중요한 것은
초심을 잃지 않는 것…!
…그래서 사냥의 기초를
다시 한번 복습하기 위한
퀘스트를 준비해 두었다!
그럼 사원 폐허에서 기다리마!","哦哦，我的愛徒啊！
對獵人而言，
最重要的就是莫忘初衷！
……所以，我準備了
能夠複習狩獵基礎的任務！
那麼我就在大社遺跡等你囉！","噢，我的爱徒啊！
对于猎人来说最重要的……
就是不忘初心！
……所以，我为你准备了
这项复习狩猎基础的任务！
那么，我就在废神社等你了！",,,,,,,,"<LSNR {أيها البارع} {أيتها البارعة}>! الصيادون ليسوا بارعين
في تجاوز الأساسيات.
لهذا أنا حصلت على مهمة
ستعيد <LSNR {لك} {لكِ}> النظر
في جميع أساسيات الصيد!
<LSNR {سأنتظرك} {سأنتظركِ}>عند
أطلال الضريح. <LSNR {أراك} {أراكِ}> بالجوار!",,,,,,,,,,,
a53c9c96-80ef-4cab-ad88-c888a5a447c0,2930256888,QN030101_04,"ウツシ教官から与えられた課題を
すべてこなす",Complete each of Master Utsushi's tasks,Compléter toutes les tâches d'Utsushi,"Completa tutti gli incarichi del
maestro Utsushi","Schließe jede von Meister Utsushis
Aufgaben ab.",Completa las tareas del maestro Utsushi,Выполнить каждое задание Мастера Уцуси,Wykonaj każde z zadań Mistrza Utsushiego,,,"Conclua todas as tarefas do
Mestre Utsushi.","우츠시 교관이 내 준 과제를
모두 끝마친다","完成倪泰教官指派的
所有課題",完成倪泰教官布置的所有课题,,,,,,,,أكمل مهام السيد أوتسوشي,,,,,,,,,,,
e7b1c1f5-15a3-4ebb-95a5-f7ddd33693c9,2060614355,QN030101_05,"報酬金ゼロ
タイムアップ","Reward hits 0, or time expires",Prime à 0 ou temps expiré,Premio a zero o tempo scaduto,"Belohnung auf 0 oder Zeit
läuft ab.","La recompensa cae a 0
o se acaba el tiempo","Счетчик награды доходит до 0
или истекает время",Nagroda = 0 lub koniec czasu,,,"A recompensa chega a 0
ou o tempo expira","보수금 0
시간 초과","報酬金0
時間結束","报酬金额为零
时间耗尽",,,,,,,,0 ضربات المكافأة، أو ينفد الوقت,,,,,,,,,,,
36130a33-ab3b-4939-81c2-f7ba917f19f9,3355154624,QN030102_01,操竜についておさらいしよう！,Learning to Ride,Apprendre à chevaucher,Impara a cavalcare,Reiten lernen,Aprendiendo a montar,Учимся ездить верхом,Nauka jazdy,,,Aprendendo a montar,용 조종을 복습하자!,複習跟操龍相關的技巧吧！,来复习一下如何御龙吧！,,,,,,,,تعلم الركوب,,,,,,,,,,,
164b4241-eba9-4024-b6dd-2dfe41d4f7bf,3519993528,QN030102_02,ウツシ教官,Master Utsushi,Utsushi le maître,Maestro Utsushi,Meister Utsushi,Maestro Utsushi,Мастер Уцуси,Mistrz Utsushi,,,Mestre Utsushi,우츠시 교관,倪泰教官,倪泰教官,,,,,,,,السيد أوتسوشي,,,,,,,,,,,
6b2042e4-b82a-44c8-9406-bba71ccd2f09,765394592,QN030102_03,"おお、我が愛弟子よ！
このカムラの里が生んだ翔蟲の
技術…。それを発展させたのが、
モンスターを自在に操る<COL RED>操竜</COL>だ！
その基本を、このクエストで
おさらいしよう！
では、闘技場で待っているぞ！","Hey, Ace! There's a pretty gnarly
technique in Kamura called <COL RED>Wyvern
Riding</COL> where you use Wirebugs to
control a monster! Sounds crazy,
right? Meet me in the Arena, and
I'll show you what it's all about!","Hé, l'artiste ! Les gens de
Kamura ont une technique
super cool, la <COL RED>Chevauchée de
wyvernes</COL>. Ils se servent des
Filoptères pour contrôler un
monstre ! Retrouve-moi dans
l'Arène, et je te montrerai !","A Kamura esiste una tecnica
davvero ottima chiamata
<COL RED>cavalcatura wyvern</COL>, con cui
puoi controllare un mostro
tramite insetti filo. Forte,
vero? Vediamoci nell'Arena
e ti darò una dimostrazione!","Hey, Ass! In Kamura gibt's 'ne
krasse Technik: <COL RED>Wyvern-Reiten</COL>!
Dabei nutzt du einen Seil-
käfer, um ein Monster zu kon-
trollieren! Klingt abgefahren,
hm? Triff mich in der Arena,
dann zeig ich dir alles!","¡Ey, hacha! Hay una técnica
en Kamura llamada <COL RED>montura
wyvern</COL> que consiste en usar
cordópteros para controlar
monstruos. ¿A que suena bien?
Reúnete conmigo en la Arena,
allí te lo explicaré todo.","Эй, ас! В Камуре есть одна
крутая техника, называется
<COL RED>езда на виверне</COL>. Это когда
ты управляешь монстром
с помощью Прутожука! Скажи,
мощно? Приходи на арену,
я тебе покажу, что там к чему!","Czołem! Mamy w Kamurze fajową
technikę zwaną <COL RED>jazdą na
wiwernie</COL>, w której używasz
kablobaków do kontrolowania
potwora. Zwariowane, nie?
Spotkajmy się na Arenie,
to wszystko ci wytłumaczę!",,,"Aí, Craque! Existe uma técnica
bastante complicada em Kamura
chamada <COL RED>Montaria de Serpe</COL>,
em que você usa Cabinsetos pra
controlar um monstro! Parece
loucura, né não? Me encontra
na Arena que eu te mostro!","오오, 나의 애제자여!
우리 카무라 마을이 낳은
밧줄벌레 기술을 발전시킨 것이
몬스터를 조종하는 <COL RED>용 조종</COL>이다!
용 조종의 기본을
이 퀘스트로 복습해 보자!
그럼 격투장에서 기다리마!","哦哦，我的愛徒啊！
翔蟲技術是誕生於神火村之物……
而將其進一步發展之後，
便成了能自由地操縱魔物的<COL RED>操龍</COL>！
利用這項任務來複習基礎知識吧！
那麼，我會在鬥技場等你來的！","噢，我的爱徒啊！
翔虫技术诞生于这座炎火村……
其发展而来的，即是能够
随心所欲操纵怪物的<COL RED>御龙</COL>！
让我们用这项任务来
复习一下御龙的基础吧！
那么，我就在斗技场等你了！",,,,,,,,"مرحبًا، <LSNR {أيها البارع} {أيتها البارعة}>! هناك تقنية في غاية الروعة
في كامورا تُسمى <COL RED>ركوب
التنين المجنح</COL> التي تستخدم حشرات الحرير
للسيطرة على الوحش! يبدو جنون،
أليس كذلك؟ <LSNR {قابلني} {قابليني}> عند الحلبة،
و<LSNR {سأشرح لك} {سأشرح لكِ}>كل شيء عنها!",,,,,,,,,,,
334d46b2-a48f-4567-ba30-0f0b7b5e9b4f,2549238026,QN030102_04,ウツシ教官から操竜の基礎を習得する,Learn to Wyvern Ride from Master Utsushi,"Apprendre à chevaucher des wyvernes
avec Utsushi le maître",Impara a cavalcare dal maestro Utsushi,"Lerne das Wyvern-Reiten von
Meister Utsushi.",Aprende a montar en wyvern con Utsushi,"Научиться езде на виверне
у Мастера Уцуси","Naucz się jazdy na wiwernie
od Mistrza Utsushiego",,,Aprenda a Montar Serpe com o Mestre Utsushi,우츠시 교관과 용 조종의 기초를 복습하기,向倪泰教官學習操龍的基礎,从倪泰教官那里习得御龙的基础,,,,,,,,تعلّم ركوب التنين المجنح من السيد أوتسوشي,,,,,,,,,,,
ef580478-6144-4c26-be1a-8159c61b1bc7,564001066,QN030102_05,"報酬金ゼロ
タイムアップ","Reward hits 0, or time expires",Prime à 0 ou temps expiré,Premio a zero o tempo scaduto,"Belohnung auf 0 oder Zeit
läuft ab.","La recompensa cae a 0
o se acaba el tiempo","Счетчик награды доходит до 0
или истекает время",Nagroda = 0 lub koniec czasu,,,"A recompensa chega a 0
ou o tempo expira","보수금 0
시간 초과","報酬金0
時間結束","报酬金额为零
时间耗尽",,,,,,,,0 ضربات المكافأة، أو ينفد الوقت,,,,,,,,,,,
