guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
8a2ce41a-d7f8-437f-b841-3aed6541366d,1466866646,QN000101_01,大社跡の探索ツアー,A Tour of the Ruins,Visite du Temple oublié,Un tour delle rovine,Erkundung der Ruinen,Un recorrido por el templo,Поход по руинам,Wycieczka po Ruinach,,,Um passeio pelas Ruínas,사원 폐허 탐색 투어,大社遺跡的探索之旅,废神社的探索之旅,,,,,,,,جولة في الأطلال,,,,,,,,,,,
cca2a008-cfe0-43d1-b48f-305f8782d26e,1706148778,QN000101_02,里長フゲン,Fugen the Elder,Fugen l'Ancien,Fugen l'anziano,Fogen der Älteste,Fugen el anciano,Старейшина Фугэн,Starszy Fugen,,,"Fugen, o ancião",촌장 후겐,村長傅賢,村长普贤,,,,,,,,المعمّر فيوجين,,,,,,,,,,,
811aed79-3473-4c80-930e-5f80e90729eb,933436932,QN000101_03,"おう、<PL>！
大社跡を自由に探索したいの
ならこのクエストがオススメだ。
時間は無制限、何度やられても
別にかまわんぞ！
満足できたら、メニュー画面から
いつでも帰還するがいい！","Hey, Squirt! Try this quest on
for size if you wanna explore
the Shrine Ruins at your
leisure: there's no limit on
time or repetition, and you
can come back home from the
menu screen whenever ya want!","Salut ! Si tu veux explorer
le Temple oublié, j'ai
une quête pour toi !
Pas de limite de temps,
tu peux la faire plusieurs
fois et revenir à tout moment
depuis l'écran du menu !","Ehi, giovane. Prova questa
missione, se vuoi esplorare le
Rovine sacre a tuo comodo:
non ci sono limiti di tempo o
riprese e puoi tornare
indietro dalla schermata del
menu in qualsiasi momento!","Hey, Frischling! Versuch dich
mal an dieser Quest, wenn du
die Heiligen Ruinen in Ruhe
erkunden willst: Zeit und
Versuche sind unbegrenzt, und
über den Menübildschirm kannst
du jederzeit heimkehren.","Mídete con esta misión si
quieres dar un garbeo por el
Templo olvidado. No hay límite
de tiempo ni repeticiones,
¡y lo puedes dejar mediante
la pantalla de menú cuando
quieras!","Эй, Выскочка! Попробуй это
задание, если хочешь вдоволь
исследовать Руины святилища.
Время и повторы не ограничены,
в любой момент можно вернуться
обратно через меню!","Hej, czołem! Wypróbuj to
zadanie, jeśli chcesz zbadać
Ruiny Świątynne w wolnej
chwili: nie ma limitu czasu
ani powtórek. Możesz wrócić
do domu przez menu
w każdej chwili!",,,"Olá, <LSNR {guri} {guria}>!
Experimente esta missão quando
quiser explorar as Ruínas do
Templo: não há limite de tempo
nem de repetição, e você pode
voltar quando quiser a partir
da tela do menu!","잘 있었냐. <PL>!
사원 폐허를 자유롭게 탐험하고
싶다면 이 퀘스트를 추천한다.
시간 제한도 없고, 몇 번을
당하더라도 상관없거든!
그리고 만족스럽다면 언제든
메뉴 화면을 통해 귀환하거라!","哦，<PL>！
如果你想自由探索大社遺跡，
那我推薦你承接這項任務。
任務沒有任何時間限制，
無論倒下幾次都沒關係。
等到你覺得心滿意足了，
隨時能透過選單畫面返回。","噢，<PL>！
如果你想自由探索废神社，
那我很推荐这个任务。
没有时间限制，
力尽倒下多少次都没关系！
等探索得心满意足了，
就随时从菜单画面返回吧！",,,,,,,,"مرحبًا، يا <LSNR {صغيري} {صغيرتي}>! <LSNR {جرب} {جربي}> هذه المهمة
إذا <LSNR {أردت} {أردتِ}> استكشاف أطلال
الضريح في وقت <LSNR {فراغك} {فراغكِ}>:
دون قيود على الوقت
أو التكرار <LSNR {ويمكنك} {ويمكنكِ}>
الرجوع إلى الشاشة
الرئيسية حينما <LSNR {ترغب} {ترغبين}>!",,,,,,,,,,,
9cbc546a-b7fd-4ab2-81bf-5c068021ab50,815996796,QN000101_04,大社跡の探索,Explore the Shrine Ruins,Explorer le Temple oublié,Esplora le Rovine sacre,Erforsche die Heiligen Ruinen,Explora el Templo olvidado,Разведать Руины святилища,Zbadaj Ruiny Świątynne,,,Explore as Ruínas do Templo,사원 폐허 탐색,探索大社遺跡,探索废神社,,,,,,,,استكشاف أطلال الضريح,,,,,,,,,,,
df641941-fb65-4586-9ab9-ddc390c1c006,2802173793,QN000101_05,条件なし,None,Rien,Nessuna,-,Ninguna,Нет,Brak,,,Nenhum,조건 없음,無條件,无条件,,,,,,,,لا يوجد,,,,,,,,,,,
98ea20a7-7d5b-4954-b991-ab9bc1d3df41,1360170963,QN000102_01,ホオズキころころ,Roly-poly Lanterns,Lanternes roulantes,Lanterne dappertutto,Kugelrunde Laternen,Farolillos regordetes,Фонарики,Okrąglutkie latarnie,,,Lanternas rechonchudas,꽈리가 대굴대굴,圓滾滾的鬼燈,圆圆酸浆,,,,,,,,مَوقِد رولي بولي,,,,,,,,,,,
4e56c417-aa43-4d6c-87ee-07b6e4c3c5a5,927578458,QN000102_02,可愛いもの好きの里娘,Girly Village Maiden,Villageoise coquette,Ragazza del villaggio,Dorfmädchen,Sirvienta femenina,Деревенская девушка,Dziewczęca panna z wioski,,,Menina fofinha da aldeia,귀여운 것이 좋은 마을 처녀,喜歡可愛事物的村莊少女,喜欢可爱事物的村庄姑娘,,,,,,,,فتاة القرية الصغيرة,,,,,,,,,,,
c9a9734c-cc59-4aba-80d8-674774f37386,364723151,QN000102_03,"火玉ホオズキ、可愛いわよね。
赤くってコロッとしてて、それに
なんだか神秘的。…そうだわ！
お部屋を火玉ホオズキで飾り
つけるのはどうかしら！　きっと
ステキなお部屋になるわ。ねえ
あなた、採ってきてくれる？","Firelanterns are, like, so pretty!
So red. So round. Something
about them is simply magical.
I totally wanna see them all the
time so maybe I should put 'em
in my room? What do you say?
Think you can get me some?","J'adore les Baietincelles !
Il y a quelque chose de
magique dans ces boules
rouges. Je vais en mettre
plein ma chambre pour les voir
tout le temps ! Tu peux
m'en rapporter ?","Che belle le lanterne di
fuoco! Così rosse e tonde!
Hanno qualcosa di magico.
Vorrei decorarci la mia stanza
per poterle vedere sempre...
Che ne dici, puoi portarmene
qualcuna?","Feuerlaternen sind so hübsch!
So rot. So rund. Sie haben
etwas Magisches. Am liebsten
würd ich sie immerzu sehen.
Vielleicht sollte ich welche
in meinem Zimmer haben? Kannst
du mir welche besorgen?","¡Los farolillos voladores son
preciosos! Rojos y redondos...
Tienen algo mágico. ¿Y si
llenase mi habitación de ellos
para poder verlos siempre?
Oye, ¿podrías conseguirme unos
cuantos?","Фонарики такие красивые! Такие
красные и круглые. В них есть
что-то волшебное. Я хочу
видеть их постоянно. Может,
украсить ими комнату? Что
скажешь? Соберешь их для меня?","Latarnie są prześliczne! Takie
czerwone i okrągłe... Jest w
nich coś magicznego. Mogłabym
na nie patrzeć cały czas...
A gdyby tak udekorować nimi
pokój? Jak sądzisz? Możesz
dla mnie jakieś zdobyć?",,,"Lampichamas são tão bonitos!
Tão vermelhos. Tão redondos.
Tem algo de mágico neles.
Queria muito ter alguns no meu
quarto pra vê-los o tempo todo.
O quê? Você pode pegar alguns
pra mim?","불덩이 꽈리는 귀엽지?
빨간 게 대굴대굴 굴러다니는 걸
보면 왠지 신비로워. …그래!
방을 불덩이 꽈리로 장식하는 건
어떨까? 방이 멋지게 변할 거야.
그래서 말인데 갖다줄 수 있어?","火球鬼燈很可愛吧。
紅色又圓滾滾的外表還帶點
神秘感……對了！你覺得用
火球鬼燈來裝飾房間怎麼樣？
房間肯定會變得更可愛吧！
你能去幫我採集嗎？","火球酸浆，很可爱呢。
红红的，圆圆的，
还有种神秘感。……对了！
用火球酸浆来装饰房间怎么样！
一定能把房间装点得漂漂亮亮。
我说，你能帮我采集来吗？",,,,,,,,"فوانيس النار جميلة للغاية! شديدة
الحمرة. مستديرة للغاية. إنها
ساحرة ببساطة.
أريد رؤيتها طوال الوقت
لذا هل ينبغي أن أضعها في
غرفتي؟ ما <LSNR {رأيك؟ أيمكنك} {رأيكِ؟ أيمكنكِ}>
أن <LSNR {تجلب} {تجلبي}> لي بعضًا منها؟",,,,,,,,,,,
b5fc8891-d454-417c-8c33-662a68b51aab,516113728,QN000102_04,火玉ホオズキ８個の納品,Deliver 8 Firelanterns,Livrer 8 Baietincelles.,Consegna 8 lanterne di fuoco,Liefere 8 Feuerlaternen.,Entrega 8 farolillos voladores,Доставить 8 фонариков,Dostarcz 8 latarni,,,Entregue 8 Balões de Papel,불덩이 꽈리 8개 납품,交貨8個火球鬼燈,交纳8个火球酸浆,,,,,,,,قدّم 8 من فوانيس النار,,,,,,,,,,,
8983c578-6130-4f7f-b7b8-8729bb1ba0ec,2000438898,QN000102_05,"報酬金ゼロ
タイムアップ","Reward hits 0, or time expires",Prime à 0 ou temps expiré,Premio a zero o tempo scaduto,"Belohnung auf 0 oder Zeit
läuft ab.","La recompensa cae a 0
o se acaba el tiempo","Счетчик награды доходит до 0
или истекает время",Nagroda = 0 lub koniec czasu,,,"A recompensa chega a 0
ou o tempo expira","보수금 0
시간 초과","報酬金0
時間結束","报酬金额为零
时间耗尽",,,,,,,,0 ضربات المكافأة، أو ينفد الوقت,,,,,,,,,,,
