guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
46f2ae04-239f-4ad7-8378-9017db9bb704,1388436314,HyakuryuAdaptor_HM_Name_01,大砲,Cannon,Canon,Cannone,Kanone,Cañón,Пушка,Działo,,,Canhão,대포,大砲,大炮,,,,,,,,مدفع,,,,,,,,,,,
d1a8757f-ee13-4d06-a610-f412ac3c90bc,1860182456,HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_02
14ea2601-4706-47bb-8b76-d8ae43105940,1362742051,HyakuryuAdaptor_HM_Name_03,バリスタ,Ballista,Baliste,Balista,Balliste,Balista,Баллиста,Balista,,,Balista,발리스타,弩砲,机关弩,,,,,,,,طلقة المنجنيق,,,,,,,,,,,
cbe8eb28-8987-4ad9-bd82-2268f96f44b2,845532743,HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_04
36d5e9b0-962b-40b9-bff1-c375c85cdc40,2788205819,HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_05
a0677610-dc93-4544-84b1-521ae987052e,1072157928,HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_06
6e8e3f68-5ffa-42fd-b840-dfe2e2caf8a3,2791935343,HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07,<COLOR FF0000>#Rejected#</COLOR> HyakuryuAdaptor_HM_Name_07
99bb4d7d-7619-4dac-b7c8-e23f57af8b94,686055762,HyakuryuAdaptor_HM_Name_08,反撃のドラ,Counter Gong,Gong de riposte,Gong contratt.,Gegenschlagsgong,Gong de contraataque,Гонг о к-атаке,Gong kontrataku,,,Gongo de Contra-ataque,반격의 징,反擊的戰鑼,反击铜锣,,,,,,,,جرس مضاد,,,,,,,,,,,
8f172abb-9ada-495d-8bb9-4d87bcb92a1b,1881115593,HyakuryuAdaptor_HM_Name_09,竜寄せカカシ,Dragonbait,Leurre à mon.,Esca di drago,Drachenköder,Cebo de monstruo,Драконья наживка,Smokoprzynęta,,,Isca de Dragão,미끼 허수아비,誘龍稻草人,诱龙稻草人,,,,,,,,طُعم التنين,,,,,,,,,,,
463af3a3-aad2-4254-b0ef-c73d8ac6a756,62218204,HyakuryuAdaptor_HM_Name_10,里守バリスタ,Defender Ballista,Baliste Kamura,Balista difensiva,Abwehr-Balliste,Balista de los defensores,Защ. балл. Камуры,Balista obronna,,,Balista Defensiva,수호단 발리스타,村莊守衛弩砲,村卫机关弩,,,,,,,,منجنيق مدافع,,,,,,,,,,,
