guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
1579669a-1956-480e-bd66-39f8078523e9,3275225925,QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101,<COLOR FF0000>#Rejected#</COLOR> QC_QN030101
51537e29-7c12-4995-bec0-481f261dc976,2439993046,QC_QN030101_nid103_000_00,"おーい！
こっちだ、愛弟子！","Yo, Ace! Over here!","Salut, l'artiste ! Par ici !","Ehi, <LSNR {campione} {campionessa}>!
Da questa parte!","Moin, Ass! Hier drüben!","¡Ey, hacha! ¡Aquí!","Йоу, ас! Иди-ка сюда!","Joooooł! Halo, tutaj!",,,"Aí, Craque! Aqui!","여기다!
이쪽이다, 애제자여!","喂～！
愛徒，我在這裡！","喂——！
这边，爱徒！",,,,,,,,أيها البارع من هنا!,,,,,,,,,,,
8e99cb32-c3cd-4f67-ae72-5bb1ff44c843,3533084262,QC_QN030101_nid103_010_00,"武器を構えると走れないからね。
移動の時は武器をしまおう！","You can't run with your weapon out.
Put that thing away first!","Tu peux pas courir avec ton
arme sortie. Range ça !","Non puoi correre con l'arma
sguainata. Mettila via!","Du kannst mit der Waffe nicht
laufen. Steck sie erst weg!","¡Nada de correr con el arma
desenvainada! ¡Guárdala!","С оружием наготове бегать
нельзя. Убери оружие!","Nie możesz biegać z bronią!
Najpierw ją schowaj!",,,"Você não pode correr com a arma
na mão. Guarda isso primeiro!","무기를 들고선 달릴 수 없지.
이동할 땐 무기를 넣도록 하자!","舉起武器時沒辦法奔跑，
要移動的話，就收起武器吧！","拔出武器的话，就没法跑动了。
移动时就收起武器吧！",,,,,,,,"لا يُمكنك الركض بالسلاح.
ضعه جانبًا أولًا!",,,,,,,,,,,
90f9644e-25e0-4f00-ade4-9449aa0d5f71,2263489705,QC_QN030101_nid103_020_00,"愛弟子、こっちだ！
俺は岩の上にいるぞ！","Yo, Ace!
I'm on top of these boulders!","Salut, l'artiste ! Je suis
en haut des rochers !","Ehi, <LSNR {campione} {campionessa}>!
Sono qui, su queste rocce!","Moin, Ass! Ich bin hier
oben auf den Felsen!","¡Aquí arriba, hacha!
¡En las rocas!","Йоу, ас!
Я тут, на камнях!","Joł, <LSNR {szefie} {szefowo}>! Jestem
na szczycie tych kamieni!",,,"Aí, Craque!
Tô em cima dessas pedras!","애제자여, 이쪽이다!
여기 바위 위에 있다!","愛徒，這裡這裡！
我在岩石上喔！","爱徒，这边！
我在岩石上面！",,,,,,,,"أيها البارع!
أنا أعلى الصخور هنا!",,,,,,,,,,,
e41be4e5-3270-4d2d-beef-d81390ff3b76,2735955269,QC_QN030101_nid103_030_00,"あせらなくても、大丈夫！
ゆっくり狙いを定めるんだ！","No need to rush! Just take
your time and aim carefully!","Te presse pas ! Prends ton
temps et vise bien !","Non c'è fretta. Fai con calma
e raggiungi l'obiettivo.","Nur keine Eile! Lass dir Zeit
und ziel sorgfältig!","No hay ninguna prisa.
Tómate tu tiempo para apuntar.","Не надо спешить!
Не торопись, целься тщательно!","Śpiesz się powoli! Skup się
i dobrze wyceluj!",,,"Sem pressa! Leve o tempo que
precisar e mire com cuidado!","서두를 것 없다!
천천히 조준하는 거다!","沒關係，不用著急！
慢慢瞄準吧！","没关系，不要着急！
要慢慢地瞄准！",,,,,,,,"لا داعي للعجلة! خُذ وقتك
وصوب بحرص!",,,,,,,,,,,
735fa2dd-e196-45c1-92b6-209ed7e1f964,1332760487,QC_QN030101_nid103_030_01,"<COL RED>アクションスライダー</COL>の命令でも
ガルクに搭乗できるぞ！","You can also use the <COL RED>Action
Bar</COL> to ride your Palamute!","La <COL RED>barre d'action</COL> peut servir
à monter ton Chumsky aussi !","Puoi usare la <COL RED>barra azioni</COL> per
cavalcare il compagno Canyne!","Du kannst deinen Palamute auch
über die <COL RED>Aktionsleiste</COL> reiten!","También puedes montar usando
la <COL RED>barra de acciones</COL>.","Можно еще использовать <COL RED>шкалу
действий</COL> для езды на Паламуте!","Do jazdy na kumpsie możesz też
używać <COL RED>paska akcji</COL>!",,,"Você também pode usar a <COL RED>Barra de
Ação</COL> pra montar seu Amicão!","<COL RED>액션 슬라이더</COL>의 명령으로도
가루크에게 탑승할 수 있다!","也可以用<COL RED>動作快捷鍵</COL>
來騎乘加爾克喔！","用<COL RED>动作快捷栏</COL>的命令
也能骑乘牙猎犬！",,,,,,,,"يُمكنك أيضًا استخدام <COL RED>شريط الحركات</COL>
لركوب بالاموت!",,,,,,,,,,,
50293c1f-cef8-4ef8-8d39-522e417cbfb6,2046724286,QC_QN030101_nid103_030_02,"オトモガルクのライゴウの近くで
<ICON PAD_A>長押しで搭乗だ！","Press <ICON PAD_A> next to a Palamute
to mount it.","Appuie sur <ICON PAD_A> près d'un
Chumsky pour l'enfourcher !","Premi <ICON PAD_A> vicino a un
compagno Canyne per montarlo.","Drück <ICON PAD_A> neben einem Palamute,
um aufzusteigen.","Pulsa <ICON PAD_A> cerca de un camarada
Canyne para montarte.","Нажмите <ICON PAD_A> рядом с Паламутом,
чтобы оседлать его.","Wciśnij <ICON PAD_A> obok kumpsa,
aby go dosiąść.",,,"Segure <ICON PAD_A> perto de um
Amicão para montá-lo.","동반자 가루크 라이고 근처에서
<ICON PAD_A>를 길게 눌러 탑승이다!","在隨從加爾克雷轟的附近長按<ICON PAD_A>，
騎乘牠吧！","在随从牙猎犬雷轰附近
长按<ICON PAD_A>来骑乘！",,,,,,,,"اضغط على <ICON PAD_A> بالقرب
من بالاموت لامتطائه!",,,,,,,,,,,
f2bd5310-58a6-4b97-9027-67913d207f8d,4039131064,QC_QN030101_nid103_040_00,"道に迷ったのかな？
困ったらマップを見るといいよ！","Lost, huh?
Just take a look at your map!","<LSNR {Perdu} {Perdue}> ? Jette un œil
à ta carte !","Ti sei <LSNR {perso} {persa}>, eh?
Dai un'occhiata alla mappa!","Hast dich verirrt, was?
Sieh einfach auf deine Karte!","¿Te has perdido o qué?
Consulta el mapa y arreglado.","Не знаешь дорогу, да?
Просто взгляни на карту!","Nie wiesz, gdzie jesteś?
Spójrz na mapę!",,,"Se perdeu, foi?
Dá uma olhada no seu mapa!","길을 잃은 건가?
길을 모를 땐 맵을 보면 된다!","你迷路了嗎？
有需要時就看看地圖吧！","迷路了吗？
有困难的话，就看看地图吧！",,,,,,,,"فقدت وجهتك أليس كذلك؟
ألقِ نظرة على الخريطة!",,,,,,,,,,,
d8d65e73-e440-4045-8bf7-2cee52f04770,3683146727,QC_QN030101_nid103_060_00,"準備は終わったかな？
さあ、こっちにおいで！","You ready?
Come on, this way!",Tu es <LSNR {prêt} {prête}> ? Par ici !,"Sei <LSNR {pronto} {pronta}>?
Forza, da questa parte!","Bereit? Dann los, hier lang!","¿Todo listo para empezar?
Pues venga, ¡por aquí!","Все готово?
Давай, сюда!","Już można?
Dawaj, tędy!",,,"Tudo pronto?
Vamos, por aqui!","준비는 다 됐겠지?
자, 이쪽으로 와라!","你準備完畢了嗎？
那就過來這裡吧！","准备好了吗？
来吧，过来这边！",,,,,,,,"هل أنت جاهز؟
هيا من هنا!",,,,,,,,,,,
e14f643c-2731-4a8a-a32f-7e4a3b71c5de,4285135971,QC_QN030101_nid103_070_00,いいぞ！　その調子だ！,Nicely done!,Beau travail !,Ben fatto!,Schön gemacht!,¡Bien hecho!,Отлично!,Piękna robota!,,,Bom trabalho!,좋아! 바로 그거다!,很好！就是這樣！,好样的！就是这样！,,,,,,,,أحسنت!,,,,,,,,,,,
