guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b2b838cd-59eb-416b-a0cd-502eaf195957,817715442,QC_QN000304_nid103_370_00_MR,"愛弟子！　そろそろ
<COL RED>第二派襲来</COL>が近いぞ！","Ace! The <COL RED>second horde</COL> is
almost here!","L'artiste ! La <COL RED>deuxième horde</COL>
est presque là !","Stai all'erta, la
<COL RED>seconda orda</COL> è vicina.","Ass! Die <COL RED>zweite Horde</COL> ist
schon fast da!","¡Hacha, la <COL RED>segunda horda</COL> está
a punto de llegar!",Ас! Скоро будет <COL RED>второе стадо</COL>!,"<LSNR {Szefie} {Szefowo}>! <COL RED>Druga horda</COL>
już prawie tu jest!",,,"Craque! A <COL RED>segunda horda</COL>
tá quase chegando!","애제자여! 슬슬 <COL RED>2번째 무리</COL>가
오려는 것 같다!","愛徒！
<COL RED>第2波要來襲</COL>囉！","爱徒！
差不多快到<COL RED>第2波来袭</COL>了！",,,,,,,,"بارع أوشك <COL RED>الحشد الثاني</COL> على
الوصول إلى هنا!",,,,,,,,,,,
840c54c7-a59e-4ee1-a10b-97314035ce82,874187008,QC_QN000304_nid103_372_00_MR,"愛弟子、次の群れが来るぞ！
さあ、第二派も守り切ろう！","Alright, Ace! Second horde's
coming! Get ready to thrash!","La deuxième vague approche !
Prépare-toi à tout dégommer !","Bene, ecco la seconda orda.
Preparati ad annientarla!","Okay, Ass! Die zweite Horde
kommt! Mach dich bereit!","¡Ya viene la segunda horda!
¡Que empiece la fiesta!","Ас, пошла вторая волна!
Готовься к бою!","Uwaga, idzie druga horda!
Zmiażdżmy ją!",,,"Beleza, Craque! A segunda horda
tá chegando! Prepara a surra!","애제자여, 다음 무리가 온다!
자, 2번째 무리도 막아 내자!","愛徒啊，下個魔物群要來了！
守住第2波攻勢吧！","爱徒，下一波怪物群就要来了！
第2波也要防住啊！",,,,,,,,"حسنًا أيها البارع ! الحشد الثاني
آتٍ! استعد للقتال!",,,,,,,,,,,
3e58e8fe-c26d-4d87-b45f-e65817678389,1447188894,QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_000_00
112e7b12-5f8b-46b6-80e3-99642b65d6a0,3003430670,QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00,<COLOR FF0000>#Rejected#</COLOR> QC_QN315591_nid504_001_00
2e86f32a-c88e-40f8-a5d0-2812b3ccceb9,453145629,QC_QN335101_nid103_000_00,"さすがだ！
入れ替え技が切り替わったよ！","Awesome! See how you
swapped scrolls?","Super ! Tu vois le
Parchemin Transfert ?","Fantastico! Hai visto come hai
scambiato i rotoli?","Genial! Siehst du, wie du
Rollen getauscht hast?","¡Genial! ¿Has visto lo fácil
que es cambiar de kakejiku?","Отлично! Видишь, как сменились
свитки?","Wyśmienicie! Udało ci
się zamienić zwoje.",,,"Incrível! Viu como você
trocou pergaminhos?","잘했다! 
교체 기술이 전환됐구나!","不愧是我的愛徒！
果然成功切換交換技了！",很好！替换技切换好了！,,,,,,,,"رائع! أرأيت
كيف بدلت اللفائف؟",,,,,,,,,,,
39b41062-3908-4c36-9b73-41049c86aabc,1623600376,QC_QN335101_nid103_000_01,"抜刀すると、設定中の技が
画面下部に表示されるんだ！","When you draw you weapon, you'll see
your Switch Skill loadout at the bottom.","Arme dégainée, le set de Talents
de substitution s'affiche en bas.","Se estrai un'arma, vedi il set
di abilità scambio in basso.","Wenn du deine Waffe ziehst,
siehst du unten dein Wechselkunst-Set.","Al sacar el arma, abajo verás tu
set de habilidades intercambiables.","Взяв в руки оружие, ты увидишь
комплект заместительных навыков.","Po dobyciu broni zobaczysz niżej
zestaw przełączanych umiejętności.",,,"Quando você sacar sua arma, verá
config. de Hab. de Troca embaixo.","발도하면 설정 중인 기술이
화면 아래쪽에 표시된다!","拔刀後，畫面下方就會顯示
目前設定的技能！","拔刀之后，当前设置的技能
会显示在画面下方！",,,,,,,,"عند إشهار سلاحك، سترى
إمدادات مهارة التبديل بالأسفل.",,,,,,,,,,,
1294f135-3b1c-4e39-9095-58d8799df3cc,2548082197,QC_QN335101_nid103_000_02,"ちなみに疾替えから<ICON PAD_B>で
先駆けにつなげられるぞ！","If you press <ICON PAD_B> after a Switch Skill
Swap, you'll perform a Swap Evade!","Pour un Transfert esquive, utilise <ICON PAD_B>
après un Transfert Talent de sub.","Premi <ICON PAD_B> dopo l'inversione
per una scambio schivata.","Drücke <ICON PAD_B> nach Wechselkunst-
Tausch für Tausch-Ausweichen!","¡Si pulsas <ICON PAD_B> tras intercambiar
habilidades, harás una evasión!","Нажми <ICON PAD_B> после смены замести-
тельного навыка для замены-уклонения.","<ICON PAD_B> po zmianie przełączanych
umiejętności: unik przy zmianie!",,,"Se apertar <ICON PAD_B> após mud. de hab. de
troca, executará Trocar Esquiva.","참고로 신속 교체에서 <ICON PAD_B>로
돌진으로 연결할 수 있다!","順帶一提，在高速更換後按<ICON PAD_B>，
還可以接著使出衝鋒喔！","另外，迅速切换后按<ICON PAD_B>
可以连上冲锋！",,,,,,,,"إذا ضغطت <ICON PAD_B> بعد مبادلة مهارة
التبديل، فستنفذ مبادلة التفادي!",,,,,,,,,,,
959780d7-1f53-4873-b110-9eaedc90ce8f,2895542318,QC_QN335101_nid103_000_03,"先駆けはモンスターへの
回避にも使用できる技だ！","You can even evade towards
monsters. Pretty gnarly, huh?","Tu peux même esquiver vers
un monstre. C'est pas top, ça ?!","Puoi perfino schivare verso
i mostri. Forte, eh?","Du kannst sogar Monstern aus-
weichen. Ziemlich krass, oder?","Puedes hasta evadirte hacia
los monstruos. ¿A que mola?","Ты можешь уклоняться и от
монстров. Круто, да?","Możesz nawet robić unik
w stronę potwora. Super, nie?",,,"Você pode até se esquivar na
direção de monstros. Legal, hein?","돌진은 몬스터의 공격을 회피할
때도 사용 가능한 기술이지!","衝鋒這個招式
也能用來迴避魔物！",冲锋这个招式能用来回避怪物！,,,,,,,,"يمكنك حتى المراوغة نحو الوحوش.
رائع جدًّا، أليس كذلك؟",,,,,,,,,,,
8bc9adb8-9092-432c-a614-512716f127d3,3914807620,QC_QN335101_nid103_000_04,"さあ、次は入れ替え技の
設定方法について教えよう！","Now then, let me tell you how
to set your Switch Skills!","Bon, je t'explique comment utiliser
tes Talents de substitution !","Ora ti spiego come impostare
le tue abilità scambio.","Ich sage dir nun, wie du
deine Wechselkünste festlegst!","¡Te cuento cómo configurar
las habilidades intercambiables!","Давай расскажу тебе, как нас-
троить заместительные навыки.","Teraz ci pokażę, jak ustawić
przełączane umiejętności!",,,"Deixa eu te mostrar como con-
figurar suas Hab. de Troca.","자, 다음은 교체 기술을
설정하는 방법을 가르쳐 주마!","好，接著來和你說說
交換技的設定方式！","好了，接下来我来教你替换技的
设置方法吧！",,,,,,,,"الآن، اسمح لي أن أخبرك
كيفية تعيين مهارات التبديل!",,,,,,,,,,,
fc20b333-70ee-4a07-9ffb-f6d1c1dadf9c,24605845,QC_QN335101_nid103_000_05,"練習が終わったら、
俺に話しかけてくれ！","Let me know when you've
had enough practice!","Tiens-moi au jus quand tu te
seras assez <LSNR {entraîné} {entraînée}> !","Fammi sapere quando hai fatto
abbastanza pratica.","Sag mir Bescheid, wenn
du genug geübt hast!","Tú avísame cuando termines
de practicar lo suficiente.","Дай знать, когда закончишь
практиковаться.","Daj mi znać, gdy
już to wyćwiczysz!",,,"Me avisa quando tiver treinado
o suficiente!","연습이 끝나면
내게 말해 다오!","等你練習完畢後，
就和我說一聲吧！",等练习完了之后就来找我吧！,,,,,,,,"أخبرني عندما
تتدرب بما يكفي!",,,,,,,,,,,
