guid,crc?,<PageAttr>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
614364af-15ce-4e1d-8608-13670f782538,1079279127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101,<COLOR FF0000>#Rejected#</COLOR> QD_QN030101
c3043cad-d227-4d94-ad9d-9a6335d4a478,542197236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,100,QD_QN030101_nid103_000_00,"<CAM:0>おお、我が愛弟子よ！
俺が用意したクエストを
受けてくれたんだね！","<CAM:0>Yo, Ace! What's up!?
Accepted my quest, huh? Niiiiice!","<CAM:0>Salut, l'artiste ! Alors, quoi de neuf ?
T'as accepté ma quête ? Cool !","<CAM:0>Ehi, <LSNR {campione} {campionessa}>! Che si dice?
Hai accettato la mia missione, eh?
Benissimo!","<CAM:0>Moin, Ass! Wie geht's? Hast meine Quest
angenommen, ja? Seeehr schön!","<CAM:0>Veo que has aceptado mi misión, hacha.
¡Me parece estupendo!","<CAM:0>Эй, ас! Как дела?!
Выполняешь мое задание, да? Сла-авно!","<CAM:0>Joł, <LSNR {szefie} {szefowo}>! Co tam?!
<LSNR {Zaakceptowałeś} {Zaakceptowałaś}> moje zadanie?",,,"<CAM:0>Aí, Craque! Que que rola?!
Aceitou minha missão, hein? Maaassa!","<CAM:0>오오, 나의 애제자여!
내가 마련한 퀘스트를 수락했구나!","<CAM:0>喔喔，我的愛徒啊！
你接下我準備的任務了對吧！","<CAM:0>噢，我的爱徒啊！
你承接了我准备的
任务啊！",,,,,,,,"<CAM:0>إنك بارع! ما الأخبار!؟
قبلت مهمتي، أليس كذلك؟ جميل!",,,,,,,,,,,
49b919cb-7257-48f0-8108-4fe1491903d2,581685903,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_000_01,さあ、まずはこっちに来てくれ！,Come over here and we'll get started!,Viens par ici et on pourra commencer !,Vieni qui e cominciamo!,"Komm her, dann legen wir los!","Muy bien, ven por aquí.",Иди сюда и мы начнем!,"Chodź tu, czas zaczynać!",,,Venha até aqui pra gente começar!,"자, 우선 이쪽으로 와라!",來，首先到這邊來！,来吧，先到这边来！,,,,,,,,تعال إلى هنا وسنبدأ!,,,,,,,,,,,
1742eda2-0e4f-4cd9-92e2-70aab0517ef2,516269963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,クエスト手順番号を設定,,110,QD_QN030101_nid103_010_00,"<CAM:23>ハンター就任おめでとう！
いよいよ狩猟生活の始まりだね。","<CAM:23>Congrats again on making hunter!
A whole new life awaits!","<CAM:23>Te voilà <LSNR {chasseur} {chasseuse}>, bravo !
C'est le début d'une nouvelle vie !","<CAM:23>Congratulazioni, sei <LSNR {un cacciatore} {una cacciatrice}>
ora! Sarà l'inizio di una nuova vita!","<CAM:23>Glückwunsch noch mal, dass du's <LSNR {zum Jäger} {zur Jägerin}>
gebracht hast! Jetzt beginnt ein neues Leben
für dich!","<CAM:23>Enhorabuena por hacerte <LSNR {cazador} {cazadora}>.
Una nueva vida se abre ante ti.","<CAM:23>Поздравляю, теперь ты — <LSNR {охотник} {охотница}>!
Теперь начнется совершенно новая жизнь.","<CAM:23>Jeszcze raz gratuluję
dołączenia do grona łowców!
Początek nowego życia!",,,"<CAM:23>Parabéns de novo por se tornar
<LSNR {um caçador}{uma caçadora}>! Uma vida nova te aguarda!","<CAM:23>헌터 취임을 축하한다!
드디어 사냥 생활이 시작됐구나.","<CAM:23>恭喜你成為獵人！
你的狩獵生活終於要開始了呢。","<CAM:23>恭喜你就任猎人！
终于要开始狩猎生活了呢。",,,,,,,,"<CAM:23>تهانينا مجددًا على اتخاذك مهمة الصياد!
ثمة حياة جديدة كاملة في انتظارك!",,,,,,,,,,,
1eb8507c-276d-4bee-9e8d-7ed0120c8799,1627677798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_01,"しかし、ここであえて
狩猟の基礎をおさらいしておこう。","Heh! I can see it in your eyes that you're
ready to thrash, but let's do a little
quest refresher first, cool?","Hé hé ! Je peux voir à tes yeux que t'as
hâte de dégommer du monstre, mais
revoyons un peu les bases d'abord, OK ?","Ehi, vedo che sei <LSNR {pronto} {pronta}> a combattere.
Ma prima, che ne dici di una missione
per rivedere alcune regole?","Ich weiß, du brennst richtig auf die Jagd.
Aber lass uns erst noch mal die Quest-
Grundlagen auffrischen, okay?","Se te nota en la mirada que tienes ganas de
entrar en acción, pero recordemos antes
cómo funcionan las misiones, ¿vale?","Ха! Я по глазам твоим вижу, что ты
рвешься в бой, но давай мы сперва
освежим в памяти основы?","Heh! Widzę po twoich oczach, że już się
palisz do roboty, ale omówmy
jeszcze raz zasady misji, dobra?",,,"Rá! Posso ver nos seus olhos que você tá
em ponto de bala, mas vamos dar uma
revisada nas missões primeiro, legal?","하지만 그럴 때일수록
사냥의 기초를 다져야 한다.",不過，先讓我們來複習狩獵的基礎吧。,"但是，现在就更应该
复习一遍狩猎的基础啊。",,,,,,,,"هييه! يمكنني ملاحظة ذلك في عينيك أنك
على استعداد للقتل، ولكن لنقم ببعض
التحدث عن المهمة، أليس كذلك؟",,,,,,,,,,,
c37059c8-75ef-4e21-b865-65893b140576,546850238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_02,"まずは、俺たちがいるこの
<COLS RED>キャンプ</COL>の説明をしよう。",Let's start with our <COLS RED>Camp</COL> here.,Commençons par le <COLS RED>camp</COL> où nous sommes.,"Iniziamo dall'<COLS RED>accampamento</COL> in cui
ci troviamo adesso.",Fangen wir gleich hier mit dem <COLS RED>Lager</COL> an.,Comencemos por este <COLS RED>campamento</COL>.,Давай начнем с этого <COLS RED>лагеря</COL>.,Zacznijmy od tego <COLS RED>obozu</COL>.,,,Vamos começar com o nosso <COLS RED>Acampamento</COL> aqui.,"우선 지금 우리가 있는
<COLS RED>캠프</COL>부터 설명해 주마.",首先來說明我們所在的這座<COLS RED>營地</COL>吧。,"首先，就让我说明一下
我们所在的这个<COLS RED>营地</COL>吧。",,,,,,,,لنبدأ <COLS RED>بالتخييم</COL> هنا.,,,,,,,,,,,
ca42a94a-253e-468f-872b-0184a8f0992a,2005222478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_03,"<CAM:1>ここは<COLS RED>テント</COL>。
装備や武器の種類を変更したり、
アイテムの整理ができるよ。","<CAM:1>This is your <COLS RED>Tent</COL>. Here, you can
change your equipment and
weapons, or organize your items.","<CAM:1>Voici ta <COLS RED>tente</COL>. Elle te permet
de changer d'équipement et d'armes,
et d'organiser tes objets.","<CAM:1>Questa è la <COLS RED>tenda</COL>. Qui puoi cambiare
l'equipaggiamento, le armi e
organizzare i tuoi oggetti.","<CAM:1>Das ist dein <COLS RED>Zelt</COL>. Hier kannst du deine
Ausrüstung und Waffen wechseln und deine
Objekte ordnen.","<CAM:1>Esta es la <COLS RED>tienda</COL>, donde puedes cambiar tu
equipamiento y armas, además de organizar
tu inventario.","<CAM:1>Это твоя <COLS RED>палатка</COL>. Здесь можно менять
снаряжение и оружие, сортировать
свои предметы.","<CAM:1>To twój <COLS RED>namiot</COL>.
Tutaj możesz zmieniać wyposażenie i broń
oraz porządkować swoje przedmioty.",,,"<CAM:1>Esta é a sua <COLS RED>Tenda</COL>. Aqui, você pode
mudar seus equipamentos e armas ou
organizar seus itens.","<CAM:1>여긴 <COLS RED>텐트</COL>.
장비와 무기의 종류를 변경하거나
아이템을 정리할 수 있지.","<CAM:1>這是<COLS RED>帳篷</COL>，
可以在這裡變更裝備和武器的種類，
或是整理道具喔。","<CAM:1>这里是<COLS RED>帐篷</COL>。
可以变更装备或武器的种类，
还可以整理道具。",,,,,,,,"<CAM:1>هذه <COLS RED>خيمتك</COL>. هنا، يمكنك
تغيير المعدات والأسلحة
لديك أو تنظيم عناصرك.",,,,,,,,,,,
26eee04f-716d-4d49-ace5-e1d7e787a985,3783254420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_04,"もし、今の装備に不安があるのなら、
テントで準備を整えておこう。","If you wanna bail on your current
loadout, you're free to switch
out your gear inside.","Si tu veux te débarrasser de ton set
actuel, tu peux changer d'équipement
à l'intérieur.","Se non vuoi più usare il set attuale,
puoi modificare il tuo equipaggiamento
all'interno.","Wenn dir dein aktuelles Set nicht
gefällt, kannst du drinnen deine
Ausrüstung wechseln.","Si quieres librarte de tu set actual,
aquí puedes cambiar tu equipamiento.","Если хочешь поменять снаряжение,
это можно сделать здесь.","Jeśli chcesz zmienić swój obecny zestaw,
możesz zrobić to w środku.",,,"Se você quiser aliviar sua configuração
atual, pode trocar seu equipamento aqui
dentro.","만약 지금 장비로 불안하다면
텐트에서 준비를 갖추도록 하거라.","如果擔心目前身上的裝備，
就先在帳篷裡整備一下吧。","如果对现在的装备感到不安，
就在帐篷里进行整备吧。",,,,,,,,"إذا أردت ترك عتادك
الحالي، فلديك الحرية في
تبديل الأدوات بالداخل.",,,,,,,,,,,
3466631b-f9a7-4ac3-bfea-5117bf008a97,2341895475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_05,"<CAM:2>あそこにあるのが<COLS RED>支給品ＢＯＸ</COL>だ。
狩りに役立つアイテムが入っているよ。","<CAM:2>That over there is the <COLS RED>Supply Box</COL>.
It's full of useful items that'll aid
you during a quest.","<CAM:2>Là, c'est la <COLS RED>boîte à fournitures</COL>. Elle
contient plein d'objets utiles qui
t'aideront durant les quêtes.","<CAM:2>Questa è la <COLS RED>cassa scorte</COL>.
Contiene oggetti che possono aiutarti
durante le missioni.","<CAM:2>Das da drüben ist die <COLS RED>Vorratstruhe</COL>.
Sie enthält Objekte, die dir bei Quests
helfen.","<CAM:2>Aquello es el <COLS RED>baúl de suministros</COL>.
Está lleno de objetos útiles que te serán de
ayuda durante las misiones.","<CAM:2>Это <COLS RED>ящик с припасами</COL>.
Он полон полезных предметов, которые
пригодятся тебе на задании.","<CAM:2>Tam jest <COLS RED>skrzynka z zaopatrzeniem</COL>.
Zawiera przedmioty, które przydadzą
ci się podczas zadania.",,,"<CAM:2>Aquilo ali é a <COLS RED>Caixa de Suprimentos</COL>.
Ela tá cheia de itens úteis que vão te
ajudar durante uma missão.","<CAM:2>저기 있는 건 <COLS RED>지급품 BOX</COL>다.
사냥에 필요한 아이템이 들어 있지.","<CAM:2>在那裡的是<COLS RED>補給品箱</COL>，
裡面裝有能在狩獵時派上用場的道具喔。","<CAM:2>在那里的是<COLS RED>补给箱</COL>。
里面放着有助于狩猎的道具。",,,,,,,,"<CAM:2>فهناك يقع <COLS RED>صندوق الإمداد</COL>.
إنه مليء بالعناصر المفيدة التي تساعدك
خلال المهمة.",,,,,,,,,,,
a76263a3-b63e-41fc-b122-0b36e23827ec,315924783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QD_QN030101_nid103_010_06,"ギルドからハンターに支給された品だから、
自由に持って行ってかまわないからね。","And everything in there is provided
by the Guild so feel free to take
and use whatever you want!","Et tout ce qui s'y trouve est fourni par
la Guilde, alors n'hésite pas à prendre
et à utiliser tout ce dont tu as besoin !","Ti vengono forniti dalla Gilda, quindi
prendili pure e usali quando lo ritieni
opportuno.","Die Gilde stellt das alles zur Verfügung,
also nimm dir ruhig, was du brauchst, und
setz es nach Belieben ein.","Son cosas que proporciona el gremio, así que
no te cortes en cogerlas y usarlas cuando las
necesites.","Здесь все предоставлено Гильдией,
бери, что нужно, не стесняйся!","Dostarcza je Gildia, więc możesz
korzystać z nich do woli!",,,"E tudo ali é fornecido pela Guilda,
então, fique à vontade pra pegar e
usar o que quiser!","길드에서 헌터에게 지급하는 물건이니
자유롭게 사용해도 좋다.","那是公會發放下來給獵人的補給品，
所以可以自由運用喔。","因为是公会发给猎人的物品，
所以可以自由使用。",,,,,,,,"وتقدم النقابة كل شيء هناك
فلديك الحرية في أخذ واستخدام
ما تريده!",,,,,,,,,,,
