guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f98beb58-8113-4120-8c7a-df84c7763c15,1476818032,STM_ASE_System_001,"クエストで使用できるアクションスライダー内の
項目を編集します。","Edit which actions will be shown on the Action Bar
during quests.","Modifier les actions affichées sur
la barre d'action pendant les quêtes.","Scegli le opzioni mostrate nella
barra azioni durante le missioni.","Bearbeite, welche Aktionen in der Aktionsleiste
angezeigt werden, während du Quests absolvierst.","Selecciona las acciones que se mostrarán en la
barra de acciones durante las misiones.","Выбор действий, которые будут показаны на шкале
действий в ходе выполнения заданий.","Wybierz akcje, które będą pokazane
na pasku akcji podczas zadań.",,,"Editar que ações aparecerão na Barra de Ação
durante missões.","퀘스트에서 사용할 수 있는
액션 슬라이더 항목을 편집합니다.","編輯在任務中使用的
動作快捷鍵項目。","编辑在任务中使用的
动作快捷栏内的项目。",,,,,,,,"تعديل الحركات المعروضة في شريط الحركات
في المهام.",,,,,,,,,,,
4b1725b1-eee0-49ad-b655-56ca0a76c63d,1156371755,STM_ASE_System_002,"里で使用できるアクションスライダー内の
項目を編集します。","Edit which actions will be shown on the Action Bar
when in the village.","Modifier les actions affichées sur
la barre d'action à l'intérieur du village.","Scegli le opzioni mostrate nella
barra azioni mentre sei nel villaggio.","Bearbeite, welche Aktionen in der Aktionsleiste
angezeigt werden, wenn du dich im Dorf aufhältst.","Selecciona las acciones que se mostrarán en la
barra de acciones mientras estás en la aldea.","Выбор действий, которые будут показаны на шкале
действий в деревне.","Wybierz akcje, które będą pokazane
na pasku akcji w wiosce.",,,"Editar que ações aparecerão na Barra de Ação
quando estiver na aldeia.","마을에서 사용할 수 있는
액션 슬라이더 항목을 편집합니다.","編輯在村莊裡使用的
動作快捷鍵項目。","编辑在村庄里使用的
动作快捷栏内的项目。",,,,,,,,"تعديل الحركات المعروضة في شريط الحركات
في القرية.",,,,,,,,,,,
4984f173-7255-4af1-9c9c-5e42cecb48e9,3246702953,STM_ASE_System_003,"カテゴリーごとの項目の表示設定を
まとめて変更します。","Edit display settings for actions from
all categories.","Modifier les paramètres d'affichage pour
les actions de toutes catégories.","Modifica le opzioni di visualizzazione delle
azioni in tutte le categorie.","Bearbeite die Anzeigeeinstellungen für Aktionen
aus allen Kategorien.","Configura la visualización de todas las categorías
de acciones.","Выбор отображения действий
из всех категорий.","Edytuj ustawienia wyświetlania akcji
wszystkich kategorii.",,,"Editar as configurações de exibição para ações
em todas as categorias.","카테고리별 항목의 표시 설정을
일괄로 변경합니다.","一次變更每個類別的
項目顯示設定。","批量变更各个类别的
项目显示设置。",,,,,,,,"تعديل إعدادات عرض الحركات من
جميع الفئات.",,,,,,,,,,,
51ee6cec-eabd-43f9-914e-67e99836c875,756492546,STM_ASE_System_004,"コミュニケーションの項目を
チャットメニューから登録します。","Register communication shortcuts
for the chat menu.","Enregistrer les raccourcis de communication
pour le menu du chat.","Registra le comunicazioni pronte all'uso
nel menu della chat.","Registriere Kommunikationsabkürzungen
für das Chatmenü.","Crea accesos directos de comunicación para el
menú de chat.","Регистрация команд общения
для меню чата.","Zarejestruj skróty komunikacji
dla menu czatu.",,,"Registrar atalhos de comunicação para
o menu do bate-papo.","커뮤니케이션 항목을
채팅 메뉴에서 등록합니다.","從聊天選單登錄
溝通交流的項目。",从聊天菜单登记交流项目。,,,,,,,,"تسجيل اختصارات الاتصالات
لقائمة الدردشة.",,,,,,,,,,,
d9bfe4de-5996-428b-870f-a4a8cb53d453,3184954534,STM_Shortcut_System_001,"クエスト中のショートカットパレットを
編集します。",Edit menu shortcuts for use during quests.,"Modifier vos raccourcis menu afin de les utiliser
durant les quêtes.","Modifica le scorciatoie del menu utilizzabili
durante le missioni.","Bearbeite Menü-Abkürzungen, die du beim
Absolvieren von Quests nutzen möchtest.","Modifica el menú de atajos que podrás usar
durante las misiones.",Настроить быстрые команды меню для заданий.,Edytuj skróty menu do użytku podczas zadań.,,,Edite os atalhos de menu para usar em missões.,"퀘스트 중에 사용하는
숏컷 팔레트를 편집합니다.","編輯任務中的
捷徑快捷盤。",编辑执行任务时的快捷轮盘。,,,,,,,,تعديل اختصارات القائمة للاستخدام أثناء المهام.,,,,,,,,,,,
665ce1b0-1ad6-4087-a32e-3a2fb178ed38,2324561470,STM_Shortcut_System_002,"カムラの里にいる間のショートカットパレットを
編集します。",Edit menu shortcuts for use while in the village.,"Modifier vos raccourcis menu afin de les utiliser
dans le village.","Modifica le scorciatoie del menu utilizzabili
nel villaggio.","Bearbeite Menü-Abkürzungen, die du während
des Aufenthalts im Dorf nutzen möchtest.","Modifica el menú de atajos que podrás usar
mientras estás en la aldea.",Настроить быстрые команды меню для деревни.,Edytuj skróty menu do użytku w wiosce.,,,Edite os atalhos de menu para usar na aldeia.,"카무라 마을 안에서 사용하는
숏컷 팔레트를 편집합니다.","編輯在神火村裡的
捷徑快捷盤。",编辑位于炎火村时的快捷轮盘。,,,,,,,,تعديل اختصارات القائمة للاستخدام في القرية.,,,,,,,,,,,
da9b1d4c-92d5-4748-856f-39edb856c314,3471131908,STM_Shortcut_System_003,コピー先を選択してください。,Select a menu slot to copy.,"Raccourci copié.
Sélectionner un emplacement de menu où le coller.",Scegli uno slot menu da copiare.,"Wähle einen Menü-Slot, der überschrieben
werden soll.",Elige el espacio del menú que quieres copiar.,Выберите ячейку меню для копирования.,Wybierz gniazdo menu do skopiowania.,,,"Atalho copiado. Selecione um
espaço de menu para colá-lo.",복사할 곳을 선택하십시오.,請選擇想要複製到哪裡。,请选择粘贴位置。,,,,,,,,تحديد موضع قائمة للنسخ.,,,,,,,,,,,
7c0a0059-3ce3-43e0-b783-f706db0c518b,4291274869,STM_Shortcut_System_004,"パレットに登録する項目のカテゴリを
選択してください。",Select an item category to add to a menu.,"Sélectionner une catégorie d'objets à ajouter
au menu.","Seleziona una categoria di oggetti da
aggiungere a un menu.","Wählen eine Objektkategorie, die du
einem Menü hinzufügen möchtest.","Selecciona una categoría de objetos para añadir
a un menú.","Выбрать категорию предмета
для добавления в меню.","Wybierz kategorię przedmiotów,
by dodać ją do menu.",,,"Selecione uma categoria de item
para adicionar ao menu.","팔레트에 등록할 항목의
카테고리를 선택하십시오.","請選擇要登錄到快捷盤的
項目類別。",请选择要登记至轮盘的项目种类。,,,,,,,,تحديد الفئة لإضافة عنصر للقائمة.,,,,,,,,,,,
b589cb44-cbf0-4937-bf29-b678496a8856,3277419546,STM_Shortcut_System_005,"パレットに登録するショートカット項目を
選択してください。",Select an item shortcut to add to a menu.,"Sélectionner un raccourci d'objet à ajouter
au menu.","Seleziona un oggetto rapido da aggiungere
a un menu.","Wähle eine Objekt-Abkürzung, die du
einem Menü hinzufügen möchtest.","Selecciona un atajo de objetos para añadir a un
menú.","Выбрать быструю команду предмета
для добавления в меню.","Wybierz skrót przedmiotu, by dodać go do menu.",,,"Selecione um atalho de item
para adicionar ao menu.","팔레트에 등록할 숏컷의
항목을 선택하십시오.","請選擇要登錄到快捷盤的
捷徑項目。",请选择要登记至轮盘的快捷栏项目。,,,,,,,,تحديد فئة اختصار للإضافة للقائمة.,,,,,,,,,,,
e85e514d-6a41-4138-a8a4-5cb443204c8f,1564437340,STM_Shortcut_System_006,クエスト中のパレットセットを編集します。,Edit menu loadouts for use during quests.,"Modifier vos sets de menu afin de les utiliser
lors des quêtes.",Scegli i set di menu da usare in missione.,"Bearbeite Menüsets, die du beim Absolvieren
von Quests nutzen möchtest.","Modifica el menú de sets que podrás usar durante
las misiones.",Настроить комплекты меню для заданий.,Edytuj zestawy menu do użytku podczas zadań.,,,"Edite as configurações de menu
para usar em missões.","퀘스트 중에 사용하는
팔레트 세트를 편집합니다.",編輯任務中的快捷盤組合。,编辑执行任务时的轮盘组合。,,,,,,,,تغيير قائمة الاختصارات للاستخدام أثناء المهام.,,,,,,,,,,,
887327a9-e156-4484-8277-eaa345f61c4d,3427255287,STM_Shortcut_System_007,カムラの里にいる間のパレットセットを編集します。,Edit menu loadouts for use while in the Village.,"Modifier vos sets de menu afin de les utiliser
dans le village.",Modifica i set di menu da usare nel villaggio.,"Bearbeite Menüsets, die du während des
Aufenthalts im Dorf nutzen möchtest.","Modifica el menú de sets que podrás usar mientras
estás en la aldea.",Настроить быстрые команды компл. меню для деревни.,Edytuj zestawy menu do użytku w wiosce.,,,Edite as configurações de menu para usar na Aldeia.,"카무라 마을 안에서 사용하는
팔레트를 세트를 편집합니다.",編輯在神火村裡的快捷盤組合。,编辑位于炎火村时的轮盘组合。,,,,,,,,تغيير قائمة الاختصارات للاستخدام في القرية.,,,,,,,,,,,
fc44e798-c38e-4e93-9993-9d858ac06acf,456718477,STM_Shortcut_System_008,"パレットセットに登録するパレットを
選択してください。",Select a menu to be added to a loadout.,Sélectionner un menu à ajouter à un set.,Seleziona un menu da aggiungere a un set.,"Wähle ein Menü, das du einem Menüset
hinzufügen möchtest.",Selecciona un menú para añadirlo a un set.,Выбрать меню для добавления в комплект.,Wybierz menu do dodania do zestawu.,,,"Selecione um menu para
adicionar à configuração.","팔레트 세트에 등록할
팔레트를 선택하십시오.","請選擇要登錄到快捷盤組合的
快捷盤。","请选择要登记至轮盘组合的
快捷轮盘。",,,,,,,,تحديد قائمة لإضافتها للمجموعة.,,,,,,,,,,,
