guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
c33c741e-3734-457f-b5b3-3bf8dc97c9dd,1654762169,STM_DM_IL_Name_001,落陽草,Sunscorned Grass,Herbe Sansoleil,Erba bruciata,Sonnenloses Gras,Hierba solvejada,Попранная трава,Muśn. słońcem trawa,,,Relva Solnegada,낙양초,落陽草,落阳草,,,,,,,,عشب ضد الشمس,,,,,,,,,,,
1b361bf8-494a-418a-b5ca-b7b04cebae38,1694304042,STM_DM_IL_Name_002,鉱脈,Mining Outcrop,Gisement minier,Deposito minerario,Förderplatz,Afloramiento minero,Залежи ресурсов,Złoże górnicze,,,Afloramento Rochoso,광맥,礦脈,矿脉,,,,,,,,نتوء التعدين,,,,,,,,,,,
b2c8088e-1517-4ff7-be94-e9c5ac4750b0,2129227346,STM_DM_IL_Name_003,鉱脈,Mining Outcrop,Gisement minier,Deposito minerario,Förderplatz,Afloramiento minero,Залежи ресурсов,Złoże górnicze,,,Afloramento Rochoso,광맥,礦脈,矿脉,,,,,,,,نتوء التعدين,,,,,,,,,,,
64cddb86-3022-459a-b84f-3744f893a8ac,1229131351,STM_DM_IL_Name_004,骨塚,Bonepile,Carcasse,Resti di ossa,Knochenhaufen,Pila de huesos,Куча костей,Sterta kości,,,Pilha de Ossos,뼈무덤,骨塚,骨冢,,,,,,,,أكوام العظام,,,,,,,,,,,
a54b488d-b1b2-4e30-ab16-90fa3ff0d750,2501231021,STM_DM_IL_Name_005,釣り場,Fishing Spot,Point de pêche,Buca da pesca,Angelstelle,Zona de pesca,Место для рыбалки,Łowisko,,,Local de Pesca,낚시터,釣場,垂钓点,,,,,,,,بقعة صيد الأسماك,,,,,,,,,,,
71f6ad61-ba02-4dc4-9f7e-3e391f1330bf,3936426622,STM_DM_IL_Name_006,キノコの群生地,Mushroom Colony,Champignons,Colonia di funghi,Pilzkolonie,Colonia de setas,Колония грибов,Kolonia grzybów,,,Colônia de Cogumelos,버섯 군생지,香菇群生地,蘑菇的群生地,,,,,,,,مستعمرة الفطر,,,,,,,,,,,
85c80ea5-c100-4d50-83d4-b124516737c1,3410794790,STM_DM_IL_Name_007,赤く揺らめく実,Shimmering Red Berry,Baie rouge scintill.,Bacca rosso acceso,Schimmernde Rotbeere,Baya roja brillante,Перелив. крас. ягода,Błyszcząca brusznica,,,Baga Rubra Fulgente,붉게 흔들리는 열매,紅色的搖曳果實,摇曳如火的果实,,,,,,,,التوت الأحمر اللامع,,,,,,,,,,,
f8fabf1a-ca08-4df9-b0b3-19e714b1e46d,642196767,STM_DM_IL_Name_008,タケノコの群生地,Shoot Patch,Bambous,Germogli,Sprossenfeld,Terreno con brotes,Лужайка ростков,Kępa pędów,,,Canteiro de Brotos,죽순 군생지,竹筍群生地,竹笋的群生地,,,,,,,,لاصقة إطلاق,,,,,,,,,,,
454eadf1-748a-4613-b96a-74559dbd110b,196363776,STM_DM_IL_Name_009,冷たい木の実,Frigid Berry,Baie glaciale,Bacca ghiacciata,Eisige Beere,Baya gélida,Холодная ягода,Mroźna jagoda,,,Baga Frígida,차가운 나무열매,冰冷樹果,冰冷树果,,,,,,,,توت عديم الطعم,,,,,,,,,,,
c67685fb-0fef-4471-ac16-08fcb4d2c0c7,1863045734,STM_DM_IL_Name_010,カキの群生地,Oyster Bed,Huîtres,Campo di ostriche,Austernbeet,Ostral,Устричная отмель,Ławica ostryg,,,Leito de Ostras,굴 군생지,牡蠣群生地,牡蛎的群生地,,,,,,,,سرير المحار,,,,,,,,,,,
