guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
679b5979-1e4a-42cd-a5ba-2cfe4fb3b007,71627652,W_ShortSword_000_Explain,"多くのハンターに愛されてきた
伝統ある片手剣。シンプルな
構造で、非常に扱いやすい。","A simple, yet functional
sword & shield beloved
by Hunters for ages.","Épée-bouclier simple,
mais très pratique. Un
classique pour la chasse.","Spada e scudo essenziali ma
molto funzionali, da sempre
amati dai cacciatori.","Einfaches, aber praktisches
Schwert & Schild. Bei Jägern
seit jeher beliebt.","Espada y escudo simples pero
funcionales, los favoritos
de los cazadores de siempre.","Простые, но функциональные
меч и щит, давняя
любовь всех охотников.","Miecz i tarcza używane przez
pokolenia łowców. Zestaw
prosty, ale funkcjonalny.",,,"Espada e escudo simples,
mas funcionais, amados pelos
caçadores há séculos.","많은 헌터가 애용하는 전통의
한손검. 단순한 구조로
굉장히 다루기 쉽다.","受到眾多獵人喜愛的
傳統單手劍。構造簡單，
便於攜帶及使用。","受到众多猎人喜爱的
传统单手剑。
结构简单，便于使用。",,,,,,,,"سيف وترس بسيطان
وعمليان في الوقت ذاته
أحبهما الصيادون لعصور.",,,,,,,,,,,
3159f62e-497b-457e-9472-379b3c368127,2711529591,W_ShortSword_001_Explain,"多くのハンターに愛されてきた
伝統ある片手剣。シンプルな
構造で、非常に扱いやすい。","A simple, yet functional
sword & shield beloved
by Hunters for ages.","Épée-bouclier simple,
mais très pratique. Un
classique pour la chasse.","Spada e scudo essenziali ma
molto funzionali, da sempre
amati dai cacciatori.","Einfaches, aber praktisches
Schwert & Schild. Bei Jägern
seit jeher beliebt.","Espada y escudo simples pero
funcionales, los favoritos
de los cazadores de siempre.","Простые, но функциональные
меч и щит, давняя
любовь всех охотников.","Miecz i tarcza używane przez
pokolenia łowców. Zestaw
prosty, ale funkcjonalny.",,,"Espada e escudo simples,
mas funcionais, amados pelos
caçadores há séculos.","많은 헌터가 애용하는 전통의
한손검. 단순한 구조로
굉장히 다루기 쉽다.","受到眾多獵人喜愛的
傳統單手劍。構造簡單，
便於攜帶及使用。","受到众多猎人喜爱的
传统单手剑。
结构简单，便于使用。",,,,,,,,"سيف وترس بسيطان
وعمليان في الوقت ذاته
أحبهما الصيادون لعصور.",,,,,,,,,,,
f458518c-6fd4-46f2-b714-cf453c025616,1147308158,W_ShortSword_002_Explain,"ハンターナイフ強化版。伝統的
な形状はそのままだが、性能は
当初より格段に向上している。","This upgraded Hunter's
Knife looks the same, but
has never cut better.","Même apparence, mais
un tranchant bien supérieur.
Base : Couteau de chasse","Coltello cacciatore
potenziato, affilato
come non mai.","Das verbesserte Jägermes-
ser sieht unverändert aus,
schneidet aber viel besser.","Cuchillo de cazador
mejorado. De mismo aspecto,
pero nunca ha cortado mejor.","Улучшенный охотничий нож.
Вид прежний, но режет
остро, как никогда.","Ulepszony nóż łowcy.
Wygląda tak samo, ale
tnie znacznie lepiej.",,,"Esta faca de caçador
melhorada parece igual,
mas nunca foi melhor.","강화형 헌터나이프. 전통적인
모양은 그대로지만 성능은
처음보다 훨씬 향상됐다.","獵人小刀的強化版。
依舊維持了傳統的外觀，
性能卻比當初更為提升。","猎人匕首的强化版。
形状依然遵循传统，
但性能较初版却大为提升。",,,,,,,,"تبدو سكينة الصياد هذه التي
تمت ترقيتها شبيهة بهما لكنها
لم تقطع أفضل منهما أبدًا.",,,,,,,,,,,
5760e1af-f765-4582-9a93-4db8834ad6a7,3881925141,W_ShortSword_003_Explain,"氷の塊を加工して造られた剣。
長く地層で眠っていた氷は、
決して溶けはしない。","Made from ice prisms that
have crystallized over ages
and will never melt.","Faite de prismes gelés
cristallisés au fil du temps
et ne fondant jamais.","Fatta di prismi gelati
che hanno superato la prova
millenaria del tempo.","Unschmelzbare Eiskristalle,
die Jahrtausende schadlos
überstanden haben.","Hecha de prismas helados
que han cristalizado durante
años y no se derretirán.","Сделан из кристаллов льда.
Они нарастали долго
и не растают.","Wykonana z lodu, który
krystalizował się tak długo,
że nie topnieje.",,,"Feita de prismas de gelo que
cristalizaram ao longo das
eras e nunca derreterão.","얼음덩어리를 가공해서 만든
검. 긴 세월 지층에 묻혀 있던
얼음은 결코 녹지 않는다.","將冰塊加工後打造出的劍。
長年沉睡於地層裡的冰，
是絕對不會融化的。","加工冰块制成的剑。
长眠于地层中的冰，
绝不会融化。",,,,,,,,"صُنع من منشورات ثلجية
تبلورت عبر الأزمان
ولن تذوب أبدًا.",,,,,,,,,,,
8de72a4e-5271-4225-bd89-868110d49562,2477705705,W_ShortSword_004_Explain,"氷の塊を加工して造られた剣。
長く地層で眠っていた氷は、
決して溶けはしない。","Made from ice prisms that
have crystallized over ages
and will never melt.","Faite de prismes gelés
cristallisés au fil du temps
et ne fondant jamais.","Fatta di prismi gelati
che hanno superato la prova
millenaria del tempo.","Unschmelzbare Eiskristalle,
die Jahrtausende schadlos
überstanden haben.","Hecha de prismas helados
que han cristalizado durante
años y no se derretirán.","Сделан из кристаллов льда.
Они нарастали долго
и не растают.","Wykonana z lodu, który
krystalizował się tak długo,
że nie topnieje.",,,"Feita de prismas de gelo que
cristalizaram ao longo das
eras e nunca derreterão.","얼음덩어리를 가공해서 만든
검. 긴 세월 지층에 묻혀 있던
얼음은 결코 녹지 않는다.","將冰塊加工後打造出的劍。
長年沉睡於地層裡的冰，
是絕對不會融化的。","加工冰块制成的剑。
长眠于地层中的冰，
绝不会融化。",,,,,,,,"صُنع من منشورات ثلجية
تبلورت عبر الأزمان
ولن تذوب أبدًا.",,,,,,,,,,,
3054a782-42b2-4d86-bb66-25cb6051007a,874725901,W_ShortSword_005_Explain,"強化版フロストエッジ。その
結晶はさらに輝きを強め、
永遠の美しさを手に入れた。","Upgrade of the Frost Edge.
The crystals accentuate its
sublime, eternal beauty.","Les cristaux mettent en
valeur sa beauté éternelle.
Base : Glaive de glace","Lama di gelo potenziata. I
cristalli ne accentuano la
sublime ed eterna bellezza.","Verbesserte Frostschneide.
Die Kristalle betonen ihre
elegante, ewige Schönheit.","Filo helado finalizado.
Los cristales acentúan
su belleza sublime y eterna.","Улучшение Морозного клинка.
Кристаллы подчеркивают его
непреходящую красоту.","Ulepszona klinga mrozu.
Kryształki podkreślają jej
wysublimowane piękno.",,,"Gume Gélido melhorado.
Os cristais acentuam sua
sublime e eterna beleza.","강화형 프로스트에지. 결정은
더욱 강한 빛을 발하며
영원한 아름다움을 얻었다.","強化版的冰霜銳劍。
其結晶變得更為璀璨，
且獲得了永恆之美。","强化版千年冰晶刃。
其结晶更为璀璨，
拥有永恒之美。",,,,,,,,"ترقية شفرة الصقيع.
تزيدها البلورات رُقيًا
وتُضفي عليها جمالًا أبديًا.",,,,,,,,,,,
c24f546c-c904-4863-8196-b8fa778c73bc,1214751604,W_ShortSword_006_Explain,"若手職人が研修で造った鉄剣。
まだまだ粗削りだが実用に問題
なし。未来ある職人に幸あれ！","Iron sword made by a budding
young craftsman. Could use
some refining, but it works.","Épée de fer fabriquée par un
jeune artisan. Rudimentaire
mais fonctionnelle.","Spada di ferro realizzata da
un giovane artigiano,
imperfetta ma efficiente.","Eisenschwert eines jungen
Handwerkers. Der Feinschliff
fehlt, aber es funktioniert.","Espada de hierro hecha por
un artesano joven. Podría
estar mejor, pero funciona.","Железный меч, сделанный
начинающим мастером.
Грубоват, но эффективен.","Żelazny miecz wykonany przez
młodego rzemieślnika. Mało
wyrafinowany, ale działa.",,,"Espada de ferro feita por um
jovem artesão. Falta um
capricho, mas funciona.","젊은 장인이 연습 삼아 만든
철검. 조잡하지만 쓸 만하다.
미래의 장인에게 축복을!","年輕工匠在實習時打造的鐵劍。
雖然較為粗糙，但不影響使用。
祝福前途光明的工匠發展順利！","年轻工匠在学习时制造的铁剑。
还是略显粗糙，但足够实用。
愿这些工匠们学有所成！",,,,,,,,"سيف حديدي صنعه
حِرفي صغير مبتدئ. قد يحتاج
إلى صقله قليلًا، لكنه يعمل.",,,,,,,,,,,
e4bd07aa-a518-4ab3-9881-c63eaf604c2f,403619010,W_ShortSword_007_Explain,"若手職人が研修で造った鉄剣。
まだまだ粗削りだが実用に問題
なし。未来ある職人に幸あれ！","Iron sword made by a budding
young craftsman. Could use
some refining, but it works.","Épée de fer fabriquée par un
jeune artisan. Rudimentaire
mais fonctionnelle.","Spada di ferro realizzata da
un giovane artigiano,
imperfetta ma efficiente.","Eisenschwert eines jungen
Handwerkers. Der Feinschliff
fehlt, aber es funktioniert.","Espada de hierro hecha por
un artesano joven. Podría
estar mejor, pero funciona.","Железный меч, сделанный
начинающим мастером.
Грубоват, но эффективен.","Żelazny miecz wykonany przez
młodego rzemieślnika. Mało
wyrafinowany, ale działa.",,,"Espada de ferro feita por um
jovem artesão. Falta um
capricho, mas funciona.","젊은 장인이 연습 삼아 만든
철검. 조잡하지만 쓸 만하다.
미래의 장인에게 축복을!","年輕工匠在實習時打造的鐵劍。
雖然較為粗糙，但不影響使用。
祝福前途光明的工匠發展順利！","年轻工匠在学习时制造的铁剑。
还是略显粗糙，但足够实用。
愿这些工匠们学有所成！",,,,,,,,"سيف حديدي صنعه
حِرفي صغير مبتدئ. قد يحتاج
إلى صقله قليلًا، لكنه يعمل.",,,,,,,,,,,
9927f96d-7a6f-4cee-85a8-56b28314ee85,1067060193,W_ShortSword_008_Explain,"ある若手職人が造った粗削りな
剣が、わずかな加工で驚くべき
進化。眠れる才能、開花…！？","The young craftsman seems to
have bloomed into an expert!
This blade is amazing!","Le jeune artisan est devenu
un expert ! Cette épée
est exceptionnelle !","Il giovane artigiano è
diventato un esperto.
La spada è strabiliante.","Der junge Handwerker ist
jetzt offenbar ein Meister!
Diese Klinge ist sagenhaft!","¡El artesano joven se ha
convertido en un experto!
¡Esta espada es increíble!","Молодой мастер вырос
в эксперта. Клинок
просто потрясающий!","Młody rzemieślnik stał się
ekspertem! Ten miecz jest
po prostu rewelacyjny!",,,"O jovem artesão virou
especialista! Esta lâmina
é incrível!","젊은 장인이 만든 조잡한 검이
약간의 가공을 거쳐 진화.
잠들었던 재능이 꽃피나…?!","某位年輕工匠打造的粗糙之劍，
稍以加工後便出現驚人的進化。
沉睡的才能將開花結果……！？","某个年轻工匠所造的粗糙铁剑，
稍经加工就产生了惊人的变化。
莫非是沉睡的才能显现……！？",,,,,,,,"يبدو أن الحِرفي الصغير
أصبح متمرسًا! فهذا
النصل أخّاذ!",,,,,,,,,,,
b1f23f2c-a4f8-46ac-b1dd-a0d0c1525765,4055212588,W_ShortSword_009_Explain,"刃渡りは短く刀身も細身ながら
そのあまりの斬れ味ゆえに
飛竜戦でも活躍する小刀。","Despite its short, thin
blade, this small sword is
useful for fighting wyverns.","Malgré sa lame courte et
fine, cette petite épée est
utile contre les wyvernes.","Nonostante la lama sia corta
e sottile, questa spada è
utile contro i wyvern.","Trotz kurzer, dünner Klinge
eignet sich dieses Schwert
für den Kampf gegen Wyvern.","A pesar de su hoja corta y
fina, esta pequeña espada
es útil frente a wyverns.","Несмотря на свой короткий
тонкий клинок этот меч
хорош в бою с вивернами.","Pomimo krótkiej i wąskiej
klingi ten niewielki miecz
jest dobry na wiwerny.",,,"Apesar de sua lâmina curta e
fina, esta pequena espada
é útil para combater serpes.","짧은 칼날에 날도 가늘지만
너무나도 예리하기에
비룡과 싸울 때 활약한다.","刀刃短且刀身細的小刀，
但擁有極高的銳利度，
在飛龍戰中也能大放異彩。","刀刃短、刀身细的小刀，
但它锋利度极高，
所以在飞龙战中也会大放光彩。",,,,,,,,"هذا السيف الصغير يصلح لقتال
التنانين المجنحة، على الرغم
من نصله القصير والرفيع.",,,,,,,,,,,
b5d47ed7-5454-4064-96ee-bf0080925345,1056127800,W_ShortSword_010_Explain,"繰り出す斬撃はまさに疾風。
飛竜を音も無く切り裂く、
ニンジャソード強化形態。","Upgrade of the Ninja Sword.
Can silently slay
a wyvern with ease.","Peut mutiler une wyverne
sans faire le moindre bruit.
Base : Épée ninja","Spada ninja potenziata. Può
uccidere silenziosamente un
wyvern senza colpo ferire.","Verbessertes Ninja-Schwert.
Selbst Wyvern sind kein
Problem mehr.","Espada ninja finalizada.
Puede liquidar sigilosamente
a un wyvern con facilidad.","Улучшение меча ниндзя.
Им можно с легкостью
бесшумно убить виверну.","Ulepszenie miecza ninji.
Zabija wiwerny cicho
i bez wysiłku.",,,"Espada Ninja aprimorada.
Pode matar um serpe com
facilidade e em silêncio.","날아가는 참격은 질풍과 같다.
비룡도 소리 없이 찢어발기는
닌자 소드의 강화형.","揮出的斬擊有如疾風般迅速，
能夠無聲無息地斬開飛龍。
忍者刀的強化型態。","可无声撕裂飞龙的
忍者刀强化形态。
施展出的斩击宛若疾风。",,,,,,,,"ترقية سيف النينجا.
يمكنه قتل تنين مجنح
برويّة وسهولة.",,,,,,,,,,,
eda0f9ae-92d9-4ae3-90fb-7681a90c1774,2133222876,W_ShortSword_011_Explain,"強い水属性を持つ片刃の小剣。
刀身の水が血を洗い流すため、
高い斬れ味を誇っている。","Single bladed short sword
imbued with the power of
water to wash away blood.","Épée courte dotée du pouvoir
de l'eau pour laver le sang
qu'elle fait couler.","Spada corta a lama singola
intrisa del potere di acqua
che lava via il sangue.","Ein einhändiges Kurzschwert,
dessen Wasserkraft Blut
wegspülen kann.","Espada corta de una hoja
con el poder del agua para
limpiar la sangre.","Короткий меч, способный
силой воды смывать
кровь.","Pojedynczy miecz krótki
przesycony mocą wody,
by zmywać krew.",,,"Espada curta de lâmina única
imbuída do poder da água
para lavar o sangue.","강한 물속성을 지닌 외날검.
도신에 흐르는 물이 피를 씻어
엄청난 예리도를 자랑한다.","擁有強大水屬性的單刃小劍。
劍身上的水能夠沖掉血跡，
因此擁有絕佳的銳利度。","拥有强大水属性的单刃小剑。
剑身上的水用于冲洗血迹，
锋利度绝佳。",,,,,,,,"سيف قصير ذو نصل
أحادي مُشبع بقوة الماء
لتنظيف الدماء.",,,,,,,,,,,
e6a8223b-3c00-4cf5-8b28-1c1f8e16e29d,698209390,W_ShortSword_012_Explain,"強い水属性を持つ片刃の小剣。
刀身の水が血を洗い流すため、
高い斬れ味を誇っている。","Single bladed short sword
imbued with the power of
water to wash away blood.","Épée courte dotée du pouvoir
de l'eau pour laver le sang
qu'elle fait couler.","Spada corta a lama singola
intrisa del potere di acqua
che lava via il sangue.","Ein einhändiges Kurzschwert,
dessen Wasserkraft Blut
wegspülen kann.","Espada corta de una hoja
con el poder del agua para
limpiar la sangre.","Короткий меч, способный
силой воды смывать
кровь.","Pojedynczy miecz krótki
przesycony mocą wody,
by zmywać krew.",,,"Espada curta de lâmina única
imbuída do poder da água
para lavar o sangue.","강한 물속성을 지닌 외날검.
도신에 흐르는 물이 피를 씻어
엄청난 예리도를 자랑한다.","擁有強大水屬性的單刃小劍。
劍身上的水能夠沖掉血跡，
因此擁有絕佳的銳利度。","拥有强大水属性的单刃小剑。
剑身上的水用于冲洗血迹，
锋利度绝佳。",,,,,,,,"سيف قصير ذو نصل
أحادي مُشبع بقوة الماء
لتنظيف الدماء.",,,,,,,,,,,
d168935b-632c-42ca-8bd4-7eb75f03a4ee,1060357933,W_ShortSword_013_Explain,"オデッセイブレイドの強化版。
美しき聖水に護られた翡翠の刃
は、決してくすむことはない。","An Odyssey Blade upgrade.
No matter the attack,
its blade never truly dulls.","Ne s'émousse jamais,
quelle que soit la cible.
Base : Lame de l'odyssée","Lama odissea potenziata. In
qualsiasi condizione, la sua
lama non tradisce mai.","Verbesserte Odyssee-Klinge.
Wie man mit ihr auch an-
greift, sie wird nie stumpf.","Hoja de Odisea finalizada.
Da igual cuánto la uses,
nunca pierde el filo.","Улучшение Клинка Одиссея.
Его лезвие не затупится
и в самом жарком бою.","Ulepszona wersja Ostrza
Odysei. Praktycznie
nigdy się nie tępi.",,,"Lâmina Odisseia aprimorada.
Não importa o ataque, sua
lâmina nunca perde o corte.","오디세이블레이드의 강화판.
아름다운 성수의 가호를 받아
결코 무뎌지지 않는다.","奧德賽之刃的強化版本。
被美麗聖水所守護的翡翠劍刃，
永遠不會褪色。","奥德赛之刃的强化版。
美丽圣水守护下的翡翠剑刃
永远不会褪色。",,,,,,,,"ترقية نصل الأوديسيا.
لا يتبلد نصله أبدًا مهما
كانت طبيعة الهجوم.",,,,,,,,,,,
25ce38de-3988-46b8-bba2-712af114026e,3999807168,W_ShortSword_014_Explain,"骨素材の安価な片手剣。
シンプルながら安定した性能を
持つ、初心者に推奨する一本。","A simple and dependable
bone sword that's perfect
for budding hunters.","Épée simple et fiable en os.
Idéale pour les chasseurs
débutants.","Spada d'osso essenziale e
affidabile, perfetta per i
cacciatori in erba.","Ein einfaches und verlässli-
ches Knochenschwert, perfekt
für neue Jäger geeignet.","Espada de hueso sencilla
y fiable perfecta para
cazadores novatos.","Простой и надежный костяной
меч, идеальный для
начинающих охотников.","Prosty i niezawodny miecz
z kości. Idealny dla
początkujących łowców.",,,"Uma espada de osso simples e
resistente, perfeita para
caçadores iniciantes.","뼈 소재로 만든 한손검.
단순하지만 안정적인 성능을
지닌 초보자 추천 무기.","以骨頭打造而成的廉價單手劍。
構造簡單且性能穩定，
推薦給新手使用。","用骨打造而成的廉价单手剑。
构造简单，但性能稳定，
推荐给新手使用。",,,,,,,,"سيف عظْمي بسيط
وموثوق ومثالي
للصيادين المبتدئين.",,,,,,,,,,,
