guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
40291692-1010-42ab-84e6-0f4816a2e002,1474977653,W_ShortSword_300_Explain,"鋭刃が描く軌跡は閃光の如く、
迫り来る闇を切り裂く。これぞ
カムラの里が生んだ猛剣。","A glint of shimmering steel
cuts through the dark,
trailing an impeccable edge.","Acier scintillant qui fend
les ténèbres... Un tranchant
impeccable.","Una lama impeccabile
il cui acciaio lucente
fende l'oscurità.","Ein Funkeln schimmernden
Stahls teilt die Finsternis
mit einer makellosen Klinge.","Destello de acero brillante
que corta la oscuridad
con un rastro impecable.","Блеск стали пронзает тьму.
Его отбрасывает безупречный
клинок.","Błysk stali przecina mrok
w ślad za nieskazitelnie
ostrym ostrzem.",,,"Um brilho de aço cintilante
corta as trevas, arrastando
um gume impecável.","예리한 칼날이 만드는 궤적은
섬광처럼 어둠을 베어낸다.
카무라 마을이 만든 명검.","利刃劃過的軌跡有如閃光，
將來襲的黑暗徹底斬開。
這正是神火村誕生的猛劍。","利刃描绘出闪光的轨迹，
撕裂迫近眼前的黑暗。
这正是产自炎火村的好剑。",,,,,,,,"بريق فولاذ لامع يخترق
الظلام، مخلفًا حدًّا
لا تشوبه شائبة.",,,,,,,,,,,
e45d7916-15ab-46a2-b6e2-9eef041dcc20,4280325697,W_ShortSword_301_Explain,"鋭刃が描く軌跡は閃光の如く、
迫り来る闇を切り裂く。これぞ
カムラの里が生んだ猛剣。","A glint of shimmering steel
cuts through the dark,
trailing an impeccable edge.","Acier scintillant qui fend
les ténèbres... Un tranchant
impeccable.","Una lama impeccabile
il cui acciaio lucente
fende l'oscurità.","Ein Funkeln schimmernden
Stahls teilt die Finsternis
mit einer makellosen Klinge.","Destello de acero brillante
que corta la oscuridad
con un rastro impecable.","Блеск стали пронзает тьму.
Его отбрасывает безупречный
клинок.","Błysk stali przecina mrok
w ślad za nieskazitelnie
ostrym ostrzem.",,,"Um brilho de aço cintilante
corta as trevas, arrastando
um gume impecável.","예리한 칼날이 만드는 궤적은
섬광처럼 어둠을 베어낸다.
카무라 마을이 만든 명검.","利刃劃過的軌跡有如閃光，
將來襲的黑暗徹底斬開。
這正是神火村誕生的猛劍。","利刃描绘出闪光的轨迹，
撕裂迫近眼前的黑暗。
这正是产自炎火村的好剑。",,,,,,,,"بريق فولاذ لامع يخترق
الظلام، مخلفًا حدًّا
لا تشوبه شائبة.",,,,,,,,,,,
449a22fd-70c2-464e-bb15-ba9b1ccfbdef,2738917127,W_ShortSword_302_Explain,"里の英雄の無事を願う気持ちと
激励の思いが込められている。
それは何時も輝きを失わない。","Filled with hope and vitality
for a village hero, this blade
never loses its shine.","Pleine d'espoir et de vitalité
pour un héros de village, elle
ne perd jamais de son éclat.","Carica di speranza e vita
per un eroe del villaggio,
non smette mai di brillare.","Dieses Schwert, voller Hoff-
nung für einen Helden des
Dorfs, verliert nie den Glanz.","Puro anhelo y vitalidad para
héroes de la aldea. Esta
espada no pierde el brillo.","Полный надежды и сил героя
деревни, этот клинок никогда
не потускнеет.","Klinga ta nigdy nie traci
blasku, napełniona nadzieją
i witalnością bohatera.",,,"Repleta de esperança e
vitalidade, esta lâmina
jamais perde o brilho.","영웅의 무사를 바라는 마음과
격려가 담겨 있다. 그것은
늘 빛을 잃지 않는다.","灌注了為村莊英雄祈求平安
之心與激勵之情的武器。
無論何時都不會失去光芒。","此刃饱含激励之情，以及对村庄
英雄平安无事的祈愿。无论何时
那光辉都不会褪色。",,,,,,,,"مليء بالأمل والحياة لبطل
القرية، لا يفقد هذا
النصل بريقه أبدًا.",,,,,,,,,,,
8aa08051-b2ec-419c-a340-eb3038047f98,560662137,W_ShortSword_303_Explain,"幾多の魂を吸って、鮮烈な怨を
纏い昇華した闇夜剣。巨大で
重い闇が、獲物を切り裂く。","A blade as dark as the night.
The souls it has consumed
are tormented by hatred.","Lame sombre comme la nuit.
Les âmes consumées sont
tourmentées par la haine.","Lama nera come la notte.
Le anime divorate sono
tormentate dall'odio.","Pechschwarze Klinge. Die
Seelen, die sie verschlang,
werden von Hass verzehrt.","Tan oscura como la noche.
El odio atormenta las ánimas
que ha consumido.","Темный как ночь меч.
Души, которые он поглотил,
терзаются ненавистью.","Ostrze tak ciemne jak noc.
Pochłonięte przez nie dusze
dręczy wieczna nienawiść.",,,"Lâmina tão escura quanto a
noite. As almas que consumiu
são atormentadas pelo ódio.","무수한 혼을 흡수해 강렬한
원한으로 승화한 암야검.
거대한 어둠이 사냥감을 벤다.","吸收無數魂魄，身纏強烈怨念
而昇華的黑夜之劍。
巨大且沉重的黑暗將撕裂獵物。","吸收大量灵魂，萦绕着强烈怨气
的升华版暗夜剑。巨大沉重的黑
暗会砍碎猎物。",,,,,,,,"نصل مظلم كالليل.
الأرواح التي حصدها
معذبة بالكراهية.",,,,,,,,,,,
7c571998-3769-402a-a7c5-3d942dd2dfe9,3691215422,W_ShortSword_304_Explain,"幾多の魂を吸って、鮮烈な怨を
纏い昇華した闇夜剣。巨大で
重い闇が、獲物を切り裂く。","A blade as dark as the night.
The souls it has consumed
are tormented by hatred.","Lame sombre comme la nuit.
Les âmes consumées sont
tourmentées par la haine.","Lama nera come la notte.
Le anime divorate sono
tormentate dall'odio.","Pechschwarze Klinge. Die
Seelen, die sie verschlang,
werden von Hass verzehrt.","Tan oscura como la noche.
El odio atormenta las ánimas
que ha consumido.","Темный как ночь меч.
Души, которые он поглотил,
терзаются ненавистью.","Ostrze tak ciemne jak noc.
Pochłonięte przez nie dusze
dręczy wieczna nienawiść.",,,"Lâmina tão escura quanto a
noite. As almas que consumiu
são atormentadas pelo ódio.","무수한 혼을 흡수해 강렬한
원한으로 승화한 암야검.
거대한 어둠이 사냥감을 벤다.","吸收無數魂魄，身纏強烈怨念
而昇華的黑夜之劍。
巨大且沉重的黑暗將撕裂獵物。","吸收大量灵魂，萦绕着强烈怨气
的升华版暗夜剑。巨大沉重的黑
暗会砍碎猎物。",,,,,,,,"نصل مظلم كالليل.
الأرواح التي حصدها
معذبة بالكراهية.",,,,,,,,,,,
9acdb65c-371f-45c7-8809-974c75c18d0c,552057624,W_ShortSword_305_Explain,"古の凶手が生みだした暗器。
艶やかな黒い剣先が、苦しみ
を与えず対象を闇に帰す。","A weapon forged by ancient
assassins. Its dark blade grants
an instant, painless death.","Forgée par d'anciens assassins.
Sa lame noire inflige une mort
instantanée, sans douleur.","Lama oscura forgiata da
antichi assassini. Porta una
fine immediata e indolore.","Eine von alten Assassinen
geschmiedete schwarze
Klinge, die sofort tötet.","Arma forjada por asesinos
pretéritos. Su oscura hoja
indolora mata al instante.","Меч, выкованный древними
убийцами. Его темный клинок
несет безболезненную смерть.","Broń wykuta przez prastarych
zabójców. Czarne ostrze
zabija szybko i bezboleśnie.",,,"Arma forjada por assassinos
ancestrais. Sua lâmina traz
morte imediata e indolor.","고대의 흉수가 만든 암기.
검은 칼끝이 고통도 없이
대상을 어둠으로 돌려보낸다.","由遠古殺手所創造的暗器。
劍尖散發著漆黑光澤，能讓對手
在感受到痛苦前就化為黑暗。","古代刺客制作的暗器。锃亮的
黑色剑尖会将对手埋葬于黑暗
中，不会造成丝毫痛苦。",,,,,,,,"سلاح صنعه القتلة القدماء.
نصله الداكن يقتل
على الفور، وبدون ألم.",,,,,,,,,,,
0125d27c-4986-4d6c-85ac-66f02e5989cc,3082940857,W_ShortSword_306_Explain,"命は散り、乱れ落ちる。雅なる
扇の花風に抗える者は無し。
狐扇ハナノナゴリヲ強化型。","Any and all life scatters
to the wind with the Hana
no Nagoriwo's upgrade.","Disperse toute forme
de vie aux quatre vents.
Base : Hana no Nagoriwo","Hana no Nagoriwo potenziati.
Disperdono nel vento ogni
forma di vita.","Alle Lebewesen fliehen
vor der finalen Form
des Hana no Nagoriwo.","Hana no Nagoriwo mejorada.
Esparce al viento todo tipo
de formas de vida.","Улучшение Хана-но Нагориво.
Веет ветром смерти.","Ulepszona wersja Hana no
Nagoriwo. Ściera wszelkie
życie na pył.",,,"Toda e qualquer vida se
espalha ao vento com a
Hana no Nagoriwo aprimorada.","생명은 흩날리며 떨어진다.
그 바람에 저항할 자 없으리.
하나노나고리오의 강화형.","生命凋零，紛亂消逝。
無人能抵擋得住雅扇的花風。
狐扇落花情依依的強化型態。","生命凋零，委于风中。
雅扇扬起花风，无人可以幸免。
狐扇【飞花实可叹】强化型。",,,,,,,,"تتبعثر جميع أشكال
الحياة مع الريح بترقية
هانا نو ناجوريو هذه.",,,,,,,,,,,
9a7760fd-d8b4-4027-92e6-26442151ebe2,3206368963,W_ShortSword_307_Explain,"愛し君が涙に暮れぬよう、厄難
祓う扇を持ちて、我は出づ。
純一無雑に願う、安寧たれと。","May your love not be lost, like
cherry blossoms in the wind.
I wish upon you peace eternal.","Que ton amour ne se perde pas,
comme les larmes sous la pluie.
Je te souhaite paix éternelle.","Possa il tuo amore non
svanire come lacrime nella
pioggia. Pace eterna a te.","Möge deine Liebe nicht ver-
gehen, wie Kirschblüten im
Wind. Ewiger Friede sei dir.","Ojalá tu amor no se pierda como
pétalos de cerezo en el viento.
Te deseo la paz eterna.","Пусть твоя любовь не уйдет,
как лепестки сакуры на
ветру. Вечного тебе покоя.","Niech twa miłość nie przeminie
jak kwiaty wiśni na wietrze.
Życzę ci wiecznego spokoju.",,,"Que seu amor não se perca
como flores de cerejeira no
vento. Paz eterna a você.","사랑하는 그대가 슬프지 않게
재앙을 막고자 직접 나서니.
부디 영원토록 안녕하기를.","為免深愛之人終日以淚洗面，
我將手持解厄之扇前去。所願
誓死不二，只求你得享安寧。","为心爱之人不再日日落泪，我摇
起驱邪避灾之扇。愿至真至纯，
安宁常在。",,,,,,,,"أتمنى ألا يضيع حبك، مثل
أزهار الكرز في الرياح.
أتمنى لك السلام الأبدي.",,,,,,,,,,,
e20a1e7d-2f24-4c6d-af82-6b8c38091088,3812170388,W_ShortSword_308_Explain,"愛し君が涙に暮れぬよう、厄難
祓う扇を持ちて、我は出づ。
純一無雑に願う、安寧たれと。","May your love not be lost, like
cherry blossoms in the wind.
I wish upon you peace eternal.","Que ton amour ne se perde pas,
comme les larmes sous la pluie.
Je te souhaite paix éternelle.","Possa il tuo amore non
svanire come lacrime nella
pioggia. Pace eterna a te.","Möge deine Liebe nicht ver-
gehen, wie Kirschblüten im
Wind. Ewiger Friede sei dir.","Ojalá tu amor no se pierda como
pétalos de cerezo en el viento.
Te deseo la paz eterna.","Пусть твоя любовь не уйдет,
как лепестки сакуры на
ветру. Вечного тебе покоя.","Niech twa miłość nie przeminie
jak kwiaty wiśni na wietrze.
Życzę ci wiecznego spokoju.",,,"Que seu amor não se perca
como flores de cerejeira no
vento. Paz eterna a você.","사랑하는 그대가 슬프지 않게
재앙을 막고자 직접 나서니.
부디 영원토록 안녕하기를.","為免深愛之人終日以淚洗面，
我將手持解厄之扇前去。所願
誓死不二，只求你得享安寧。","为心爱之人不再日日落泪，我摇
起驱邪避灾之扇。愿至真至纯，
安宁常在。",,,,,,,,"أتمنى ألا يضيع حبك، مثل
أزهار الكرز في الرياح.
أتمنى لك السلام الأبدي.",,,,,,,,,,,
71c49d71-d723-40b9-9144-43ffa288e3de,1532291743,W_ShortSword_309_Explain,"白銀の扇は繚乱する霊蝶の如き
白焔を熾す。煽げよ煽げ、
この地の穢れを焼き祓わん。","A pure silver fan that
gently allures while wiping
corruption from the land.","Éventail en argent pur
esthétique et efficace pour
éliminer la corruption.","Un ventaglio di argento
puro che affascina mentre
spazza via la corruzione.","Reiner Silberfächer, der sanft
verführt, während er die
Korruption aus dem Land fegt.","Un abanico de plata pura que
borra la corrupción de este
mundo con total gracilidad.","Манящий веер из чистого
серебра, очищающий от
порчи.","Wachlarz z czystego srebra
kusi i zmiata zepsucie
z powierzchni ziemi.",,,"Leque de prata pura que
seduz gentil enquanto
limpa a corrupção.","은백의 부채는 마치 나비처럼
흰 불꽃을 피운다. 타올라라,
이 땅의 더러움을 불태워라.","白銀之扇有如飛舞靈蝶般
點燃白焰。燃起烈火吧，
將這片大地上的邪穢燃燒殆盡。","白银的扇面宛如缭乱的灵蝶，
燃起白焰。燃烧吧，燃烧吧，
将此地的污秽烧尽。",,,,,,,,"مروحة من
الفضة الخالصة تغري بلطف
وتزيل الفساد من الأرض.",,,,,,,,,,,
