guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
cdfcd512-4c9e-4998-8d89-041092d88254,989439171,W_ShortSword_000_Name,ハンターナイフⅠ,Hunter's Knife I,Couteau de chasse,Coltello cacciatore I,Jägermesser I,Cuchillo de cazador I,Охотничий нож 1,Nóż łowcy I,,,Faca do Caçador I,헌터나이프Ⅰ,獵人小刀Ⅰ,猎人匕首Ⅰ,,,,,,,,سكين الصيّاد 1,,,,,,,,,,,
d753ed9a-888a-48ea-b581-6feaaa929daa,2032218461,W_ShortSword_001_Name,ハンターナイフⅡ,Hunter's Knife II,Couteau de chasse II,Coltello cacciatore II,Jägermesser II,Cuchillo de cazador II,Охотничий нож 2,Nóż łowcy II,,,Faca do Caçador II,헌터나이프Ⅱ,獵人小刀Ⅱ,猎人匕首Ⅱ,,,,,,,,سكين الصيّاد 2,,,,,,,,,,,
b64ce25a-d812-48aa-a91a-281eb4dcf1ec,4170771755,W_ShortSword_002_Name,闘士の剣,Fighter Sword,Épée de guerrier,Spada da lottatore,Kämpferschwert,Espada de luchador,Меч бойца,Miecz wojownika,,,Espada do Lutador,투사의검,鬥士之劍,斗士之剑,,,,,,,,سيف المقاتل,,,,,,,,,,,
f5800cc0-3e06-461d-9912-77ec4194ac73,3974919752,W_ShortSword_003_Name,フロストエッジⅠ,Frost Edge I,Glaive de glace,Lama di gelo I,Frostschneide I,Filo helado I,Морозный клинок 1,Klinga mrozu I,,,Lâmina Gélida I,프로스트에지Ⅰ,冰霜銳劍Ⅰ,千年冰晶刃Ⅰ,,,,,,,,شفرة الصقيع 1,,,,,,,,,,,
35bda4cc-8c7b-4bc2-bb5a-ffb86cf5a874,2707974545,W_ShortSword_004_Name,フロストエッジⅡ,Frost Edge II,Glaive de glace II,Lama di gelo II,Frostschneide II,Filo helado II,Морозный клинок 2,Klinga mrozu II,,,Lâmina Gélida II,프로스트에지Ⅱ,冰霜銳劍Ⅱ,千年冰晶刃Ⅱ,,,,,,,,شفرة الصقيع 2,,,,,,,,,,,
3c2edd70-6dc7-4496-a758-a2bbc8dcd5e2,3185641651,W_ShortSword_005_Name,ハイフロストエッジ,Hi Frost Edge,Glaive de givre,Lama di gelo super.,Hochwertige Frostschneide,Filo helado máximo,Клинок сильного мороза,Klinga Ultramrozu,,,Lâmina Supergélida,하이프로스트에지,千年冰霜銳劍,千年冰辉刃,,,,,,,,شفرة الصقيع الفائقة,,,,,,,,,,,
42f06bd0-d550-4216-8b5a-f8073d00c3f6,1382320974,W_ShortSword_006_Name,鉄剣ジュネスⅠ,Iron Beater I,Glaive en fer,Battitore di ferro I,Eisenschläger I,Machacador Férreo I,Железная колотушка 1,Żelazny bacik I,,,Batedor de Ferro I,철검 쥬네스Ⅰ,初萌鐵劍Ⅰ,青年铁剑Ⅰ,,,,,,,,المضرب الحديدي 1,,,,,,,,,,,
e8bf6e2a-97c8-49df-b3f5-a48bf9f92ef2,734222886,W_ShortSword_007_Name,鉄剣ジュネスⅡ,Iron Beater II,Glaive en fer II,Battitore di ferro II,Eisenschläger II,Machacador Férreo II,Железная колотушка 2,Żelazny bacik II,,,Batedor de Ferro II,철검 쥬네스Ⅱ,初萌鐵劍Ⅱ,青年铁剑Ⅱ,,,,,,,,المضرب الحديدي 2,,,,,,,,,,,
b5c6611e-c543-4ddb-af52-5f55930b784e,305355251,W_ShortSword_008_Name,重鉄剣フロシオン,Smithy's Pride,Lame du forgeron,Orgoglio di fabbro,Schmiedestolz,Orgullo de herrero,Гордость кузницы,Duma Kuźni,,,Orgulho do Ferreiro,중철검 프로시온,花開重鐵劍,成才重铁剑,,,,,,,,فخر ورشة الحدادة,,,,,,,,,,,
97acb38a-4e3d-4efd-84fd-1dd389cd1582,1029493282,W_ShortSword_009_Name,ニンジャソードⅠ,Ninja Sword I,Épée ninja,Spada ninja I,Ninja-Schwert I,Espada ninja I,Меч ниндзя 1,Miecz ninji I,,,Espada Ninja I,닌자소드Ⅰ,忍者刀Ⅰ,忍者刀Ⅰ,,,,,,,,سيف النينجا 1,,,,,,,,,,,
e029cc48-e79f-493a-9935-22b2edc68275,589218172,W_ShortSword_010_Name,ハイニンジャソード,Hi Ninja Sword,Sabre ninja,Spada ninja super.,Hochwertiges Ninja-Schwert,Espada ninja máxima,Мощный меч ниндзя,Ultramiecz ninji,,,Super Espada Ninja,하이닌자소드,上級忍者刀,上位忍者刀,,,,,,,,سيف النينجا الفائق,,,,,,,,,,,
f7bfc484-7bd6-4942-a180-ae0e948bf4bf,2537218769,W_ShortSword_011_Name,オデッセイブレイドⅠ,Odyssey Blade I,Lame de l'odyssée,Lama odissea I,Odyssee-Klinge I,Hoja de Odisea I,Клинок Одиссея 1,Ostrze Odysei I,,,Lâmina Odisseia I,오디세이블레이드Ⅰ,奧德賽之刃Ⅰ,奥德赛之刃Ⅰ,,,,,,,,نصل الأوديسيا 1,,,,,,,,,,,
2d4f08af-4667-4d30-806e-b6a3f0083db0,2985056838,W_ShortSword_012_Name,オデッセイブレイドⅡ,Odyssey Blade II,Lame de l'odyssée II,Lama odissea II,Odyssee-Klinge II,Hoja de Odisea II,Клинок Одиссея 2,Ostrze Odysei II,,,Lâmina Odisseia II,오디세이블레이드Ⅱ,奧德賽之刃Ⅱ,奥德赛之刃Ⅱ,,,,,,,,نصل الأوديسيا 2,,,,,,,,,,,
d4c16618-d2f0-4c91-8cae-6543aff97b83,2117894384,W_ShortSword_013_Name,マスターオデッセイ,Master Odyssey,Maître odyssée,Odissea maestra,Meisterodyssee,Odisea maestra,Одиссей-мастер,Mistrz Odysei,,,Odisseia Mestre,마스터오디세이,大師奧德賽,大师奥德赛,,,,,,,,سيد الأوديسيا,,,,,,,,,,,
6f2889e2-909b-4af8-9321-2db88faffce4,111585642,W_ShortSword_014_Name,ボーンククリⅠ,Bone Kukri I,Kukri en os,Kukri d'osso I,Knochen-Khukuri I,Kukri Óseo I,Костяной кукри 1,Kościane kukri I,,,Kukri Ósseo I,본쿠크리Ⅰ,骨製曲刀Ⅰ,骨制反曲刀Ⅰ,,,,,,,,الكوكري العظمي 1,,,,,,,,,,,
7c0e668e-d5ee-4048-a1f2-768949b8938b,3553495197,W_ShortSword_015_Name,ボーンククリⅡ,Bone Kukri II,Kukri en os II,Kukri d'osso II,Knochen-Khukuri II,Kukri Óseo II,Костяной кукри 2,Kościane kukri II,,,Kukri Ósseo II,본쿠크리Ⅱ,骨製曲刀Ⅱ,骨制反曲刀Ⅱ,,,,,,,,الكوكري العظمي 2,,,,,,,,,,,
b364b077-8c26-4519-84b8-ae36b7f94a2a,3258596236,W_ShortSword_016_Name,チーフククリ,Chief Kukri,Kukri de chef,Kukri del capo,Häuptling-Khukuri,Kukri Jefe,Кукри вождя,Kukri wodza,,,Kukri Chefe,치프쿠크리,酋長曲刀,领袖反曲刀,,,,,,,,الكوكري الأقوى,,,,,,,,,,,
f5bec2fa-8e0e-41fd-942a-6e5e173dd9f5,1772444635,W_ShortSword_017_Name,ボーンバロングⅠ,Bone Barong I,Barong en os,Barong d'osso I,Knochen-Barong I,Barong Óseo I,Костяной баронг 1,Kościany barong I,,,Barong Ósseo I,본바롱Ⅰ,骨製巴龍刀Ⅰ,骨制巴龙刀Ⅰ,,,,,,,,البارونج العظمي 1,,,,,,,,,,,
cff24544-e852-4e47-b1ee-ff033ef1fb8d,813680198,W_ShortSword_018_Name,ボーンバロングⅡ,Bone Barong II,Barong en os II,Barong d'osso II,Knochen-Barong II,Barong Óseo II,Костяной баронг 2,Kościany barong II,,,Barong Ósseo II,본바롱Ⅱ,骨製巴龍刀Ⅱ,骨制巴龙刀Ⅱ,,,,,,,,البارونج العظمي 2,,,,,,,,,,,
4360b1d9-4579-4259-9eaa-6b6d2a1ce019,4034627930,W_ShortSword_019_Name,グランドバロング,Grand Barong,Grand Barong,Gran barong,Großes Barong,Gran Barong,Большой баронг,Wielki barong,,,Grande Barong,그랜드바롱,大地巴龍刀,大地巴龙刀,,,,,,,,البارونج الأكبر,,,,,,,,,,,
a9979af9-e652-4a6e-bcee-7768fe83cfb2,761408247,W_ShortSword_020_Name,ボーンタバールⅠ,Bone Tabar I,Tabar en os,Tabar d'osso I,Knochentabar I,Tabar Óseo I,Костяной табар 1,Kościany tabar I,,,Tabarzin Ósseo I,본타바르Ⅰ,骨之戰斧Ⅰ,骨之战斧Ⅰ,,,,,,,,الطبر العظمي 1,,,,,,,,,,,
eb1a2c16-e572-464f-9e39-df741b6b529d,2740867860,W_ShortSword_021_Name,ボーンタバールⅡ,Bone Tabar II,Tabar en os II,Tabar d'osso II,Knochentabar II,Tabar Óseo II,Костяной табар 2,Kościany tabar II,,,Tabarzin Ósseo II,본타바르Ⅱ,骨之戰斧Ⅱ,骨之战斧Ⅱ,,,,,,,,الطبر العظمي 2,,,,,,,,,,,
b67394be-f58e-45ef-ab0b-e3d0640a10a8,1571416258,W_ShortSword_022_Name,ラグドスタバール,Ragdos Tabar,Tabar Ragdos,Tabar Ragdos,Ragdos-Tabar,Tabar de Ragdos,Табар Рагдоса,Tabar Ragdos,,,Tabarzin Ragdos,래그도스타바르Ⅰ,拉客多斯戰斧,拉古德斯战斧,,,,,,,,طبر راجدوس,,,,,,,,,,,
53dc8b68-4310-43f8-871d-060082f6d175,2233178828,W_ShortSword_023_Name,カムラノ鉄片刃Ⅰ,Kamura Sword I,Épée Kamura,Spada Kamura I,Kamura-Schwert I,Espada de Kamura I,Меч Камуры 1,Miecz Kamury I,,,Espada Kamura I,카무라철편인Ⅰ,神火鐵單刃Ⅰ,炎火铁单刃Ⅰ,,,,,,,,سيف كامورا 1,,,,,,,,,,,
a3af2150-4ec1-4b4a-aeb4-654154874c42,3209238793,W_ShortSword_024_Name,カムラノ鉄片刃Ⅱ,Kamura Sword II,Épée Kamura II,Spada Kamura II,Kamura-Schwert II,Espada de Kamura II,Меч Камуры 2,Miecz Kamury II,,,Espada Kamura II,카무라철편인Ⅱ,神火鐵單刃Ⅱ,炎火铁单刃Ⅱ,,,,,,,,سيف كامورا 2,,,,,,,,,,,
6ab32c81-1d29-4b0d-8d5f-d621ee2e8f8e,1967735647,W_ShortSword_025_Name,カムラノ鉄片刃Ⅲ,Kamura Sword III,Épée Kamura III,Spada Kamura III,Kamura-Schwert III,Espada de Kamura III,Меч Камуры 3,Miecz Kamury III,,,Espada Kamura III,카무라철편인Ⅲ,神火鐵單刃Ⅲ,炎火铁单刃Ⅲ,,,,,,,,سيف كامورا 3,,,,,,,,,,,
ea737e7e-94ba-4639-9d65-a97632569746,2599185415,W_ShortSword_026_Name,カムラノ鉄片刃Ⅳ,Kamura Sword IV,Épée Kamura IV,Spada Kamura IV,Kamura-Schwert IV,Espada de Kamura IV,Меч Камуры 4,Miecz Kamury IV,,,Espada Kamura IV,카무라철편인Ⅳ,神火鐵單刃Ⅳ,炎火铁单刃Ⅳ,,,,,,,,سيف كامورا 4,,,,,,,,,,,
cf7646fc-3d09-4148-93e3-628ea5edbc13,3975530261,W_ShortSword_027_Name,カムラノ鉄片刃Ⅴ,Kamura Sword V,Épée Kamura V,Spada Kamura V,Kamura-Schwert V,Espada de Kamura V,Меч Камуры 5,Miecz Kamury V,,,Espada Kamura V,카무라철편인Ⅴ,神火鐵單刃Ⅴ,炎火铁单刃Ⅴ,,,,,,,,سيف كامورا 5,,,,,,,,,,,
90944eb5-320e-47c0-97a5-c1469e4e5f98,3508034050,W_ShortSword_028_Name,カムラノ忍片刃,Kamura Ninja Sword,Épée ninja Kamura,Spada ninja Kamura,Kamura-Ninja-Schwert,Espada ninja de Kamura,Меч ниндзя Камуры,Miecz ninji Kamury,,,Espada Ninja Kamura,카무라닌자편인,神火忍單刃,炎火忍单刃,,,,,,,,سيف النينجا كامورا,,,,,,,,,,,
b256d2f8-3d5e-4b9c-ada3-4ea9f8de0ff0,1412961751,W_ShortSword_029_Name,百竜剣Ⅰ,Rampage Sword I,Épée Calamité,Spada furia I,Randale-Schwert I,Espada Frenesí I,Меч Буйства 1,Miecz Furii I,,,Espada Frenesi I,백룡검Ⅰ,百龍劍Ⅰ,百龙剑Ⅰ,,,,,,,,سيف الغضب العارم 1,,,,,,,,,,,
40c236a5-c765-47d1-ac76-ddab0b2d8444,424044784,W_ShortSword_030_Name,百竜剣Ⅱ,Rampage Sword II,Épée Calamité II,Spada furia II,Randale-Schwert II,Espada Frenesí II,Меч Буйства 2,Miecz Furii II,,,Espada Frenesi II,백룡검Ⅱ,百龍劍Ⅱ,百龙剑Ⅱ,,,,,,,,سيف الغضب العارم 2,,,,,,,,,,,
2418f422-a1f2-4af4-b335-589c0294e721,1640203638,W_ShortSword_031_Name,百竜剣Ⅲ,Rampage Sword III,Épée Calamité III,Spada furia III,Randale-Schwert III,Espada Frenesí III,Меч Буйства 3,Miecz Furii III,,,Espada Frenesi III,백룡검Ⅲ,百龍劍Ⅲ,百龙剑Ⅲ,,,,,,,,سيف الغضب العارم 3,,,,,,,,,,,
79e82bd9-3ce3-4b54-9eb7-fdb17c302135,1215198252,W_ShortSword_032_Name,百竜剣【陵谷変遷】,Rampage Sword S,Épée Calamité S,Spada furia S,Randale-Schwert S,Espada Frenesí S,Меч Буйства S,Miecz Furii S,,,Espada Frenesi S,백룡검【능곡변천】,百龍劍【陵谷變遷】,百龙剑【沧海桑田】,,,,,,,,سيف الغضب العارم S,,,,,,,,,,,
5cce03e9-9287-4841-b44c-b24dcf168ff0,838442478,W_ShortSword_033_Name,ねこ？ぱんちⅠ,Catspaw I,Griffe-de-chat,Zampa-di-gatto I,Katzenpfote I,Zarpa gatuna I,Кошачья лапа 1,Kocia Łapa I,,,Pata de Gato I,야옹?펀치Ⅰ,貓拳？Ⅰ,猫？拳Ⅰ,,,,,,,,مخلب القطط 1,,,,,,,,,,,
375651d4-9a64-49e3-9542-b7340f94f2b8,913167451,W_ShortSword_034_Name,ねこ？ぱんちⅡ,Catspaw II,Griffe-de-chat II,Zampa-di-gatto II,Katzenpfote II,Zarpa gatuna II,Кошачья лапа 2,Kocia Łapa II,,,Pata de Gato II,야옹?펀치Ⅱ,貓拳？Ⅱ,猫？拳Ⅱ,,,,,,,,مخلب القطط 2,,,,,,,,,,,
