guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
3d08653c-f185-47bf-8e83-74112cddc1e3,1657355658,W_ShortSword_300_Name,カムラノ武片刃,Kamura Warrior Sword,Épée guerrier Kamura,Spada guerriero Kamura,Kamura-Krieger-Schwert,Espada guerrero Kamura,Меч воина Камуры,Miecz wojownika Kamury,,,Espada Guer. Kamura,카무라무편인,神火武單刃,炎火武单刃,,,,,,,,سيف محارب كامورا,,,,,,,,,,,
e6b8a7a4-7f50-4503-a897-c7093c61b502,153164152,W_ShortSword_301_Name,カムラノ武片刃改,Kamura Warrior Sword+,Épée guerrier Kamura+,Spada guerriero Kamura+,Kamura-Krieger-Schwert+,Espada guerrero Kamura+,Меч воина Камуры+,Miecz wojown. Kamury+,,,Espada Guer. Kamura+,카무라무편인+,神火武單刃改,炎火武单刃・改,,,,,,,,سيف محارب كامورا+,,,,,,,,,,,
9140b6d5-dc3e-45c3-b1bd-86d209a1cf91,3002907772,W_ShortSword_302_Name,カムラノ傑片刃,Fine Kamura Sword,Épée Kamura élite,Spada Kamura pregiata,Feines Kamura-Schwert,Espada excelsa Kamura,Отличный меч Камуры,Doskonały miecz Kamury,,,Ótima Espada Kamura,카무라걸편인,神火傑單刃,炎火杰单刃,,,,,,,,سيف كامورا الرائع,,,,,,,,,,,
1f74f325-c63b-462d-833c-2f258aeabc35,522708146,W_ShortSword_303_Name,闇夜剣【烏羽】,Nightbloom,Noctambule,Fiore notturno,Nachtblüte,Flor nocturna,Ночной цветок,Nocny kwiat,,,Florescer Noturno,암야검【오우】,闇夜劍【鳥羽】,暗夜剑【鸦羽】,,,,,,,,نايت بلوم,,,,,,,,,,,
408cc5ba-73c2-4094-afd5-8c5dbbca31ac,4173684765,W_ShortSword_304_Name,闇夜剣【烏羽】改,Nightbloom+,Noctambule+,Fiore notturno+,Nachtblüte+,Flor nocturna+,Ночной цветок+,Nocny kwiat+,,,Florescer Noturno+,암야검【오우】+,闇夜劍【鳥羽】改,暗夜剑【鸦羽】改,,,,,,,,نايت بلوم+,,,,,,,,,,,
79a359cd-e6cb-4cf1-a763-16f5c5813267,938667071,W_ShortSword_305_Name,無明刃【道諦】,Avidya Edge,Lame Avidya,Lama Avidya,Avidya-Schneide,Filo de Avidya,Клинок Авидьи,Klinga niewiedzy,,,Gume Avidya,무명인【도제】,無明刃【道諦】,无明刃【道谛】,,,,,,,,شفرة أفيديا,,,,,,,,,,,
322b5fdf-cf3f-448a-b758-13f10d8074d2,3393124819,W_ShortSword_306_Name,くれなゐの色扇の薄重改,Kurenawi Ougi+,Kurenawi Ougi+,Kurenawi Ougi+,Kurenawi Ougi+,Kurenawi Ougi+,Курэнави Оуги+,Kurenawi Ougi+,,,Kurenawi Ougi+,주홍빛깔 색선의중박+,深紅扇色之薄重改,鲜红彩扇之薄重・改,,,,,,,,كوريناوي أوغي+,,,,,,,,,,,
503934b3-8b42-47d9-9652-ce2aaac7b05a,4033670335,W_ShortSword_307_Name,くれなゐの色天薫風扇,Kurenawi Kunpuu,Kurenawi Kunpuu,Kurenawi Kunpuu,Kurenawi Kunpuu,Kurenawi Kunpuu,Курэнави Кунпуу,Kurenawi Kunpuu,,,Kurenawi Kunpuu,주홍빛깔 색천훈풍선,深紅色天薰風扇,鲜红色天熏风扇,,,,,,,,كوريناوي كونبوو,,,,,,,,,,,
e4a4747e-77e6-4bad-8956-6a37b36b52cc,1885641462,W_ShortSword_308_Name,くれなゐの色天薫風扇改,Kurenawi Kunpuu+,Kurenawi Kunpuu+,Kurenawi Kunpuu+,Kurenawi Kunpuu+,Kurenawi Kunpuu+,Курэнави Кунпуу+,Kurenawi Kunpuu+,,,Kurenawi Kunpuu+,주홍빛깔 색천훈풍선+,深紅色天薰風扇改,鲜红色天熏风扇・改,,,,,,,,كوريناوي كونبوو+,,,,,,,,,,,
5b7f3f66-b72d-4b3e-b41e-5fa253b86a5d,1974339317,W_ShortSword_309_Name,破邪之銀扇ヒメヒカゲ,Pure Silver Fan Hime,Éventail argent pur,Ventaglio argento puro,Fächer-Hime aus Silber,Abanico dama plateado,Веер чистого серебра,Wach. z czyst. srebra,,,Leque Prata Pura Hime,파사의은부채 히메히카게,破邪之銀扇姬日陰蝶,辟邪之银扇【莎草眼蝶】,,,,,,,,مروحة الفضة الخالصة,,,,,,,,,,,
