guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
bfec4ce5-1d04-4c08-853f-65e9a443dd57,985139441,W_SlashAxe_000_Explain,"ギルドに正式に採用されている
剣斧。主に攻撃隊で使用される
事が多い、定番品。","An official Guild switch
axe. This standard model is
often used by outriders.","Morpho-hache officielle de
la Guilde. Modèle standard
prisé des éclaireurs.","Spadascia ufficiale della
Gilda. Modello di base usato
dagli uomini di scorta.","Offizielle Gilden-Morph-Axt.
Standardmodell, wird häufig
von Vorreitern verwendet.","Hacha espada oficial del
gremio. Este modelo suelen
usarlo en la vanguardia.","Официальный выкидной топор
Гильдии. Стандартная модель
часто используется эскортом.","Oficjalny topór sprężynowy
Gildii. Standardowy model,
często używany w eskorcie.",,,"Transmachado oficial de
guilda. Este modelo padrão é
usado por batedores.","길드에서 정식 채용한
슬래시액스. 공격대에서
자주 사용하는 기성품.","公會正式採用的斬擊斧。
主要由攻擊部隊使用，
為該武器的基本款。","公会正式采用的斩击斧。
主要是攻击部队在使用。
属于基础款武器。",,,,,,,,"فأس السيف الرسمية للنقابة.
عادة يستخدم الجنود المرافقون
هذا النموذج القياسي.",,,,,,,,,,,
7bc44559-9381-4a3f-9e8a-809b2aa8afd8,307483471,W_SlashAxe_001_Explain,"ギルドに正式に採用されている
剣斧。主に攻撃隊で使用される
事が多い、定番品。","An official Guild switch
axe. This standard model is
often used by outriders.","Morpho-hache officielle de
la Guilde. Modèle standard
prisé des éclaireurs.","Spadascia ufficiale della
Gilda. Modello di base usato
dagli uomini di scorta.","Offizielle Gilden-Morph-Axt.
Standardmodell, wird häufig
von Vorreitern verwendet.","Hacha espada oficial del
gremio. Este modelo suelen
usarlo en la vanguardia.","Официальный выкидной топор
Гильдии. Стандартная модель
часто используется эскортом.","Oficjalny topór sprężynowy
Gildii. Standardowy model,
często używany w eskorcie.",,,"Transmachado oficial de
guilda. Este modelo padrão é
usado por batedores.","길드에서 정식 채용한
슬래시액스. 공격대에서
자주 사용하는 기성품.","公會正式採用的斬擊斧。
主要由攻擊部隊使用，
為該武器的基本款。","公会正式采用的斩击斧。
主要是攻击部队在使用。
属于基础款武器。",,,,,,,,"فأس السيف الرسمية للنقابة.
عادة يستخدم الجنود المرافقون
هذا النموذج القياسي.",,,,,,,,,,,
5234f751-4a14-45ea-b666-f247e5d2994f,2997302654,W_SlashAxe_002_Explain,"精鋭討伐隊剣斧の強化型。
研ぎ澄まされた強靭な刀身には
歴戦の戦士の矜持が宿る。","An enhanced Elite Switch
Axe. Its sharpened blade has
seen many bloody battles.","Sa lame acérée a connu
nombre de batailles.
Base : Morpho-hache élite","Spadascia d'élite
potenziata. La lama affilata
ha visto sanguinose guerre.","Verbesserte Elite-Morph-Axt.
Ihre geschärfte Klinge hat
viele Schlachten erlebt.","Hacha espada élite mejorada.
Su hoja afilada ha visto
mucha mucha sangre.","Улучшенный элитный
выкидной топор. Его острый
клинок видел много битв.","Ulepszony elitarny topór
sprężynowy. Bardzo ostry,
zahartowany w bitwach.",,,"Transmachado de Elite
melhorado. Sua lâmina já viu
muitas batalhas sangrentas.","정예토벌대검부의 강화형.
연마된 도신에는 역전의
전사가 지닌 긍지가 깃들었다.","精銳討伐隊斬擊斧的強化型態。
那千錘百鍊的強韌斧身，
寄宿著歷戰戰士的驕傲。","精锐讨伐队斩击斧的强化型。
千锤百炼的结实武器上，
有着身经百战的战士的骄傲。",,,,,,,,"فأس سيف النخبة
المُعززة. شهد نصلها المشحوذ
معارك دموية كثيرة.",,,,,,,,,,,
6ad6bff8-ce03-4ed5-987d-408e6a7ddbe7,2033436467,W_SlashAxe_003_Explain,"最新技術で製造された機械式の
剣斧。刃を駆動させることに
より、斬撃の威力を高める。","A mechanical switch axe made
using the latest technology.
Generates incredible power.","Morpho-hache mécanique
très sophistiquée.
Pouvoir extraordinaire.","Spadascia meccanica che
usa le ultime tecnologie.
Genera un grande potere.","Mechanische Morph-Axt nach
letztem Stand der Technik.
Erzeugt ungeheure Energie.","Hacha espada mecánica hecha
con tecnología avanzada.
Genera un poder increíble.","Механический выкидной топор,
сделанный по новым методам.
Создает невероятную силу.","Mechaniczny topór sprężynowy
o nowoczesnej konstrukcji.
Generuje niesamowitą moc.",,,"Transmachado mecânico feito
com a última tecnologia.
Gera uma força incrível.","최신 기술로 제조된 기계식
슬래시액스. 칼날을 구동시켜
참격의 위력을 높인다.","以最新技術製造的機械式
斬擊斧。藉由啟動刃部的機關
來提高斬擊的威力。","最新技术制造的机械斩击斧。
通过启动刃部上的机关，
提高斩击的威力。",,,,,,,,"فأس السيف الآلي المصنوعة
باستخدام إحدى التقنيات.
تولّد طاقة مهولة.",,,,,,,,,,,
13d25ff5-c397-490c-8482-00e040e8e16f,2116227376,W_SlashAxe_004_Explain,"最新技術で製造された機械式の
剣斧。刃を駆動させることに
より、斬撃の威力を高める。","A mechanical switch axe made
using the latest technology.
Generates incredible power.","Morpho-hache mécanique
très sophistiquée.
Pouvoir extraordinaire.","Spadascia meccanica che
usa le ultime tecnologie.
Genera un grande potere.","Mechanische Morph-Axt nach
letztem Stand der Technik.
Erzeugt ungeheure Energie.","Hacha espada mecánica hecha
con tecnología avanzada.
Genera un poder increíble.","Механический выкидной топор,
сделанный по новым методам.
Создает невероятную силу.","Mechaniczny topór sprężynowy
o nowoczesnej konstrukcji.
Generuje niesamowitą moc.",,,"Transmachado mecânico feito
com a última tecnologia.
Gera uma força incrível.","최신 기술로 제조된 기계식
슬래시액스. 칼날을 구동시켜
참격의 위력을 높인다.","以最新技術製造的機械式
斬擊斧。藉由啟動刃部的機關
來提高斬擊的威力。","最新技术制造的机械斩击斧。
通过启动刃部上的机关，
提高斩击的威力。",,,,,,,,"فأس السيف الآلي المصنوعة
باستخدام إحدى التقنيات.
تولّد طاقة مهولة.",,,,,,,,,,,
6794212e-58f0-4bf4-9abd-ab1522b8e279,4162549,W_SlashAxe_005_Explain,"ボルシュレッド強化型。電力を
最大限に高めることで凄まじい
威力の斬撃を可能にした。","An enhanced Shredder. Its
power source has been juiced
for maximum shred potential.","Sa batterie optimisée lui
permet de tout déchiqueter.
Base : Broyeur de luxe","Gran trinciatore potenziato.
Spreme la fonte di energia
per accumulare potenza.","Verbesserter Schredder mit
einer Superbatterie für ma-
ximales Schredderpotenzial.","La trituradora finalizada.
Fuente de alimentación
exprimida al máximo.","Улучшенный Потрошитель. Его
источник энергии настроен
на максимум потенциала.","Ulepszona Szatkownica
z podrasowanym źródłem mocy.
Maksymalna siła siekająca.",,,"Triturador melhorado. Sua
fonte de poder foi melhorada
para maior trituração.","볼슈레드의 강화형. 전력을
최대한 끌어모아 위력적인
참격을 가능하게 한다.","羅宋紅斧的強化型態。
將電力提高到最大限度，
獲得了驚人威力的斬擊。","罗宋红斧的强化型。
通过将电力提高到极限，
来使出强大无比的斩击。",,,,,,,,"آلة تقطيع مُعززة. استُنزف
مصدر طاقته لتحقيق
أقصى إمكانيات التقطيع.",,,,,,,,,,,
12c721f5-1e69-419e-a67f-ff35b034d6b6,1700429152,W_SlashAxe_006_Explain,"龍の力を宿した機械式の剣斧。
工場を経営する元ハンターが、
己の経験から考案した傑作。","An axe imbued with draconic
power. The crafter who made
it was previously a hunter.","Hache imprégnée de pouvoir
draconique. L'artisan était
auparavant chasseur.","Ascia imbevuta di potere del
drago creata da un vecchio
cacciatore.","Eine Axt mit Drachenkraft.
Der Kunsthandwerker war
einst ein Jäger.","Hacha imbuida con poder
dracónico. El artesano
que la hizo fue cazador.","Топор, наделенный силой
дракона. Мастер, сделавший
его, был раньше охотником.","Topór przesycony mocą
smoka. Wyszedł spod
ręki byłego łowcy.",,,"Machado imbuído de poder
de dragões. O fabricante foi
um caçador anteriormente.","용의 힘이 깃든 기계식
슬래시액스. 헌터 출신
공장 경영자가 고안한 걸작.","寄宿著龍之力的機械式斬擊斧。
是由經營工廠的前獵人
透過自身經驗設計出來的傑作。","带有龙之力的机械式剑斧。
这是经营工厂的前猎人
结合自身经验设计出的杰作。",,,,,,,,"فأس مُشبعة بقوة
تنينية. كان الحِرفي الذي
صنعها صيادًا في السابق.",,,,,,,,,,,
bf0a7a94-c334-458f-8c6f-8202b8336ab2,4010786427,W_SlashAxe_007_Explain,"龍の力を宿した機械式の剣斧。
工場を経営する元ハンターが、
己の経験から考案した傑作。","An axe imbued with draconic
power. The crafter who made
it was previously a hunter.","Hache imprégnée de pouvoir
draconique. L'artisan était
auparavant chasseur.","Ascia imbevuta di potere del
drago creata da un vecchio
cacciatore.","Eine Axt mit Drachenkraft.
Der Kunsthandwerker war
einst ein Jäger.","Hacha imbuida con poder
dracónico. El artesano
que la hizo fue cazador.","Топор, наделенный силой
дракона. Мастер, сделавший
его, был раньше охотником.","Topór przesycony mocą
smoka. Wyszedł spod
ręki byłego łowcy.",,,"Machado imbuído de poder
de dragões. O fabricante foi
um caçador anteriormente.","용의 힘이 깃든 기계식
슬래시액스. 헌터 출신
공장 경영자가 고안한 걸작.","寄宿著龍之力的機械式斬擊斧。
是由經營工廠的前獵人
透過自身經驗設計出來的傑作。","带有龙之力的机械式剑斧。
这是经营工厂的前猎人
结合自身经验设计出的杰作。",,,,,,,,"فأس مُشبعة بقوة
تنينية. كان الحِرفي الذي
صنعها صيادًا في السابق.",,,,,,,,,,,
5964ad51-b86e-4538-81d7-44d21942b7f0,3943486457,W_SlashAxe_008_Explain,"アッシュドラッヘの完成で勢い
に乗った工場が、魂を込めて
贈る改良版。匠の技が輝く。","An enhanced Ash Drache
made with blood, sweat, and
tears. A real masterpiece.","Forgée dans le sang,
la sueur et les larmes.
Base : Drache de cendre","Drago di cenere potenziato
con sangue, sudore e
lacrime. Un vero capolavoro.","Verbesserter Aschedrache aus
Blut, Schweiß und Tränen.
Ein wahres Meisterwerk.","Drache de cenizas mejorado
hecho con sudor y sangre.
Una obra maestra.","Улучшенный Пепельный Дракон
из крови, пота и слез.
Настоящий шедевр.","Ulepszony model Popielatego
Drache. Wykuty we krwi,
pocie i łzach. Arcydzieło.",,,"Ash Drache melhorado feito
com sangue, suor e lágrimas.
Uma verdadeira obra-prima.","애쉬드라켄을 완성한 공장에서
혼을 담아 선사하는 개량판.
장인의 기술이 빛을 발한다.","龍之斧完成後，工廠打鐵趁熱，
注入靈魂製成的改良版本。
此斧散發著工匠技術的光芒。","完成击龙斧的工厂再接再厉，
倾尽全力改良出这一款剑斧。
它闪耀着心血的光辉。",,,,,,,,"تنين الرماد المُعزز
الذي صُنع بالدماء والعرق
والدموع. قطعة فنية حقيقية.",,,,,,,,,,,
4114a7c0-1827-4b1f-a58d-ad3049744cf9,1345653825,W_SlashAxe_009_Explain,"名もなき職人による試作品。
意外に高性能で、製法が各地に
流通し大量生産されている。","This axe performs so well
that it's starting to be
mass-produced everywhere.","Hache si performante
qu'on peine à satisfaire
la demande.","Ascia prodotta in serie per
i suoi risultati eccellenti
in battaglia.","Diese Axt funktioniert so
gut, dass sie nun überall in
Serie produziert wird.","Hacha tan eficaz que se
está empezando a producir
en masa.","Этот топор так эффективен,
что его начали массово
производить повсюду.","Tak doskonały, że zaczyna
być przedmiotem masowej
produkcji na całym świecie.",,,"Este machado é tão bom que
está sendo produzido
em massa em todo lugar.","무명의 장인이 만든 시험작.
생각보다 성능이 좋아 각지에
제작법을 유통하여 대량 생산.","由無名工匠製作出的試作品。
由於性能出奇地好，因此
製作方式廣為流傳，大量生產。","无名工匠制造的试制品。
拥有令人吃惊的高性能，
制法流传各地，被大量生产。",,,,,,,,"تعمل هذه الفأس ببراعة
حتى إنها بدأت تُنتج بكميات
كبيرة في كل مكان.",,,,,,,,,,,
