guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
396eb363-67e9-47bb-bcb2-0702733d02d4,1388441664,W_SlashAxe_300_Explain,"この剣斧ならば、森ひとつ刈り
取るも造作なし。加工屋の
自信がみなぎる、迫力の業物。","Razes through forests in one
sweep. Any craftsman would
be proud to have made this.","Une hache phénoménale
capable de raser des forêts
entières.","Rade al suolo una foresta
in un colpo. È l'orgoglio
di tutti gli artigiani.","Vernichtet Wälder mit einem
Schlag. Jeder Handwerker
wäre stolz auf dieses Werk.","Capaz de arrasar bosques.
Cualquier artesano estaría
orgulloso de fabricarla.","Разом вырубает целые леса.
Любой мастер гордился бы
такой работой.","Można nim karczować lasy.
Każdy rzemieślnik byłby
dumny z takiego dzieła.",,,"Arrasa florestas com um só
golpe. Qualquer um ficaria
orgulhoso de tê-lo feito.","이 슬래시액스로 숲을 하나
베는 건 일도 아니다. 
가공점이 자랑하는 명품.","若用這把斬擊斧，即便是要
清除一整片森林也輕而易舉。
為加工店充滿自信的魄力利刃。","只要有了这把剑斧，
削平一座森林也不在话下。
洋溢出工匠自信的强大武器。",,,,,,,,"يكتسح الغابات
بحركة واحدة. كان ليفخر
أي حِرفي بصناعة هذا.",,,,,,,,,,,
241d2ad4-75af-4598-b05f-54fc3f6bdc37,1228215440,W_SlashAxe_301_Explain,"この剣斧ならば、森ひとつ刈り
取るも造作なし。加工屋の
自信がみなぎる、迫力の業物。","Razes through forests in one
sweep. Any craftsman would
be proud to have made this.","Une hache phénoménale
capable de raser des forêts
entières.","Rade al suolo una foresta
in un colpo. È l'orgoglio
di tutti gli artigiani.","Vernichtet Wälder mit einem
Schlag. Jeder Handwerker
wäre stolz auf dieses Werk.","Capaz de arrasar bosques.
Cualquier artesano estaría
orgulloso de fabricarla.","Разом вырубает целые леса.
Любой мастер гордился бы
такой работой.","Można nim karczować lasy.
Każdy rzemieślnik byłby
dumny z takiego dzieła.",,,"Arrasa florestas com um só
golpe. Qualquer um ficaria
orgulhoso de tê-lo feito.","이 슬래시액스로 숲을 하나
베는 건 일도 아니다. 
가공점이 자랑하는 명품.","若用這把斬擊斧，即便是要
清除一整片森林也輕而易舉。
為加工店充滿自信的魄力利刃。","只要有了这把剑斧，
削平一座森林也不在话下。
洋溢出工匠自信的强大武器。",,,,,,,,"يكتسح الغابات
بحركة واحدة. كان ليفخر
أي حِرفي بصناعة هذا.",,,,,,,,,,,
439781e7-488e-4c2c-840f-c1e4182f431c,1250121187,W_SlashAxe_302_Explain,"奮迅する英雄のため、カムラの
里が団結して生み出した剣斧。
曇天を切り裂いて陽光を招く。","Combined Kamura skills
created this light-loving
weapon for an impetuous hero.","Les talents de Kamura
ont créé cette arme légère
pour un héros impétueux.","Arma leggera per un eroe
impetuoso, creata combinando
varie abilità di Kamura.","Vereinte Kamura-Künste
erschufen diese lichtliebende
Waffe für den ungestümen Helden.","Arma luminosa para héroes
impetuosos, creada por varios
especialistas de Kamura.","Мастера Камуры создали это
наполненное светом оружие
для пылкого героя.","Wielu mistrzów Kamury
tworzyło dla bohatera tę
kochającą światło broń.",,,"A combinação das habilidades
Kamura criou esta arma fã
da luz para os impetuosos.","분투하는 영웅을 위해 카무라
마을이 만든 슬래시액스.
구름을 가르고 햇빛을 부른다.","神火村居民為了勇猛奮戰的英雄，
團結一致打造出的斬擊斧。
能夠撕裂雲層並喚來陽光。","炎火村上下团结一心，为势如
破竹的英雄打造的剑斧。砍破
阴天，唤来阳光。",,,,,,,,"تنتج مهارات كامورا المجمعة
هذا السلاح المحب للضوء
المخصص لبطل عنيف.",,,,,,,,,,,
5cac9c6e-b049-428d-85d5-492c1aa805d5,3517784860,W_SlashAxe_303_Explain,"爵銀龍の硬質な素材で作られた
剣斧。あらゆる物を叩き斬り、
一瞬で狩りを終わらせる。","A switch axe made from hard
Malzeno materials. A single
strike can end a hunt.","Morpho-hache fabriquée à partir
de matériaux de Malzeno
robustes. Ultra puissante.","Spadascia creata con solidi
materiali di Malzeno. Un solo
colpo e la caccia è finita.","Morph-Axt aus harten Malzeno-
Materialien. Ein einziger Hieb
kann eine Jagd beenden.","Hacha espada con materiales
rígidos de Malzeno. Para zanjar
cacerías de un solo golpe.","Выкидной топор из прочных
материалов Малзено. Один
удар завершит охоту.","Topór sprężynowy z twardych
materiałów z Malzeno. Kończy
łowy jednym ciosem.",,,"Transmachado de materiais
duros de Malzeno. Um só
golpe encerra a caçada.","은작룡의 단단한 소재로 만든
슬래시액스. 모든 것을 갈라
순식간에 사냥이 끝난다.","以爵銀龍的堅硬素材製造而成
的斬擊斧。能夠擊潰世間萬物，
在須臾之間結束狩獵。","用爵银龙硬质素材制成的
剑斧。能斩破世间万物，
瞬间便可终结狩猎。",,,,,,,,"فأس متقلبة مصنوعة من
مواد مالزينو الصلبة.
يمكن لضربة واحدة منها إنهاء الصيد.",,,,,,,,,,,
a2d77f15-4b50-498b-9975-6b47d52dbdc3,2455333528,W_SlashAxe_304_Explain,"月が血のような赤に染まる時、
剣にも爛々たる血が満ちる。
残忍な狩りが今、始まる。","Under the looming blood moon
this blade also turns red. Let
the cruel hunt commence.","Lorsque la lune est de sang,
cette lame devient rouge.
Que la chasse commence.","Sotto la luna di sangue,
questa lama si fa rossa.
Che la caccia abbia inizio!","Unter dem Blutmond färbt sich
diese Klinge rot. Lasst
die grausame Jagd beginnen.","La luna ensangrentada acecha
y la tiñe de rojo. Que empiece
la cruenta cacería.","В свете кровавой луны этот
клинок становится красным.
Да начнется жестокая охота.","Poświata krwistego księżyca
barwi ostrze na czerwono.
Czas na okrutne łowy.",,,"Sob a lua sangrenta a lâmina
também fica rubra. Deixe
começar a caçada cruel.","달이 피처럼 붉게 물들 때
검도 피에 젖어 빛날지니.
잔인한 사냥이 시작된다.","當月亮染上一片血紅之時，
此劍也將滲出斑斕的鮮血。
殘忍的狩獵即將開始。","当月亮变为鲜血般的朱红时，
剑上亦将充满淋漓满血，残忍的
狩猎，就此开始。",,,,,,,,"يتحول هذا النصل إلى اللون الأحمر،
تحت القمر الدموي الذي يلوح في الأفق.
دع المطاردة القاسية تبدأ.",,,,,,,,,,,
dce12571-c4f3-4bb4-91dd-8895e278658a,3640246637,W_SlashAxe_305_Explain,"別れた身の叫泣も宵に消え、
暁の灯が雅なる剣斧を迎える。
狐剣斧ワカレヲサソフ強化型。","An enhanced Fond Farewell.
Its victims' cries echo as
it welcomes a new dawn.","Les cris de ses victimes
résonnent dans la nuit.
Base : Adieu sincère","Amorevole addio potenziato.
Saluta l'alba tra le grida
delle vittime nel buio.","Verbessertes Lebewohl. Der
Schrei der Opfer hallt nach,
wenn Nacht den Morgen grüßt.","Despedida cariñosa mejorada.
Los llantos de sus víctimas
resuenan en el amanecer.","Улучшенная версия Теплого
Прощания. Крики его жертв
знаменуют новую зарю.","Ulepszona wersja Czułego
Pożegnania. Echo krzyków
ofiar rozlega się o świcie.",,,"Adeus Carinhoso melhorado.
O lamento de suas vítimas
ecoa com a nova alvorada.","분리된 몸의 절규는 밤 속에
사라지고 새벽을 맞이한다.
와카레오사소후의 강화형.","身魂分離之哭喊兮沉寂於黑夜，
拂曉明燈之來迎兮雅致斬擊斧。
狐斬擊斧子規招別離的強化型。","狐斩击斧【子规啼离恨】
强化型。分离的恸哭沉寂于夜，
拂晓的灯光迎来优美的斩击斧。",,,,,,,,"وداعٌ حارٌ مُعزز. يتردد صدى
صرخات ضحاياه بينما
يرحب بقدوم فجر جديد.",,,,,,,,,,,
52da79db-66a1-4c89-91cb-c3d46e78f526,2522638279,W_SlashAxe_306_Explain,"愛し君を残して消え果てはせぬ
と、流麗たる剣斧に誓う。
願わくは千秋万古、信じ給へ。","I swear by thy axe that I shall not
leave my love. Lock these words
to memory, and keep them close.","Je jure que je ne quitterai pas mon
amour. Gardez ces mots en mémoire,
et gardez-les près de vous.","Giuro su quest'ascia che non
abbandonerò il mio amore.
Tieni a mente queste parole.","Ich schwöre bei deiner Axt,
dass ich meine Liebe nie
verlasse. Vergiss das nicht!","Te juro por tu hacha que no
dejaré a mi amor. Ten presentes
estas palabras: no las olvides.","Клянусь этим мечом, что не
брошу свою любовь. Запомни
мои слова и думай об этом.","Przysięgam na twój topór, że
nie zostawię swej miłości.
Zapisz to sobie w pamięci.",,,"Juro pelo seu machado que
não deixarei meu amor.
Lembre-se destas palavras.","사랑하는 그대를 두고 떠날 수
없다고 슬래시액스에 맹세한다.
부디 천추만고 믿어 주소서.","向優美的斬擊斧起誓，
絕不留下深愛之人獨自離去。
願此誓言萬古千秋，信守不渝。","向这把华丽的剑斧起誓，定
不会留心爱之人独处于世。
愿万古千秋，信守不渝。",,,,,,,,"أقسم بالفأس أني لن أترك
حبيبتي. احفظ هذه الكلمات
في الذاكرة، وضعها حلقةً في أذنك دائمًا.",,,,,,,,,,,
bd2d163c-7682-4fbc-b9a2-c6f933be440b,3336843900,W_SlashAxe_307_Explain,"愛し君を残して消え果てはせぬ
と、流麗たる剣斧に誓う。
願わくは千秋万古、信じ給へ。","I swear by thy axe that I shall not
leave my love. Lock these words
to memory, and keep them close.","Je jure que je ne quitterai pas mon
amour. Gardez ces mots en mémoire,
et gardez-les près de vous.","Giuro su quest'ascia che non
abbandonerò il mio amore.
Tieni a mente queste parole.","Ich schwöre bei deiner Axt,
dass ich meine Liebe nie
verlasse. Vergiss das nicht!","Te juro por tu hacha que no
dejaré a mi amor. Ten presentes
estas palabras: no las olvides.","Клянусь этим мечом, что не
брошу свою любовь. Запомни
мои слова и думай об этом.","Przysięgam na twój topór, że
nie zostawię swej miłości.
Zapisz to sobie w pamięci.",,,"Juro pelo seu machado que
não deixarei meu amor.
Lembre-se destas palavras.","사랑하는 그대를 두고 떠날 수
없다고 슬래시액스에 맹세한다.
부디 천추만고 믿어 주소서.","向優美的斬擊斧起誓，
絕不留下深愛之人獨自離去。
願此誓言萬古千秋，信守不渝。","向这把华丽的剑斧起誓，定
不会留心爱之人独处于世。
愿万古千秋，信守不渝。",,,,,,,,"أقسم بالفأس أني لن أترك
حبيبتي. احفظ هذه الكلمات
في الذاكرة، وضعها حلقةً في أذنك دائمًا.",,,,,,,,,,,
e38e8305-f6c8-42f5-aee4-116020bebc0b,3809225329,W_SlashAxe_308_Explain,"退魔師は己の得物に護符の呪法
を施した。現れよ、霊符より
誘われし仙境の蝶が邪を祓う。","A switch axe protected by
powerful charms and capable
of eradicating all evil.","Morpho-hache protégée par
des talismans puissants,
capable d'éradiquer le mal.","Spadascia protetta da
potenti incantesimi e
capace di sradicare il male.","Morph-Axt, die von mächtigen
Zaubersprüchen geschützt wird
und alles Böse ausrotten kann.","Hacha espada protegida por
poderosos amuletos, capaz
de erradicar toda maldad.","Обереги на этом выкидном
топоре позволяют изгонять
зло.","Topór sprężynowy chroniony
silnymi zaklęciami.
Potrafi wyplenić zło.",,,"Transmachado protegido por
poderosos amuletos e capaz
de erradicar o mal.","퇴마사는 무기에 주술을
걸었다. 부적에 이끌려 나타난
선계의 나비가 악을 쫓는다.","驅魔師在其擅長武器上施以
護符咒法。現身吧，受靈符
吸引的仙境之蝶將斬妖除魔。","除魔师对自己擅长的武器施下了
护符的咒法。现身吧，由灵符召
唤而来的仙境之蝶，祛邪除恶。",,,,,,,,"فأس متقلب محمي
بسحر قوي وقادر
على إبادة كل شر.",,,,,,,,,,,
ce89ffc7-3cce-46fb-a1b1-898deaf4673b,482537461,W_SlashAxe_309_Explain,"燃立つ刃身こそ、覇者の証明。
リオフラムグレイブ強化型を
携えし者は煉獄の王となる。","The Rath Flame Splitter's
improved form turns its user
into the king of hellfire.","Devenez le maître des
flammes de l'enfer.
Base : Trancheflamme Rath","Sputafiamme Rath potenziato.
Tramuta il suo possessore
nel re del fuoco infernale.","Verbesserter Rath-Flammen-
entzweier, macht den Träger
zum König des Höllenfeuers.","Partellamas Rath mejorado.
Convierte a quien lo empuña
en el rey del fuego eterno.","Улучшенный Рат-огнеплюй.
Владелец командует адским
огнем.","Lepsza forma Tnącego
Płomienia Ratha zmieni cię
w króla piekielnego ognia.",,,"A forma melhorada do Corta-
chama de Rath transforma seu
usuário no rei do fogo.","불타는 칼날은 패자의 증명.
리오플람글레이브의 강화형을
소유한 자가 곧 연옥의 왕이다.","熊熊燃燒的斧身正是霸主的
證明。持有噴射黑炎斬擊斧
強化型之人就能成為煉獄之王。","熊熊燃烧的刀身是霸主的证明。
持有喷射烈炎剑斧强化型的人，
将成为炼狱之王。",,,,,,,,"يحول الشكل المُحسّن لراث
مُفرق اللهب مستخدمه
إلى ملك الجحيم.",,,,,,,,,,,
