guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
e6d32396-05e2-46da-aa07-7868f2ed2652,2313072561,W_SlashAxe_000_Name,精鋭討伐隊剣斧Ⅰ,Elite Switch Axe I,Morpho-hache élite,Spadascia d'élite I,Elite-Morph-Axt I,Hacha espada élite I,Элитный выкид. топор 1,Elitar. topór spręż. I,,,Transmachado Elite I,정예토벌대검부Ⅰ,精銳討伐隊斬擊斧Ⅰ,精锐讨伐队斩击斧Ⅰ,,,,,,,,فأس سيف النخبة 1,,,,,,,,,,,
aafaadd3-65b6-462f-b1d5-be393bd2b79f,1438526404,W_SlashAxe_001_Name,精鋭討伐隊剣斧Ⅱ,Elite Switch Axe II,Morpho-hache élite II,Spadascia d'élite II,Elite-Morph-Axt II,Hacha espada élite II,Элитный выкид. топор 2,Elit. topór spręż. II,,,Transmachado Elite II,정예토벌대검부Ⅱ,精銳討伐隊斬擊斧Ⅱ,精锐讨伐队斩击斧Ⅱ,,,,,,,,فأس سيف النخبة 2,,,,,,,,,,,
2e958d43-4b8f-42ff-a0ef-81ad656aca4d,3740026798,W_SlashAxe_002_Name,ディズオブアーム,Czar Switch Axe,Morpho-hache de tsar,Spadascia zar,Zaren-Morph-Axt,Hacha espada de zar,Царский выкидной топор,Carski topór sprężyn.,,,Transmachado do Czar,디즈오브암,武裝之日,精锐进攻队斩击斧,,,,,,,,فأس سيف القيصر,,,,,,,,,,,
2b73d615-df1c-4aba-90d9-f5ace79579a1,2804944338,W_SlashAxe_003_Name,ボルシュレッドⅠ,The Shredder I,Broyeur de luxe,Gran trinciatore I,Der Schredder I,La trituradora I,Потрошитель 1,Szatkownica I,,,O Triturador I,볼슈레드Ⅰ,羅宋紅斧Ⅰ,罗宋红斧Ⅰ,,,,,,,,الممزِّق 1,,,,,,,,,,,
addd4891-687b-4800-996b-f6792aee7724,2796118019,W_SlashAxe_004_Name,ボルシュレッドⅡ,The Shredder II,Broyeur de luxe II,Gran trinciatore II,Der Schredder II,La trituradora II,Потрошитель 2,Szatkownica II,,,O Triturador II,볼슈레드Ⅱ,羅宋紅斧Ⅱ,罗宋红斧Ⅱ,,,,,,,,الممزِّق 2,,,,,,,,,,,
3a7e8d76-3d2e-47bf-bc3d-d3b65475a524,3908470651,W_SlashAxe_005_Name,パワーボルシュレッド,The Power Shredder,Broyeur ultime,Super trinciatore,Der Power-Schredder,Trituradora mecánica,Мощный потрошитель,Szatkownica mocy,,,Triturador Poderoso,파워볼슈레드,強力羅宋紅斧,强力罗宋红斧,,,,,,,,ممزّق القوة,,,,,,,,,,,
32ea8e6b-88a8-47c2-977b-da348afe2391,1567142006,W_SlashAxe_006_Name,アッシュドラッヘⅠ,Ash Drache I,Drache de cendre,Drago di cenere I,Aschedrache I,Drache de cenizas I,Пепельный Дракон 1,Popielaty Drache I,,,Ash Drache I,애쉬드라켄Ⅰ,龍之斧Ⅰ,击龙斧Ⅰ,,,,,,,,تنين الرماد 1,,,,,,,,,,,
06b21079-2fdc-4f68-99ba-d4fe4a560020,1427886740,W_SlashAxe_007_Name,アッシュドラッヘⅡ,Ash Drache II,Drache de cendre II,Drago di cenere II,Aschedrache II,Drache de cenizas II,Пепельный Дракон 2,Popielaty Drache II,,,Ash Drache II,애쉬드라켄Ⅱ,龍之斧Ⅱ,击龙斧Ⅱ,,,,,,,,تنين الرماد 2,,,,,,,,,,,
0da20406-3191-47eb-9a44-1e948790df2e,1177734635,W_SlashAxe_008_Name,フォールドラッヘ,Fall Drache,Drache d'automne,Drago d'autunno,Falldrache,Drache otoñal,Осенний Дракон,Drache Upadku,,,Fall Drache,포드라켄,惡龍之斧,驱龙斧,,,,,,,,تنين السقوط,,,,,,,,,,,
ef366103-31db-478b-963a-0ccbf12593f7,2945697846,W_SlashAxe_009_Name,鉄製試作剣斧Ⅰ,Proto Iron Axe I,Hache bestiale,Ascia di ferro I,Proto-Eisenaxt I,Protohacha Férrea I,Простой желез. топор 1,Prototopór z żelaza I,,,Protomachado Ferro I,철제시험작검부Ⅰ,鐵製試作劍斧Ⅰ,铁制试作剑斧Ⅰ,,,,,,,,فأس بروتو الحديدي 1,,,,,,,,,,,
b78f93cc-c0cf-4048-b59f-907103880070,3244755129,W_SlashAxe_010_Name,鉄製試作剣斧Ⅱ,Proto Iron Axe II,Hache bestiale II,Ascia di ferro II,Proto-Eisenaxt II,Protohacha Férrea II,Простой желез. топор 2,Prototopór z żelaza II,,,Protomachado Ferro II,철제시험작검부Ⅱ,鐵製試做劍斧Ⅱ,铁制试作剑斧Ⅱ,,,,,,,,فأس بروتو الحديدي 2,,,,,,,,,,,
be6bd5f0-2dfb-4cac-9f21-01ab9bcb29b7,2593086772,W_SlashAxe_011_Name,鋼鉄製改良剣斧,Improved Steel Axe,Hache d'acier pur,Ascia d'acciaio,Verbesserte Stahlaxt,Hacha Acerada Ultra,Улучш. стальной топор,Ulepsz. topór stalowy,,,Machado Aço Refinado,강철제개량검부,鋼鐵製改良劍斧,钢铁制改良剑斧,,,,,,,,فأس فولاذي محسّن,,,,,,,,,,,
0a07b8fb-2372-4722-bc48-a9822aa2091d,1729570288,W_SlashAxe_012_Name,ジェネラルアームⅠ,General's Strongaxe I,Hache de Général,Ascia del generale I,General-Starkaxt I,Hacha de general I,Топор генерала 1,Siłotopór generała I,,,Machado do General I,제너럴암Ⅰ,掃蕩Ⅰ,扫荡Ⅰ,,,,,,,,قوة الجنرال 1,,,,,,,,,,,
88c40d8a-e85e-4ebb-8174-cc197e3588f3,611460912,W_SlashAxe_013_Name,ジェネラルアームⅡ,General's Strongaxe II,Hache de Général II,Ascia del generale II,General-Starkaxt II,Hacha de general II,Топор генерала 2,Siłotopór generała II,,,Machado do General II,제너럴암Ⅱ,掃蕩Ⅱ,扫荡Ⅱ,,,,,,,,قوة الجنرال 2,,,,,,,,,,,
800f4be1-be1e-4084-81b9-105211ed94e1,1849132003,W_SlashAxe_014_Name,コンクエスタ,Conqueress,Conquista,Conquistatrice,Erobererin,Conquistadora,Завоевательница,Zdobywczyni,,,Conquistadora,콩키스타,征服,征服,,,,,,,,القهر,,,,,,,,,,,
3fac7985-9694-4c3b-b089-f8e56d220d47,2710296735,W_SlashAxe_015_Name,ボーンアックスⅠ,Bone Axe I,Hache en os,Ascia d'osso I,Knochenaxt I,Hacha Ósea I,Костяной топор 1,Kościany topór I,,,Machado de Osso I,본액스Ⅰ,骨製劍斧Ⅰ,骨制剑斧Ⅰ,,,,,,,,فأس عظمي 1,,,,,,,,,,,
9cab3cc2-47ab-4f29-a72b-858be3c11f1b,736213940,W_SlashAxe_016_Name,ボーンアックスⅡ,Bone Axe II,Hache en os II,Ascia d'osso II,Knochenaxt II,Hacha Ósea II,Костяной топор 2,Kościany topór II,,,Machado de Osso II,본액스Ⅱ,骨製劍斧Ⅱ,骨制剑斧Ⅱ,,,,,,,,فأس عظمي 2,,,,,,,,,,,
2f016bc3-4b93-497a-8d82-60891830d370,4056299185,W_SlashAxe_017_Name,ダイダロス,Daidalos Axe,Hache Daidalos,Ascia Daidalos,Daidalos-Axt,Hacha de Daidalos,Топор Дайдалоса,Topór Daidalos,,,Machado Daidalos,다이달로스,代達洛斯斧,代达罗斯,,,,,,,,فأس ديادلوس,,,,,,,,,,,
c475e405-79eb-488e-bc51-8f675b44a149,1183152321,W_SlashAxe_018_Name,パワーブロウニーⅠ,Power Gasher I,Balafreur de force,Sfregio potente I,Kraft-Spalter I,Tajadora de poder I,Избиватель 1,Rozcinacz Mocy I,,,Destruidor Poderoso II,파워브라우니Ⅰ,壯碩身材Ⅰ,壮实身躯Ⅰ,,,,,,,,جرح القوة 1,,,,,,,,,,,
4384d800-0a92-4870-b960-d78254167fd3,2926340601,W_SlashAxe_019_Name,パワーブロウニーⅡ,Power Gasher II,Balafreur de force II,Sfregio potente II,Kraft-Spalter II,Tajadora de poder II,Избиватель 2,Rozcinacz Mocy II,,,Destruidor Poderoso II,파워브라우니Ⅱ,壯碩身材Ⅱ,壮实身躯Ⅱ,,,,,,,,جرح القوة 2,,,,,,,,,,,
afe9a25f-0456-407c-a8b3-461167866cf3,2389282643,W_SlashAxe_020_Name,マキシモブロウニー,Maximal Gasher,Balafreur Maximo,Sfregio massimo,Maximal-Spalter,Tajadora máxima,Суперизбиватель,Maksymalny Rozcinacz,,,Destruidor Máximo,맥시모브라우니,健美身材,棕精灵长斧,,,,,,,,الجرح الأقصى,,,,,,,,,,,
90e8b048-4ea1-47cb-95ef-0d100725872b,4246986429,W_SlashAxe_021_Name,カムラノ鉄剣斧Ⅰ,Kamura Iron Axe I,Hache Kamura,Ascia ferro Kamura I,Kamura-Eisenaxt I,Hacha Férrea Kamura I,Желез. топор Камуры 1,Żel. topór Kamury I,,,Mach. de Ferro Kam. I,카무라철검부Ⅰ,神火鐵斬擊斧Ⅰ,炎火铁剑斧Ⅰ,,,,,,,,فأس كامورا الحديدي 1,,,,,,,,,,,
e094c1d9-c0ec-4f1e-b855-7722abc6ed36,2360303229,W_SlashAxe_022_Name,カムラノ鉄剣斧Ⅱ,Kamura Iron Axe II,Hache Kamura II,Ascia ferro Kamura II,Kamura-Eisenaxt II,Hacha Férrea Kamura II,Желез. топор Камуры 2,Żel. topór Kamury II,,,Mac. de Ferro Kam. II,카무라철검부Ⅱ,神火鐵斬擊斧Ⅱ,炎火铁剑斧Ⅱ,,,,,,,,فأس كامورا الحديدي 2,,,,,,,,,,,
04aa652f-5ae1-429c-b1d7-a2f523f89bd3,3663379858,W_SlashAxe_023_Name,カムラノ鉄剣斧Ⅲ,Kamura Iron Axe III,Hache Kamura III,Ascia ferro Kamura III,Kamura-Eisenaxt III,H. Férrea Kamura III,Желез. топор Камуры 3,Żel. topór Kamury III,,,Mac. de Ferro Kam. III,카무라철검부Ⅲ,神火鐵斬擊斧Ⅲ,炎火铁剑斧Ⅲ,,,,,,,,فأس كامورا الحديدي 3,,,,,,,,,,,
e56cf11f-49d1-4559-abd5-96165424fc81,3581932177,W_SlashAxe_024_Name,カムラノ鉄剣斧Ⅳ,Kamura Iron Axe IV,Hache Kamura IV,Ascia ferro Kamura IV,Kamura-Eisenaxt IV,H. Férrea Kamura IV,Желез. топор Камуры 4,Żel. topór Kamury IV,,,Mac. de Ferro Kam. IV,카무라철검부Ⅳ,神火鐵斬擊斧Ⅳ,炎火铁剑斧Ⅳ,,,,,,,,فأس كامورا الحديدي 4,,,,,,,,,,,
b3210a6f-622b-4c19-aa2a-89c3c8c48fe5,3752659438,W_SlashAxe_025_Name,カムラノ鉄剣斧Ⅴ,Kamura Iron Axe V,Hache Kamura V,Ascia ferro Kamura V,Kamura-Eisenaxt V,H. Férrea Kamura V,Желез. топор Камуры 5,Żel. topór Kamury V,,,Mach. de Ferro Kam. V,카무라철검부Ⅴ,神火鐵斬擊斧Ⅴ,炎火铁剑斧Ⅴ,,,,,,,,فأس كامورا الحديدي 5,,,,,,,,,,,
83ceaa02-6dab-4eac-8164-cee5288e8d37,3563494496,W_SlashAxe_026_Name,カムラノ忍剣斧,Kamura Ninja Axe,Hache ninja Kamura,Ascia ninja Kamura,Kamura-Ninja-Axt,Hacha ninja de Kamura,Топор ниндзя Камуры,Topór ninji Kamury,,,Machado Ninja Kamura,카무라닌자검부,神火忍斬擊斧,炎火忍剑斧,,,,,,,,فأس نينجا كامورا,,,,,,,,,,,
11d56a53-e345-4aa8-b3fc-4ea85a128af2,3524485775,W_SlashAxe_027_Name,百竜剣斧Ⅰ,Rampage Slicer I,Katana Calamité,Spadascia furia I,Randale-Schlitzer I,Rebanadora Frenesí I,Резак Буйства 1,Majcher Furii I,,,Fatiador Frenesi I,백룡검부Ⅰ,百龍斬擊斧Ⅰ,百龙剑斧Ⅰ,,,,,,,,شاطر الغضب العارم 1,,,,,,,,,,,
898da9bf-e363-48d4-9a15-6b203b19de89,1149141456,W_SlashAxe_028_Name,百竜剣斧Ⅱ,Rampage Slicer II,Katana Calamité II,Spadascia furia II,Randale-Schlitzer II,Rebanadora Frenesí II,Резак Буйства 2,Majcher Furii II,,,Fatiador Frenesi II,백룡검부Ⅱ,百龍斬擊斧Ⅱ,百龙剑斧Ⅱ,,,,,,,,شاطر الغضب العارم 2,,,,,,,,,,,
caff4916-ffac-4464-8f89-c844ab1c0608,1876693041,W_SlashAxe_029_Name,百竜剣斧Ⅲ,Rampage Slicer III,Katana Calamité III,Spadascia furia III,Randale-Schlitzer III,Rebanadora Frenesí III,Резак Буйства 3,Majcher Furii III,,,Fatiador Frenesi III,백룡검부Ⅲ,百龍斬擊斧Ⅲ,百龙剑斧Ⅲ,,,,,,,,شاطر الغضب العارم 3,,,,,,,,,,,
85c7fa83-a6b1-49ce-a2b8-8a028526dd6f,3197818881,W_SlashAxe_030_Name,百竜剣斧【量体裁衣】,Rampage Slicer S,Katana Calamité S,Spadascia furia S,Randale-Schlitzer S,Rebanadora Frenesí S,Резак Буйства (S),Majcher Furii S,,,Fatiador Frenesi S,백룡검부【양체재의】,百龍斬擊斧【量體裁衣】,百龙剑斧【量体裁衣】,,,,,,,,شاطر الغضب العارم S,,,,,,,,,,,
faa13533-e888-491e-9755-84a339d980ae,3926665846,W_SlashAxe_031_Name,剣斧ノ折形【桜雲】Ⅰ,Origami Axe I,Hache Origami,Ascia origami I,Origami-Axt I,Hacha origami I,Топор оригами 1,Topór origami I,,,Machado Origami I,검부의절형【꽃구름】Ⅰ,摺紙斬擊斧【櫻雲】Ⅰ,剑斧折纸【樱云】Ⅰ,,,,,,,,فأس أوريغامي 1,,,,,,,,,,,
af3f6be4-52e3-44ec-9ccc-0b98999284f5,4140531484,W_SlashAxe_032_Name,剣斧ノ折形【桜雲】Ⅱ,Origami Axe II,Hache Origami II,Ascia origami II,Origami-Axt II,Hacha origami II,Топор оригами 2,Topór origami II,,,Machado Origami II,검부의절형【꽃구름】Ⅱ,摺紙斬擊斧【櫻雲】Ⅱ,剑斧折纸【樱云】Ⅱ,,,,,,,,فأس أوريغامي 2,,,,,,,,,,,
742c3661-a882-4eb0-9f73-fbea52ca870d,2337320898,W_SlashAxe_033_Name,剣斧ノ折形【桜吹雪】,Petal Cloud,Nuage de pétales,Nuvola di petali,Blütenblattwolke,Nube de pétalos,Облачко лепестков,Chmura płatków,,,Nuvem de Pétalas,검부의절형【꽃보라】,摺紙斬擊斧【櫻吹雪】,剑斧折纸【樱吹雪】,,,,,,,,سحابة البتلات,,,,,,,,,,,
f2f5e33b-c5c7-4b7f-9d59-630c78fd8eaa,245410935,W_SlashAxe_034_Name,グリムキャットⅠ,Grim Cat I,Chat sinistre,Gatto tetro I,Grimmsekatze I,Gato siniestro I,Мрачный кот 1,Ponury Kocur I,,,Gato Sorridente I,그림캣Ⅰ,柴郡貓Ⅰ,阴森猫Ⅰ,,,,,,,,قطة التشاؤم 1,,,,,,,,,,,
c9dd3908-d340-4b64-876d-3071939c98e4,1284463279,W_SlashAxe_035_Name,グリムキャットⅡ,Grim Cat II,Chat sinistre II,Gatto tetro II,Grimmsekatze II,Gato siniestro II,Мрачный кот 2,Ponury Kocur II,,,Gato Sorridente II,그림캣Ⅱ,柴郡貓Ⅱ,阴森猫Ⅱ,,,,,,,,قطة التشاؤم 2,,,,,,,,,,,
8c7c08ee-75ea-4bcb-a219-c0d3ef8da3fa,2079169177,W_SlashAxe_036_Name,シュレムカッツェ,Grimmige Katze,Grimmige Katze,Gatto funesto,Grimmige Katze,Grimmige Katze,Счастье Котта,Grimmige Katze,,,Grimmige Katze,슈램캇체,惡作劇貓斧,恶作剧猫斧,,,,,,,,قطة التشاؤم,,,,,,,,,,,
c4e7995f-82d7-42ab-a885-c4a7c9d5a48d,2923548821,W_SlashAxe_037_Name,デスピアダドⅠ,Infernal Axe I,Hache infernale,Ascia infernale I,Höllenaxt I,Hacha infernal I,Адский топор 1,Piekielny topór I,,,Machado Infernal I,데스피아다도Ⅰ,冷酷Ⅰ,冷酷镰刀Ⅰ,,,,,,,,الفأس الجهنمي 1,,,,,,,,,,,
