guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
e9cb48fa-beb9-464e-8d95-a97c001fa29d,743759521,SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None,<COLOR FF0000>#Rejected#</COLOR> SnowBGM_Name_None
f9f7b8fa-6acd-40c0-99ab-ec2ebfb0e65a,4148077104,SnowBGM_Name_000,カムラ祓え歌,Kamura's Song of Purification,Kamura's Song of Purification,Kamura's Song of Purification,Kamura's Song of Purification,Kamura's Song of Purification,Kamura's Song of Purification,Kamura's Song of Purification,,,Kamura's Song of Purification,Kamura's Song of Purification,Kamura's Song of Purification,Kamura's Song of Purification,,,,,,,,Kamura's Song of Purification,,,,,,,,,,,
1d51fc99-1e8e-461f-b0de-7d0822e61d7b,642283911,SnowBGM_Name_001,勇まし狩人,Brave Hunters,Brave Hunters,Brave Hunters,Brave Hunters,Brave Hunters,Brave Hunters,Brave Hunters,,,Brave Hunters,Brave Hunters,Brave Hunters,Brave Hunters,,,,,,,,Brave Hunters,,,,,,,,,,,
a39b66c2-490c-434c-a13f-a0fd48598ad7,4196295151,SnowBGM_Name_002,おともだち,Best Buddies,Best Buddies,Best Buddies,Best Buddies,Best Buddies,Best Buddies,Best Buddies,,,Best Buddies,Best Buddies,Best Buddies,Best Buddies,,,,,,,,Best Buddies,,,,,,,,,,,
822dd09f-797a-42c3-9373-66e0a10a4af5,1438860783,SnowBGM_Name_003,カムラの極意,The Secrets of Kamura,The Secrets of Kamura,The Secrets of Kamura,The Secrets of Kamura,The Secrets of Kamura,The Secrets of Kamura,The Secrets of Kamura,,,The Secrets of Kamura,The Secrets of Kamura,The Secrets of Kamura,The Secrets of Kamura,,,,,,,,The Secrets of Kamura,,,,,,,,,,,
8c82fc81-a8de-4d94-9c9e-2fff48704af9,2700987645,SnowBGM_Name_004,オトモ隠密隊,Meowcenaries,Meowcenaries,Meowcenaries,Meowcenaries,Meowcenaries,Meowcenaries,Meowcenaries,,,Meowcenaries,Meowcenaries,Meowcenaries,Meowcenaries,,,,,,,,Meowcenaries,,,,,,,,,,,
a0503593-4bd0-4699-9547-4e1adaceea1a,2728855564,SnowBGM_Name_005,異国へ想いを馳せて,Thinking of Strange Lands,Thinking of Strange Lands,Thinking of Strange Lands,Thinking of Strange Lands,Thinking of Strange Lands,Thinking of Strange Lands,Thinking of Strange Lands,,,Thinking of Strange Lands,Thinking of Strange Lands,Thinking of Strange Lands,Thinking of Strange Lands,,,,,,,,Thinking of Strange Lands,,,,,,,,,,,
0eeb1d80-ecbb-4ee6-bf7f-7070b4b2e417,928197465,SnowBGM_Name_006,英雄の証：RISE ver.,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,,,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,Proof of a Hero: Rise Version,,,,,,,,Proof of a Hero: Rise Version,,,,,,,,,,,
5f22db99-e956-496a-9f35-272d79e2c8b1,2439211101,SnowBGM_Name_007,神が去りし、廃忘の社,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,,,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,Sanctuary Abandoned by the Gods,,,,,,,,Sanctuary Abandoned by the Gods,,,,,,,,,,,
4d2d42a2-1bf2-4e07-8f31-c3049e8980ea,1417202458,SnowBGM_Name_008,雪風に浮かぶ、龍の墓標,Where Wyverns go to Die,Where Wyverns go to Die,Where Wyverns go to Die,Where Wyverns go to Die,Where Wyverns go to Die,Where Wyverns go to Die,Where Wyverns go to Die,,,Where Wyverns go to Die,Where Wyverns go to Die,Where Wyverns go to Die,Where Wyverns go to Die,,,,,,,,Where Wyverns go to Die,,,,,,,,,,,
