guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
3998eb7c-e535-4fe8-9c58-b3e6796f9653,3174029194,Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_00
a7eb2b46-58f9-476b-89aa-b308504a89b6,1288368868,Stage_Name_01,大社跡,Shrine Ruins,Temple oublié,Rovine sacre,Heilige Ruinen,Templo olvidado,Руины святилища,Ruiny Świątynne,,,Ruínas do Templo,사원 폐허,大社遺跡,废神社,,,,,,,,أطلال الضريح,,,,,,,,,,,
b470ea42-b4de-4ee1-9760-52c3ffe50ac7,3335415428,Stage_Name_02,砂原,Sandy Plains,Plaines de sable,Piane sabbiose,Sandebene,Llanos arenosos,Песчаные равнины,Równiny Piasku,,,Planície Arenosa,모래 평원,沙原,沙原,,,,,,,,السهول الرملية,,,,,,,,,,,
bcd02163-287d-46d3-b872-f0788ddc8097,2046555645,Stage_Name_03,水没林,Flooded Forest,Forêt inondée,Foresta inondata,Flutwald,Bosque inundado,Затопленный лес,Zatopiony Las,,,Selva Inundada,수몰된 숲,水沒林,水没林,,,,,,,,الغابة الغارقة,,,,,,,,,,,
8a3a3e0f-3462-4770-9e9e-953e7a02e579,3132348627,Stage_Name_04,寒冷群島,Frost Islands,Archipel de glace,Isole ghiacciate,Frostinseln,Islas heladas,Морозные острова,Wyspy Mroźne,,,Ilhas Gélidas,한랭 군도,寒冷群島,冰封群岛,,,,,,,,الجُزر الثلجية,,,,,,,,,,,
4fbcc28e-841d-4392-9e7e-826f663c70e7,4019687954,Stage_Name_05,溶岩洞,Lava Caverns,Cavernes de lave,Caverne laviche,Lavahöhlen,Grutas de lava,Лавовые пещеры,Jaskinie Lawy,,,Cavernas de Lava,용암 동굴,熔岩洞,熔岩洞,,,,,,,,كهوف الحمم,,,,,,,,,,,
e373fc79-e617-450c-adcf-50bb6061cd58,3835247782,Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06,<COLOR FF0000>#Rejected#</COLOR> Stage_Name_06
37000443-e7a6-4342-a488-1c918f9b3654,2928568087,Stage_Name_07,翡葉の砦,Red Stronghold,Forteresse rouge,Fortezza rossa,Rote Festung,Fortaleza roja,Красная Твердыня,Czerwona Twierdza,,,Fortaleza Vermelha,비취잎의 요새,翡葉要塞,翡叶要塞,,,,,,,,القلعة الحمراء,,,,,,,,,,,
68bc482e-f364-41aa-a6ec-7f7532be2481,623604906,Stage_Name_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8312225f-ec3d-424c-a132-a13dd647910b,2213175436,Stage_Name_09,獄泉郷,Infernal Springs,Sources infernales,Sorgenti infern.,Höllenquellen,Fuente infernal,Адские ручьи,Piekielne Źródła,,,Fontes Infernais,옥천향,獄泉鄉,狱泉乡,,,,,,,,الينابيع الجهنمية,,,,,,,,,,,
e68834a2-d117-4b2b-baca-af548f9f2405,1760436847,Stage_Name_10,闘技場,Arena,Arène,Arena,Arena,Arena,Арена,Arena,,,Arena,격투장,鬥技場,斗技场,,,,,,,,الساحة,,,,,,,,,,,
ae95cd37-d13a-4487-9e64-7ce424f1b842,1456508352,Stage_Name_11,龍宮砦跡,Coral Palace,Palais de coraux,Palazzo coral.,Korallenpalast,Palacio coralino,Дворец кораллов,Koralowy Pałac,,,Palácio Coralino,용궁성터,龍宮要塞遺跡,龙宫古城,,,,,,,,قصر المرجان,,,,,,,,,,,
