guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
31d9ac69-d1fc-4035-b1ed-126e5dd6a598,1848767950,PlayerSwitchAction_084_CommandHud_Status,<ICON PAD_X>・<ICON PAD_A>・<ICON PAD_X>＋<ICON PAD_A>,<ICON PAD_X_LONG> or <ICON PAD_A> or <ICON PAD_X>+<ICON PAD_A>,<ICON PAD_X_LONG> ou <ICON PAD_A> ou <ICON PAD_X>+<ICON PAD_A>,<ICON PAD_X_LONG> o <ICON PAD_A> o <ICON PAD_X> + <ICON PAD_A>,<ICON PAD_X_LONG> oder <ICON PAD_A> oder <ICON PAD_X>+<ICON PAD_A>,<ICON PAD_X_LONG> o <ICON PAD_A> o <ICON PAD_X> + <ICON PAD_A>,<ICON PAD_X_LONG> или <ICON PAD_A> или <ICON PAD_X>+<ICON PAD_A>,<ICON PAD_X_LONG> lub <ICON PAD_A> lub <ICON PAD_X> + <ICON PAD_A>,,,<ICON PAD_X_LONG> ou <ICON PAD_A> ou <ICON PAD_X>+<ICON PAD_A>,<ICON PAD_X>・<ICON PAD_A>・<ICON PAD_X>＋<ICON PAD_A>,<ICON PAD_X>/<ICON PAD_A>/<ICON PAD_X>+<ICON PAD_A>,<ICON PAD_X>・<ICON PAD_A>・<ICON PAD_X>+<ICON PAD_A>,,,,,,,,<ICON PAD_X_LONG> أو <ICON PAD_A> أو <ICON PAD_X>+<ICON PAD_A> ,,,,,,,,,,,
0d3a7cf2-c83f-4f47-976b-d1e2a6123451,2075768899,PlayerSwitchAction_085_CommandHud_Status,<ICON PAD_X>・<ICON PAD_A>・<ICON PAD_X>＋<ICON PAD_A>,<ICON PAD_X> or <ICON PAD_A> or <ICON PAD_X>+<ICON PAD_A> x3,<ICON PAD_X> ou <ICON PAD_A> ou <ICON PAD_X>+<ICON PAD_A> x3,<ICON PAD_X> o <ICON PAD_A> o <ICON PAD_X> + <ICON PAD_A> x3,<ICON PAD_X> oder <ICON PAD_A> oder <ICON PAD_X>+<ICON PAD_A> x3,<ICON PAD_X> o <ICON PAD_A> o <ICON PAD_X> + <ICON PAD_A> x3,<ICON PAD_X> или <ICON PAD_A> или <ICON PAD_X>+<ICON PAD_A> x3,<ICON PAD_X> lub <ICON PAD_A> lub <ICON PAD_X> + <ICON PAD_A> x3,,,<ICON PAD_X> ou <ICON PAD_A> ou <ICON PAD_X>+<ICON PAD_A> x3,<ICON PAD_X>・<ICON PAD_A>・<ICON PAD_X>＋<ICON PAD_A>,<ICON PAD_X>/<ICON PAD_A>/<ICON PAD_X>+<ICON PAD_A>,<ICON PAD_X>・<ICON PAD_A>・<ICON PAD_X>+<ICON PAD_A>,,,,,,,,<ICON PAD_X> أو <ICON PAD_A> أو <ICON PAD_X>+<ICON PAD_A> x3,,,,,,,,,,,
55308371-cfad-4617-9308-ad333598b260,1316134749,PlayerSwitchAction_000_CommandHud_Status,溜め中<ICON PAD_A>,<ICON PAD_A> (While charging),<ICON PAD_A> (En chargeant),<ICON PAD_A> (durante la carica),<ICON PAD_A> (beim Aufladen),<ICON PAD_A> (mientras cargas),<ICON PAD_A> (В процессе зарядки),<ICON PAD_A> (Podczas ładowania),,,<ICON PAD_A> (Energizando),모으기 중 <ICON PAD_A>,蓄力時<ICON PAD_A>,蓄力中<ICON PAD_A>,,,,,,,,<ICON PAD_A> (خلال الشحن),,,,,,,,,,,
bbbf0600-d1f3-4b25-b9b9-638d19469caa,1370614082,PlayerSwitchAction_001_CommandHud_Status,溜め中<ICON PAD_A>,<ICON PAD_A> (While charging),<ICON PAD_A> (En chargeant),<ICON PAD_A> (durante la carica),<ICON PAD_A> (beim Aufladen),<ICON PAD_A> (mientras cargas),<ICON PAD_A> (В процессе зарядки),<ICON PAD_A> (Podczas ładowania),,,<ICON PAD_A> (Energizando),모으기 중 <ICON PAD_A>,蓄力時<ICON PAD_A>,蓄力中<ICON PAD_A>,,,,,,,,<ICON PAD_A> (خلال الشحن),,,,,,,,,,,
a6128129-5972-4b1c-9323-3a329a1b05c9,2277134595,PlayerSwitchAction_004_CommandHud_Status,強溜め斬り後<ICON ANALOG_LS>＋<ICON PAD_X>,<ICON ANALOG_LS>+<ICON PAD_X> (After Strong Charged Slash),<ICON ANALOG_LS>+<ICON PAD_X> (après Attaque chargée puissante),<ICON ANALOG_LS> + <ICON PAD_X> (dopo gran fend. car.),<ICON ANALOG_LS>+<ICON PAD_X> (nach einem Starken Aufgeladenen Hieb),<ICON ANALOG_LS> + <ICON PAD_X> (tras tajo cargado fuerte),<ICON ANALOG_LS>+<ICON PAD_X> (после сил. зар. удара),<ICON ANALOG_LS> + <ICON PAD_X> (Po sil. naład. cięciu),,,<ICON ANALOG_LS>+<ICON PAD_X> (Após Corte Energ. Forte),강 모아베기 후 <ICON ANALOG_LS>+<ICON PAD_X>,強蓄力斬後按下<ICON ANALOG_LS>+<ICON PAD_X>,强蓄力斩后<ICON ANALOG_LS>+<ICON PAD_X>,,,,,,,,<ICON ANALOG_LS>+<ICON PAD_X> (بعد ضربة قاطعة مشحونة قوية),,,,,,,,,,,
b79c4b6f-66aa-45df-9c13-ea9024d1be15,3410284222,PlayerSwitchAction_005_CommandHud_Status,強溜め斬り後<ICON ANALOG_LS>＋<ICON PAD_X>,<ICON ANALOG_LS>+<ICON PAD_X> (After Strong Charged Slash),<ICON ANALOG_LS>+<ICON PAD_X> (après Attaque chargée puissante),<ICON ANALOG_LS> + <ICON PAD_X> (dopo gran fend. car.),<ICON ANALOG_LS>+<ICON PAD_X> (nach einem Starken Aufgeladenen Hieb),<ICON ANALOG_LS> + <ICON PAD_X> (tras tajo cargado fuerte),<ICON ANALOG_LS>+<ICON PAD_X> (после сил. зар. удара),<ICON ANALOG_LS> + <ICON PAD_X> (Po sil. naład. cięciu),,,<ICON ANALOG_LS>+<ICON PAD_X> (Após Corte Energ. Forte),강 모아베기 후 <ICON ANALOG_LS>+<ICON PAD_X>,強蓄力斬後按下<ICON ANALOG_LS>+<ICON PAD_X>,强蓄力斩后<ICON ANALOG_LS>+<ICON PAD_X>,,,,,,,,<ICON ANALOG_LS>+<ICON PAD_X> (بعد ضربة قاطعة مشحونة قوية),,,,,,,,,,,
6635067c-b9ea-4bda-b267-1e6fb5603a89,259170244,PlayerSwitchAction_006_CommandHud_Status,地上で抜刀攻撃,Draw weapon (on ground),Dégainer (au sol),Estrai arma (a terra),Waffe ziehen (am Boden),Desenvainar arma (en el suelo),Достать оружие (на земле),Dobądź broni (na ziemi),,,Empunhar arma (no chão),지상에서 발도 공격,在地面上發動拔刀攻擊,在地面上拔刀攻击,,,,,,,,إشهار السلاح (على أرض المعركة),,,,,,,,,,,
3657fb76-dab3-460b-934e-079c04234e36,1708868421,PlayerSwitchAction_007_CommandHud_Status,地上で抜刀攻撃,Draw weapon (on ground),Dégainer (au sol),Estrai arma (a terra),Waffe ziehen (am Boden),Desenvainar arma (en el suelo),Достать оружие (на земле),Dobądź broni (na ziemi),,,Empunhar arma (no chão),지상에서 발도 공격,在地面上發動拔刀攻擊,在地面上拔刀攻击,,,,,,,,إشهار السلاح (على أرض المعركة),,,,,,,,,,,
8a3c1c23-f839-47a7-8de9-2b690e851a37,2836335848,PlayerSwitchAction_010_CommandHud_Status,気刃斬りⅡ後<OPT Blader_ZR>,<OPT Blader_ZR> (After Spirit Blade II),<OPT Blader_ZR> (après Attaque spirituelle II),<OPT Blader_ZR> (dopo lama spirito II),<OPT Blader_ZR> (nach Elanklinge II),<OPT Blader_ZR> (tras espada espiritual II),<OPT Blader_ZR> (после Духовного клинка 2),<OPT Blader_ZR> (Po ostrzu ducha II),,,<OPT Blader_ZR> (Após Lâmina Espiritual II),"기인베기Ⅱ 후, <OPT Blader_ZR>",氣刃斬Ⅱ後按下<OPT Blader_ZR>,气刃斩Ⅱ后，<OPT Blader_ZR>,,,,,,,,<OPT Blader_ZR> بعد نصل الروح 2,,,,,,,,,,,
420a00e5-a822-4336-ba3d-37e405366c74,3731616094,PlayerSwitchAction_011_CommandHud_Status,気刃斬りⅡ後<OPT Blader_ZR>,<OPT Blader_ZR> (After Spirit Blade II),<OPT Blader_ZR> (après Attaque spirituelle II),<OPT Blader_ZR> (dopo lama spirito II),<OPT Blader_ZR> (nach Elanklinge II),<OPT Blader_ZR> (tras espada espiritual II),<OPT Blader_ZR> (после Духовного клинка 2),<OPT Blader_ZR> (Po ostrzu ducha II),,,<OPT Blader_ZR> (Após Lâmina Espiritual II),"기인베기Ⅱ 후, <OPT Blader_ZR>",氣刃斬Ⅱ後按下<OPT Blader_ZR>,气刃斩Ⅱ后，<OPT Blader_ZR>,,,,,,,,<OPT Blader_ZR> بعد نصل الروح 2,,,,,,,,,,,
