guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
be055b47-c5f4-42a0-9bbc-d808b478d303,267787898,TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head,<COLOR FF0000>#Rejected#</COLOR> TU_Name_Head
0c20169f-d191-46b8-9109-522f9607178c,2463495762,TU_Name_110,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,,,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,MONSTER HUNTER RISE Ver.1.1.1,,,,,,,,MONSTER HUNTER RISE Ver.1.1.1,,,,,,,,,,,
07f0c41d-c0d6-4d1a-a680-cd1f71c07b4d,352489355,TU_Name_200,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,,,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,MONSTER HUNTER RISE Ver.2.0.0,,,,,,,,MONSTER HUNTER RISE Ver.2.0.0,,,,,,,,,,,
89d9dd59-f877-4ace-9158-60bf686b64e3,357330318,TU_Name_300,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,,,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,MONSTER HUNTER RISE Ver.3.0.0,,,,,,,,MONSTER HUNTER RISE Ver.3.0.0,,,,,,,,,,,
91c17415-de44-4a00-b117-32d1c93b627f,1457600062,TU_Name_310,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,,,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,MONSTER HUNTER RISE Ver.3.1.0,,,,,,,,MONSTER HUNTER RISE Ver.3.1.0,,,,,,,,,,,
fa80514d-3150-4c97-badc-4ed4f9eb9f6c,3164702602,TU_Name_320,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,,,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,MONSTER HUNTER RISE Ver.3.2.0,,,,,,,,MONSTER HUNTER RISE Ver.3.2.0,,,,,,,,,,,
0826ff31-89ce-4fbd-ae4c-6bfb789685cb,2125001073,TU_Name_330,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,,,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,MONSTER HUNTER RISE Ver.3.3.0,,,,,,,,MONSTER HUNTER RISE Ver.3.3.0,,,,,,,,,,,
8f47c42a-7816-447c-a461-fa332b38e63f,2655952264,TU_Name_340,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,,,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,MONSTER HUNTER RISE Ver.3.4.0,,,,,,,,MONSTER HUNTER RISE Ver.3.4.0,,,,,,,,,,,
5f42ec0e-2084-49ff-b3fc-aaabe6a2dd2b,1122663286,TU_Name_350,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,,,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,MONSTER HUNTER RISE Ver.3.5.0,,,,,,,,MONSTER HUNTER RISE Ver.3.5.0,,,,,,,,,,,
8395e47c-0977-4ecc-b856-430a2c0a6ed0,3158555518,TU_Name_360,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,,,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,MONSTER HUNTER RISE Ver.3.6.0,,,,,,,,MONSTER HUNTER RISE Ver.3.6.0,,,,,,,,,,,
