guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
318ae64c-a874-4623-8df5-361a3b882da9,2413017256,EnemyIndex000,リオレイア,Rathian,Rathian,Rathian,Rathian,Rathian,Ратиана,Rathiana,,,Rathian,리오레이아,雌火龍,雌火龙,,,,,,,,راثيان,,,,,,,,,,,
424b9282-aa92-4db8-99c2-849271470944,2605552327,EnemyIndex001,ヌシ・リオレイア,Apex Rathian,Rathian supérieure,Rathian Apex,Apex-Rathian,Rathian Apex,Высшая Ратиана,Apeks Rathiana,,,Rathian Alfa,주인 리오레이아,首領雌火龍,霸主・雌火龙,,,,,,,,الوحش العلوي راثيان,,,,,,,,,,,
b5f1d29d-4398-4a1c-8a2d-95e08327e262,3851890110,EnemyIndex002,リオレウス,Rathalos,Rathalos,Rathalos,Rathalos,Rathalos,Раталос,Rathalos,,,Rathalos,리오레우스,火龍,火龙,,,,,,,,راذالوس,,,,,,,,,,,
d1b36351-770c-48fe-bc62-a7feaaac897d,3204971331,EnemyIndex003,ヌシ・リオレウス,Apex Rathalos,Rathalos supérieur,Rathalos Apex,Apex-Rathalos,Rathalos Apex,Высший Раталос,Apeks Rathalos,,,Rathalos Alfa,주인 리오레우스,首領火龍,霸主・火龙,,,,,,,,الوحش العلوي راذالوس,,,,,,,,,,,
0a1c0d3e-c25a-4284-8d30-c4833e5ef25d,2217808676,EnemyIndex004,フルフル,Khezu,Khezu,Khezu,Khezu,Khezu,Кезу,Khezu,,,Khezu,푸루푸루,奇怪龍,奇怪龙,,,,,,,,خيزو,,,,,,,,,,,
5ef75d46-2c2f-4851-8720-13fa6b15bae5,2354416172,EnemyIndex005,バサルモス,Basarios,Basarios,Basarios,Basarios,Basarios,Базариос,Basarios,,,Basarios,바살모스,岩龍,岩龙,,,,,,,,باساريوس,,,,,,,,,,,
4ed379c1-1508-41ee-ae1b-6d4136c22deb,3475815286,EnemyIndex006,ディアブロス,Diablos,Diablos,Diablos,Diablos,Diablos,Диаблос,Diablos,,,Diablos,디아블로스,角龍,角龙,,,,,,,,ديابلوس,,,,,,,,,,,
8b349cdf-453a-4a49-8aa7-328252ceb61f,3070447102,EnemyIndex007,ヌシ・ディアブロス,Apex Diablos,Diablos supérieur,Diablos Apex,Apex-Diablos,Diablos Apex,Высший Диаблос,Apeks Diablos,,,Diablos Alfa,주인 디아블로스,首領角龍,霸主・角龙,,,,,,,,الوحش العلوي ديابلوس,,,,,,,,,,,
d8f4c547-078a-452e-81d2-6fd103a667b4,1207629492,EnemyIndex008,ラージャン,Rajang,Rajang,Rajang,Rajang,Rajang,Раянг,Rajang,,,Rajang,라잔,金獅子,金狮子,,,,,,,,راجانج,,,,,,,,,,,
b1decfc6-ee88-4069-ab54-c543b0c273b3,3455619000,EnemyIndex009,クシャルダオラ,Kushala Daora,Kushala Daora,Kushala Daora,Kushala Daora,Kushala Daora,Кушала Даора,Kushala Daora,,,Kushala Daora,크샬다오라,鋼龍,钢龙,,,,,,,,كوشالا داورا,,,,,,,,,,,
