guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
a3e10720-5066-41e6-ad2e-b32c3b4f6c8a,2755614963,,,,,ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none,<COLOR FF0000>#Rejected#</COLOR> ID_LOCALTEST_none
d178af60-8d7f-4341-a4bb-38157151926d,2287126630,,,,,ID_LOCALTEST_01,<PL>,<PL>7/22開発,<PL>7/22開発フランス語,<PL>7/22開発イタリア語,<PL>7/22開発ドイツ語,<PL>7/22開発スペイン語,<PL>7/22開発ロシア語,<PL>7/22開発ポーランド語,,,<PL>7/22開発ブラジルポルトガル語,<PL>7/22開発韓国語,<PL>7/22開発繁体字,<PL>7/22開発簡体字,,,,,,,,السيف العظيم<PL>,,,,,,,,,,,
f2826365-52ca-4c83-a8ca-9ae0190845cb,1064902242,,,,,ID_LOCALTEST_02,<ICON PAD_A>,<ICON PAD_A>,,,,<ICON PAD_A>7/22開発英語,,<ICON PAD_A>,,,,<ICON PAD_A>,<ICON PAD_A>7/22開発繁体字,<ICON PAD_A>7/22開発簡体字,,,,,,,,,,,,,,,,,,,
8f59f4a0-3f7e-448f-a0fa-4216ca4dbe64,1989487722,,,,,ID_LOCALTEST_03,{0},,{0},{0},{0},{0},,,,,,,,,,,,,,,,,,,,,,,,,,,
cdc501ab-376b-4984-8e8d-01ec69dc5fbf,922979697,,,,,ID_LOCALTEST_04,<FCAM>,,<FCAM>,<FCAM>,<FCAM>,<FCAM>,,,,,,,,,,,,,,,,,,,,,,,,,,,
bda5810a-aa9b-4c9b-b21b-524737816a6d,3488199357,,,,,ID_LOCALTEST_05,"<CAM:3>百竜夜行のこと、
里の皆に伝えて参りました。",,<CAM:3>,<CAM:3>,<CAM:3>,<CAM:3>,,,,,,,,,,,,,,,,,,,,,,,,,,,
0103ea2c-4f30-4c28-973b-b9a3b6d0b9e4,1665404525,,,,,ID_LOCALTEST_06,<NPC:1>ウム！　ごくろう！,Well done! 7/22a,,,,¡Bien hecho! 22/7a,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a0b670b-4c34-449a-aeba-6a1cd3239605,1966938923,,,,,ID_LOCALTEST_07,<CCAM:〇>,,<CCAM:〇>,<CCAM:〇>,<CCAM:〇>,<CCAM:〇>,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a84273-f5ac-41db-9f5a-22b7634ffaf5,4226324933,,,,,ID_LOCALTEST_08,<NOFAC>天の原、澄み渡って蒼々…。,,<NOFAC>,<NOFAC>,<NOFAC>,<NOFAC>,,,,,,,,,,,,,,,,,,,,,,,,,,,
51115078-caee-43e5-8bd1-a63cf13541a4,2192068804,,,,,ID_LOCALTEST_09,"<RCAM:0.5>それでは、クエストリストを
ひらきますね。",,<RCAM:0.5>,<RCAM:0.5>,<RCAM:0.5>,<RCAM:0.5>,,,,,,,,,,,,,,,,,,,,,,,,,,,
