guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
724f6d51-1029-40a4-897b-d6fb2a35d6eb,211603750,WeaponType_Name_01,大剣,Great Sword,Grande épée,Spadone,Großschwert,Gran espada,Двуручный меч,Miecz dwuręczny,,,Espadão,대검,大劍,大剑,,,,,,,,السيف العظيم,,,,,,,,,,,
9ba24c9b-b371-4154-b854-62dc87d10d02,4053835407,WeaponType_Name_02,太刀,Long Sword,Épée longue,Spada lunga,Langschwert,Espada larga,Бастард,Miecz długi,,,Espada Longa,태도,太刀,太刀,,,,,,,,السيف الطويل,,,,,,,,,,,
8f18721a-23e1-49ae-8c7c-7fd2fd85f1b4,1225252987,WeaponType_Name_03,片手剣,Sword & Shield,Épée et bouclier,Spada e scudo,Schwert & Schild,Espada y escudo,Меч и щит,Miecz i tarcza,,,Espada e Escudo,한손검,單手劍,单手剑,,,,,,,,السيف والترس,,,,,,,,,,,
86fa50ef-e7be-4025-bb41-29872a201881,1466743522,WeaponType_Name_04,双剣,Dual Blades,Lames doubles,Doppie lame,Doppelklingen,Espadas dobles,Два клинка,Bliźniacze ostrza,,,Duplas-Lâminas,쌍검,雙劍,双剑,,,,,,,,النصال المزدوجة,,,,,,,,,,,
55b30928-e71f-446c-81be-37291a9660b8,28102753,WeaponType_Name_05,ランス,Lance,Lance,Lancia,Lanze,Lanza,Копье,Lanca,,,Lança,랜스,長槍,长枪,,,,,,,,الرمح,,,,,,,,,,,
5d142ec3-a6ca-4e9c-a374-c57677db1b5a,737105677,WeaponType_Name_06,ガンランス,Gunlance,Lancecanon,Lancia-fucile,Gewehrlanze,Lanza pistola,Копьепушка,Lancopał,,,Lançarma,건랜스,銃槍,铳枪,,,,,,,,بندقية الرماح,,,,,,,,,,,
51e9cae0-8815-448f-9522-fee9ebdf41b6,2636325506,WeaponType_Name_07,ハンマー,Hammer,Marteau,Martello,Hammer,Martillo,Молот,Młot,,,Martelo,해머,大錘,大锤,,,,,,,,المطرقة,,,,,,,,,,,
831e9b7e-e712-420f-837b-2f9d0d7a3630,4150907065,WeaponType_Name_08,狩猟笛,Hunting Horn,Corne de chasse,Corno da caccia,Jagdhorn,Cornamusa,Охотничий рог,Róg łowiecki,,,Berrante de Caça,수렵피리,狩獵笛,狩猎笛,,,,,,,,قرن الصيد,,,,,,,,,,,
78951ed7-9bf9-4584-b11d-f6b141ebbd6f,4290345775,WeaponType_Name_09,スラッシュアックス,Switch Axe,Morpho-hache,Spadascia,Morph-Axt,Hacha espada,Выкидной топор,Topór sprężynowy,,,Transmachado,슬래시액스,斬擊斧,斩击斧,,,,,,,,فأس السيف,,,,,,,,,,,
450b8fe0-8e76-4a22-b470-8161033891ee,770442602,WeaponType_Name_10,チャージアックス,Charge Blade,Volto-hache,Lama caricata,Energieklinge,Hacha cargada,Силовой клинок,Ładowane ostrze,,,Lâmina Dínamo,차지액스,充能斧,盾斧,,,,,,,,النصل المشحون,,,,,,,,,,,
285d9163-23e9-4113-a838-508a7909a04e,177697634,WeaponType_Name_11,操虫棍,Insect Glaive,Insectoglaive,Falcione insetto,Insektenglefe,Glaive insecto,Глефа насекомых,Owadzia glewia,,,Glaive Inseto,조충곤,操蟲棍,操虫棍,,,,,,,,سيف الحشرة,,,,,,,,,,,
dbef9726-618e-424a-a1ac-eb45a6d9e306,1645098286,WeaponType_Name_12,ライトボウガン,Light Bowgun,Fusarbalète léger,Balestra leggera,Leichtes Bogengewehr,Ballesta ligera,Легкое лукорудие,Lekkie łukodziałko,,,Fuzilarco Leve,라이트보우건,輕弩槍,轻弩炮,,,,,,,,بندقية قوس خفيفة,,,,,,,,,,,
b30cb62e-a0b9-4085-9bdb-005f3eeccb82,3161939394,WeaponType_Name_13,ヘビィボウガン,Heavy Bowgun,Fusarbalète lourd,Balestra pesante,Schweres Bogengewehr,Ballesta pesada,Тяжелое лукорудие,Ciężkie łukodziałko,,,Fuzilarco Pesado,헤비보우건,重弩槍,重弩炮,,,,,,,,بندقية قوس ثقيلة,,,,,,,,,,,
646e0268-9389-4c41-8962-fd5e23a0216c,2095202042,WeaponType_Name_14,弓,Bow,Arc,Arco,Bogen,Arco,Лук,Łuk,,,Arco,활,弓,弓,,,,,,,,القوس,,,,,,,,,,,
