guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
3c0d0023-a9d9-4a4e-913d-ca62e93efc7e,1060802297,evc0501_Text_01,慣れぬ船旅で疲れが出たのでは？,I pray that the seas weren't too rough on you?,La mer n'était pas trop agitée ?,"Spero che il viaggio non sia
stato troppo movimentato.","Ich hoffe, das Meer war nicht zu hart zu dir?",Espero que el mar se haya apiadado de ti.,"Надеюсь, штормы вас не сильно потрепали?","Mam nadzieję, że morze nie dało ci się we znaki.",,,"Espero que o mar não lhe tenha sido
hostil demais.",선박 여행이 익숙지 않아 피곤한가?,你還不習慣海上旅行 會不會有些疲憊？,是不是不习惯坐船，有些累了？,,,,,,,,أتمنى أن أمواج البحار لم تتلاطم بك؟,,,,,,,,,,,
25fd9e0b-2024-4b95-9b2d-8c137a491b5a,575576187,evc0501_Text_02,それは良かった,That's good to hear.,J'en suis ravie.,Me ne compiaccio.,Das hört man gern.,Me alegro de oírlo.,Это радует.,Dobrze to słyszeć.,,,Bom saber.,그건 다행이군,那就好,那就好。,,,,,,,,من الجيد سماع ذلك.,,,,,,,,,,,
f1098d51-62b3-47f4-bdfa-ae05dd4c1b59,806732914,evc0501_Text_03,間もなく到着するぞ,We shall be in port soon.,On va bientôt arriver au port.,Presto arriveremo nel porto.,Wir sind bald im Hafen.,Pronto arribaremos a puerto.,Скоро мы прибудем в порт.,Wkrótce będziemy w porcie.,,,Estaremos no porto em breve.,곧 도착한다,馬上就要到了,马上就要到了。,,,,,,,,سنكون في الميناء قريبًا.,,,,,,,,,,,
572290af-41d6-4aa4-9370-841905872fb2,3726286870,evc0501_Text_04,私たちの拠点 エルガドだ,This is our Outpost... Elgado.,Voilà notre Avant-poste... Elgado.,Questo è il nostro avamposto: Elgado.,Das ist unser Außenposten... Elgado.,Elgado... esta es nuestra avanzadilla.,Это наш аванпост... Элгадо.,To nasz posterunek... Elgado.,,,Este é o nosso posto avançado... Elgado.,우리의 거점 엘가도야,那裡就是我們的據點 艾爾卡多,这是我们的据点，埃尔迦德。,,,,,,,,هذا هو مخفرنا... إلجادو.,,,,,,,,,,,
7f9f0886-4ae9-4c63-bb6a-c5c43995c18d,3120854045,evc0501_Text_05,気に入ってもらえたようだな,"Well, what do you think?",Qu'est-ce que t'en penses ?,"Allora, che ne pensi?","Nun, was sagst du?","Y bien, ¿qué te parece?","Ну, что думаете?",Jak ci się podoba?,,,"E então, o que você acha?",마음에 든 모양이군,看來你並不討厭這裡,看来你挺喜欢这里呢。,,,,,,,,حسنًا، ما رأيك؟,,,,,,,,,,,
91b6e3ea-c1f8-4b2f-9ecc-d78625d83ec2,610866703,evc0501_Text_06,ゆっくりと案内したいところだが…,I'd be honored to give you the full tour...,Je serais ravie de te faire visiter...,"Sarebbe un onore farti fare un giro,",Ich mache gerne die komplette Tour...,Me encantaría enseñarte este lugar.,Почту за честь все вам здесь показать...,Z przyjemnością cię oprowadzę...,,,Eu adoraria lhe mostrar o lugar todo...,천천히 안내해 주고 싶다만…,雖然我很想帶你慢慢參觀……,虽然想带你好好转转……,,,,,,,,يشرفني أن أصحبك في جولة كاملة...,,,,,,,,,,,
15ec3536-14fa-4480-8975-cdebb2b4c33a,2836435686,evc0501_Text_07,先に紹介したい方がいる 行こうか,"But there is someone who wishes to meet you.
Let's go.","Mais il y a quelqu'un qui veut te voir.
Suis-moi.","ma c'è qualcuno che vuole incontrarti.
Andiamo.","Aber da will dich jemand sehen.
Gehen wir.","Pero hay alguien que quiere conocerte.
Ven conmigo.","Кое-кто желает с вами увидеться.
Идемте.","Ale jest ktoś, kto chce cię poznać.
Chodźmy.",,,"Mas tem alguém que deseja vê-<LSNR {lo} {la}>.
Vamos.",그 전에 소개할 분이 있다. 함께 가자,但我想先介紹一個人給你 走吧,但我想先介绍一个人给你认识。走吧。,,,,,,,,"لكن هناك من يرغب في مقابلتك.
لنذهب.",,,,,,,,,,,
19703fdb-76ff-4397-823d-3eb4019d923f,4240635034,evc0501_Text_08,この拠点のリーダー ガレアス提督だ,"This is Admiral Galleus, our leader.","Voici notre chef, l'amiral Galleus.","Lui è l'ammiraglio Galleus,
il nostro capo.","Das ist Admiral Galleus, unser Anführer.","Este es el almirante Galleus, nuestro líder.","Это адмирал Галлеус, наш лидер.","To Admirał Galleus, nasz przywódca.",,,"Este é o Almirante Galleus, nosso líder.",이 거점의 리더 갈레아스 제독님이다,他是加雷亞斯提督 是這個據點的領袖,这位就是这座据点的领导者，加雷亚斯提督。,,,,,,,,هذا هو الأدميرال جاليوس، قائدنا.,,,,,,,,,,,
1104f017-d6b2-43e9-b62a-73f949f18c7d,1760156495,evc0501_Text_09,さあ 紹介しよう,Allow me to introduce you.,Permets-moi de te présenter.,Permettimi di presentarti.,Lass mich dich vorstellen.,Permitidme que os presente.,"Позвольте, я вас представлю!","Pozwól, że cię przedstawię.",,,Permita-me apresentá-lo.,"자, 소개하지",我來介紹一下吧,我来介绍一下吧。,,,,,,,,اسمح لي بتقديمك.,,,,,,,,,,,
9c287a39-58b4-4c03-8c8c-d63eb0743aea,2145243424,evc0501_Text_10,…うむ,*acknowledging grumble*,*grommellement*,"Hem, hem...",*anerkennendes Grummeln*,Mmm... Ajá...,*приветственный хмык*,Ahem..,,,*Resmungo de reconhecimento*,…흠,……嗯,……嗯。,,,,,,,,*قبول بتذمر*,,,,,,,,,,,
79e86dbf-61d4-4e42-af21-14252c6bea68,2347185707,evc0501_Text_11,カムラよりハンターをお連れしました,I present the hunter from Kamura.,Je vous présente <LSNR {le chasseur}{la chasseuse}> de Kamura.,Ecco <LSNR {il cacciatore} {la cacciatrice}> di Kamura.,Ich präsentiere <LSNR {den Jäger} {die Jägerin}> aus Kamura.,Te presento <LSNR {al cazador} {a la cazadora}> de Kamura.,Это охотник из Камуры.,Poznaj <LSNR {łowcę} {łowczynię}> z Kamury.,,,Eu lhe apresento <LSNR {o caçador} {a caçadora}> de Kamura.,카무라에서 헌터를 데려왔습니다,我從神火村把獵人帶過來了,我从炎火村带猎人过来了。,,,,,,,,أقدم لك الصياد من كامورا.,,,,,,,,,,,
a47a8995-2cfd-4f43-81c1-b052bd96bc83,1711134078,evc0501_Text_12,歓迎する,Humble greetings.,Salutations.,I miei omaggi.,Sei gegrüßt.,Mis más humildes salutaciones.,Мое почтение.,Moje uszanowanie.,,,Minhas humildes saudações.,환영한다,歡迎,欢迎。,,,,,,,,تحياتي المتواضعة.,,,,,,,,,,,
