guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
0126048c-2d3d-4a0b-b16a-8564ee8868ae,991028326,evc2005_Text_01,故郷を護る、堅固の要塞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5d36b8c-c9e3-41b5-837c-6c8b76dcfd1e,3359010954,evc2005_Text_02,百竜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839794b2-bcd4-40eb-97cd-6d68129ad73e,3822357473,evc2005_Text_03,来たれり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207e6bf0-43d3-4032-8c7b-b87cd24fcafe,3423893065,evc2005_Text_04,いざ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79075d3c-aeab-4ffd-bda3-732ded94d30d,2864262137,evc2005_Text_05,気焔万丈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970fde11-908f-4fb1-8eb2-3d6fc418b07f,175652232,evc2005_Text_06,我らが牙城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727308aa-a46e-45ec-b64a-d15b0ab0c931,934913146,evc2005_Text_07,不抜なり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e089ec34-d60f-42d9-ba9d-fccbcdc9ee2c,2156988452,evc2005_Text_01_Loca,,Last Line of Defense,Dernière ligne de défense,Ultimo confine di difesa,Letzte Verteidigungslinie,El último bastión,Последний рубеж обороны,Ostatnia linia obrony,,,Última Linha de Defesa,고향을 지키는 견고한 요새,守護故鄉的堅固堡壘,庇护故乡 坚固要塞,,,,,,,,في خط الدفاع الأخير,,,,,,,,,,,
f46e150d-d9c3-48a5-9588-ce07f785cfc4,208134900,evc2005_Text_02_Loca,,Red Stronghold,Forteresse rouge,Fortezza rossa,Rote Festung,Fortaleza roja,Красная Твердыня,Czerwona Twierdza,,,Fortaleza Vermelha,비취잎의 요새,翡葉要塞,翡叶要塞,,,,,,,,القلعة الحمراء,,,,,,,,,,,
fac3cf36-77eb-48f8-bf9b-14de8170aa47,1898507352,evc2005_Text_03_Loca,,The Rampage is here,"La Calamité nous assaille
Pour semer la pagaille",La furia è giunta,Die Randale steht vor dem Tor,El Frenesí es inminente,"Буйство явилось к нам,",Furia u wrót,,,O Frenesi está aqui,백룡이 왔도다,百龍近在眼前,百龙来袭,,,,,,,,الغضب العارم هنا,,,,,,,,,,,
e4415726-9d8b-4083-b421-136eed558f68,4293638519,evc2005_Text_04_Loca,,But there's nothing to fear,"Mais il ne sert à rien d'avoir peur
Face à ce malheur",Ma non aver paura,Furchtlos heben wir den Blick empor,Pero que no te ahuyente,Но страху пути я не дам.,Lecz próżny jej trud,,,Mas não há por que fugir,"자, 기염만장",奮戰之時已至　戰士氣勢如虹,光焰万丈,,,,,,,,ولكن لا شيء يخيفنا,,,,,,,,,,,
65f72168-cb3f-403f-b86f-0806e801295a,3297313189,evc2005_Text_05_Loca,,"We have our trusty fortress
And its defense is top tier","Car notre Forteresse est là
Pour nous protéger lors du combat","La fortezza inespugnabile ci difende
da ogni entità oscura","Im Schutz unserer Festung
Sind wir sicher wie nie zuvor","Nuestra vieja fortaleza
Resguardará a su gente","У нас наша верная крепость,
Она не сдастся врагам.","Mocne ma mury
Nasz obronny gród",,,"Nossa fortaleza permanece firme
E nossa defesa é de alto calibre",우리의 아성은 철벽과도 같으리,吾等即為固若金湯之牙城,牙城拒战 不移不拔,,,,,,,,"لدينا حصن منيع
ودفاعه أمام الخصم شنيع",,,,,,,,,,,
