guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,<HunterRank>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkAction1>,<TalkAction1Param>,<TalkAction1Comment>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,<TalkAction2Comment>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
969744c5-1f37-41b2-9070-11241799c6f6,1849460422,ページ属性,会話属性,村進行度,集会所進行度,必要ハンターランク,会話タグ1,会話タグ1パラメータ,会話タグ1コメント,会話タグ2,会話タグ2パラメータ,会話タグ2コメント,会話タグ3,会話タグ3パラメータ,会話タグ3コメント,会話タグ4,会話タグ4パラメータ,会話タグ4コメント,会話タグ5,会話タグ5パラメータ,会話タグ5コメント,会話タグ6,会話タグ6パラメータ,会話タグ6コメント,会話タグ7,会話タグ7パラメータ,会話タグ7コメント,会話タグ8,会話タグ8パラメータ,会話タグ8コメント,会話タグ9,会話タグ9パラメータ,会話タグ9コメント,会話アクション1,会話アクション1パラメータ,会話アクション1コメント,会話アクション2,会話アクション2パラメータ,会話アクション2パラメータ2,会話アクション2コメント,nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR,<COLOR FF0000>#Rejected#</COLOR> nid003_MR
df7897bb-0ed1-45a5-b612-15b671af49b8,1865497396,会話終了,会話フキダシ(赤),,,,この会話フラグがONなら→,EV_PRO_MR_004_02_01,,この会話フラグがOFFなら→,EV_PRO_MR_004_03_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_hukidashi,不穏…ですな。,"Oh, my...",Oh...,Oh cielo...,Meine Güte...,"Vaya, hombre...",Ого...,"O, rany...",,,"Ah, céus...",불길…하군요,似乎有些危險啊。,不太平呢……,,,,,,,,يا إلهي...,,,,,,,,,,,
cbf9e412-6527-4a5c-b14f-c2511f256ba9,278063853,,重要会話(進行),,,,この会話フラグがONなら→,EV_PRO_MR_004_02_01,,この会話フラグがOFFなら→,EV_PRO_MR_004_03_01,,,,,,,,,,,,,,,,,,,,,,,会話フラグを「ON」→,EV_PRO_MR_004_03_01,,,,,,nid003_MR_mr4_003_001,"<NOFAC>おかえりなさいませ、<PL>殿。
「えるがど」での生活はいかがですかな？","<NOFAC>Welcome home, <PL>.
I trust your hunting life is prospering in Elgado.","<NOFAC>Bienvenue chez vous, <PL>.
J'imagine que la chasse est fructueuse
à Elgado.","<NOFAC><LSNR {Bentornato} {Bentornata}> a casa, <PL>.
Immagino che la tua attività di caccia
sia fiorente a Elgado.","<NOFAC>Willkommen zu Hause, <PL>.
Ich vermute, dass Euer Jägerleben in
Elgado gut verläuft.","<NOFAC><LSNR {Bienvenido} {Bienvenida}> a casa, <PL>.
Supongo que estarás prosperando como
<LSNR {cazador} {cazadora}> en Elgado.","<NOFAC>С возвращением, <PL>.
Надеюсь, на охоте в Элгадо
вам сопутствует удача.","<NOFAC>Witaj w domu, <PL>. Mam
nadzieję, że dobrze ci się wiedzie w Elgado.",,,"<NOFAC><LSNR {Bem-vindo} {Bem-vinda}> ao lar, <PL>.
Imagino que sua vida de caça siga
próspera em Elgado.","<NOFAC>어서 오십시오, <PL> 공.
「엘가도」에서의 생활은 어떠신지요?","<NOFAC>歡迎回來，<PL>大人。
在「艾爾卡多」的生活還順利嗎？","<NOFAC>欢迎回来，<PL>。
您在那个“埃尔迦德”过得如何？",,,,,,,,"<NOFAC>مرحبًا <LSNR {بعودتك} {بعودتكِ}> يا <PL>.
أظن أن رحلات <LSNR {صيدك} {صيدكِ}> تزدهر في إلجادو.",,,,,,,,,,,
d0795469-b67a-4955-9483-9b985d51565c,4085873313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_002,"…………ほう。ろんでいぬ殿の姉上、
「ひおれいね殿」が倒れてしまったと…。
それは、一大事ですな。","I heard that ""Rondayne's"" sister, ""Fjordine,""
was injured. Perhaps you have paid me a visit
to ask me about a certain someone, yes?","Il paraît que Fjordine, la sœur de Rondayne,
a été blessée. Vous voulez peut-être en
savoir plus sur une certaine personne ?","Ho sentito che ""Fjordine"", la sorella
di ""Rondayne"", è stata ferita. Sei qui per
chiedermi notizie su una certa persona?","""Rondaynes"" Schwester ""Fjordine"" soll
verletzt sein. Vielleicht habt Ihr mich
besucht, um nach jemandem zu fragen, ja?","Me han dicho que ""Fjordine"", la hermana
de ""Rondayne"", resultó herida. Tú vienes a
preguntarme por cierta persona, ¿verdad?","Говорят, сестра Рондэйны, Фйордина,
слегла. Может, вы здесь, чтобы навести
справки о ком-то конкретно, а?","Słyszałem, że „Fjordine”, siostra
„Rondayne”, została zraniona.
Czy chcesz mnie zapytać o kogoś?",,,"Soube que a irmã de ""Rondayne"",
""Fjordine"", se feriu. Sua visita deve ser
para perguntar sobre um certo alguém.","…………호오. 론디네 공의 언니,
「피오레네 공」이 쓰러지셨다니…
그것참 큰일이군요.","哦……隆蒂尼大人的姐姐，
菲歐莉尼大人負傷了啊……
那可真是嚴重。","……哦。罗德娜的姐姐，菲奥莱娜小姐
居然昏倒了……这可不得了啊。",,,,,,,,"سمعت أن أخت ""رونداين""، ""فيوردين""،
تعرضت للإصابة. ربما زرتني
<LSNR {لتسألني} {لتسأليني}> عن شخص معين، أليس كذلك؟",,,,,,,,,,,
98e7a214-6ef5-4710-963d-48cdb061314c,3908029524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_003,"おっしゃる通り、<COLS RED>薬師のタドリ</COL>は
それがしの友。故郷が滅びた十数年前、
共に生き延びた数少ない仲間のひとりです。","<COLS RED>Doctor Tadori</COL> is a dear friend of mine.
He is one of the few who survived
the destruction of my homeland.","<COLS RED>Docteur Tadori</COL> est un très bon ami.
C'est l'un des rares à avoir survécu
à la destruction de mon pays.","Il <COLS RED>dottor Tadori</COL> è un mio caro amico.
È uno dei pochi sopravvissuti alla
distruzione della mia città.","<COLS RED>Tadori</COL> ist ein guter Freund von mir.
Er ist einer der wenigen, der die
Zerstörung meiner Heimat überlebt hat.","El <COLS RED>doctor Tadori</COL> es un buen amigo mío.
Es uno de los pocos que sobrevivieron
a la destrucción de nuestra aldea.","<COLS RED>Доктор Тадори</COL> мой хороший друг.
Он один из немногих, кто выжил
после разрушения моего родного края.","<COLS RED>Doktor Tadori</COL> to mój drogi przyjaciel.
Jeden z niewielu ocalałych
po zniszczeniu mojej ojczyzny.",,,"<COLS RED>O Doutor Tadori</COL> é um prezado amigo meu.
Um dos poucos sobreviventes da
destruição da minha aldeia natal.","말씀하신 대로 <COLS RED>약사 타도리</COL>는 본인의
벗입니다. 고향이 멸망하기 십수 년 전,
함께 살아남은 몇 안 되는 동료이지요.","如您所說，<COLS RED>溯藥師</COL>是敝人的朋友。
敝人的故鄉於十幾年前便已毀滅，
他是少數存活下來的同伴之一。","正如您所说，<COLS RED>游方医沿大夫</COL>是在下的好友。
十几年前，我们的故乡被毁，他是少数的
幸存者之一，也是我的同伴。",,,,,,,,"<COLS RED>الطبيب تادوري</COL> هو صديقي العزيز.
وهو واحد من القلائل الذين نجوا
عندما تدمَّرت بلدتي.",,,,,,,,,,,
77ed3d9a-fc08-4360-891f-e03c3e754a1d,4108874575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_004,"以来、手紙のやり取りはしていますが…
タドリはもともと薬の材料を求めて各地を
旅する人物ゆえ、会えてはおりませぬ。","Since then, we've only spoken through letter.
He's never in one place for very long and
is often out procuring herbs for medicine.","Depuis, on ne correspond que par lettres.
Il parcourt sans cesse le monde à la recherche
d'herbes médicinales.","Da allora comunichiamo soltanto per lettera.
Non è mai nello stesso posto a lungo ed è
spesso in cerca di erbe per i suoi medicinali.","Seitdem haben wir nur per Brief kommuniziert.
Er ist nie lange an einem Ort und oft draußen,
um sich Kräuter für Medizin zu sichern.","Desde entonces, solo nos comunicamos por carta.
No se queda nunca en ningún sitio: siempre está
en busca de hierbas para hacer medicinas.","С тех пор мы лишь писали друг другу,
ведь он странствует по миру
в поисках лекарственных трав.","Od tamtego czasu tylko piszemy do siebie.
Nie zabawia długo w jednym miejscu
i często szuka ziół do leków.",,,"Desde então, só nos falamos por carta.
Ele nunca fica num lugar por muito tempo
e tá sempre procurando ervas pra remédios.","이후 편지를 주고받기는 했습니다만…
타도리는 본래 약재료를 찾아 각지를
떠도는 인물이기에 만나지는 못했습니다.","後來我們雖有書信往來……
但他總是為了尋求藥材而雲遊四海，
所以我倆未曾再見過面。","后来，我们一直保持着书信往来……但沿本就
浪迹天涯，在各地寻找药材，所以见不上面。",,,,,,,,"ومنذ ذلك الحين، لم نتحدث إلا عن طريق الرسائل.
لأن تادوري لا يستقر في مكان واحد، ويسافر حول
العالم بحثًا عن المكونات الطبية.",,,,,,,,,,,
28f007de-e258-4ef8-b6f6-2672e52bd3db,617458020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_005,"ただ、つい先日の手紙にて
「密林に向かう」とありました。
今もそこにいると見て間違いないかと。","He had mentioned in a recent letter that
he was on his way to the Jungle. I think
it's safe to assume he's still there.","Sa dernière lettre mentionnait qu'il
se rendait vers la Jungle.
Il doit toujours y être, c'est sûr.","In una lettera recente ha detto
che stava andando nella giungla.
Immagino sia ancora lì.","In einem Brief erwähnte er vor Kurzem,
dass er auf dem Weg in den Dschungel ist.
Sicher wird er immer noch da sein.","Hace poco, mencionó en una carta que se
dirigía a la jungla. Creo que se puede
suponer que seguirá allí.","В одном из писем он сообщил,
что направляется в Джунгли. Думаю,
можно предположить, что он все еще там.","W ostatnim liście wspomniał, że
wybiera się do Dżungli. Myślę,
że możemy założyć, że nadal tam jest.",,,"Ele mencionou numa carta recente que
estava a caminho da selva. É seguro
presumir que ele ainda esteja lá.","다만, 얼마 전 온 편지에는
「밀림에 간다」고 쓰여 있었습니다.
지금도 분명 그곳에 있겠지요.","但是，
他前幾天的信曾提到「要前往密林」，
所以現在應該還在那裡。","不过，前些天他寄信说他“要去密林”，
想必现在一定也在那里。",,,,,,,,"لقد ذكر في إحدى الرسائل التي بعثها لي مؤخرًا
أنه كان في طريقه إلى الغابة. أعتقد
أنه من الأسلم أن نفترض أنه ما زال هناك.",,,,,,,,,,,
54e2f4d0-67ee-4b4b-be58-81ed6f2b02cb,3243896659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_006,"……そうそう。
タドリに会ったら、一言、
伝言をお願いできますかな。","...Oh, and if you see Tadori, might I ask you
to deliver a message for me?","Oh, si vous voyez Tadori, pourriez-vous lui
transmettre un message de ma part ?","Ah, se vedi Tadori, potresti
riferirgli un mio messaggio?","... Oh, und wenn Ihr Tadori seht,
würdet Ihr ihm bitte eine Nachricht
von mir überbringen?","Ah, en caso de que veas a Tadori,
¿podría pedirte que le entregaras un
mensaje de mi parte?","...О, и если встретите Тадори, можете
передать ему послание от меня?","Jeśli spotkasz się z Tadorim, możesz
przekazać mu wiadomość?",,,"Ah, e se você encontrar Tadori, poderia
levar uma mensagem para mim?","……아 참.
타도리를 만나면 한마디
전언을 부탁드려도 될는지요.","……對了，如果您見到溯，
能不能請您替敝人捎個口信呢？","……对了。如果您见到沿，能帮我给他
捎个口信吗？",,,,,,,,"...أوه، وإذا <LSNR {رأيت} {رأيتي}>تادوري، هل يمكنني أن أطلب <LSNR {منك} {منكِ}>
توصيل رسالة من أجلي؟",,,,,,,,,,,
a7ef7559-cdd3-40f1-a239-eb27fbe6faf0,1199748634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_007,"「姫みこ様は、カムラの里にて
　笑顔で過ごしておられる。姫みこ様の
　うさ団子を、一度ご賞味あれ」と。","""Her highness is living a wonderful and fulfilling
life in Kamura. Please visit sometime and try
some of her delicious Bunny Dango.""","""Son altesse est épanouie dans sa vie
à Kamura. Venez nous voir et goûter
ses délicieux dango-lapins.""","""Sua altezza vive una vita prospera e
meravigliosa a Kamura. Vieni a trovarci
e prova i suoi ottimi dango"".","""Ihre Hoheit lebt ein wunderbares und
erfüllendes Leben in Kamura. Besuche
sie mal und probier die leckeren Dango.""","""Su Alteza tiene una vida plena y
maravillosa en Kamura. Ven a visitarnos
y probarás sus deliciosos dango"".","""Ее Высочество живет чудесной,
полноценной жизнью в Камуре. Приезжай
и отведай ее изумительных данго"".","„Jej wysokość wiedzie wspaniałe życie
w Kamurze. Odwiedź nas i spróbuj
jej smacznych króliczkowych dango”.",,,"""Sua Alteza leva uma vida maravilhosa e
gratificante em Kamura. Venha nos visitar
e provar o delicioso dango de coelho dela.""","「공주님은 카무라 마을에서
웃으며 잘 지내신다. 공주님의
토끼 경단을 한번 먹어 봐라」라고요.","請您轉告他，
「公主大人在神火村裡過得很好，
　請您務必嚐嚐公主大人所做的兔兔糰子。」","就说：“公主殿下在炎火村过得很开心，
请务必来品尝一下公主殿下做的兔团子。”",,,,,,,,"""إن جلالتها تعيش حياةً رائعةً ومرضية
في كامورا. أرجو أن <LSNR {تزورنا} {تزورينا}> يومًا ما لتذوق
القليل من دانجو الأرانب اللذيذ الخاص بها.""",,,,,,,,,,,
c99362b1-5d09-4279-a1cc-0e78774b6d55,2100218984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid003_MR_mr4_003_008,"伝えていただければ、わかります。
手紙で記すにはおそれ多く…。しかし、
あなたの伝言であれば安心ですので。","He'll know what this means. Forgive me,
but I feel it would be better coming from
you rather than a letter.","Il comprendra. Pardonnez-moi, mais
je pense que c'est mieux si ça vient
de vous plutôt que par lettre.","Capirà cosa voglio dire. Chiedo venia,
preferisco che sia tu a riferirglielo
piuttosto che scriverlo in una lettera.","Er wird wissen, was es bedeutet.
Verzeiht mir, aber ich glaube, es kommt
besser von Euch als einem Brief.","Él lo entenderá. Disculpa las molestias,
pero creo que es mejor que se lo digas tú
en lugar de escribirle una carta.","Он поймет. Простите, но будет лучше,
если эти слова он услышит от вас,
а не прочтет в письме.","Będzie wiedział, o co chodzi. Lepiej, żeby
usłyszał to od ciebie, niż otrzymał
na piśmie.",,,"Ele saberá o que isso quer dizer. Me
perdoe, mas sinto que será melhor vindo
de você do que numa carta.","이렇게 전해 주시면 알 겁니다.
편지로 적기에는 송구스러워서… 하지만
당신이 전해 주신다면 안심입니다.","只要這麼說他就會懂了。
這事不方便寫在信上……
不過若請您轉達，就沒有這個疑慮了。","您这么说，他应该就会懂了。这话实在不太好
写在信里……有您帮忙转达，我就放心了。",,,,,,,,"سيعرف معنى ذلك. سامِحني،
لكنني أشعر أنه سيكون من الأفضل أن يعرف ذلك
<LSNR {منك} {منكِ}> بدلاً من إخباره عن طريق خطاب.",,,,,,,,,,,
