guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,<HunterRank>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkAction1>,<TalkAction1Param>,<TalkAction1Comment>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,<TalkAction2Comment>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
17aa05f7-6217-4b4c-9d26-0767fa457dd7,1148763679,ページ属性,会話属性,村進行度,集会所進行度,必要ハンターランク,会話タグ1,会話タグ1パラメータ,会話タグ1コメント,会話タグ2,会話タグ2パラメータ,会話タグ2コメント,会話タグ3,会話タグ3パラメータ,会話タグ3コメント,会話タグ4,会話タグ4パラメータ,会話タグ4コメント,会話タグ5,会話タグ5パラメータ,会話タグ5コメント,会話タグ6,会話タグ6パラメータ,会話タグ6コメント,会話タグ7,会話タグ7パラメータ,会話タグ7コメント,会話タグ8,会話タグ8パラメータ,会話タグ8コメント,会話タグ9,会話タグ9パラメータ,会話タグ9コメント,会話アクション1,会話アクション1パラメータ,会話アクション1コメント,会話アクション2,会話アクション2パラメータ,会話アクション2パラメータ2,会話アクション2コメント,nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014,<COLOR FF0000>#Rejected#</COLOR> nid014
7c1f1d2a-6f19-4ec9-aeed-73e4ec202d1b,1777577679,,(default)世間話,村進行チュートリアル,,,この会話フラグがOFFなら→,EV_PRO_VILL_001_01_06,,この会話フラグがONなら→,EV_PRO_VILL_001_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_000,"おや<PL>さん。
どうされました？","Oh, <PL>.
Need somethin'?","Oh, <PL>.
Je peux t'aider ?","Oh, <PL>.
Ti serve qualcosa?","Oh, <PL>.
Brauchste was?","Hola, <PL>.
¿Necesitas algo?","О, <PL>.
Что-то нужно?","Och, <PL>.
Potrzebujesz czegoś?",,,"Ah, <PL>.
Precisa de alguma coisa?","이런, <PL> 씨.
무슨 일이세요?","哎呀，<PL>，
您怎麼了？","哎呀，<PL>。
这是怎么了？",,,,,,,,"أوه، <PL>.
<LSNR {أتحتاج شيئًا} {أتحتاجين شيئًا}>؟",,,,,,,,,,,
e32b4fdc-0393-499c-936e-8d2e91f5d259,2430194715,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_001,"すみませんが……
まもなく船が着くので
お話は後にしていただけますか？","Actually, mind if we do this later?
I have a shipment comin' in
that I need to take care of.","Ça te dérange si on remet ça à plus
tard ? J'ai une cargaison qui arrive.","Ti spiace se ne parliamo dopo?
Ho un carico in arrivo di cui devo occuparmi.","Können wir das auf später verschieben?
Ich muss mich erst um eine Lieferung
kümmern.","De hecho, ¿te importa si hablamos más tarde?
Debo encargarme de un cargamento que está
al llegar.","Можно, мы займемся этим позже?
У меня тут на подходе груз, надо
с ним разобраться.","Czy to może poczekać?
Szykuje się dostawa
i muszę się nią zająć.",,,"Na verdade, tudo bem se for mais tarde?
Tenho um carregamento pra cuidar agora.","죄송하지만……
곧 배가 들어올 시간이라
나중에 얘기해도 될까요?","不好意思……
船隻馬上就要抵達了，
有什麼事的話，可以稍後再說嗎？","抱歉……
船只即将到港，
有事可以之后再说吗？",,,,,,,,"هلا فعلنا هذا لاحقًا؟
لأنني أنتظر
شحنة قادمة لا بُد من الاعتناء بها.",,,,,,,,,,,
3d775a1e-68b9-4101-bc7c-c27c96544ea4,799830502,,(default)世間話,村進行チュートリアル,,,このクエストが未クリアなら→,QN030101,,この会話フラグがONなら→,EV_PRO_VILL_001_01_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_002,"おや<PL>さん。こんにちは。
こんなところに、何かご用ですか？","Ah, <PL>.
Surprised to see you here.
Somethin' you need?","Ah, <PL>.
Je ne m'attendais pas à te voir ici.
Je peux t'aider ?","Ah, <PL>. Mi stupisce vederti
qui. Hai bisogno di qualcosa?","Ah, <PL>.
Mit dir hatte ich nich' gerechnet.
Brauchste was?","Hola, <PL>. Es una sorpresa verte
por aquí. ¿Necesitas algo?","А, <PL>.
Не ожидал тебя здесь увидеть.
Что-то нужно?","Ach, <PL>.
<LSNR {Zaskoczyłeś} {Zaskoczyłaś}> mnie.
Szukasz czegoś?",,,"Ah, <PL>.
Que surpresa te ver aqui.
Em que posso ajudar?","이런, <PL> 씨. 안녕하세요.
여기까지 어쩐 일이신가요?","哎呀，<PL>，您好。
您來這裡有什麼事嗎？","哎呀，<PL>。您好。
来这里有何贵干？",,,,,,,,"آه، يا <PL>.
تفاجأت <LSNR {لرؤيتك هنا} {لرؤيتكِ هنا}>،
<LSNR {أتحتاج شيئًا} {أتحتاجين شيئًا}>؟",,,,,,,,,,,
7bfd17ae-874e-46fb-b1d3-1218060be101,1939147492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_003,"私は、船が来るのを待ってるんですよ。
その間に、今後仕入れるべきものを
洗いだしているところです。","I'm just checkin' for goods
to stock up on while I wait
for the next ship to arrive.","Je réfléchis juste à ce que je peux
mettre de côté en attendant
le nouvel arrivage.","Controllo le provviste mentre
aspetto l'arrivo della prossima nave.","Ich prüfe gerade unseren Bestand, solange
das nächste Schiff noch nich' hier ist.","Estoy haciendo inventario para reponer
productos mientras llega el próximo
cargamento.","Я тут проверяю товары, которые
надо запасти, пока я жду
следующий корабль.","Sprawdzam zapotrzebowanie
na towary, oczekując
na kolejną dostawę.",,,"Só tô conferindo as mercadorias
pra estocar enquanto espero
a chegada do próximo navio.","저는 배가 오는 걸 기다리고 있어요.
그동안 앞으로 챙겨야 할 물건을
정돈하는 중이죠.","我正在等船進來喔，
現在正趁這個空檔，
調查之後需要採買的東西。","我是在等船只到港。
现在正边等边调查
以后应该采购的货物。",,,,,,,,"أبحث عن
بضائع لأخزنها ريثما
أنتظر وصول شحنتي القادمة.",,,,,,,,,,,
4907a701-e25a-4f4b-b86a-2f7d5c7034f8,2160812148,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_004,"百竜夜行も近付いてますからね。
その時になって、あれがない、これがないと
いうことになっては困りますから。","Gotta be ready for the Rampage.
It'll be a real mess if we aren't!","Nous devons être prêts pour la Calamité.
Ce sera le chaos si l'on se laisse
prendre de court !","Dobbiamo tenerci pronti per la furia o
saranno guai!","Wir müssen für die Randale bereit sein,
sonst wird das ein reines Fiasko!","Tenemos que prepararnos para el Frenesí.
¡Va a ser un lío tremendo si no lo hacemos!","Надо подготовиться к Буйству.
Плохо будет, если не подготовимся.","Musimy być gotowi na nadejście Furii.
W przeciwnym razie czeka nas katastrofa.",,,"Temos que nos preparar pro Frenesi.
Vai ser o caos se não fizermos isso!","백룡야행도 얼마 안 남았잖아요?
그때가 돼서 이게 없다, 저게 없다
소란이 일면 안 되니까요.","畢竟百龍夜行也正在接近，
要是到時候庫存東缺西缺的話，
那可就傷腦筋了。","因为百龙夜行也一天天逼近了啊。
到时候，如果缺这缺那，
就麻烦了。",,,,,,,,"يجب أن نكون مستعدين للغضب العارم.
ستكون فوضى إن لم نستعد!",,,,,,,,,,,
111bbd0c-1dce-4395-aacc-2c6f9ba4bef5,3699339344,,初対面会話,,,,この会話フラグがOFFなら→,NID_014_FIRST,,この会話フラグがONなら→,EV_PRO_VILL_001_01_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_005,"おや<PL>さん。
ハンターになられたのですね。
おめでとうございます。","Ah, <PL>.
I see you've become a hunter!
Congratulations to you.","Ah, <PL>. Je vois que tu as
rejoint les rangs des chasseurs !
Mes félicitations !","Ah, <PL>. Vedo che sei
<LSNR {un cacciatore} {una cacciatrice}> ora. Congratulazioni!","Ah, <PL>. Wie ich sehe, ist aus
dir <LSNR {'n Jäger} {'ne Jägerin}> geworden! Gratuliere dir.","Ah, <PL>, hola.
Así que ya eres <LSNR {cazador} {cazadora}>, ¿eh?
¡Enhorabuena!","А, <PL>.
Я вижу, ты <LSNR {стал охотником} {стала охотницей}>!
Поздравляю тебя.","Ach, <PL>.
Widzę, że jesteś już <LSNR {łowcą} {łowczynią}>!
Gratulacje.",,,"Ah, <PL>.
Vejo que você se tornou <LSNR {um caçador} {uma caçadora}>!
Parabéns pra você.","아, <PL> 씨.
헌터가 됐군요.
축하드립니다.","哎呀，<PL>。
您已經當上獵人了呢。
恭喜您。","哎呀，<PL>。
您当上猎人了呀。
真是恭喜。",,,,,,,,"آه، يا <PL>.
<LSNR {أرى أنك أصبحت صيادًا} {أرى أنكِ أصبحتِ صيادة}>!
تهانينا.",,,,,,,,,,,
05737c2d-4e0e-4d77-89a3-c734c9d0fd32,2788898721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_006,"百竜夜行の件で慌ただしいですが、
物流の方はこちらで何とか対策して
みますので、どうかご安心を。","The Rampage is causing a bit of a mess,
but don't worry about us. We'll do what
we can to keep trade going.","La Calamité cause bien des soucis, mais
ne t'en fais pas pour nous. On maintiendra
le commerce coûte que coûte.","La furia sta creando confusione,
ma non preoccuparti. Faremo del nostro
meglio per continuare a commerciare.","Die Randale sorgt für einiges an Chaos, aber
mach dir um uns keine Sorgen. Wir halten
den Handel am Laufen, so gut es geht.","El Frenesí no le está poniendo las cosas
fáciles a nadie, pero tú no te preocupes,
no dejaremos que el comercio se detenga.","Буйство вызывает беспорядок, но не беспокойся
о нас. Мы сделаем все возможное,
чтобы торговля продолжалась.","Furia sprawia trochę kłopotów,
ale nie martw się o nas. Zrobimy, co w
naszej mocy, by handel mógł trwać.",,,"O Frenesi tá causando uma confusão, mas
não se preocupa com a gente. A gente vai
batalhar aqui pro comércio não parar.","백룡야행 때문에 바쁘겠지만
물류는 저희 쪽에서 대책을 세울 테니
안심하시길 바랍니다.","雖然村裡因為百龍夜行忙得不可開交，
但物流方面我們會想出辦法解決的，
這點請您放心。","百龙夜行害得大家手忙脚乱，
但物流方面我们会想办法协调的，
还请放心。",,,,,,,,"تسبب الغضب العارم بالفوضى،
لكن لا داعي للقلق علينا. سنفعل
ما بوسعنا لإبقاء التجارة مستمرة.",,,,,,,,,,,
30546f10-8f5d-4baf-bf6d-328d5c903a25,204169916,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v0_007,"おっと、そろそろ船が来ますね。
仕入れの確認に戻らなくては。","Speaking of, looks like a ship's coming in.
I better go take inventory.","En parlant de ça, on dirait qu'un bateau
est en approche. Je ferais mieux d'aller
m'occuper de la cargaison.","A proposito, ecco arrivare una nave.
Sarà meglio che vada a fare l'inventario.","Wo wir gerade davon sprechen; sieht aus, als
würd gerade 'n Schiff ankommen. Ich geh
besser und nehme den Bestand auf.","Hablando de comercio, parece que llega otro
barco, así que mejor será que me ponga con
el inventario.","Кстати, похоже, что приближается корабль.
Я лучше пойду проведу инвентаризацию.","O wilku mowa, wpływa jakiś statek.
Lepiej pójdę przeprowadzić inwentarz.",,,"Falando nisso, parece que tem um navio
chegando. É melhor eu fazer
um inventário.","어이쿠, 슬슬 배가 들어오네요.
물품 확인하러 가야겠어요.","啊，船差不多要來了。
我得回去確認進貨的商品了。","哎呀，船只该来了。
我必须回去检查采购的货物了。",,,,,,,,"بالمناسبة هناك سفينة قادمة.
سأذهب لأخذ المخزون.",,,,,,,,,,,
1f7054d4-deb4-4ef9-acbc-f366f74bbd34,2702626716,,(default)世間話,村進行☆1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid014_v1_000,"おや<PL>さん。こんにちは。
こんなところに、何かご用ですか？","Ah, <PL>.
Surprised to see you here.
Somethin' you need?","Ah, <PL>.
Je ne m'attendais pas à te voir ici.
Je peux t'aider ?","Ah, <PL>. Mi stupisce vederti
qui. Hai bisogno di qualcosa?","Ah, <PL>.
Mit dir hatte ich nich' gerechnet.
Brauchste was?","Hola, <PL>. Es una sorpresa verte
por aquí. ¿Necesitas algo?","А, <PL>.
Не ожидал тебя здесь увидеть.
Что-то нужно?","Ach, <PL>.
<LSNR {Zaskoczyłeś} {Zaskoczyłaś}> mnie.
Szukasz czegoś?",,,"Ah, <PL>.
Que surpresa te ver aqui.
Em que posso ajudar?","이런, <PL> 씨. 안녕하세요.
여기까지 어쩐 일이신가요?","哎呀，<PL>，您好。
您來這裡有什麼事嗎？","哎呀，<PL>。您好。
来这里有何贵干？",,,,,,,,"آه، يا <PL>.
تفاجأت <LSNR {لرؤيتك هنا} {لرؤيتكِ هنا}>،
<LSNR {أتحتاج شيئًا} {أتحتاجين شيئًا}>؟",,,,,,,,,,,
