guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
34b4be10-7c05-4d28-82b4-ba15fd5db211,140724023,nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR,<COLOR FF0000>#Rejected#</COLOR> nid0501_chat_MR
715e7254-4835-453f-b5b9-b6825d1a0d79,2400193519,nid0501_chat_MR_GuideEM_001_00,"メル・ゼナの様子が変わった！？
動きに変化がないか警戒しよう！","Malzeno's appearance has
changed? Be on high alert!","L'apparence du Malzeno a changé ?
Reste sur tes gardes !","L'aspetto del Malzeno è cambiato?
Facciamo attenzione!","Das Aussehen des Malzeno hat
sich verändert? Sei vorsichtig!","¿Malzeno ha cambiado de
aspecto? ¡Mantente alerta!","Внешность Малзено изменилась?
Будьте начеку!","Wygląd Malzeno uległ zmianie?
Zachowaj ostrożność!",,,"A aparência do Malzeno mudou?
Fique em alerta máximo!","멜-제나의 모습이 변했어?!
움직임의 변화에 주의해라!","爵銀龍看起來有點不同！？
注意牠的行動是否有變！","爵银龙看上去有点不一样了！？
要小心它动作的变化！",,,,,,,,"هل تغير مظهر مالزينو؟
<LSNR {كن} {كوني}> في حالة تأهُّب قصوى!",,,,,,,,,,,
7de9d6d5-1d41-4566-bbc4-09ea0eb6c211,3577042331,nid0501_chat_MR_GuideEM_002_00,"妙に赤く光る部位があるな…？
ダメージを与えて様子を見よう。","Parts of its body are glowing red...
Let's attack and observe.","Certaines parties rougoient...
Attaquons et observons.","Alcune parti brillano di rosso...
Attacchiamo e osserviamo.","Teile seines Körpers glühen rot.
Beobachten wir und greifen an!","Tiene partes rojas brillantes.
Ataquemos, y veamos qué pasa.","Части его тела светятся красным...
Атакуем и посмотрим.","Części jego ciała świecą na
czerwono... Atakuj i obserwuj.",,,"Partes dele brilham em vermelho...
Vamos atacar e observar.","묘하게 붉게 빛나는 부위가 있는데…?
대미지를 주고 상황을 지켜보자.","有些部位散發不尋常的紅光……
先加以攻擊，觀察看看吧。","有些部位发出了诡异的红光吧？
攻击那里，观察一下它的反应。",,,,,,,,"تتوهج أجزاء من جسده باللون الأحمر...
دعونا نهاجمه ونفحصه.",,,,,,,,,,,
b7e70157-3549-4bfc-96c4-7681e08911a5,3338286515,nid0501_chat_MR_GuideEM_003_00,"いいぞ！　効いているようだ。
そのまま攻撃を続けてみよう。","That's it! It's working!
Maintain the attack!","Oui ! Ça marche !
Poursuis l'attaque !","Così! Funziona!
Continua con l'attacco!","Genau! Es funktioniert!
Greife weiter an!","¡Eso es! ¡Funciona!
¡Mantén ese ataque!","Да, так получается!
Продолжайте нападение!","Właśnie tak! To działa!
Nie przerywaj natarcia!",,,"É isso! Está funcionando!
Continue o ataque!","좋아! 효과가 있는 것 같다.
그대로 계속 공격해 보자!","很好！攻擊似乎奏效了。
就這樣繼續進攻看看吧。","好！似乎很有效。
继续这样攻击吧。",,,,,,,,"هذا كل شيء! لقد نجح الأمر!
استمر في الهجوم!",,,,,,,,,,,
58a57b2c-c80f-4fa9-b36b-27eb51486b2a,3897454315,nid0501_chat_MR_GuideEM_004_00,"成功だ！　読みが当たったな。
さあ、今の内に一気に攻めよう！","Success! My hunch was correct.
Let's finish this now!","Bravo ! Mon instinct n'a pas
failli. Finissons-en !","Evviva! La mia intuizione era
corretta. Ora finiamolo!","Erfolg! Ich hatte recht.
Beenden wir es jetzt!","¡Ya está! Lo había intuido.
¡Acabemos ya con esto!","Получилось! Я была права.
Давайте покончим с этим!","Sukces! Moje przeczucie było
słuszne. Skończmy z tym teraz!",,,"Sucesso! Meu palpite estava
certo. Vamos acabar com isso!","성공이다! 예상이 적중했군.
자, 이 틈에 몰아붙이자!","成功了！看來我猜對了。
好，趁現在一鼓作氣進攻！","成功了！不出我所料。
上吧，趁现在一鼓作气拿下它！",,,,,,,,"نجحنا! كان حدسي صحيحًا.
فلننهِ هذا الآن!",,,,,,,,,,,
64c97e70-aa65-4f6a-821b-071c3e01a6c4,2963527510,nid0501_chat_MR_GuideEM_005_00,"くっ、これはまずいな…。
強力な攻撃が来るぞ、警戒だ！","This doesn't look good.
Powerful attack incoming!","C'est mal engagé.
Attaque puissante en approche !","Qui si mette male.
Arriva un attacco potente!","Das sieht nicht gut aus.
Mächtiger Angriff voraus!","Esto no tiene buena pinta.
¡Viene un ataque potente!","Не нравится мне это.
Приготовьтесь к мощной атаке!","To nie wygląda dobrze.
Nadchodzi potężny atak!",,,"Isso não é nada bom.
Ataque poderoso chegando!","크윽, 큰일이군…
강력한 공격이 온다. 조심해!","唔，這下不妙……
小心，牠要使出強大的攻擊了！","唔，这下可不妙啊……
它要发动强力攻击了，小心！",,,,,,,,"هذا لا يبدو جيدًا.
هجوم قوي قادم!",,,,,,,,,,,
effd804e-a9c6-4fd7-8f3a-2fd2a04c194e,3281478972,nid0501_chat_MR_GuideEM_006_00,"攻撃が足りなかったか…！
赤く光る部位を狙うんだ！","We're not hitting hard enough!
Aim for the glowing red parts!","On ne fait pas assez de dégâts !
Visez les parties rougeoyantes !","Non abbiamo colpito abbastanza!
Mira alle parti rosse!","Wir treffen nicht hart genug!
Ziele auf Hals und Vorderbeine!","¡No atacamos lo bastante fuerte!
¡Golpea en las partes rojo brillante!","Наши атаки слишком слабы.
Цельтесь туда, где светится красным!","Nie uderzyliśmy dość mocno!
Celuj w czerwone części!",,,"Precisamos de mais força! Mire
nas partes vermelhas brilhantes!","공격이 부족했나…!
붉게 빛나는 부위를 노려라!","傷害還不夠多嗎……
聽好了，要攻擊發出紅光的部位！","攻击的伤害不够吗……！
朝着发红光的部位打！",,,,,,,,"لم نضربه بقوة كافية!
<LSNR {ركز} {ركزي}> على الأجزاء الحمراء المتوهجة!",,,,,,,,,,,
bd9b2b8f-f589-42c6-85b9-723ba38fe26e,2159061035,nid0501_chat_MR_GuideEM_007_00,"待て、その状態で近付くな。
一旦離れて状態異常を回復だ！","Wait! Don't get too close now.
Pull back and recover first!","Attends ! Ne t'approche pas tout de suite !
On doit d'abord récupérer !","Aspetta! Non avvicinarti troppo.
Prima dobbiamo guarire l'alterazione.","Halt, jetzt nicht zu nah ran.
Abstand halten und erholen!","¡Espera! No te acerques tanto, ahora.
¡Retírate y recupérate primero!","Стойте! Не подходите близко.
Сперва надо восстановить силы.","Czekaj! Nie podchodź.
Najpierw wyzdrowiej!",,,"Espere! Não chegue perto demais.
Recue e se recupere primeiro!","잠깐, 그 상태로 접근하지 마.
일단 상태 이상부터 회복해라!","等等，別在那個狀態下靠近牠。
先離遠一點，回復異常狀態吧！","等一下，那种状态时不要接近它。
先离远些，把状态异常解除了！",,,,,,,,"<LSNR {انتظر} {انتظري}>! لا <LSNR {تقترب} {تقتربي}> كثيرًا الآن.
<LSNR {تراجع وتعافَ} {تراجعي وتعافي}> أولًا!",,,,,,,,,,,
dd6d5769-e9b6-4a17-8822-2e1595631d76,474138905,nid0501_chat_MR_GuideEM_008_00,"マズいな、何かする気だぞ…！
すぐにヤツから離れるんだ！","I don't like this. It's about to—
Pull back at once!","J'aime pas ça. Il va...
Replie-toi, vite !","Non mi piace. Sta per...
Ritirata! Subito!","Das gefällt mir nicht.
Es wird... Sofort zurückziehen!","Esto no me gusta. Está a punto
de... ¡Retirada inmediata!","Не нравится мне это. Он...
Немедленно отступаем!","Nie podoba mi się to. Zaraz...
Wycofaj się!",,,"Eu não gosto disso. Ele vai...
Recuar agora!","큰일이군, 뭔가가 오려는 것 같아…!
당장 녀석에게서 떨어져라!","糟糕，牠似乎快要出招……
快拉開距離！","坏了，估计它有什么大动作！
赶紧离它远点！",,,,,,,,"لا أحب هذا. إنه على وشك -
أن يتراجع الآن!",,,,,,,,,,,
7d566483-abb4-47d8-9398-0ba52f4f0d8e,3856246477,nid0501_chat_MR_GuideEM_009_00,"くっ、引き寄せられている…！
岩に隠れてやり過ごすんだ！","It's drawing us in!
Take cover behind the rocks!","Il nous attire !
À couvert derrière les rochers !","Ci sta attirando! Nasconditi
dietro le rocce!","Er zieht uns rein!
Deckung hinter den Felsen!","¡Nos está arrastrando!
¡Protégete tras las rocas!","Он нас затягивает!
Укройтесь за камнями!","Wciąga nas! Schowaj
się za skały!",,,"Está nos atraindo!
Proteja-se atrás das pedras!","큭, 끌어당기고 있어…!
바위에 숨어서 버텨라!","可惡，要被吸過去了……
快躲在岩石後面挺過去！","唔，要被吸过去了……！
躲在石头后面撑过去！",,,,,,,,"إنها تجذبنا!
<LSNR {احتمِ} {احتمي}> خلف الصخور!",,,,,,,,,,,
