guid,crc?,<PageAttr>,<TalkAttr>,<VillageProgress>,<HallProgress>,<HunterRank>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkTag>,<TalkTagParam>,<TalkTagComment>,<TalkAction1>,<TalkAction1Param>,<TalkAction1Comment>,<TalkAction2>,<TalkAction2Param>,<TalkAction2Param2>,<TalkAction2Comment>,<KohakuProgress>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
f1fdd63a-d448-463a-9eee-ee513864db0a,2802620501,ページ属性,会話属性,村進行度,集会所進行度,必要ハンターランク,会話タグ1,会話タグ1パラメータ,会話タグ1コメント,会話タグ2,会話タグ2パラメータ,会話タグ2コメント,会話タグ3,会話タグ3パラメータ,会話タグ3コメント,会話タグ4,会話タグ4パラメータ,会話タグ4コメント,会話タグ5,会話タグ5パラメータ,会話タグ5コメント,会話タグ6,会話タグ6パラメータ,会話タグ6コメント,会話タグ7,会話タグ7パラメータ,会話タグ7コメント,会話タグ8,会話タグ8パラメータ,会話タグ8コメント,会話タグ9,会話タグ9パラメータ,会話タグ9コメント,会話アクション1,会話アクション1パラメータ,会話アクション1コメント,会話アクション2,会話アクション2パラメータ,会話アクション2パラメータ2,会話アクション2コメント,MR進行度,nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722,<COLOR FF0000>#Rejected#</COLOR> nid722
e784364b-de54-48e2-b999-298eb8169bdc,3517263513,会話終了,会話フキダシ(NPC依頼),,,,このクエストがクリア済みなら→,QN315190,,この会話フラグがOFFなら→,NPC_SIDEQUEST_ADD_06_START,,この会話フラグがONなら→,NID_306_FIRST,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid722_nsq106_001,ちょっと話を聞いてほしいニャ。,Do you got a meowment fur me?,Tu as un moment à m'accorder ?,Hai un miaomento per me?,Hast du einen Miaument?,¿Tienes un miaumento?,У тебя есть мяу-нутка?,Masz może miau-ment?,,,Você tem um instante pra mim?,잠깐만 내 말 좀 들어 봐라냥.,聽我說幾句喵。,我有点事要和你说喵。,,,,,,,,هل <LSNR {لديك} {لديكِ}> دقيقة لأجلي؟,,,,,,,,,,,
6f2b9e8a-a750-4c47-b9f0-fdd04cce5cc2,2776231271,,重要会話(非進行),,,,このクエストがクリア済みなら→,QN315190,,この会話フラグがOFFなら→,NPC_SIDEQUEST_ADD_06_START,,この会話フラグがONなら→,NID_306_FIRST,,,,,,,,,,,,,,,,,,,,会話フラグを「ON」→,NPC_SIDEQUEST_ADD_06_START,,依頼サイドクエストの受注UI表示,,106,,,nid722_nsq106_002,"オトモアイルーとはうまくやってるかニャ？
お魚、あげてくれてるかニャ？
あ、いきなり話がそれてしまったニャ…。","How are things with your Palicoes?
Giving your Buddies purrlenty of fish?
Sorry, not trying to be nosey...","Ça se passe comment avec tes Palicos ?
Tes Pilpoils ont assez de poisson ?
Pardon, je ne veux pas m'immiscer...","Come va con i tuoi compagni Felyne?
Gli fai miaongiare tanto pesce? Scusa,
non voglio intromettermi...","Wie läuft es mit deinen Palicos? Gibst
du deinen Kumpels genug Fisch?
Entschuldige, will nicht neugierig sein...","¿Qué tal con tus camaradas Felyne?
¿Les das suficiente pescado? Lo siento,
no pretendo entromiauterme...","Как дела у твоих Палико? Кормишь
спутников рыбкой? Прости, если сую
нос не в свое дело...","Jak się miewają twoje koleżkoty? Nie
brakuje im ryb? Przepraszam, nie
chciałem być wścibski...",,,"Como tão as coisas com os seus Amigatos?
Tá dando bastante peixe pros seus Amigos?
Desculpa, não é querendo me intrometer...","동반자 아이루와 잘 지내고 있냥?
생선은 주고 있냥?
아, 갑자기 얘기가 옆길로 새 버렸다냥…","你跟隨從艾路處得還好嗎喵？
你會不會釣魚給牠們吃喵？
啊，突然扯遠了喵……","你和随从艾露猫相处得还好喵？你有给
它们吃鱼喵？啊，突然就跑题了喵……",,,,,,,,"كيف تجري الأمور مع الباليكو الخاص <LSNR {بك} {بكِ}>؟
هل تعطي <LSNR {أصدقاءك} {أصدقاءكِ}> الكثير من السمك؟
آسف لا أريد أن أكون متطفلًا...",,,,,,,,,,,
9162c721-367f-47b4-80a0-0c6dcf36e76e,1075592206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid722_nsq106_003,"アシストの強化キャンペーンが
始まったニャ！　…って、
出張オトモ広場窓口のナギに聞いたニャ。","Anyway, I was just asking because Nagi
tells me there's an assist upgrade campaign
going on at the Buddy Piazza!","C'est juste que Nagi me dit que la
campagne La voie du Chapardeur est
disponible dans l'Atelier Pilpoil !","Chiedevo perché Nagi mi ha detto che è
in corso una campagna di potenziamento
per assistenti alla Piazza Felyne.","Ich habe nur gefragt, weil Nagi mir erzählt
hat, dass auf der Buddy-Piazza eine
Unterstützer-Verbesserungskampagne läuft!","Bueno, solo preguntaba porque Nagi me
ha dicho que se está celebrando una
campaña de mejora en la Piazza Camarada.","Просто Наги сказал, что на Пьяцце
спутников идет кампания по развитию
помощников!","Tak tylko pytam, bo Nagi wspomniał,
że na Rynku Kompanów jest kampania
ulepszania pomocnika!",,,"Enfim, só perguntei porque o Nagi me
contou que tem uma campanha de melhoria
de auxílio rolando na Piazza dos Amigos!","어시스트 강화 캠페인이
시작됐다냥! …출장 동반자
광장 창구의 나기에게 들었다냥.","協助支援類型艾路的強化活動已經開始了喵！
……這是我從臨時隨從廣場窗口輕風那裡
聽說的喵。","随从广场分部窗口的和风告诉我……
“协助”的强化活动开始了喵！",,,,,,,,"على أي حال، كنت أسأل فحسب؛ فقد أخبرني
ناجي بوجود حملة ترقية المساعد
الآن في ساحة الأصدقاء!",,,,,,,,,,,
817f5aff-2440-42ab-aadc-1a60ccc98201,2542852034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid722_nsq106_004,"そこでアシストのオトモアイルーを連れて、
ＭＲクエストを３回クリアしてほしいニャ。
終わったらきっと強くなってるはずニャ。","All you gotta do is complete three master rank
quests with an Assist-type Palico! Super easy,
right? Like shooting fish in a barrel!","Tu as juste à réussir trois quêtes RM
avec un Palico Ange gardien ! Fastoche,
hein ? Une vraie promenade de santé !","Devi solo completare tre missioni di grado
maestro con un Felyne assistente. Facile,
no? Come sparare ai pesci nel barile.","Du musst nur drei Meisterrang-Quests
mit einem Palico vom Typ Unterstützung
abschließen! Ein Kinderspiel!","¡Tendrás que completar tres misiones de
rango maestro con tu camarada asistente!
Fácil, ¿no? ¡Como pescar en un barril!","Надо лишь выполнить три задания ранга
мастера с Палико-помощником! Это не
сложнее, чем ловить рыбку в бочке!","Wystarczy ukończyć trzy zadania rangi
mistrzowskiej z koleżkotem pomocnikiem!
Rybka... to znaczy bułka z masłem!",,,"Você só precisa concluir três missões RM
com um Amigato de auxílio! Moleza, né?
Que nem pegar peixe num aquário!","거기서 어시스트 동반자 아이루와 함께
MR 퀘스트를 3회 클리어해 달라냥.
다 끝나면 분명 강해질 거다냥.","所以，請你帶著協助類型的隨從艾路
完成3次MR任務吧喵。
等完成之後，一定會讓牠們變強的喵。","所以希望你带上协助型随从艾露猫，完成3次
大师等级任务喵。它们完成后肯定能变强喵。",,,,,,,,"كل ما <LSNR {عليك} {عليكِ}> فعله هو إنهاء ثلاث مهام
برتبة القائد بمساعدة باليكو مساعِد! أمر سهل،
أليس كذلك؟ كالتصويب على سمكة في ماسورة!",,,,,,,,,,,
a9044c09-e2bb-46ed-baea-2237b2439e6a,3956795317,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid722_nsq106_005,"ニャ、ハンターさん、これはいい話だニャ。
せっかくだからこのキャンペーンを受けて、
成長という名の勝利を釣り上げるのニャ。","I know you got bigger fish to fry, but why
not help out your furry Felyne helpers!?","Je sais que tu as d'autres choses à
faire, mais c'est bien d'aider tes amis
à poils, non ?","So che hai pesci più grandi a cui pensare,
ma perché non dare una zampa
ai tuoi aiutanti Felyne?","Ich weiß, du hast Wichtigeres zu tun,
aber warum hilfst du nicht deinen
pelzigen Felyne-Helfern!?","Sé que tienes mares más grandes que
surcar, pero ¿por qué no ayudar a tus
peludos camaradas asistentes?","Я знаю, у тебя есть задачки и
поважнее, но почему бы не помочь
пушистым помощникам?","Wiem, że polujesz na grubsze ryby, ale
może zrobisz coś dla swoich futrzanych,
felinich pomocników?",,,"Eu sei que você tem uns peixões maiores
pra pegar, mas por que não ajudar
seus assistentes Felynos?","냥, 헌터님, 이건 좋은 뉴스다냥.
모처럼 왔으니 캠페인에 도전해
성장이라는 이름의 승리를 낚아라냥.","喵，獵人，這是件好事喵。
機會難得，你就參加這個活動，
釣起名為成長的勝利吧喵。","喵，猎人，这是件好事喵。机会难得，
赶快参加活动，让随从艾露猫成长喵。",,,,,,,,"أعلم أن <LSNR {لديك} {لديكِ}> أمورًا أهم، لكن لماذا لا <LSNR {تساعد} {تساعدي}>
مساعدي فيلاين الفروي الخاصين <LSNR {بك} {بكِ}>؟!",,,,,,,,,,,
9f84cbdc-9c88-494f-8bcf-a5ef4c2a381e,3924960115,会話終了,会話フキダシ(NPC依頼),,,,この会話フラグがONなら→,NPC_SIDEQUEST_ADD_06_START,,この会話フラグがOFFなら→,NPC_SIDEQUEST_ADD_06_FINISH,,依頼サイドクエストがクリア可能→,NPC_SIDEQUEST_ADD_06_START,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid722_nsq106_006,ニャ、おめでとうなのニャ！,Mew-Hoo! Congrats!,Miaou ! Félicitations !,Miaooo! Congratulazioni!,Miau-hu! Glückwunsch!,¡Miauju! ¡Felicidades!,Мяу-вау! Поздравляю!,Gratulacje!,,,Uhu! Parabéns!,"냥, 축하한다냥!",喵，恭喜你喵！,喵，恭喜喵！,,,,,,,,رائع! تهانينا!,,,,,,,,,,,
ccd963b9-0dcb-4eee-9ba6-a5392fa7880d,986747842,,重要会話(非進行),,,,この会話フラグがONなら→,NPC_SIDEQUEST_ADD_06_START,,この会話フラグがOFFなら→,NPC_SIDEQUEST_ADD_06_FINISH,,依頼サイドクエストがクリア可能→,NPC_SIDEQUEST_ADD_06_START,,,,,,,,,,,,,,,,,,,,会話フラグを「ON」→,NPC_SIDEQUEST_ADD_06_FINISH,,依頼サイドクエストのリザルトUI表示,,106,,,nid722_nsq106_007,"キャンペーンをやり遂げたことで、
オトモアイルーたちが新しいサポート行動を
修得できるようになったニャ。","You did it, Hunter! Now your Palicoes can
equip a cool mew Secret Support Mew-ve!","Tu as réussi, <LSNR {Chasseur} {Chasseuse}> !
Désormais tes Palicos peuvent utiliser
une nouvelle super habileté !","Ce l'hai fatta! Ora i tuoi compagni Felyne
possono equipaggiare una nuova e
miaoravigliosa mossa di supporto segreta.","Du hast es geschafft, <LSNR {Jäger} {Jägerin}>! Jetzt
können deine Palicos eine coole neue
geheime Unterstützungsmiauktion ausrüsten!","¡Lo has logrado, <LSNR {cazador} {cazadora}>! ¡Ahora tus
camaradas podrán equiparse un
miauvimiento de apoyo secreto!","Молодец, <LSNR {Охотник} {Охотница}>! Теперь твои Палико
мяугут использовать новый классный
Секретный прием поддержки!","Udało ci się, <LSNR {łowco} {łowczyni}>! Teraz twoje
koleżkoty mogą używać kociastycznego
sekretnego ruchu wsparcia!",,,"Você conseguiu, <LSNR {Caçador} {Caçadora}>!
Agora os seus Amigatos podem equipar
um Miauvimento de Suporte Secreto irado!","캠페인을 다 끝낸 덕분에
동반자 아이루들이 새로운 서포트 행동을
습득할 수 있게 됐다냥.","因為完成了強化活動，
隨從艾路們可以學會新的支援行動了喵！","你完成了活动，随从艾露猫可以习得新的
支援行动了喵。",,,,,,,,"<LSNR {نجحت أيها الصياد} {نجحتِ أيتها الصيادة}>! يستطيع الباليكو الخاص <LSNR {بك} {بكِ}> الآن
استخدام حركة دعم سرية جديدة!",,,,,,,,,,,
b52b688e-e56f-4a21-b927-f3e38bdccc52,864727854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid722_nsq106_008,"このサポート行動は
煙を利用した道具を使うみたいだニャ。
ボクは魚竜種を燻製にしてみたいニャ。","This paw-ticular one uses some kind of
steam. It sounds kinda tasty! Think they
can use it to steam some fish for me?","Celle-ci utilise une sorte de vapeur.
Ça à l'air alléchant ! Tu crois qu'ils
peuvent me faire un poisson à la vapeur ?","Questa in particolare usa del vapore...
Interessante! Pensi che possano usarlo
per cucinarmi un bel pescetto?","Diese Art verwendet einen Dampf. Klingt
irgendwie lecker! Glaubst du, sie können
damit ein paar Fische für mich dämpfen?","¡Este utiliza un tipo de vapor!
¡Suena sabroso! ¿Crees que me cocinarían
un poco de pescado al vapor?","В нем применяется некий пар. Звучит
аппетитно! Как думаешь, с его помощью
можно приготовить рыбу на пару?","Ten jest z jakąś parą. Brzmi smakowicie!
Myślisz, że mogliby dla mnie ugotować
trochę rybek?",,,"Esse aqui usa um tipo de vapor. Parece
interessante! Você acha que dá pra usar
pra fazer um peixinho no vapor pra mim?","이 서포트 행동은
연기를 이용한 도구를 사용하는 것 같다냥.
나는 어룡종을 훈제로 만들어 보고 싶다냥.","這個支援行動似乎會使用到製造煙的道具喵。
我想要拿來煙燻魚龍種看看喵。","这个支援行动好像是用放烟雾的道具喵。
我想要熏制鱼龙种看看喵。",,,,,,,,"هذه بالذات تستخدم نوعًا
معينًا من البخار. يبدو ذلك لذيذًا! أتظن أن
بإمكانهم استخدامها لطهي بعض السمك لأجلي؟",,,,,,,,,,,
3f5c6970-04a4-4605-a63e-4cbe2d246d5a,3280607929,会話終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nid722_nsq106_009,"スモーク・ジュラトドスなんてどうかニャ？
そうと決まれば遊んでる場合じゃないニャ！
釣りを続けるニャ！　ふぅ、忙しいニャ～。","How about steamed Jyuratodus? Anymew,
I'm reel busy as you can see so get going
be-fur you scare off all the fish!","Et un Jyuratodus à la vapeur ? Bref,
pars maintenant avant d'effrayer
tous les poissons !","Che ne dici di un Jyuratodus al vapore?
Comiaunque, come vedi ho tanto da fare.
Va' prima di far scappare tutti i pesci!","Wie wäre es mit gedünstetem Jyuratodus?
Miau auch immer, ich bin beschäftigt, also
geh, bevor du alle Fische verscheuchst!","¿Qué tal un Jyuratodus al vapor? En fin,
mininín, estoy muy ocupado, ¡márchate
antes de que espantes a todos los peces!","А как насчет Юратода на пару? Ну ладно,
я вообще-то очень занят, так что ступай,
не то всю рыбу мне распугаешь!","Nie <LSNR {zjadłbyś} {zjadłabyś}> Jyuratodusa na parze?
No dobra, wystarczy tego gadania. Idź
już, bo mi spłoszysz ryby!",,,"Que tal Jyuratodus no vapor? Enfim, como
pode ver, tô muito ocupado, então bora
antes que você espante todos os peixes.","스모크 쥬라토도스 같은 건 어떠냥?
결정했으면 놀고 있을 때가 아니다냥!
낚시를 계속해라냥! 후우, 바쁘다냥~","來做個煙燻泥魚龍怎麼樣喵？
既然下了決定，就不是玩樂的時候了喵！
我要繼續釣魚了喵！呼，好忙好忙喵～","烟熏泥鱼龙怎么样喵？既然决定了，那就不能
浪费时间了喵！继续钓鱼喵！呼，好忙喵～",,,,,,,,"ما <LSNR {رأيك} {رأيكِ}> في جيوراتودوس مطهو على البخار؟ على أي حال،
أنا منشغل للغاية كما <LSNR {ترى} {ترين}>، لذا <LSNR {ارحل} {ارحلي}>
قبل أن <LSNR {تخيف} {تخيفي}> كل السمك!",,,,,,,,,,,
