guid,crc?,<ID>,<Progress>,<Type>,<NpcNum>,<NpcName>,<Contents>,<Description>,<CommentNo>,<Condition>,<Note>,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
b1d8090b-8ded-436d-9cb0-049517ea6f54,3862192191,フラグ番号,進行,種別,NPC番号,NPC,フラグの内容,内容詳細(記載自由),コメント用の番号,会話発生条件(記載自由),備考,npc_enum_flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13dd23ef-fc02-42bd-bcc4-d3390ef0a287,3025558320,1,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VDEMO_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3f6652f-e8fa-4ff7-b60b-8c0559a40c5c,316966339,2,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dd840f5-977b-463d-85f7-a4540d6a5d5f,2958067927,3,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c46763e-8c3b-4935-9838-561d0b12ff51,2255072181,4,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251c5503-b8c7-4b1f-b73d-16c2b3729015,4049254923,5,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92c3aaa3-e567-41d1-b57c-196030951bee,1140051774,6,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92eb636b-d1ab-44b1-8739-9d39b7adbfeb,1309386475,7,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134cbbd-4c6f-4a9e-90e6-29e3601afd58,73094087,8,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_PICTURE_NID_103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968b23c-6ad8-4d98-bb75-eed90358be93,2974600012,9,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d177c27c-bf63-455d-9b2a-e10aa0c023c1,1454305812,10,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a4f2d09-d00e-46b6-9b71-f3034db6d5e1,437134345,11,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_01_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ad560ac-a709-486e-9288-3d5d72eb0613,2609501859,12,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_02_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ad0c311-e1b9-40c3-9402-27962e7b88cf,2748998308,13,"""""","""""","""""","""""","""""","""""","""""","""""","""""",EV_PRO_VILL_001_02_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
