guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
305da59f-5d8c-4adf-9cf3-832343c41d5c,1555766140,npc_501,王国騎士フィオレーネ,Dame Fiorayne,Dame Fiorayne,Dama Fiorayne,Fiorayne,Fiorayne,Рыцарь Фиорайна,Pani Fiorayne,,,Dama Fiorayne,왕국 기사 피오레네,王國騎士菲歐莉尼,王国骑士菲奥莱娜,,,,,,,,السيدة فيوراين,,,,,,,,,,,
f4006f9d-b984-4cb6-a3a1-14786c6864c9,2186237780,npc_502,提督ガレアス,Admiral Galleus,Amiral Galleus,Ammiraglio Galleus,Galleus,Almirante Galleus,Адмирал Галлеус,Admirał Galleus,,,Almirante Galleus,제독 갈레아스,加雷亞斯提督,提督加雷亚斯,,,,,,,,الأدميرال جاليوس,,,,,,,,,,,
fc7c1c1d-321d-4e2e-9ac1-59bffb422008,3490790092,npc_503,研究員バハリ,Bahari the Scientist,Bahari le scientifique,Bahari lo scienziato,Bahari,"Bahari, el científico",Ученый Бахари,Naukowiec Bahari,,,"Bahari, o Cientista",연구원 바하리,巴赫里研究員,研究员巴哈里,,,,,,,,بهاري العالِم,,,,,,,,,,,
aae98c2b-ffbf-43ab-a5a0-8d0bbbff726e,2902496042,npc_504,薬師のタドリ,Doctor Tadori,Docteur Tadori,Dottor Tadori,Tadori,El doctor Tadori,Доктор Тадори,Doktor Tadori,,,Doutor Tadori,약사 타도리,溯藥師,游方医沿,,,,,,,,الطبيب تادوري,,,,,,,,,,,
4efadc44-a993-4b08-b3ec-f9c1fe0c23ce,2110574805,npc_601,受付嬢のチッチェ姫,Chichae the Quest Damsel,Princesse Chichae,Chichae la missionatrice,Chichae die Quest-Maid,"Chichae, la gestora de misiones",Раздатчица заданий Чиче,Panna z zadaniami Chichae,,,"Chichae, a Recrutadora",접수원 치체 공주,接待員琪婕,接待员琪切公主,,,,,,,,شيشاي، فتاة المهام,,,,,,,,,,,
5c663850-b06b-4c5d-8717-5bd5472ee6cd,2211001885,npc_602,加工屋のミネーレ,Minayle the Blacksmith,Minayle la forgeronne,Minayle la fabbra,Minayle,Minayle la herrera,Кузнец Минайль,Kowalka Minayle,,,"Minayle, a Ferreira",가공점의 미넬레,加工店米涅雷,加工商米娜蕾,,,,,,,,الحدادة مينايل,,,,,,,,,,,
15b99faf-c637-4ba2-8117-65ecec378c60,734773149,npc_603,オトモ加工屋のビス,Buddy Smithy Bis,Bis le forgeron Pilpoil,Bis la compagna fabbra,Bis,Bis el herrero camarada,Кузнец Бис,Kowal kompanów Bis,,,"Bis, o Amigo Ferreiro",동반자 가공점의 비스,隨從加工店畢斯,随从加工商比斯,,,,,,,,حداد الأصدقاء بيس,,,,,,,,,,,
f6e53d06-cd1a-4343-a925-3e84b2262713,3683216680,npc_605,アルロー教官,Arena Master Arlow,Maître d'Arène Arlow,Maestro dell'Arena Arlow,Arenameister Arlow,Maestro de la Arena Arlow,Мастер арены Арлоу,Mistrz Areny Arlow,,,Mestre de Arena Arlow,알로 교관,亞爾羅教官,阿尔洛教官,,,,,,,,السيد أرلو زعيم الساحة,,,,,,,,,,,
a96d748d-bfc3-4459-95f2-572f5aa012e3,2745858652,npc_606,出張オトモ広場窓口のナギ,Nagi the Buddy Agent,Nagi l'agent Pilpoil,Nagi l'agente dei compagni,Nagi,Nagi el agente de camaradas,Агент Наги,Agent kompanów Nagi,,,"Nagi, o Agente de Amigos",출장 동반자 광장 창구의 나기,臨時隨從廣場窗口輕風,随从广场分部窗口的和风,,,,,,,,العميل ناجي الرفيق,,,,,,,,,,,
6393d9c4-694e-40d5-ac7f-9e32e2744bb5,354952040,npc_607,雑貨屋のオボロ,Oboro the Merchant,Oboro le marchand,Oboro il mercante,Oboro,Oboro el mercader,Торговец Оборо,Kupiec Oboro,,,"Oboro, o Mercador",잡화점의 오보로,雜貨商朧,杂货商胧,,,,,,,,أوبورو التاجر,,,,,,,,,,,
