guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
fd862744-2279-48b5-adb5-cf20deb18934,1929277968,sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat,<COLOR FF0000>#Rejected#</COLOR> sid005_SceneFV_chat
7d931f8c-de91-42f8-9dae-8ff31e7905c5,3565534142,sid005_SceneFV_chat_001_01,"おつかれさまでした！　あの、
オレの腕前どうでしたか！？","Way to go! By the way, did
you see how awesome I was?","Nickel ! T'as vu comment
j'ai assuré grave ?","Complimenti! Ma hai visto
che numeri ho fatto?","Wow! Weiter so! Übrigens, hast
du gesehen, wie toll ich war?","¡Eso es! Por cierto, ¿has
visto cómo lo he bordado?","Молодчина! А я тоже был
неплох, а?","Brawo! Przy okazji, <LSNR {widziałeś} {widziałaś}>,
jaki byłem świetny?",,,"Boa! Aliás, você viu como
eu tava incrível?","수고 많으셨습니다!
제 실력 어땠나요!?","辛苦了！
請問您覺得我的實力怎麼樣！？","辛苦了！
那个，我的身手怎么样？！",,,,,,,,"رائع! بالمناسبة، هل رأيت
أدائي الرائع؟",,,,,,,,,,,
d8fbad3d-983f-412a-b558-3ede61309ed5,2171336284,sid005_SceneFV_chat_002_01,"どうでしょう、提督に
何歩くらい近付けましたかね？","Admiral Galleus better watch
out, I'm gunnin' for his job!","L'amiral Galleus a du souci,
je vais lui piquer son taff !","Galleus deve stare attento
o gli frego il lavoro!","Galleus sollte besser aufpassen,
ich krall mir seinen Job!","Cuidadito, almirante Galleus,
¡que voy a por tu trabajo!","Адмиралу Галлеусу стоит побе-
речься, я мечу на его место!","Niech Admirał Galleus lepiej
uważa, poluję na jego pracę!",,,"O Almirante Galleus que fique
esperto, ou pego o cargo dele!","어떤가요, 제독님께 몇 걸음
정도 가까워졌을까요?","我的表現如何？
是不是又更接近提督幾步了呢？","怎么样，是不是有点像
提督的样子了？",,,,,,,,"يجب على الأدميرال جاليوس أن يحذر،
فأنا أتطلَّع إلى منصبه!",,,,,,,,,,,
cdbf8bc7-d6c5-4247-954a-efb5c180cbec,2598241158,sid005_SceneFV_chat_003_01,"レベルアーップ！
自分の成長を感じます…！","To the top, nonstop!
Leveling up as we speak!","Au top !
Je monte de niveau là !","Non si molla un attimo!
Guarda qui che numero!","An die Spitze, ohne Unterlass!
Ich steige jetzt gerade auf!","¡A tope con el escalope!
¡Aquí no paramos de subir!","На самый верх без остановок!
Развиваюсь даже СЕЙЧАС!","Na szczyt, krok po kroku!
Podnosimy poziom tu i teraz!",,,"Pro topo, sem escalas!
Subindo AGORA MESMO!","레벨 업!
성장한 게 느껴져요…!","等級提升！
我感受到自己的成長了！","等级提升！
我感受到自己的成长了……！",,,,,,,,"إلى القمة وبلا تردد!
سنرتقي بينما نتحدث!",,,,,,,,,,,
06b16d80-737a-4a57-9574-85ba54bb261c,2855396113,sid005_SceneFV_chat_010_01,"誰かと一緒の狩猟は、
やっぱりワクワクしますね！","Super stoked to be hunting
with somebody else!","Trop content de chasser
avec quelqu'un d'autre !","Che adrenalina andare a
caccia con qualcun altro!","Ich bin ganz aufgeregt, dass ich
mit jemand anderem jagen darf!","¡Qué flipada, ir a cazar
con alguien más!","Очень рад поохотиться
с кем-то еще!","Jestem superpodjarany na
wspólne polowanie z kimś innym!",,,"Muito irado estar caçando
com outra pessoa!","역시 다른 사람과 함께
사냥하니까 가슴이 뛰네요!","和其他人一起狩獵的時候
總讓我覺得雀躍不已呢！","与别人一起的狩猎，
果然很兴奋呢！",,,,,,,,"متحمسٌ للغاية للصيد
مع شخص آخر!",,,,,,,,,,,
74389a7e-b8a1-48c1-b410-693f272c298c,98150774,sid005_SceneFV_chat_011_01,"よぅし、絶好調！
いっぱい活躍しちゃいますよ！","I'm unstoppable! I'm ready to
put this energy to good use!","Mon énergie doit servir
la bonne cause !","Non mi ferma nessuno!
Diamoci dentro!","Ich bin unaufhaltbar! ich bin
bereit, alles zu geben!","¡Soy imparable! ¡Todo
listo para echar energía!","Меня не остановить! Готов
хоть сейчас ринуться в бой!","Jestem niepokonany! Gotowy
użyć tej energii w dobrym celu!",,,"Tô imbatível! Tô pronto pra
botar essa energia pra jogo!","좋았어, 컨디션 최고다!
열심히 활약할게요!","我現在是最佳狀態！
看我大展身手吧！",好，状态绝佳！我要好好表现！,,,,,,,,"لا يمكن لأحد إيقافي! أنا مستعد
لاستغلال طاقتي!",,,,,,,,,,,
43698607-15a7-456a-8b4d-33f78229abd5,3403672131,sid005_SceneFV_chat_012_01,"気合十分です！
全力で頑張りますよ！","I feel like a million zenny!
Bring it on!","Purée, j'ai la patate !
C'est parti mon kiki !","Sono su di giri!
Fatevi sotto!","Ich fühle mich unbesiegbar!
Zeig mir, was du drauf hast!","¡Me siento de miedo!
¡Aguanto lo que me echen!","Чувствую себя на миллион зени!
Я готов!","Czuję się bosko!
No dalej! Dawaj!",,,"Tô a toda! Pode vir quente
que eu tô fervendo!","기운이 넘칩니다!
전력을 다할게요!","我現在精神飽滿！
一定會全力以赴！",气势十足！我会全力以赴！,,,,,,,,"أشتهي المليون زيني نقدًا!
هيا بنا!",,,,,,,,,,,
479eedb8-96a0-4fa1-88fc-94626d25dc9c,3292269841,sid005_SceneFV_chat_233_01,"いやぁ、さすがカムラの里の
英雄！　勉強になりました！","I can't believe I got to hunt with Kamura's
top hunter! I learned so much!","Chasser avec <LSNR {le top chasseur} {la top chasseuse}>
de Kamura ! Super apprentissage !","Non ci credo! A caccia con <LSNR {il} {la}>
miglior <LSNR {cacciatore} {cacciatrice}> di Kamura!","Dass ich mit Kamuras Top-<LSNR {Jäger} {Jägerin}>
jage! Ich habe so viel gelernt!","¡De caza con <LSNR {el} {la}> mejor de
Kamura! ¡Cuánto he aprendido!","Охота с кумиром Камуры — это
круто! Я многому научился!","Nie wierzę, że polowałem z <LSNR {najlepszym} {najlepszą}>
<LSNR {łowcą} {łowczynią}> Kamury! Tyle się nauczyłem!",,,"Não acredito que cacei com
<LSNR {o maior caçador} {a maior caçadora}> de Kamura!","이야, 역시 카무라 마을의
영웅! 한 수 배웠습니다!","厲害！不愧是神火村的英雄！
真是讓我學到一課了！","哎呀，不愧是炎火村的英雄！
真让我受益匪浅！",,,,,,,,"لا أصدق أنني حصلت على أفضل
صياد في كامورا! لقد تعلمت الكثير!",,,,,,,,,,,
345a2747-6535-44b9-8e70-19b40ecf682b,1693556990,sid005_SceneFV_chat_233_03,"了解です！
次の狩猟、楽しみにしています！","Understood! I can't wait to see
who else I can go hunting with!","Pigé ! Trop hâte de voir avec
qui je peux chasser !","Ricevuto! Non vedo l'ora di
sapere chi altri accompagnerò!","Verstanden! Mit wem ich wohl
sonst noch alles jagen werde?","¡Entendido! ¡A ver con quién
más puedo ir de caza!","Понял! Не терпится поохотиться
с кем-нибудь еще!","Rozumiem! Nie mogę się doczekać,
z kim jeszcze pójdę polować!",,,"Certo! Mal posso esperar pra
ver com quem mais posso caçar!","알겠습니다!
다음 사냥을 기대하겠습니다!",了解！好期待下一場狩獵啊！,明白！期待下次狩猎！,,,,,,,,"فهمت! لا أطيق الانتظار لمعرفة
من سيذهب للصيد معي!",,,,,,,,,,,
172284f7-1be2-45fd-982b-24bd4998cffb,4167063515,sid005_SceneFV_chat_234_02,"ありがとうございます！　今後も
鍛えまくって筋肉を増やします！","Thanks for the kind words, but I
gotta keep packing on muscle mass!","Merci du compliment, mais je dois
renforcer ma masse musculaire !","Grazie delle tue parole, ma devo
pompare un po' questi muscoli!","Danke für die netten Worte,
aber ich brauche Muskelmasse!","Muy amable, pero tengo que
desarrollar estos músculos.","Спасибо на добром слове, но
мне надо бы подкачать мышцы.","Dziękuję za miłe słowa, ale dalej
muszę budować masę mięśniową!",,,"Obrigado pelas palavras, mas
preciso aumentar os músculos!","감사합니다! 앞으로도 열심히
단련해서 근육을 늘리겠습니다!","謝謝您的褒獎！我今後也會
不停鍛鍊，努力增長肌肉的！","谢谢您！以后我也会多多锻炼，
练出更多肌肉！",,,,,,,,"شكرًا على الكلمات اللطيفة، لكن يجب
أن استمر في زيادة كتلة العضلات!",,,,,,,,,,,
