guid,crc?,entry name,Japanese,English,French,Italian,German,Spanish,Russian,Polish,Dutch,Portuguese,PortugueseBr,Korean,TraditionalChinese,SimplifiedChinese,Finnish,Swedish,Danish,Norwegian,Czech,Hungarian,Slovak,Arabic,Turkish,Bulgarian,Greek,Romanian,Thai,Ukrainian,Vietnamese,Indonesian,Fiction,Hindi,LatinAmericanSpanish
9c93b49c-6218-4332-91a4-2a392387c951,3342579333,sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat,<COLOR FF0000>#Rejected#</COLOR> sid007_SceneSV_chat
2d8328e4-9623-4b3d-aec6-862bcb59c886,3172295553,sid007_SceneSV_chat_001_01,"さあ、ゆくぞ！
狩り場が俺たちを待っている！","No standin' around.
The hunting grounds await.","Allez, on bouge. Le terrain
de chasse nous attend.","Basta cincischiare.
Il terreno di caccia aspetta.","Kein Herumstehen.
Die Jagdgründe warten.","No te quedes ahí de pie.
Nos esperan las zonas de caza.","Хватит стоять без дела.
Охотничьи угодья ждут нас!","Nie ma obijania się.
Tereny łowieckie czekają.",,,"Nada de enrolação.
Os campos de caça nos esperam.","자, 가자!
사냥터가 우리를 기다린다!","走，我們上！
獵場在等著我們！",那么，走吧！猎场在等着我们呢！,,,,,,,,"لا وقت للتلكؤ.
ساحة الصيد بانتظارنا.",,,,,,,,,,,
d8f26b0b-40b9-4ad0-bf2c-5831e8123ea3,3139885112,sid007_SceneSV_chat_002_01,"<PL>よ！
オマエの実力を見せてもらうぞ！","Let's see what you're made of,
<PL>!","Voyons ce que t'as dans
le bide, <PL> !","Vediamo di cosa sei capace,
<PL>!","Sehen wir mal, was du draufhast,
<PL>!","¡A ver de qué pasta estás
<LSNR {hecho} {hecha}>, <PL>!","Посмотрим на твои способности,
<PL>!","Zobaczmy, z jakiej gliny jesteś
<LSNR {ulepiony} {ulepiona}>, <PL>!",,,"Vamos conferir sua essência,
<PL>!","<PL>!
네 실력을 보여다오!","<PL>啊！
讓我瞧瞧你的實力吧！","<PL>啊！
让我见识一下你的实力！",,,,,,,,"دعنا نرَ حقيقتك،
<PL>!",,,,,,,,,,,
a60b62bb-3bf9-48d5-b573-e8bf8d895211,2959095596,sid007_SceneSV_chat_003_01,"ガッハッハッ！　つい気持ちが
舞い上がってしまうな！",Bwahahaha! It's go time!,Mouah ah ah ! C'est parti !,Buahahah! Si va in scena!,Muahahaha! Wir müssen los!,"¡Mua, ja, ja, ja! ¡Vamos allá!",Ха-ха-ха-ха! Пора начинать!,Buahahaha! Do dzieła!,,,Hahahaha! Chegou a hora!,"하하하! 절로 기운이
솟아오르는구나!","哈哈哈！
心情不禁雀躍起來了！","噶哈哈！
不由得情绪就激动起来了！",,,,,,,,بواهاهاهاها! حان الوقت!,,,,,,,,,,,
4248f09c-70d8-44f1-8d27-2b735b03daa0,1464744665,sid007_SceneSV_chat_010_01,おお、懐かしき狩り場よ…！,"The hunting grounds, eh?
Really brings me back...","Ah, le terrain de chasse.
Ça fait remonter des souvenirs.","Il terreno di caccia, eh?
Mi riporta indietro...","Die Jagdgründe, hm?
Das erinnert mich an...","La zona de caza, ¿eh?
Esto sí que me trae recuerdos.","Охотничьи угодья, да?
Ах, ностальгия...","Tereny łowieckie, co?
Masa wspomnień...",,,"Os campos de caça, hein.
Quantas lembranças...","오, 반가운 사냥터로구나…!",哦，真是教人懷念的獵場！,噢噢，令人怀念的猎场啊……！,,,,,,,,"ساحة الصيد، ها؟
إنها تعيد لي الذكريات حقًّا...",,,,,,,,,,,
4b75e8bf-baee-4320-86b0-d288d211a811,4134970865,sid007_SceneSV_chat_010_02,"しかもオマエと共に…とは、
つくづく感慨深いものだ。","What makes it even better is
that I'm with you, Squirt!","Et pour couronner le tout,
je suis avec toi, blanc-bec !","E la cosa migliore è che sono
con te, giovane!","Und das Beste ist, dass ich
an deiner Seite bin, Frischling!","Pero lo mejor de todo
es estar contigo, <LSNR {chico} {chica}>.","А что еще лучше, так это то,
что ты со мной, Выскочка!","A co lepsze, jestem z
tobą, <LSNR {pętaku} {podlotku}>!",,,"O que deixa tudo ainda melhor
é que estou com você, <LSNR {guri} {guria}>!","게다가 너와 함께라니…
정말 감개무량하군.","而且還是和你一同狩獵……
令我感慨頗深啊。","而且能与你一起……
真是令人感慨万千啊。",,,,,,,,"ووجودي معك
يا سكويرت يجعل الأمر أفضل!",,,,,,,,,,,
4a7dd2db-c621-454a-adba-30bf520e3fd5,83726160,sid007_SceneSV_chat_011_01,"カムラの里にとって、
マガイマガドは因縁の相手…。","Magnamalo's connection with
Kamura Village runs deep.","Les liens entre Magnamalo et
le village remontent à loin.","Il legame fra il Magnamalo e
Kamura è molto profondo.","Der Magnamalo hat eine tiefe
Verbindung zum Dorf Kamura.","La conexión de Magnamalo con
la aldea de Kamura es honda.","Связь Магнамало с деревней
Камура глубока.","Związek Magnamalo
z wioską Kamura sięga daleko.",,,"A conexão do Magnamalo com a
Aldeia Kamura é profunda.","카무라 마을과 마가이마가도는
질긴 인연으로 묶인 관계…","對神火村而言，怨虎龍是
從以前就結下恩怨的對手……","对于炎火村来说，
怨虎龙是宿敌……",,,,,,,,"علاقة ماجنامالو بقرية
كامورا عريقة.",,,,,,,,,,,
0cac85f7-e372-4239-9da8-3b9c0898f6bc,2259529,sid007_SceneSV_chat_011_02,"その脅威は、我らが何より
理解しているであろう。","We know what kind of threat it
poses, what it's capable of.","Nous savons la menace qu'il représente,
ce dont il est capable.","Sappiamo quale minaccia
costituisce, di cosa è capace.","Wir wissen, wie gefährlich
es ist, zu was es fähig ist.","Sabemos la amenaza que supone,
las capacidades que tiene.","Мы знаем, какую угрозу он
представляет, на что способен.","Wiemy, jakie zagrożenie
stanowi, do czego jest zdolny.",,,"Sabemos que tipo de ameaça
ele oferece, do que é capaz.","얼마나 위험한지는 우리가
가장 잘 알고 있지.",我們是最能理解牠威脅的人。,它的威胁，我们比谁都清楚吧。,,,,,,,,"فنحن نعرف نوعية تهديده
، وقدراته.",,,,,,,,,,,
98886698-d84a-4b90-a794-cc99179eedc7,3030146066,sid007_SceneSV_chat_011_03,"<PL>よ！
必ず狩猟を成し遂げるぞ！","<PL>, we won't
stop 'til we finish this hunt.","<PL>, on continue
tant que la chasse continue.","Ehi, <PL>, non ci
fermeremo, fino alla fine.","<PL>, wir werden erst
innehalten, wenn wir fertig sind.","<PL>, no pararemos
hasta culminar esta cacería.","<PL>, мы должны
довести эту охоту до конца.","<PL>, nie spoczniemy,
póki nie skończymy tych łowów.",,,"<PL>, não vamos
parar até essa caçada acabar.","<PL>!
반드시 사냥을 성공시키자꾸나!","<PL>！
這場狩獵一定要成功！","<PL>啊！
这次狩猎一定要成功啊！",,,,,,,,"<PL> لن نتوقف حتى
ننتهي من هذا الصيد.",,,,,,,,,,,
e6454049-63fd-409a-922c-a494ed63f18a,3299091302,sid007_SceneSV_chat_100_01,"なに、此度のことは我が里にも
関係のあること。遠慮は無用だ。","Don't mention it. This
concerns our village, as well.","Ne dis rien. Ça concerne
aussi notre village.","Non dirlo neanche. Riguarda
anche il nostro villaggio.","Keine Ursache. Dies
betrifft auch unser Dorf.","No hay de qué. Esto también
concierne a nuestra aldea.","Пустяки. Это касается и нашей
деревни.","Nie ma o czym mówić. To
dotyczy również naszej wioski.",,,"De nada. Isso também é
problema da nossa aldeia.","이번 일은 우리 마을과도
관련된 일이니 사양 말아.","小事一樁，這次的事件也關係到
我們的村子，不用那麼客氣。","哪里，这次的事情与我们村
也有关系。不必客气。",,,,,,,,"لا داعي للشكر. هذا الأمر
يهم قريتنا أيضًا.",,,,,,,,,,,
